STATION,STATION_NAME,DATE,PRCP,Check
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470101,0,1
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470102,0,2
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470103,0,3
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470104,0,4
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470105,0,5
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470106,0,6
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470107,22,7
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470108,36,8
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470109,7,9
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470110,17,10
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470111,86,11
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470112,30,12
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470113,59,13
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470114,50,14
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470115,5,15
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470116,0,16
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470117,7,17
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470118,0,18
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470119,0,19
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470120,0,20
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470121,1,21
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470122,0,22
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470123,0,23
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470124,0,24
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470125,0,25
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470126,0,26
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470127,14,27
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470128,0,28
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470129,0,29
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470130,0,30
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470131,0,31
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470201,0,32
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470202,30,33
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470203,60,34
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470204,0,35
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470205,0,36
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470206,3,37
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470207,0,38
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470208,50,39
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470209,8,40
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470210,16,41
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470211,0,42
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470212,0,43
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470213,0,44
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470214,0,45
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470215,0,46
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470216,0,47
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470217,0,48
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470218,0,49
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470219,0,50
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470220,0,51
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470221,182,52
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470222,4,53
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470223,0,54
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470224,0,55
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470225,0,56
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470226,0,57
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470227,50,58
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470228,58,59
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470301,3,60
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470302,0,61
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470303,0,62
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470304,52,63
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470305,171,64
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470306,16,65
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470307,6,66
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470308,0,67
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470309,1,68
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470310,136,69
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470311,73,70
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470312,2,71
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470313,22,72
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470314,17,73
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470315,0,74
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470316,16,75
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470317,9,76
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470318,3,77
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470319,34,78
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470320,12,79
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470321,164,80
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470322,101,81
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470323,51,82
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470324,53,83
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470325,6,84
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470326,0,85
GHCND:LU000006590,LUXEMBOURG AIRPORT LU,19470327,9,86
