Accum_y-0,T-1,Accum_y-1
377,1452,903
397,1449,708
389,1434,653
395,1355,597
441,1329,380
476,1329,341
476,1316,323
482,1316,308
472,1307,303
471,1292,303
476,1300,303
462,1315,292
462,1314,290
477,1166,309
423,1101,341
423,1016,343
423,858,344
423,857,357
421,858,357
387,828,283
373,799,187
364,678,178
367,661,181
378,661,186
432,534,192
432,471,183
421,248,183
417,218,183
408,313,183
343,338,154
335,346,155
303,377,174
283,397,202
283,389,202
275,395,221
243,441,221
208,476,221
208,476,224
219,482,226
299,472,226
304,471,226
298,476,227
297,462,227
299,462,224
366,477,221
404,423,272
430,423,271
559,423,270
559,423,253
559,421,208
580,387,208
629,373,208
629,364,208
626,367,205
615,378,200
561,432,194
561,432,194
561,421,194
561,417,194
473,408,194
473,343,192
473,335,198
473,303,161
473,283,133
473,283,133
473,275,119
459,243,119
539,208,174
585,208,218
639,219,238
657,299,317
654,304,317
647,298,316
647,297,316
646,299,316
564,366,312
525,404,252
499,430,318
370,559,358
370,559,402
370,559,423
349,580,517
300,629,612
300,629,690
500,626,846
523,615,915
527,561,917
527,561,917
594,561,961
594,561,961
594,473,1193
596,473,1193
596,473,1186
596,473,1264
606,473,1330
944,473,1330
977,473,1327
980,459,1358
900,539,1303
871,585,1297
841,639,1275
765,657,1196
805,654,1196
879,647,1238
932,647,1262
1012,646,1265
1012,564,1260
1400,525,1238
1590,499,1182
1646,370,1258
1647,370,1214
1745,370,1193
1764,349,1099
1767,300,1004
1803,300,926
1603,500,770
1587,523,701
1658,527,700
1669,527,700
1649,594,701
1649,594,704
1649,594,472
1647,596,754
1647,596,772
1647,596,695
1637,606,708
1299,944,750
1296,977,748
1326,980,717
1326,900,717
1309,871,819
1269,841,822
1414,765,889
1372,805,889
1298,879,857
1245,932,963
1164,1012,960
1164,1012,954
902,1400,970
1349,1590,1165
1303,1646,1083
1305,1647,1084
1209,1745,1084
1194,1764,1152
1191,1767,1152
1155,1803,1152
1158,1603,1152
1170,1587,1154
1189,1658,1206
1178,1669,1207
1131,1649,1162
1145,1649,1159
1312,1649,1159
1312,1647,877
1312,1647,980
1312,1647,1038
1312,1637,961
1312,1299,1062
1282,1296,1071
1247,1326,1074
1247,1326,1159
1247,1309,1215
1246,1269,1508
1079,1414,1592
1079,1372,1614
1079,1298,1609
1079,1245,1480
1079,1164,1480
1079,1164,1479
953,902,1462
316,1349,1281
607,1303,1247
604,1305,1246
646,1209,1246
650,1194,1178
702,1191,1178
702,1155,1360
740,1158,1392
724,1170,1390
645,1189,1375
646,1178,1374
646,1131,1398
632,1145,1399
509,1312,1399
509,1312,1402
509,1312,1392
545,1312,1339
633,1312,1340
633,1312,1197
633,1282,1194
633,1247,1191
633,1247,1106
675,1247,906
675,1246,610
675,1079,459
675,1079,443
675,1079,438
675,1079,437
701,1079,437
888,1079,437
888,953,445
888,316,551
587,607,551
587,604,604
574,646,605
573,650,608
523,702,608
523,702,426
482,740,394
479,724,395
464,645,357
465,646,421
465,646,397
465,632,396
421,509,396
421,509,407
421,509,296
385,545,290
345,633,287
612,633,287
722,633,281
731,633,281
908,633,281
868,675,342
873,675,383
896,675,383
905,675,390
962,675,410
1078,675,454
1090,701,454
912,888,454
920,888,446
920,888,315
920,587,335
920,587,323
889,574,322
882,573,349
891,523,418
891,523,667
891,482,728
891,479,763
891,464,763
889,465,699
889,465,706
889,465,767
985,421,962
1082,421,951
1090,421,986
1090,385,1014
1042,345,1034
780,612,1040
716,722,1040
710,731,1066
533,908,1184
531,868,1170
839,873,1373
839,896,1402
863,905,1397
865,962,1380
749,1078,1336
715,1090,1336
713,912,1336
709,920,1336
890,920,1336
1136,920,1316
1144,920,1275
1214,889,1275
1352,882,1248
1470,891,1180
1507,891,931
1507,891,882
1507,891,896
1507,891,896
1507,889,896
1659,889,1043
1758,889,1121
1805,985,947
1768,1082,977
1812,1090,942
1828,1090,927
2000,1042,907
2010,780,901
2055,716,990
2052,710,964
2060,533,846
2065,531,799
1789,839,555
1767,839,526
1734,863,518
1675,865,515
1675,749,528
1683,715,528
1687,713,528
1719,709,544
1538,890,545
1292,1136,545
1286,1144,545
1218,1214,545
1080,1352,668
951,1470,670
914,1507,670
928,1507,658
928,1507,608
997,1507,690
997,1507,693
845,1659,562
746,1758,504
617,1805,511
557,1768,478
511,1812,491
497,1828,478
325,2000,497
310,2010,513
219,2055,424
219,2052,424
211,2060,425
234,2065,573
197,1789,693
196,1767,778
196,1734,936
196,1675,937
279,1675,925
267,1683,989
256,1687,1032
328,1719,1146
328,1538,1162
358,1292,1162
441,1286,1289
440,1218,1352
443,1080,1460
614,951,1491
626,914,1493
612,928,1533
613,928,1533
544,997,1452
624,997,1449
640,845,1434
688,746,1355
702,617,1329
816,557,1329
821,511,1316
829,497,1316
906,325,1307
917,310,1292
942,219,1300
942,219,1315
945,211,1314
938,234,1166
990,197,1101
1012,196,1016
1013,196,858
1013,196,857
930,279,858
987,267,828
1003,256,799
895,328,678
960,328,661
935,358,661
861,441,534
910,440,471
943,443,248
772,614,218
760,626,313
760,612,338
759,613,346
