Accum_y-0,T-1,Accum_y-1
547,337,809
525,295,820
524,296,800
524,238,739
524,238,705
525,238,665
522,247,640
522,247,657
531,235,614
549,235,682
549,235,711
550,235,747
550,235,720
550,235,711
550,220,712
550,150,709
550,117,709
546,86,808
546,86,807
428,191,823
357,249,853
275,331,1387
78,530,1509
52,561,1525
52,561,1816
73,561,1921
73,559,1762
73,537,1930
73,537,2053
68,542,2024
63,547,1976
63,547,1983
123,525,2023
124,524,2022
124,524,2035
124,524,2035
123,525,2036
117,522,2036
122,522,2008
113,531,1997
121,549,1967
124,549,1992
297,550,1991
304,550,2022
308,550,2019
308,550,2226
353,550,2271
378,550,2320
534,546,2221
569,546,2298
723,428,2325
723,357,2312
723,275,1778
724,78,1715
719,52,1732
719,52,1464
733,73,1356
733,73,1320
735,73,1080
751,73,874
751,68,935
751,63,978
751,63,963
691,123,970
690,124,994
697,124,981
697,124,1003
697,123,998
697,117,998
692,122,979
692,113,974
666,121,934
663,124,878
489,297,888
482,304,884
478,308,1047
478,308,952
433,353,1012
423,378,969
339,534,967
345,569,890
205,723,840
205,723,823
205,723,854
239,724,806
240,719,834
240,719,834
224,733,859
236,733,859
234,735,918
218,751,910
218,751,835
218,751,792
229,751,792
229,691,734
229,690,711
222,697,711
222,697,689
222,697,689
222,697,731
228,692,731
240,692,731
240,666,731
240,663,731
240,489,724
240,482,700
240,478,609
240,478,683
240,433,679
225,423,719
153,339,716
112,345,716
106,205,716
110,205,716
110,205,745
73,239,772
72,240,711
80,240,687
61,224,708
49,236,726
53,234,667
160,218,666
183,218,666
183,218,666
172,229,666
177,229,666
207,229,665
207,222,665
207,222,665
207,222,665
207,222,623
201,228,623
189,240,623
189,240,623
190,240,623
212,240,653
329,240,757
430,240,806
495,240,621
495,240,520
498,225,474
528,153,473
531,112,473
523,106,473
568,110,509
641,110,449
713,73,421
713,72,438
705,80,470
705,61,448
705,49,449
840,53,472
749,160,512
726,183,552
726,183,599
726,172,610
721,177,610
691,207,645
691,207,645
691,207,645
691,207,646
691,207,646
691,201,658
691,189,689
691,189,689
690,190,705
668,212,649
551,329,577
450,430,508
385,495,506
480,495,506
484,498,533
464,528,533
461,531,533
466,523,533
417,568,497
344,641,497
272,713,487
273,713,470
286,705,438
295,705,408
316,705,389
251,840,400
250,749,384
295,726,359
366,726,312
383,726,301
395,721,301
395,691,266
419,691,266
426,691,266
426,691,272
426,691,273
426,691,261
426,691,230
426,691,268
426,690,252
426,668,252
426,551,217
426,450,158
426,385,158
331,480,158
324,484,209
363,464,209
364,461,209
359,466,209
359,417,293
359,344,350
359,272,358
364,273,358
351,286,358
342,295,358
321,316,358
247,251,324
232,250,300
187,295,285
116,366,285
131,383,285
129,395,382
129,395,443
105,419,443
220,426,443
258,426,436
363,426,436
438,426,436
438,426,436
438,426,398
438,426,398
438,426,386
438,426,386
438,426,386
559,426,386
606,331,386
607,324,391
568,363,472
622,364,539
622,359,539
660,359,455
763,359,440
804,359,439
846,364,474
900,351,474
902,342,474
902,321,474
902,247,475
902,232,581
902,187,581
902,116,656
870,131,656
860,129,620
860,129,740
860,105,742
738,220,780
700,258,814
678,363,820
614,438,863
624,438,863
624,438,865
624,438,953
624,438,955
624,438,956
624,438,956
569,559,956
526,606,956
525,607,873
521,568,792
466,622,801
466,622,802
428,660,803
484,763,892
443,804,885
395,846,850
341,900,850
801,902,902
801,902,903
801,902,1132
823,902,1042
838,902,1079
838,902,1006
838,870,1008
838,860,947
838,860,766
838,860,764
838,738,726
838,700,692
755,678,685
744,614,642
743,624,642
763,624,640
807,624,552
810,624,569
834,624,568
926,624,568
884,569,568
880,526,568
880,525,568
874,521,568
874,466,494
876,466,493
884,428,500
744,484,414
816,443,457
816,395,457
831,341,457
398,801,469
402,801,468
403,801,296
502,823,280
569,838,243
637,838,241
671,838,239
706,838,251
706,838,251
713,838,251
967,838,251
1073,838,251
1124,755,251
1124,744,266
1115,743,336
1095,763,369
1051,807,404
1176,810,385
1176,834,398
1194,926,411
1170,884,411
1170,880,411
1180,880,411
1188,874,411
1291,874,409
1291,876,411
1283,884,425
1264,744,380
1259,816,337
1266,816,337
1254,831,337
1246,398,295
1303,402,296
1349,403,238
1252,502,238
1170,569,238
1102,637,247
1068,671,247
1033,706,235
1033,706,235
1026,713,235
772,967,235
719,1073,235
668,1124,235
668,1124,220
668,1115,150
723,1095,117
729,1051,86
613,1176,86
657,1176,191
549,1194,249
561,1170,331
665,1170,530
655,1180,561
647,1188,561
544,1291,561
542,1291,559
542,1283,537
548,1264,537
517,1259,542
512,1266,547
509,1254,547
488,1246,525
457,1303,524
410,1349,524
403,1252,524
403,1170,525
403,1102,522
403,1068,522
403,1033,531
403,1033,549
403,1026,549
403,772,550
350,719,550
350,668,550
350,668,550
350,668,550
295,723,550
315,729,546
389,613,546
321,657,428
319,549,357
346,561,275
244,665,78
248,655,52
248,647,52
250,544,73
253,542,73
253,542,73
247,548,73
211,517,68
209,512,63
209,509,63
209,488,123
179,457,124
185,410,124
228,403,124
228,403,123
228,403,117
228,403,122
228,403,113
246,403,121
259,403,124
380,403,297
538,350,304
627,350,308
636,350,308
636,350,353
643,295,378
790,315,534
709,389,569
717,321,723
731,319,723
692,346,723
703,244,724
847,248,719
1129,248,719
1244,250,733
1244,253,733
1244,253,735
1245,247,751
1245,211,751
1299,209,751
1321,209,751
1334,209,691
1334,179,690
1328,185,697
1268,228,697
1268,228,697
1268,228,697
1268,228,692
1268,228,692
1250,246,666
1253,259,663
1133,380,489
975,538,482
886,627,478
882,636,478
925,636,433
926,643,423
753,790,339
748,709,345
759,717,205
745,731,205
757,692,205
744,703,239
596,847,240
347,1129,240
232,1244,224
229,1244,236
229,1244,234
228,1245,218
228,1245,218
177,1299,218
158,1321,229
155,1334,229
174,1334,229
174,1328,222
174,1268,222
174,1268,222
174,1268,222
174,1268,228
174,1268,240
174,1250,240
159,1253,240
158,1133,240
158,975,240
158,886,240
153,882,240
110,925,240
102,926,225
102,753,153
102,748,112
83,759,106
83,745,110
98,757,110
195,744,73
242,596,72
220,347,80
229,232,61
229,229,49
229,229,53
229,228,160
229,228,183
227,177,183
427,158,172
517,155,177
516,174,207
517,174,207
587,174,207
617,174,207
638,174,207
653,174,201
653,174,189
653,174,189
678,159,190
710,158,212
710,158,329
849,158,430
851,153,495
927,110,495
1054,102,498
1054,102,528
1054,102,531
1054,83,523
1054,83,568
1027,98,641
930,195,713
883,242,713
872,220,705
861,229,705
861,229,705
861,229,840
861,229,749
861,229,726
860,227,726
657,427,726
557,517,721
731,516,691
866,517,691
796,587,691
766,617,691
885,638,691
870,653,691
1077,653,691
1116,653,691
1090,678,690
1092,710,668
1310,710,551
1171,849,450
1178,851,385
1144,927,480
1098,1054,484
1180,1054,464
1410,1054,461
1516,1054,466
1606,1054,417
1747,1027,344
1843,930,272
1843,883,273
1871,872,286
1911,861,295
1921,861,316
1989,861,251
2059,861,250
2314,861,295
2317,860,366
2322,657,383
2331,557,395
2139,731,395
2003,866,419
2003,796,426
2003,766,426
1868,885,426
1868,870,426
1766,1077,426
1727,1116,426
1727,1090,426
1821,1092,426
1628,1310,426
1679,1171,426
1701,1178,426
1659,1144,331
1578,1098,324
1496,1180,363
1283,1410,364
1189,1516,359
1099,1606,359
959,1747,359
863,1843,359
863,1843,364
848,1871,351
866,1911,342
866,1921,321
870,1989,247
801,2059,232
546,2314,187
543,2317,116
538,2322,131
529,2331,129
529,2139,129
529,2003,105
529,2003,220
529,2003,258
524,1868,363
524,1868,438
419,1766,438
419,1727,438
419,1727,438
292,1821,438
288,1628,438
237,1679,438
206,1701,559
206,1659,606
206,1578,607
207,1496,568
190,1283,622
178,1189,622
236,1099,660
263,959,763
401,863,804
416,863,846
473,848,900
416,866,902
656,866,902
584,870,902
583,801,902
583,546,902
583,543,902
583,538,870
586,529,860
586,529,860
586,529,860
586,529,738
586,529,700
651,524,678
679,524,614
679,419,624
679,419,624
679,419,624
678,292,624
657,288,624
657,237,624
657,206,569
657,206,526
657,206,525
656,207,521
656,190,466
656,178,466
598,236,428
570,263,484
432,401,443
417,416,395
347,473,341
346,416,801
96,656,801
96,584,801
96,583,823
96,583,838
96,583,838
276,583,838
355,586,838
372,586,838
443,586,838
558,586,838
646,586,838
601,651,755
597,679,744
684,679,743
689,679,763
689,679,807
689,678,810
689,657,834
689,657,926
689,657,884
689,657,880
689,657,880
689,656,874
689,656,874
689,656,876
689,598,884
689,570,744
689,432,816
689,417,816
689,347,831
689,346,398
689,96,402
689,96,403
718,96,502
822,96,569
1028,96,637
849,276,671
779,355,706
899,372,706
844,443,713
750,558,967
735,646,1073
717,601,1124
693,597,1124
611,684,1115
615,689,1095
615,689,1051
615,689,1176
630,689,1176
673,689,1194
675,689,1170
675,689,1170
675,689,1180
675,689,1188
675,689,1291
675,689,1291
694,689,1283
743,689,1264
847,689,1259
877,689,1266
878,689,1254
977,689,1246
982,689,1303
982,689,1349
953,718,1252
849,822,1170
645,1028,1102
644,849,1068
641,779,1033
571,899,1033
686,844,1026
714,750,772
642,735,719
644,717,668
644,693,668
639,611,668
753,615,723
806,615,729
833,615,613
915,630,657
990,673,549
988,675,561
990,675,665
1051,675,655
1148,675,647
1192,675,544
1200,675,542
1182,694,542
1162,743,548
1058,847,517
1041,877,512
1049,878,509
1091,977,488
1168,982,457
1240,982,410
1339,953,403
1360,849,403
1391,645,403
1391,644,403
1382,641,403
1315,571,403
1184,686,403
1135,714,403
1141,642,350
1142,644,350
1169,644,350
1242,639,350
1123,753,295
1160,806,315
1229,833,389
1139,915,321
1021,990,319
1021,988,346
1019,990,244
962,1051,248
867,1148,248
823,1192,250
815,1200,253
814,1182,253
785,1162,247
785,1058,211
772,1041,209
763,1049,209
622,1091,209
540,1168,179
468,1240,185
369,1339,228
348,1360,228
320,1391,228
320,1391,228
320,1382,228
320,1315,246
320,1184,259
320,1135,380
313,1141,538
308,1142,627
281,1169,636
208,1242,636
204,1123,643
114,1160,790
18,1229,709
11,1139,717
20,1021,731
44,1021,692
44,1019,703
40,962,847
38,867,1129
38,823,1244
38,815,1244
59,814,1244
60,785,1245
61,785,1245
80,772,1299
281,763,1321
322,622,1334
364,540,1334
496,468,1328
625,369,1268
625,348,1268
620,320,1268
625,320,1268
626,320,1268
628,320,1250
629,320,1253
631,320,1133
631,313,975
631,308,886
631,281,882
631,208,925
632,204,926
635,114,753
635,18,748
655,11,759
646,20,745
622,44,757
627,44,744
629,40,596
629,38,347
629,38,232
629,38,229
608,59,229
607,60,228
650,61,228
895,80,177
809,281,158
800,322,155
892,364,174
856,496,174
729,625,174
782,625,174
813,620,174
813,625,174
815,626,174
813,628,174
815,629,159
926,631,158
927,631,158
975,631,158
1042,631,153
1042,631,110
1119,632,102
1123,635,102
1123,635,102
1103,655,83
1105,646,83
1114,622,98
1245,627,195
1385,629,242
1423,629,220
1423,629,229
1423,629,229
1450,608,229
1519,607,229
1475,650,229
1211,895,227
1097,809,427
1069,800,517
937,892,516
841,856,517
839,729,587
786,782,617
755,813,638
750,813,653
747,815,653
747,813,653
744,815,678
631,926,710
630,927,710
582,975,849
515,1042,851
515,1042,927
437,1119,1054
430,1123,1054
430,1123,1054
430,1103,1054
448,1105,1054
454,1114,1027
369,1245,930
460,1385,883
430,1423,872
431,1423,861
553,1423,861
526,1450,861
513,1519,861
513,1475,861
513,1211,860
512,1097,657
512,1069,557
620,937,731
620,841,866
628,839,796
628,786,766
644,755,885
676,750,870
680,747,1077
732,747,1116
756,744,1090
771,631,1092
775,630,1310
776,582,1171
776,515,1178
776,515,1144
776,437,1098
776,430,1180
776,430,1410
776,430,1516
764,448,1606
749,454,1747
716,369,1843
485,460,1843
477,430,1871
514,431,1911
410,553,1921
410,526,1989
354,513,2059
354,513,2314
354,513,2317
354,512,2322
410,512,2331
301,620,2139
314,620,2003
339,628,2003
356,628,2003
360,644,1868
424,676,1868
421,680,1766
391,732,1727
454,756,1727
543,771,1821
540,775,1628
539,776,1679
539,776,1701
539,776,1659
539,776,1578
552,776,1496
552,776,1283
552,776,1189
544,764,1099
544,749,959
526,716,863
587,485,863
587,477,848
549,514,866
560,410,866
603,410,870
604,354,801
605,354,546
605,354,543
605,354,538
545,410,529
544,301,529
531,314,529
498,339,529
481,356,529
461,360,524
365,424,524
364,421,419
342,391,419
255,454,419
151,543,292
150,540,288
150,539,237
150,539,206
228,539,206
258,539,206
246,552,207
326,552,190
326,552,178
326,544,236
326,544,263
326,526,401
263,587,416
263,587,473
263,549,416
236,560,656
376,603,584
486,604,583
491,605,583
534,605,583
534,605,583
598,545,586
603,544,586
626,531,586
654,498,586
655,481,586
1015,461,651
1042,365,679
1138,364,679
1149,342,679
1164,255,679
1164,151,678
1164,150,657
1164,150,657
1164,150,657
1086,228,657
1056,258,657
1055,246,656
975,326,656
975,326,656
991,326,598
1045,326,570
1107,326,432
1109,263,417
1140,263,347
1140,263,346
1200,236,96
1041,376,96
930,486,96
924,491,96
968,534,96
968,534,276
918,598,355
913,603,372
958,626,443
976,654,558
981,655,646
621,1015,601
665,1042,597
573,1138,684
562,1149,689
578,1164,689
594,1164,689
594,1164,689
594,1164,689
595,1164,689
651,1086,689
873,1056,689
1187,1055,689
1353,975,689
1417,975,689
1445,991,689
1765,1045,689
1795,1107,689
1853,1109,689
2031,1140,689
2130,1140,689
2088,1200,689
2086,1041,689
2089,930,718
2089,924,822
2008,968,1028
2008,968,849
2038,918,779
2069,913,899
2017,958,844
1971,976,750
1965,981,735
1966,621,717
1940,665,693
1956,573,611
1986,562,615
1955,578,615
1939,594,615
1940,594,630
1940,594,673
1939,595,675
1883,651,675
1661,873,675
1347,1187,675
1181,1353,675
1182,1417,675
1139,1445,694
765,1765,743
683,1795,847
624,1853,877
415,2031,878
316,2130,977
296,2088,982
274,2086,982
293,2089,953
293,2089,849
291,2008,645
291,2008,644
281,2038,641
255,2069,571
279,2017,686
330,1971,714
343,1965,642
355,1966,644
311,1940,644
295,1956,639
265,1986,753
290,1955,806
382,1939,833
384,1940,915
384,1940,990
385,1939,988
385,1883,990
390,1661,1051
393,1347,1148
482,1181,1192
516,1182,1200
523,1139,1182
523,765,1162
513,683,1058
512,624,1041
512,415,1049
543,316,1091
590,296,1168
633,274,1240
611,293,1339
611,293,1360
628,291,1391
665,291,1391
680,281,1382
675,255,1315
635,279,1184
589,330,1135
582,343,1141
588,355,1142
592,311,1169
590,295,1242
607,265,1123
582,290,1160
490,382,1229
487,384,1139
487,384,1021
486,385,1021
486,385,1019
486,390,962
530,393,867
526,482,823
473,516,815
536,523,814
536,523,785
536,513,785
536,512,772
536,512,763
505,543,622
458,590,540
438,633,468
468,611,369
519,611,348
549,628,320
514,665,320
466,680,320
466,675,320
467,635,320
462,589,320
456,582,313
437,588,308
434,592,281
439,590,208
426,607,204
457,582,114
511,490,18
581,487,11
640,487,20
720,486,44
733,486,44
743,486,40
696,530,38
611,526,38
565,473,38
494,536,59
546,536,60
604,536,61
683,536,80
744,536,281
761,505,322
761,458,364
745,438,496
744,468,625
707,519,625
694,549,620
692,514,625
691,466,626
691,466,628
690,467,629
690,462,631
690,456,631
690,437,631
710,434,631
710,439,631
708,426,632
705,457,635
692,511,635
648,581,655
589,640,646
525,720,622
539,733,627
543,743,629
636,696,629
636,611,629
636,565,629
636,494,608
584,546,607
533,604,650
473,683,895
413,744,809
396,761,800
402,761,892
462,745,856
433,744,729
419,707,782
381,694,813
395,692,813
511,691,815
555,691,813
774,690,815
787,690,926
787,690,927
787,690,975
767,710,1042
762,710,1042
784,708,1119
789,705,1123
773,692,1123
773,648,1103
773,589,1105
757,525,1114
731,539,1245
712,543,1385
619,636,1423
619,636,1423
619,636,1423
685,636,1450
685,584,1519
678,533,1475
661,473,1211
663,413,1097
668,396,1069
693,402,937
626,462,841
626,433,839
675,419,786
681,381,755
673,395,750
595,511,747
551,555,747
332,774,744
319,787,631
327,787,630
368,787,582
369,767,515
367,762,515
343,784,437
311,789,430
286,773,430
260,773,430
260,773,448
260,757,454
259,731,369
293,712,460
293,619,430
316,619,431
316,619,553
250,685,526
285,685,513
396,678,513
443,661,513
487,663,512
488,668,512
517,693,620
540,626,620
540,626,628
491,675,628
485,681,644
492,673,676
822,595,680
822,551,732
822,332,756
822,319,771
814,327,775
773,368,776
770,369,776
779,367,776
813,343,776
812,311,776
812,286,776
812,260,776
812,260,764
930,260,749
1024,259,716
991,293,485
1016,293,477
1053,316,514
1053,316,410
1053,250,410
1018,285,354
907,396,354
858,443,354
1022,487,354
1062,488,410
1003,517,301
980,540,314
980,540,339
980,491,356
1190,485,360
1177,492,424
809,822,421
824,822,391
824,822,454
824,822,543
824,814,540
824,773,539
824,770,539
826,779,539
792,813,539
792,812,552
792,812,552
792,812,552
792,812,544
674,930,544
580,1024,526
579,991,587
554,1016,587
494,1053,549
494,1053,560
494,1053,603
510,1018,604
523,907,605
561,858,605
354,1022,605
323,1062,545
332,1003,544
392,980,531
400,980,498
400,980,481
190,1190,461
190,1177,365
265,809,364
254,824,342
326,824,255
326,824,151
384,824,150
384,824,150
384,824,150
373,826,228
373,792,258
373,792,246
373,792,326
406,792,326
730,792,326
731,674,326
731,580,326
731,579,263
731,554,263
731,494,263
731,494,236
731,494,376
715,510,486
702,523,491
664,561,534
660,354,534
645,323,598
635,332,603
575,392,626
567,400,654
567,400,655
567,190,1015
567,190,1042
492,265,1138
567,254,1149
495,326,1164
546,326,1164
488,384,1164
489,384,1164
532,384,1164
579,373,1086
621,373,1056
647,373,1055
648,373,975
630,406,975
368,730,991
380,731,1045
411,731,1107
554,731,1109
688,731,1140
705,731,1140
813,731,1200
838,731,1041
898,715,930
899,702,924
899,664,968
899,660,968
933,645,918
946,635,913
948,575,958
952,567,976
952,567,981
952,567,621
952,567,665
952,492,573
873,567,562
873,495,578
822,546,594
822,488,594
834,489,594
791,532,595
829,579,651
796,621,873
936,647,1187
944,648,1353
929,630,1417
867,368,1445
854,380,1765
823,411,1795
748,554,1853
618,688,2031
613,705,2130
720,813,2088
696,838,2086
636,898,2089
663,899,2089
667,899,2008
667,899,2008
636,933,2038
657,946,2069
677,948,2017
691,952,1971
691,952,1965
691,952,1966
693,952,1940
693,952,1956
698,873,1986
700,873,1955
700,822,1939
705,822,1940
696,834,1940
696,791,1939
614,829,1883
614,796,1661
470,936,1347
469,944,1181
469,929,1182
481,867,1139
481,854,765
481,823,683
413,748,624
415,618,415
414,613,316
221,720,296
226,696,274
226,636,293
200,663,293
246,667,291
259,667,291
312,636,281
291,657,255
420,677,279
695,691,330
816,691,343
847,691,355
850,693,311
850,693,295
864,698,265
980,700,290
1141,700,382
1136,705,384
1132,696,384
1132,696,385
1139,614,385
1158,614,390
1317,470,393
1478,469,482
1559,469,516
1617,481,523
1620,481,523
1625,481,513
1632,413,512
1633,415,512
1622,414,543
1600,221,590
1671,226,633
1671,226,611
1691,200,611
1641,246,628
1668,259,665
1615,312,680
1602,291,675
1451,420,635
1158,695,589
1037,816,582
1006,847,588
1001,850,592
1001,850,590
982,864,607
865,980,582
705,1141,490
705,1136,487
719,1132,487
727,1132,486
719,1139,486
691,1158,486
510,1317,530
341,1478,526
260,1559,473
199,1617,536
284,1620,536
293,1625,536
286,1632,536
279,1633,536
295,1622,505
295,1600,458
219,1671,438
219,1671,468
220,1691,519
