Accum_y-0,T-1,T-2,Accum_y-1
377,1452,690,903
397,1449,693,708
389,1434,562,653
395,1355,504,597
441,1329,511,380
476,1329,478,341
476,1316,491,323
482,1316,478,308
472,1307,497,303
471,1292,513,303
476,1300,424,303
462,1315,424,292
462,1314,425,290
477,1166,573,309
423,1101,693,341
423,1016,778,343
423,858,936,344
423,857,937,357
421,858,925,357
387,828,989,283
373,799,1032,187
364,678,1146,178
367,661,1162,181
378,661,1162,186
432,534,1289,192
432,471,1352,183
421,248,1460,183
417,218,1491,183
408,313,1493,183
343,338,1533,154
335,346,1533,155
303,377,1452,174
283,397,1449,202
283,389,1434,202
275,395,1355,221
243,441,1329,221
208,476,1329,221
208,476,1316,224
219,482,1316,226
299,472,1307,226
304,471,1292,226
298,476,1300,227
297,462,1315,227
299,462,1314,224
366,477,1166,221
404,423,1101,272
430,423,1016,271
559,423,858,270
559,423,857,253
559,421,858,208
580,387,828,208
629,373,799,208
629,364,678,208
626,367,661,205
615,378,661,200
561,432,534,194
561,432,471,194
561,421,248,194
561,417,218,194
473,408,313,194
473,343,338,192
473,335,346,198
473,303,377,161
473,283,397,133
473,283,389,133
473,275,395,119
459,243,441,119
539,208,476,174
585,208,476,218
639,219,482,238
657,299,472,317
654,304,471,317
647,298,476,316
647,297,462,316
646,299,462,316
564,366,477,312
525,404,423,252
499,430,423,318
370,559,423,358
370,559,423,402
370,559,421,423
349,580,387,517
300,629,373,612
300,629,364,690
500,626,367,846
523,615,378,915
527,561,432,917
527,561,432,917
594,561,421,961
594,561,417,961
594,473,408,1193
596,473,343,1193
596,473,335,1186
596,473,303,1264
606,473,283,1330
944,473,283,1330
977,473,275,1327
980,459,243,1358
900,539,208,1303
871,585,208,1297
841,639,219,1275
765,657,299,1196
805,654,304,1196
879,647,298,1238
932,647,297,1262
1012,646,299,1265
1012,564,366,1260
1400,525,404,1238
1590,499,430,1182
1646,370,559,1258
1647,370,559,1214
1745,370,559,1193
1764,349,580,1099
1767,300,629,1004
1803,300,629,926
1603,500,626,770
1587,523,615,701
1658,527,561,700
1669,527,561,700
1649,594,561,701
1649,594,561,704
1649,594,473,472
1647,596,473,754
1647,596,473,772
1647,596,473,695
1637,606,473,708
1299,944,473,750
1296,977,473,748
1326,980,459,717
