Accum_y-0,T-1,T-2,Accum_y-1
444,553,734,989
436,508,689,657
383,561,637,610
290,654,611,580
169,778,609,667
99,848,542,588
98,842,505,546
98,841,506,497
85,854,457,389
84,743,569,367
84,694,618,411
84,644,668,430
84,636,674,430
88,641,674,434
88,641,674,448
88,637,670,534
81,637,634,654
263,643,634,683
365,642,640,690
356,661,642,694
354,657,648,748
381,630,657,803
750,567,720,803
750,557,729,815
750,541,737,815
750,541,737,793
750,541,737,792
750,541,573,790
750,541,570,722
750,541,550,746
736,520,527,780
736,444,553,991
764,436,508,994
771,383,561,978
778,290,654,1049
775,169,778,1086
775,99,848,1304
786,98,842,1243
786,98,841,1240
888,85,854,1200
1042,84,743,1199
1063,84,694,1145
1083,84,644,1126
1086,84,636,1126
1077,88,641,1122
1080,88,641,1108
1148,88,637,1022
1139,81,637,902
951,263,643,873
848,365,642,866
837,356,661,884
837,354,657,830
835,381,630,775
485,750,567,775
485,750,557,763
485,750,541,776
485,750,541,835
489,750,541,835
489,750,541,914
508,750,541,1079
510,750,541,1071
510,736,520,1087
632,736,444,920
672,764,436,917
720,771,383,917
713,778,290,846
765,775,169,704
780,775,99,463
837,786,98,513
838,786,98,715
743,888,85,786
592,1042,84,812
571,1063,84,863
551,1083,84,892
548,1086,84,1008
548,1077,88,1018
545,1080,88,1018
477,1148,88,1022
466,1139,81,1055
466,951,263,1231
462,848,365,1254
534,837,356,1232
547,837,354,1251
571,835,381,1251
600,485,750,1256
622,485,750,1327
648,485,750,1358
654,485,750,1299
650,489,750,1306
650,489,750,1233
631,508,750,1068
629,510,750,1040
629,510,736,989
507,632,736,945
439,672,764,977
384,720,771,1094
388,713,778,1112
340,765,775,1112
326,780,775,1158
258,837,786,1108
257,838,786,917
250,743,888,852
247,592,1042,888
247,571,1063,930
247,551,1083,927
290,548,1086,811
492,548,1077,801
578,545,1080,803
578,477,1148,857
578,466,1139,825
578,466,951,696
578,462,848,673
505,534,837,685
492,547,837,674
448,571,835,674
471,600,485,669
451,622,485,598
479,648,485,716
473,654,485,724
473,650,489,730
473,650,489,747
473,631,508,747
473,629,510,747
473,629,510,747
475,507,632,747
475,439,672,715
475,384,720,598
476,388,713,579
540,340,765,579
683,326,780,532
721,258,837,532
776,257,838,521
776,250,743,515
935,247,592,453
983,247,571,360
983,247,551,392
945,290,548,418
743,492,548,423
662,578,545,437
662,578,477,379
703,578,466,378
703,578,466,331
703,578,462,331
703,505,534,326
703,492,547,321
709,448,571,330
639,471,600,367
648,451,622,386
594,479,648,291
594,473,654,354
594,473,650,341
594,473,650,318
594,473,631,330
594,473,629,345
594,473,629,345
592,475,507,567
650,475,439,653
685,475,384,658
684,476,388,658
661,540,340,658
711,683,326,658
757,721,258,658
702,776,257,746
702,776,250,746
543,935,247,824
879,983,247,841
879,983,247,836
874,945,290,810
874,743,492,805
869,662,578,846
882,662,578,848
889,703,578,848
889,703,578,876
889,703,578,876
889,703,505,869
905,703,492,1109
893,709,448,1100
892,639,471,1063
881,648,451,1044
888,594,479,977
888,594,473,906
888,594,473,906
888,594,473,1077
888,594,473,1153
888,594,473,1138
888,594,473,1138
898,592,475,916
892,650,475,870
896,685,475,895
933,684,476,895
888,661,540,900
694,711,683,967
655,757,721,971
750,702,776,883
750,702,776,883
750,543,935,805
366,879,983,808
471,879,983,765
490,874,945,766
508,874,743,832
511,869,662,820
498,882,662,821
508,889,703,821
705,889,703,793
727,889,703,793
727,889,703,793
711,905,703,622
749,893,709,801
749,892,639,854
754,881,648,854
747,888,594,854
747,888,594,854
747,888,594,869
786,888,594,704
786,888,594,690
786,888,594,904
786,888,594,904
776,898,592,904
743,892,650,864
704,896,685,879
663,933,684,879
832,888,661,874
855,694,711,828
810,655,757,877
935,750,702,880
935,750,702,880
935,750,543,888
935,366,879,869
830,471,879,865
811,490,874,864
793,508,874,839
790,511,869,812
793,498,882,809
735,508,889,922
538,705,889,922
516,727,889,941
533,727,889,943
533,711,905,871
495,749,893,692
495,749,892,639
490,754,881,639
490,747,888,639
490,747,888,639
591,747,888,627
552,786,888,685
626,786,888,687
816,786,888,473
819,786,888,683
819,776,898,741
800,743,892,758
800,704,896,713
800,663,933,713
631,832,888,713
608,855,694,707
608,810,655,1057
389,935,750,1283
482,935,750,1283
482,935,750,1275
482,935,366,1274
482,830,471,1268
482,811,490,1268
482,793,508,1227
576,790,511,1209
573,793,498,1209
573,735,508,1096
573,538,705,1100
573,516,727,1081
556,533,727,1079
556,533,711,1079
556,495,749,1079
556,495,749,1079
556,490,754,1079
556,490,747,1155
556,490,747,1253
455,591,747,1302
455,552,786,1264
381,626,786,1190
396,816,786,1257
432,819,786,1091
458,819,776,1033
476,800,743,1065
476,800,704,1065
568,800,663,1065
694,631,832,1065
740,608,855,1052
740,608,810,649
739,389,935,420
646,482,935,428
648,482,935,491
650,482,935,491
650,482,830,491
650,482,811,491
650,482,793,491
556,576,790,510
556,573,793,510
558,573,735,511
600,573,538,515
605,573,516,515
605,556,533,515
605,556,533,679
605,556,495,682
605,556,495,702
605,556,490,760
605,556,490,734
639,556,490,689
684,455,591,637
761,455,552,611
942,381,626,609
771,396,816,542
740,432,819,505
806,458,819,506
788,476,800,457
845,476,800,569
797,568,800,618
671,694,631,668
628,740,608,674
629,740,608,674
639,739,389,674
642,646,482,670
802,648,482,634
955,650,482,634
955,650,482,640
955,650,482,642
955,650,482,648
955,556,576,657
959,556,573,720
1143,558,573,729
1155,600,573,737
1187,605,573,737
1189,605,556,737
1349,605,556,573
1453,605,556,570
1547,605,556,550
1547,605,556,527
1558,605,556,553
1538,639,556,508
1549,684,455,561
1473,761,455,654
1367,942,381,778
1388,771,396,848
1416,740,432,842
1408,806,458,841
1425,788,476,854
1467,845,476,743
1437,797,568,694
1438,671,694,644
1438,628,740,636
1437,629,740,641
1427,639,739,641
1424,642,646,637
1262,802,648,637
1107,955,650,643
1112,955,650,642
1119,955,650,661
1143,955,650,657
1316,955,556,630
