Accum_y-0,T-1,T-2,T-3,Accum_y-1
377,1452,690,896,903
397,1449,693,896,708
389,1434,562,1043,653
395,1355,504,1121,597
441,1329,511,947,380
476,1329,478,977,341
476,1316,491,942,323
482,1316,478,927,308
472,1307,497,907,303
471,1292,513,901,303
476,1300,424,990,303
462,1315,424,964,292
462,1314,425,846,290
477,1166,573,799,309
423,1101,693,555,341
423,1016,778,526,343
423,858,936,518,344
423,857,937,515,357
421,858,925,528,357
387,828,989,528,283
373,799,1032,528,187
364,678,1146,544,178
367,661,1162,545,181
378,661,1162,545,186
432,534,1289,545,192
432,471,1352,545,183
421,248,1460,668,183
417,218,1491,670,183
408,313,1493,670,183
343,338,1533,658,154
335,346,1533,608,155
303,377,1452,690,174
283,397,1449,693,202
283,389,1434,562,202
275,395,1355,504,221
243,441,1329,511,221
208,476,1329,478,221
208,476,1316,491,224
219,482,1316,478,226
299,472,1307,497,226
304,471,1292,513,226
298,476,1300,424,227
297,462,1315,424,227
299,462,1314,425,224
366,477,1166,573,221
404,423,1101,693,272
430,423,1016,778,271
559,423,858,936,270
559,423,857,937,253
559,421,858,925,208
580,387,828,989,208
629,373,799,1032,208
629,364,678,1146,208
626,367,661,1162,205
615,378,661,1162,200
561,432,534,1289,194
561,432,471,1352,194
561,421,248,1460,194
561,417,218,1491,194
473,408,313,1493,194
473,343,338,1533,192
473,335,346,1533,198
473,303,377,1452,161
473,283,397,1449,133
473,283,389,1434,133
473,275,395,1355,119
459,243,441,1329,119
539,208,476,1329,174
585,208,476,1316,218
639,219,482,1316,238
657,299,472,1307,317
654,304,471,1292,317
647,298,476,1300,316
647,297,462,1315,316
646,299,462,1314,316
564,366,477,1166,312
525,404,423,1101,252
499,430,423,1016,318
370,559,423,858,358
370,559,423,857,402
370,559,421,858,423
349,580,387,828,517
300,629,373,799,612
300,629,364,678,690
500,626,367,661,846
523,615,378,661,915
527,561,432,534,917
527,561,432,471,917
594,561,421,248,961
594,561,417,218,961
594,473,408,313,1193
596,473,343,338,1193
596,473,335,346,1186
596,473,303,377,1264
606,473,283,397,1330
944,473,283,389,1330
977,473,275,395,1327
980,459,243,441,1358
900,539,208,476,1303
871,585,208,476,1297
841,639,219,482,1275
765,657,299,472,1196
805,654,304,471,1196
879,647,298,476,1238
932,647,297,462,1262
1012,646,299,462,1265
1012,564,366,477,1260
1400,525,404,423,1238
1590,499,430,423,1182
1646,370,559,423,1258
1647,370,559,423,1214
1745,370,559,421,1193
1764,349,580,387,1099
1767,300,629,373,1004
1803,300,629,364,926
1603,500,626,367,770
1587,523,615,378,701
1658,527,561,432,700
1669,527,561,432,700
1649,594,561,421,701
1649,594,561,417,704
1649,594,473,408,472
1647,596,473,343,754
1647,596,473,335,772
1647,596,473,303,695
1637,606,473,283,708
1299,944,473,283,750
1296,977,473,275,748
1326,980,459,243,717
1326,900,539,208,717
1309,871,585,208,819
1269,841,639,219,822
1414,765,657,299,889
1372,805,654,304,889
1298,879,647,298,857
1245,932,647,297,963
1164,1012,646,299,960
1164,1012,564,366,954
902,1400,525,404,970
1349,1590,499,430,1165
1303,1646,370,559,1083
1305,1647,370,559,1084
1209,1745,370,559,1084
1194,1764,349,580,1152
1191,1767,300,629,1152
1155,1803,300,629,1152
1158,1603,500,626,1152
1170,1587,523,615,1154
1189,1658,527,561,1206
1178,1669,527,561,1207
1131,1649,594,561,1162
1145,1649,594,561,1159
1312,1649,594,473,1159
1312,1647,596,473,877
1312,1647,596,473,980
1312,1647,596,473,1038
1312,1637,606,473,961
1312,1299,944,473,1062
1282,1296,977,473,1071
1247,1326,980,459,1074
1247,1326,900,539,1159
1247,1309,871,585,1215
1246,1269,841,639,1508
1079,1414,765,657,1592
1079,1372,805,654,1614
1079,1298,879,647,1609
1079,1245,932,647,1480
1079,1164,1012,646,1480
1079,1164,1012,564,1479
953,902,1400,525,1462
316,1349,1590,499,1281
607,1303,1646,370,1247
604,1305,1647,370,1246
646,1209,1745,370,1246
650,1194,1764,349,1178
702,1191,1767,300,1178
702,1155,1803,300,1360
740,1158,1603,500,1392
724,1170,1587,523,1390
645,1189,1658,527,1375
646,1178,1669,527,1374
646,1131,1649,594,1398
632,1145,1649,594,1399
509,1312,1649,594,1399
509,1312,1647,596,1402
509,1312,1647,596,1392
545,1312,1647,596,1339
633,1312,1637,606,1340
633,1312,1299,944,1197
633,1282,1296,977,1194
633,1247,1326,980,1191
633,1247,1326,900,1106
675,1247,1309,871,906
675,1246,1269,841,610
675,1079,1414,765,459
675,1079,1372,805,443
675,1079,1298,879,438
675,1079,1245,932,437
701,1079,1164,1012,437
888,1079,1164,1012,437
888,953,902,1400,445
888,316,1349,1590,551
587,607,1303,1646,551
587,604,1305,1647,604
574,646,1209,1745,605
573,650,1194,1764,608
523,702,1191,1767,608
523,702,1155,1803,426
482,740,1158,1603,394
479,724,1170,1587,395
464,645,1189,1658,357
465,646,1178,1669,421
465,646,1131,1649,397
465,632,1145,1649,396
421,509,1312,1649,396
421,509,1312,1647,407
421,509,1312,1647,296
385,545,1312,1647,290
