Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1
377,1452,690,896,763,903
397,1449,693,896,699,708
389,1434,562,1043,706,653
395,1355,504,1121,767,597
441,1329,511,947,962,380
476,1329,478,977,951,341
476,1316,491,942,986,323
482,1316,478,927,1014,308
472,1307,497,907,1034,303
471,1292,513,901,1040,303
476,1300,424,990,1040,303
462,1315,424,964,1066,292
462,1314,425,846,1184,290
477,1166,573,799,1170,309
423,1101,693,555,1373,341
423,1016,778,526,1402,343
423,858,936,518,1397,344
423,857,937,515,1380,357
421,858,925,528,1336,357
387,828,989,528,1336,283
373,799,1032,528,1336,187
364,678,1146,544,1336,178
367,661,1162,545,1336,181
378,661,1162,545,1316,186
432,534,1289,545,1275,192
432,471,1352,545,1275,183
421,248,1460,668,1248,183
417,218,1491,670,1180,183
408,313,1493,670,931,183
343,338,1533,658,882,154
335,346,1533,608,896,155
303,377,1452,690,896,174
283,397,1449,693,896,202
283,389,1434,562,1043,202
275,395,1355,504,1121,221
243,441,1329,511,947,221
208,476,1329,478,977,221
208,476,1316,491,942,224
219,482,1316,478,927,226
299,472,1307,497,907,226
304,471,1292,513,901,226
298,476,1300,424,990,227
297,462,1315,424,964,227
299,462,1314,425,846,224
366,477,1166,573,799,221
404,423,1101,693,555,272
430,423,1016,778,526,271
559,423,858,936,518,270
559,423,857,937,515,253
559,421,858,925,528,208
580,387,828,989,528,208
629,373,799,1032,528,208
629,364,678,1146,544,208
626,367,661,1162,545,205
615,378,661,1162,545,200
561,432,534,1289,545,194
561,432,471,1352,545,194
561,421,248,1460,668,194
561,417,218,1491,670,194
473,408,313,1493,670,194
473,343,338,1533,658,192
473,335,346,1533,608,198
473,303,377,1452,690,161
473,283,397,1449,693,133
473,283,389,1434,562,133
473,275,395,1355,504,119
459,243,441,1329,511,119
539,208,476,1329,478,174
585,208,476,1316,491,218
639,219,482,1316,478,238
657,299,472,1307,497,317
654,304,471,1292,513,317
647,298,476,1300,424,316
647,297,462,1315,424,316
646,299,462,1314,425,316
564,366,477,1166,573,312
525,404,423,1101,693,252
499,430,423,1016,778,318
370,559,423,858,936,358
370,559,423,857,937,402
370,559,421,858,925,423
349,580,387,828,989,517
300,629,373,799,1032,612
300,629,364,678,1146,690
500,626,367,661,1162,846
523,615,378,661,1162,915
527,561,432,534,1289,917
527,561,432,471,1352,917
594,561,421,248,1460,961
594,561,417,218,1491,961
594,473,408,313,1493,1193
596,473,343,338,1533,1193
596,473,335,346,1533,1186
596,473,303,377,1452,1264
606,473,283,397,1449,1330
944,473,283,389,1434,1330
977,473,275,395,1355,1327
980,459,243,441,1329,1358
900,539,208,476,1329,1303
871,585,208,476,1316,1297
841,639,219,482,1316,1275
765,657,299,472,1307,1196
805,654,304,471,1292,1196
879,647,298,476,1300,1238
932,647,297,462,1315,1262
1012,646,299,462,1314,1265
1012,564,366,477,1166,1260
1400,525,404,423,1101,1238
1590,499,430,423,1016,1182
1646,370,559,423,858,1258
1647,370,559,423,857,1214
1745,370,559,421,858,1193
1764,349,580,387,828,1099
1767,300,629,373,799,1004
1803,300,629,364,678,926
1603,500,626,367,661,770
1587,523,615,378,661,701
1658,527,561,432,534,700
1669,527,561,432,471,700
1649,594,561,421,248,701
1649,594,561,417,218,704
1649,594,473,408,313,472
1647,596,473,343,338,754
1647,596,473,335,346,772
1647,596,473,303,377,695
1637,606,473,283,397,708
1299,944,473,283,389,750
1296,977,473,275,395,748
1326,980,459,243,441,717
1326,900,539,208,476,717
1309,871,585,208,476,819
1269,841,639,219,482,822
1414,765,657,299,472,889
1372,805,654,304,471,889
1298,879,647,298,476,857
1245,932,647,297,462,963
1164,1012,646,299,462,960
1164,1012,564,366,477,954
902,1400,525,404,423,970
1349,1590,499,430,423,1165
1303,1646,370,559,423,1083
1305,1647,370,559,423,1084
1209,1745,370,559,421,1084
1194,1764,349,580,387,1152
1191,1767,300,629,373,1152
1155,1803,300,629,364,1152
1158,1603,500,626,367,1152
1170,1587,523,615,378,1154
1189,1658,527,561,432,1206
1178,1669,527,561,432,1207
1131,1649,594,561,421,1162
1145,1649,594,561,417,1159
1312,1649,594,473,408,1159
1312,1647,596,473,343,877
1312,1647,596,473,335,980
1312,1647,596,473,303,1038
1312,1637,606,473,283,961
1312,1299,944,473,283,1062
1282,1296,977,473,275,1071
1247,1326,980,459,243,1074
1247,1326,900,539,208,1159
1247,1309,871,585,208,1215
1246,1269,841,639,219,1508
1079,1414,765,657,299,1592
1079,1372,805,654,304,1614
1079,1298,879,647,298,1609
1079,1245,932,647,297,1480
1079,1164,1012,646,299,1480
1079,1164,1012,564,366,1479
953,902,1400,525,404,1462
316,1349,1590,499,430,1281
607,1303,1646,370,559,1247
604,1305,1647,370,559,1246
646,1209,1745,370,559,1246
650,1194,1764,349,580,1178
702,1191,1767,300,629,1178
702,1155,1803,300,629,1360
740,1158,1603,500,626,1392
724,1170,1587,523,615,1390
645,1189,1658,527,561,1375
646,1178,1669,527,561,1374
646,1131,1649,594,561,1398
632,1145,1649,594,561,1399
509,1312,1649,594,473,1399
509,1312,1647,596,473,1402
509,1312,1647,596,473,1392
545,1312,1647,596,473,1339
633,1312,1637,606,473,1340
633,1312,1299,944,473,1197
633,1282,1296,977,473,1194
633,1247,1326,980,459,1191
633,1247,1326,900,539,1106
675,1247,1309,871,585,906
675,1246,1269,841,639,610
675,1079,1414,765,657,459
675,1079,1372,805,654,443
675,1079,1298,879,647,438
675,1079,1245,932,647,437
701,1079,1164,1012,646,437
888,1079,1164,1012,564,437
888,953,902,1400,525,445
888,316,1349,1590,499,551
587,607,1303,1646,370,551
587,604,1305,1647,370,604
574,646,1209,1745,370,605
573,650,1194,1764,349,608
523,702,1191,1767,300,608
523,702,1155,1803,300,426
482,740,1158,1603,500,394
479,724,1170,1587,523,395
464,645,1189,1658,527,357
465,646,1178,1669,527,421
465,646,1131,1649,594,397
465,632,1145,1649,594,396
421,509,1312,1649,594,396
421,509,1312,1647,596,407
421,509,1312,1647,596,296
385,545,1312,1647,596,290
345,633,1312,1637,606,287
612,633,1312,1299,944,287
722,633,1282,1296,977,281
731,633,1247,1326,980,281
908,633,1247,1326,900,281
868,675,1247,1309,871,342
873,675,1246,1269,841,383
896,675,1079,1414,765,383
905,675,1079,1372,805,390
962,675,1079,1298,879,410
1078,675,1079,1245,932,454
1090,701,1079,1164,1012,454
912,888,1079,1164,1012,454
920,888,953,902,1400,446
920,888,316,1349,1590,315
920,587,607,1303,1646,335
920,587,604,1305,1647,323
889,574,646,1209,1745,322
882,573,650,1194,1764,349
891,523,702,1191,1767,418
891,523,702,1155,1803,667
891,482,740,1158,1603,728
891,479,724,1170,1587,763
891,464,645,1189,1658,763
889,465,646,1178,1669,699
889,465,646,1131,1649,706
889,465,632,1145,1649,767
985,421,509,1312,1649,962
1082,421,509,1312,1647,951
1090,421,509,1312,1647,986
1090,385,545,1312,1647,1014
1042,345,633,1312,1637,1034
780,612,633,1312,1299,1040
716,722,633,1282,1296,1040
710,731,633,1247,1326,1066
533,908,633,1247,1326,1184
531,868,675,1247,1309,1170
839,873,675,1246,1269,1373
839,896,675,1079,1414,1402
863,905,675,1079,1372,1397
865,962,675,1079,1298,1380
749,1078,675,1079,1245,1336
715,1090,701,1079,1164,1336
713,912,888,1079,1164,1336
709,920,888,953,902,1336
890,920,888,316,1349,1336
1136,920,587,607,1303,1316
1144,920,587,604,1305,1275
1214,889,574,646,1209,1275
1352,882,573,650,1194,1248
1470,891,523,702,1191,1180
1507,891,523,702,1155,931
1507,891,482,740,1158,882
1507,891,479,724,1170,896
1507,891,464,645,1189,896
1507,889,465,646,1178,896
1659,889,465,646,1131,1043
1758,889,465,632,1145,1121
1805,985,421,509,1312,947
1768,1082,421,509,1312,977
1812,1090,421,509,1312,942
1828,1090,385,545,1312,927
2000,1042,345,633,1312,907
2010,780,612,633,1312,901
2055,716,722,633,1282,990
2052,710,731,633,1247,964
2060,533,908,633,1247,846
2065,531,868,675,1247,799
1789,839,873,675,1246,555
1767,839,896,675,1079,526
1734,863,905,675,1079,518
1675,865,962,675,1079,515
1675,749,1078,675,1079,528
1683,715,1090,701,1079,528
1687,713,912,888,1079,528
1719,709,920,888,953,544
1538,890,920,888,316,545
1292,1136,920,587,607,545
1286,1144,920,587,604,545
1218,1214,889,574,646,545
1080,1352,882,573,650,668
951,1470,891,523,702,670
914,1507,891,523,702,670
