Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1
444,553,734,1155,639,989
436,508,689,1253,639,657
383,561,637,1302,627,610
290,654,611,1264,685,580
169,778,609,1190,687,667
99,848,542,1257,473,588
98,842,505,1091,683,546
98,841,506,1033,741,497
85,854,457,1065,758,389
84,743,569,1065,713,367
84,694,618,1065,713,411
84,644,668,1065,713,430
84,636,674,1052,707,430
88,641,674,649,1057,434
88,641,674,420,1283,448
88,637,670,428,1283,534
81,637,634,491,1275,654
263,643,634,491,1274,683
365,642,640,491,1268,690
356,661,642,491,1268,694
354,657,648,491,1227,748
381,630,657,510,1209,803
750,567,720,510,1209,803
750,557,729,511,1096,815
750,541,737,515,1100,815
750,541,737,515,1081,793
750,541,737,515,1079,792
750,541,573,679,1079,790
750,541,570,682,1079,722
750,541,550,702,1079,746
736,520,527,760,1079,780
736,444,553,734,1155,991
764,436,508,689,1253,994
771,383,561,637,1302,978
778,290,654,611,1264,1049
775,169,778,609,1190,1086
775,99,848,542,1257,1304
786,98,842,505,1091,1243
786,98,841,506,1033,1240
888,85,854,457,1065,1200
1042,84,743,569,1065,1199
1063,84,694,618,1065,1145
1083,84,644,668,1065,1126
1086,84,636,674,1052,1126
1077,88,641,674,649,1122
1080,88,641,674,420,1108
1148,88,637,670,428,1022
1139,81,637,634,491,902
951,263,643,634,491,873
848,365,642,640,491,866
837,356,661,642,491,884
837,354,657,648,491,830
835,381,630,657,510,775
485,750,567,720,510,775
485,750,557,729,511,763
485,750,541,737,515,776
485,750,541,737,515,835
489,750,541,737,515,835
489,750,541,573,679,914
508,750,541,570,682,1079
510,750,541,550,702,1071
510,736,520,527,760,1087
632,736,444,553,734,920
672,764,436,508,689,917
720,771,383,561,637,917
713,778,290,654,611,846
765,775,169,778,609,704
780,775,99,848,542,463
837,786,98,842,505,513
838,786,98,841,506,715
743,888,85,854,457,786
592,1042,84,743,569,812
571,1063,84,694,618,863
551,1083,84,644,668,892
548,1086,84,636,674,1008
548,1077,88,641,674,1018
545,1080,88,641,674,1018
477,1148,88,637,670,1022
466,1139,81,637,634,1055
466,951,263,643,634,1231
462,848,365,642,640,1254
534,837,356,661,642,1232
547,837,354,657,648,1251
571,835,381,630,657,1251
600,485,750,567,720,1256
622,485,750,557,729,1327
648,485,750,541,737,1358
654,485,750,541,737,1299
650,489,750,541,737,1306
650,489,750,541,573,1233
631,508,750,541,570,1068
629,510,750,541,550,1040
629,510,736,520,527,989
507,632,736,444,553,945
439,672,764,436,508,977
