Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1
2307,191,900,1457,245,1112,647
2337,197,848,1509,218,1139,437
2432,201,848,1509,218,1139,363
2431,243,845,1512,218,1139,232
2560,243,820,1513,242,1139,233
2721,243,400,1933,242,1139,276
2685,299,364,1967,245,1135,283
2553,406,384,1972,245,1135,292
2494,456,383,1958,269,1135,319
2301,649,311,1923,376,1135,465
2250,689,319,1917,330,1190,756
2230,750,328,1823,418,1140,941
2134,886,294,1741,535,1140,1001
2158,916,231,1793,546,1086,1011
2120,887,186,1664,787,1083,1011
2038,926,219,1588,801,955,1006
1975,989,219,1315,996,1028,1010
1969,995,219,1310,1001,1015,1052
1773,1215,219,1310,1001,1015,1038
1348,1646,219,1310,1001,1014,1022
1256,1738,219,1310,1001,862,985
1152,1845,181,1349,1001,820,996
1126,1900,183,1310,1040,795,1000
1057,1975,176,1153,1204,795,1061
1107,1975,175,1069,1288,796,1068
1153,1988,175,979,1378,796,1076
1253,1993,175,915,1442,756,1085
1253,2009,176,915,1442,738,1096
1185,2080,176,915,1442,601,1126
1129,2144,176,915,1442,457,1126
951,2322,176,915,1442,457,1126
958,2307,191,900,1457,245,1126
994,2337,197,848,1509,218,1126
994,2432,201,848,1509,218,1126
968,2431,243,845,1512,218,1126
839,2560,243,820,1513,242,1125
695,2721,243,400,1933,242,1087
674,2685,299,364,1967,245,1031
677,2553,406,384,1972,245,1022
681,2494,456,383,1958,269,995
681,2301,649,311,1923,376,849
681,2250,689,319,1917,330,538
626,2230,750,328,1823,418,325
586,2134,886,294,1741,535,257
531,2158,916,231,1793,546,247
531,2120,887,186,1664,787,247
531,2038,926,219,1588,801,244
531,1975,989,219,1315,996,256
531,1969,995,219,1310,1001,214
507,1773,1215,219,1310,1001,223
501,1348,1646,219,1310,1001,236
501,1256,1738,219,1310,1001,274
528,1152,1845,181,1349,1001,240
513,1126,1900,183,1310,1040,240
532,1057,1975,176,1153,1204,179
482,1107,1975,175,1069,1288,172
423,1153,1988,175,979,1378,174
320,1253,1993,175,915,1442,189
351,1253,2009,176,915,1442,178
350,1185,2080,176,915,1442,148
390,1129,2144,176,915,1442,148
441,951,2322,176,915,1442,148
434,958,2307,191,900,1457,148
362,994,2337,197,848,1509,148
266,994,2432,201,848,1509,149
253,968,2431,243,845,1512,149
283,839,2560,243,820,1513,149
266,695,2721,243,400,1933,143
266,674,2685,299,364,1967,142
263,677,2553,406,384,1972,142
269,681,2494,456,383,1958,142
298,681,2301,649,311,1923,142
298,681,2250,689,319,1917,142
360,626,2230,750,328,1823,142
366,586,2134,886,294,1741,142
383,531,2158,916,231,1793,152
426,531,2120,887,186,1664,152
526,531,2038,926,219,1588,152
526,531,1975,989,219,1315,136
582,531,1969,995,219,1310,147
594,507,1773,1215,219,1310,161
599,501,1348,1646,219,1310,155
620,501,1256,1738,219,1310,113
638,528,1152,1845,181,1349,104
626,513,1126,1900,183,1310,107
601,532,1057,1975,176,1153,107
614,482,1107,1975,175,1069,107
615,423,1153,1988,175,979,97
613,320,1253,1993,175,915,73
644,351,1253,2009,176,915,73
743,350,1185,2080,176,915,104
734,390,1129,2144,176,915,104
683,441,951,2322,176,915,104
763,434,958,2307,191,900,167
785,362,994,2337,197,848,212
787,266,994,2432,201,848,225
788,253,968,2431,243,845,225
786,283,839,2560,243,820,225
921,266,695,2721,243,400,227
931,266,674,2685,299,364,227
996,263,677,2553,406,384,283
992,269,681,2494,456,383,350
983,298,681,2301,649,311,355
983,298,681,2250,689,319,366
