Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1
377,1452,690,896,763,357,1375,903
397,1449,693,896,699,421,1374,708
389,1434,562,1043,706,397,1398,653
395,1355,504,1121,767,396,1399,597
441,1329,511,947,962,396,1399,380
476,1329,478,977,951,407,1402,341
476,1316,491,942,986,296,1392,323
482,1316,478,927,1014,290,1339,308
472,1307,497,907,1034,287,1340,303
471,1292,513,901,1040,287,1197,303
476,1300,424,990,1040,281,1194,303
462,1315,424,964,1066,281,1191,292
462,1314,425,846,1184,281,1106,290
477,1166,573,799,1170,342,906,309
423,1101,693,555,1373,383,610,341
423,1016,778,526,1402,383,459,343
423,858,936,518,1397,390,443,344
423,857,937,515,1380,410,438,357
421,858,925,528,1336,454,437,357
387,828,989,528,1336,454,437,283
373,799,1032,528,1336,454,437,187
364,678,1146,544,1336,446,445,178
367,661,1162,545,1336,315,551,181
378,661,1162,545,1316,335,551,186
432,534,1289,545,1275,323,604,192
432,471,1352,545,1275,322,605,183
421,248,1460,668,1248,349,608,183
417,218,1491,670,1180,418,608,183
408,313,1493,670,931,667,426,183
343,338,1533,658,882,728,394,154
335,346,1533,608,896,763,395,155
303,377,1452,690,896,763,357,174
283,397,1449,693,896,699,421,202
283,389,1434,562,1043,706,397,202
275,395,1355,504,1121,767,396,221
243,441,1329,511,947,962,396,221
208,476,1329,478,977,951,407,221
208,476,1316,491,942,986,296,224
219,482,1316,478,927,1014,290,226
299,472,1307,497,907,1034,287,226
304,471,1292,513,901,1040,287,226
298,476,1300,424,990,1040,281,227
297,462,1315,424,964,1066,281,227
299,462,1314,425,846,1184,281,224
366,477,1166,573,799,1170,342,221
404,423,1101,693,555,1373,383,272
430,423,1016,778,526,1402,383,271
559,423,858,936,518,1397,390,270
559,423,857,937,515,1380,410,253
559,421,858,925,528,1336,454,208
580,387,828,989,528,1336,454,208
629,373,799,1032,528,1336,454,208
629,364,678,1146,544,1336,446,208
626,367,661,1162,545,1336,315,205
615,378,661,1162,545,1316,335,200
561,432,534,1289,545,1275,323,194
561,432,471,1352,545,1275,322,194
561,421,248,1460,668,1248,349,194
561,417,218,1491,670,1180,418,194
473,408,313,1493,670,931,667,194
473,343,338,1533,658,882,728,192
473,335,346,1533,608,896,763,198
473,303,377,1452,690,896,763,161
473,283,397,1449,693,896,699,133
473,283,389,1434,562,1043,706,133
473,275,395,1355,504,1121,767,119
459,243,441,1329,511,947,962,119
539,208,476,1329,478,977,951,174
585,208,476,1316,491,942,986,218
639,219,482,1316,478,927,1014,238
657,299,472,1307,497,907,1034,317
654,304,471,1292,513,901,1040,317
647,298,476,1300,424,990,1040,316
647,297,462,1315,424,964,1066,316
646,299,462,1314,425,846,1184,316
564,366,477,1166,573,799,1170,312
525,404,423,1101,693,555,1373,252
499,430,423,1016,778,526,1402,318
370,559,423,858,936,518,1397,358
370,559,423,857,937,515,1380,402
370,559,421,858,925,528,1336,423
349,580,387,828,989,528,1336,517
300,629,373,799,1032,528,1336,612
300,629,364,678,1146,544,1336,690
500,626,367,661,1162,545,1336,846
523,615,378,661,1162,545,1316,915
527,561,432,534,1289,545,1275,917
527,561,432,471,1352,545,1275,917
594,561,421,248,1460,668,1248,961
594,561,417,218,1491,670,1180,961
594,473,408,313,1493,670,931,1193
596,473,343,338,1533,658,882,1193
