Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1
2057,116,295,458,817,536,1164,901
2057,167,299,458,817,536,1164,1010
1690,579,310,458,817,536,1055,1092
1871,589,336,458,811,542,1055,1091
1902,564,369,443,770,598,1055,1086
1787,698,311,501,639,729,1002,1314
1792,708,306,505,540,829,1002,1335
1719,784,293,478,579,832,962,1203
1719,784,271,500,440,971,860,1293
1715,788,270,490,401,1021,857,1287
1654,860,269,490,402,1004,859,1306
1464,1055,268,237,656,1004,854,1325
1311,1208,266,239,642,997,812,1365
1217,1302,266,229,651,977,833,1364
911,1608,266,229,633,980,811,1415
860,1659,266,229,633,980,811,1384
852,1671,266,229,633,854,937,1369
897,1669,207,245,676,725,1032,1359
948,1690,126,270,734,710,1032,1255
1015,1719,124,251,753,705,989,1248
1006,1737,124,251,753,700,946,1166
985,1758,124,251,723,728,729,1026
967,1776,124,251,723,714,735,919
964,1779,120,255,723,712,451,844
973,1779,96,279,698,718,458,868
973,1778,97,279,663,753,457,898
968,1783,97,279,599,805,467,896
925,1826,97,279,458,861,552,900
941,1841,93,283,458,822,590,928
904,1872,87,295,458,822,590,928
903,1883,95,295,458,822,531,928
708,2057,116,295,458,817,536,878
653,2057,167,299,458,817,536,770
597,1690,579,310,458,817,536,708
380,1871,589,336,458,811,542,705
341,1902,564,369,443,770,598,705
323,1787,698,311,501,639,729,476
308,1792,708,306,505,540,829,428
303,1719,784,293,478,579,832,428
303,1719,784,271,500,440,971,309
303,1715,788,270,490,401,1021,311
292,1654,860,269,490,402,1004,309
290,1464,1055,268,237,656,1004,347
309,1311,1208,266,239,642,997,316
341,1217,1302,266,229,651,977,321
343,911,1608,266,229,633,980,351
344,860,1659,266,229,633,980,359
357,852,1671,266,229,633,854,359
357,897,1669,207,245,676,725,339
283,948,1690,126,270,734,710,339
187,1015,1719,124,251,753,705,337
178,1006,1737,124,251,753,700,337
181,985,1758,124,251,723,728,337
186,967,1776,124,251,723,714,337
192,964,1779,120,255,723,712,367
183,973,1779,96,279,698,718,342
183,973,1778,97,279,663,753,391
183,968,1783,97,279,599,805,399
183,925,1826,97,279,458,861,388
154,941,1841,93,283,458,822,358
155,904,1872,87,295,458,822,358
174,903,1883,95,295,458,822,358
202,708,2057,116,295,458,817,358
202,653,2057,167,299,458,817,355
221,597,1690,579,310,458,817,378
221,380,1871,589,336,458,811,378
221,341,1902,564,369,443,770,378
224,323,1787,698,311,501,639,378
226,308,1792,708,306,505,540,378
226,303,1719,784,293,478,579,370
226,303,1719,784,271,500,440,370
227,303,1715,788,270,490,401,388
227,292,1654,860,269,490,402,375
224,290,1464,1055,268,237,656,312
221,309,1311,1208,266,239,642,297
272,341,1217,1302,266,229,651,296
271,343,911,1608,266,229,633,215
270,344,860,1659,266,229,633,219
253,357,852,1671,266,229,633,219
208,357,897,1669,207,245,676,219
208,283,948,1690,126,270,734,219
208,187,1015,1719,124,251,753,211
208,178,1006,1737,124,251,753,211
205,181,985,1758,124,251,723,211
200,186,967,1776,124,251,723,211
194,192,964,1779,120,255,723,181
194,183,973,1779,96,279,698,181
194,183,973,1778,97,279,663,102
194,183,968,1783,97,279,599,94
194,183,925,1826,97,279,458,124
192,154,941,1841,93,283,458,154
198,155,904,1872,87,295,458,197
161,174,903,1883,95,295,458,259
133,202,708,2057,116,295,458,330
133,202,653,2057,167,299,458,330
119,221,597,1690,579,310,458,297
119,221,380,1871,589,336,458,297
174,221,341,1902,564,369,443,297
218,224,323,1787,698,311,501,297
238,226,308,1792,708,306,505,297
317,226,303,1719,784,293,478,297
317,226,303,1719,784,271,500,317
316,227,303,1715,788,270,490,297
316,227,292,1654,860,269,490,292
316,224,290,1464,1055,268,237,292
312,221,309,1311,1208,266,239,287
252,272,341,1217,1302,266,229,295
318,271,343,911,1608,266,229,295
358,270,344,860,1659,266,229,283
402,253,357,852,1671,266,229,283
423,208,357,897,1669,207,245,283
517,208,283,948,1690,126,270,283
612,208,187,1015,1719,124,251,288
690,208,178,1006,1737,124,251,314
846,205,181,985,1758,124,251,314
915,200,186,967,1776,124,251,314
917,194,192,964,1779,120,255,314
917,194,183,973,1779,96,279,352
961,194,183,973,1778,97,279,360
961,194,183,968,1783,97,279,390
1193,194,183,925,1826,97,279,360
1193,192,154,941,1841,93,283,330
1186,198,155,904,1872,87,295,287
1264,161,174,903,1883,95,295,225
1330,133,202,708,2057,116,295,154
1330,133,202,653,2057,167,299,154
1327,119,221,597,1690,579,310,144
1358,119,221,380,1871,589,336,144
1303,174,221,341,1902,564,369,186
1297,218,224,323,1787,698,311,186
1275,238,226,308,1792,708,306,186
1196,317,226,303,1719,784,293,186
1196,317,226,303,1719,784,271,179
1238,316,227,303,1715,788,270,187
1262,316,227,292,1654,860,269,187
1265,316,224,290,1464,1055,268,187
1260,312,221,309,1311,1208,266,218
1238,252,272,341,1217,1302,266,255
1182,318,271,343,911,1608,266,364
1258,358,270,344,860,1659,266,425
1214,402,253,357,852,1671,266,425
1193,423,208,357,897,1669,207,433
1099,517,208,283,948,1690,126,433
1004,612,208,187,1015,1719,124,428
926,690,208,178,1006,1737,124,402
770,846,205,181,985,1758,124,402
701,915,200,186,967,1776,124,402
700,917,194,192,964,1779,120,402
700,917,194,183,973,1779,96,364
701,961,194,183,973,1778,97,356
704,961,194,183,968,1783,97,435
472,1193,194,183,925,1826,97,435
754,1193,192,154,941,1841,93,435
772,1186,198,155,904,1872,87,488
695,1264,161,174,903,1883,95,488
708,1330,133,202,708,2057,116,528
750,1330,133,202,653,2057,167,630
748,1327,119,221,597,1690,579,633
717,1358,119,221,380,1871,589,648
717,1303,174,221,341,1902,564,611
819,1297,218,224,323,1787,698,674
822,1275,238,226,308,1792,708,674
889,1196,317,226,303,1719,784,711
889,1196,317,226,303,1719,784,698
857,1238,316,227,303,1715,788,690
963,1262,316,227,292,1654,860,726
960,1265,316,224,290,1464,1055,741
954,1260,312,221,309,1311,1208,760
970,1238,252,272,341,1217,1302,754
1165,1182,318,271,343,911,1608,864
1083,1258,358,270,344,860,1659,811
1084,1214,402,253,357,852,1671,1097
1084,1193,423,208,357,897,1669,1101
1152,1099,517,208,283,948,1690,1102
1152,1004,612,208,187,1015,1719,1104
1152,926,690,208,178,1006,1737,1104
1152,770,846,205,181,985,1758,1105
1154,701,915,200,186,967,1776,1105
1206,700,917,194,192,964,1779,1164
1207,700,917,194,183,973,1779,1164
1162,701,961,194,183,973,1778,1164
1159,704,961,194,183,968,1783,1055
1159,472,1193,194,183,925,1826,1055
877,754,1193,192,154,941,1841,1055
