Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
1048,1209,1416,492,1196,557,330,646,582
1354,1188,1465,492,1155,598,330,634,569
1398,1005,1651,492,1138,605,340,609,558
1532,953,1702,493,1075,600,408,574,514
1532,935,1720,474,1055,555,492,573,472
1532,935,1666,502,1043,593,474,559,472
1532,872,1716,515,1043,577,415,382,472
1532,849,1739,515,1024,594,406,334,472
1532,731,1857,515,1024,594,270,461,472
1532,702,1886,515,1022,596,270,461,472
1532,515,2073,514,989,622,274,465,472
1527,504,2089,319,1126,466,465,488,472
1528,504,2072,337,1123,469,449,504,472
1521,469,2111,340,1123,467,436,517,472
1493,479,2138,340,1123,373,524,523,507
1489,437,2154,370,1123,359,538,510,517
1489,338,2127,496,1123,356,541,474,517
1489,331,2080,550,1123,356,539,476,517
1517,331,2049,581,1123,334,561,476,563
1506,387,2049,581,1123,334,561,476,586
1500,412,2034,596,1094,363,561,367,573
1372,511,1984,703,1086,371,561,367,572
1371,509,1742,950,1033,424,561,367,650
1332,524,1731,871,1144,427,561,367,701
1318,530,1697,905,1112,464,564,351,650
1241,572,1406,1257,1029,542,569,339,767
1213,619,1228,1400,1060,544,571,333,777
1279,624,1123,1421,1025,663,571,322,642
1151,758,1132,1411,742,956,571,311,487
1058,841,1141,1412,731,967,571,311,487
1020,875,1144,1413,492,1206,547,330,490
782,1048,1209,1416,492,1196,557,330,491
550,1354,1188,1465,492,1155,598,330,491
564,1398,1005,1651,492,1138,605,340,491
437,1532,953,1702,493,1075,600,408,495
438,1532,935,1720,474,1055,555,492,541
438,1532,935,1666,502,1043,593,474,546
443,1532,872,1716,515,1043,577,415,592
445,1532,849,1739,515,1024,594,406,607
445,1532,731,1857,515,1024,594,270,870
445,1532,702,1886,515,1022,596,270,925
445,1532,515,2073,514,989,622,274,980
445,1527,504,2089,319,1126,466,465,1012
443,1528,504,2072,337,1123,469,449,1212
443,1521,469,2111,340,1123,467,436,1216
434,1493,479,2138,340,1123,373,524,1181
434,1489,437,2154,370,1123,359,538,1171
434,1489,338,2127,496,1123,356,541,1171
434,1489,331,2080,550,1123,356,539,1211
406,1517,331,2049,581,1123,334,561,1275
361,1506,387,2049,581,1123,334,561,1382
342,1500,412,2034,596,1094,363,561,1380
314,1372,511,1984,703,1086,371,561,1419
312,1371,509,1742,950,1033,424,561,1435
312,1332,524,1731,871,1144,427,561,1402
312,1318,530,1697,905,1112,464,564,1469
286,1241,572,1406,1257,1029,542,569,1491
267,1213,619,1228,1400,1060,544,571,1457
198,1279,624,1123,1421,1025,663,571,1448
324,1151,758,1132,1411,742,956,571,1448
366,1058,841,1141,1412,731,967,571,1448
367,1020,875,1144,1413,492,1206,547,1445
364,782,1048,1209,1416,492,1196,557,1444
262,550,1354,1188,1465,492,1155,598,1444
329,564,1398,1005,1651,492,1138,605,1469
322,437,1532,953,1702,493,1075,600,1479
321,438,1532,935,1720,474,1055,555,1433
321,438,1532,935,1666,502,1043,593,1428
316,443,1532,872,1716,515,1043,577,1382
317,445,1532,849,1739,515,1024,594,1367
317,445,1532,731,1857,515,1024,594,1105
317,445,1532,702,1886,515,1022,596,1050
317,445,1532,515,2073,514,989,622,1091
317,445,1527,504,2089,319,1126,466,1059
317,443,1528,504,2072,337,1123,469,859
317,443,1521,469,2111,340,1123,467,855
317,434,1493,479,2138,340,1123,373,1089
317,434,1489,437,2154,370,1123,359,1246
317,434,1489,338,2127,496,1123,356,1349
317,434,1489,331,2080,550,1123,356,1368
317,406,1517,331,2049,581,1123,334,1260
317,361,1506,387,2049,581,1123,334,1130
317,342,1500,412,2034,596,1094,363,1130
402,314,1372,511,1984,703,1086,371,1080
438,312,1371,509,1742,950,1033,424,986
438,312,1332,524,1731,871,1144,427,960
440,312,1318,530,1697,905,1112,464,857
440,286,1241,572,1406,1257,1029,542,718
471,267,1213,619,1228,1400,1060,544,694
469,198,1279,624,1123,1421,1025,663,693
422,324,1151,758,1132,1411,742,956,693
409,366,1058,841,1141,1412,731,967,693
409,367,1020,875,1144,1413,492,1206,693
409,364,782,1048,1209,1416,492,1196,693
410,262,550,1354,1188,1465,492,1155,693
282,329,564,1398,1005,1651,492,1138,668
282,322,437,1532,953,1702,493,1075,654
282,321,438,1532,935,1720,474,1055,654
282,321,438,1532,935,1666,502,1043,654
285,316,443,1532,872,1716,515,1043,654
282,317,445,1532,849,1739,515,1024,654
282,317,445,1532,731,1857,515,1024,653
282,317,445,1532,702,1886,515,1022,653
282,317,445,1532,515,2073,514,989,585
282,317,445,1527,504,2089,319,1126,646
282,317,443,1528,504,2072,337,1123,706
282,317,443,1521,469,2111,340,1123,708
282,317,434,1493,479,2138,340,1123,530
282,317,434,1489,437,2154,370,1123,433
282,317,434,1489,338,2127,496,1123,330
283,317,434,1489,331,2080,550,1123,271
284,317,406,1517,331,2049,581,1123,267
284,317,361,1506,387,2049,581,1123,267
284,317,342,1500,412,2034,596,1094,267
202,402,314,1372,511,1984,703,1086,267
287,438,312,1371,509,1742,950,1033,295
299,438,312,1332,524,1731,871,1144,328
326,440,312,1318,530,1697,905,1112,393
370,440,286,1241,572,1406,1257,1029,405
518,471,267,1213,619,1228,1400,1060,430
525,469,198,1279,624,1123,1421,1025,465
432,422,324,1151,758,1132,1411,742,466
403,409,366,1058,841,1141,1412,731,498
402,409,367,1020,875,1144,1413,492,750
402,409,364,782,1048,1209,1416,492,809
401,410,262,550,1354,1188,1465,492,818
401,282,329,564,1398,1005,1651,492,818
405,282,322,437,1532,953,1702,493,818
413,282,321,438,1532,935,1720,474,818
413,282,321,438,1532,935,1666,502,818
410,285,316,443,1532,872,1716,515,820
452,282,317,445,1532,849,1739,515,820
464,282,317,445,1532,731,1857,515,833
500,282,317,445,1532,702,1886,515,869
500,282,317,445,1532,515,2073,514,841
506,282,317,445,1527,504,2089,319,780
574,282,317,443,1528,504,2072,337,720
821,282,317,443,1521,469,2111,340,827
1091,282,317,434,1493,479,2138,340,771
1091,282,317,434,1489,437,2154,370,711
1121,282,317,434,1489,338,2127,496,711
1158,283,317,434,1489,331,2080,550,727
1157,284,317,406,1517,331,2049,581,739
1247,284,317,361,1506,387,2049,581,745
1247,284,317,342,1500,412,2034,596,756
1244,202,402,314,1372,511,1984,703,767
1123,287,438,312,1371,509,1742,950,739
1111,299,438,312,1332,524,1731,871,711
1179,326,440,312,1318,530,1697,905,646
1135,370,440,286,1241,572,1406,1257,634
956,518,471,267,1213,619,1228,1400,609
949,525,469,198,1279,624,1123,1421,574
984,432,422,324,1151,758,1132,1411,573
1005,403,409,366,1058,841,1141,1412,559
1022,402,409,367,1020,875,1144,1413,382
1046,402,409,364,782,1048,1209,1416,334
1046,401,410,262,550,1354,1188,1465,461
1046,401,282,329,564,1398,1005,1651,461
1131,405,282,322,437,1532,953,1702,465
1123,413,282,321,438,1532,935,1720,488
1161,413,282,321,438,1532,935,1666,504
1161,410,285,316,443,1532,872,1716,517
1120,452,282,317,445,1532,849,1739,523
1108,464,282,317,445,1532,731,1857,510
1240,500,282,317,445,1532,702,1886,474
1240,500,282,317,445,1532,515,2073,476
1234,506,282,317,445,1527,504,2089,476
1230,574,282,317,443,1528,504,2072,476
983,821,282,317,443,1521,469,2111,367
713,1091,282,317,434,1493,479,2138,367
713,1091,282,317,434,1489,437,2154,367
683,1121,282,317,434,1489,338,2127,367
645,1158,283,317,434,1489,331,2080,351
645,1157,284,317,406,1517,331,2049,339
555,1247,284,317,361,1506,387,2049,333
555,1247,284,317,342,1500,412,2034,322
555,1244,202,402,314,1372,511,1984,311
555,1123,287,438,312,1371,509,1742,311
555,1111,299,438,312,1332,524,1731,330
458,1179,326,440,312,1318,530,1697,330
484,1135,370,440,286,1241,572,1406,330
523,956,518,471,267,1213,619,1228,340
549,949,525,469,198,1279,624,1123,408
537,984,432,422,324,1151,758,1132,492
611,1005,403,409,366,1058,841,1141,474
594,1022,402,409,367,1020,875,1144,415
570,1046,402,409,364,782,1048,1209,406
570,1046,401,410,262,550,1354,1188,270
570,1046,401,282,329,564,1398,1005,270
481,1131,405,282,322,437,1532,953,274
481,1123,413,282,321,438,1532,935,465
443,1161,413,282,321,438,1532,935,449
443,1161,410,285,316,443,1532,872,436
442,1120,452,282,317,445,1532,849,524
442,1108,464,282,317,445,1532,731,538
274,1240,500,282,317,445,1532,702,541
281,1240,500,282,317,445,1532,515,539
281,1234,506,282,317,445,1527,504,561
217,1230,574,282,317,443,1528,504,561
217,983,821,282,317,443,1521,469,561
232,713,1091,282,317,434,1493,479,561
392,713,1091,282,317,434,1489,437,561
392,683,1121,282,317,434,1489,338,561
392,645,1158,283,317,434,1489,331,564
396,645,1157,284,317,406,1517,331,569
398,555,1247,284,317,361,1506,387,571
471,555,1247,284,317,342,1500,412,571
493,555,1244,202,402,314,1372,511,571
493,555,1123,287,438,312,1371,509,571
493,555,1111,299,438,312,1332,524,547
532,458,1179,326,440,312,1318,530,557
506,484,1135,370,440,286,1241,572,598
467,523,956,518,471,267,1213,619,605
441,549,949,525,469,198,1279,624,600
417,537,984,432,422,324,1151,758,555
322,611,1005,403,409,366,1058,841,593
322,594,1022,402,409,367,1020,875,577
322,570,1046,402,409,364,782,1048,594
322,570,1046,401,410,262,550,1354,594
322,570,1046,401,282,329,564,1398,596
322,481,1131,405,282,322,437,1532,622
322,481,1123,413,282,321,438,1532,466
322,443,1161,413,282,321,438,1532,469
322,443,1161,410,285,316,443,1532,467
322,442,1120,452,282,317,445,1532,373
322,442,1108,464,282,317,445,1532,359
322,274,1240,500,282,317,445,1532,356
315,281,1240,500,282,317,445,1532,356
494,281,1234,506,282,317,445,1527,334
623,217,1230,574,282,317,443,1528,334
623,217,983,821,282,317,443,1521,363
608,232,713,1091,282,317,434,1493,371
448,392,713,1091,282,317,434,1489,424
448,392,683,1121,282,317,434,1489,427
448,392,645,1158,283,317,434,1489,464
444,396,645,1157,284,317,406,1517,542
442,398,555,1247,284,317,361,1506,544
369,471,555,1247,284,317,342,1500,663
347,493,555,1244,202,402,314,1372,956
356,493,555,1123,287,438,312,1371,967
506,493,555,1111,299,438,312,1332,1206
473,532,458,1179,326,440,312,1318,1196
473,506,484,1135,370,440,286,1241,1155
473,467,523,956,518,471,267,1213,1138
473,441,549,949,525,469,198,1279,1075
473,417,537,984,432,422,324,1151,1055
473,322,611,1005,403,409,366,1058,1043
473,322,594,1022,402,409,367,1020,1043
482,322,570,1046,402,409,364,782,1024
629,322,570,1046,401,410,262,550,1024
629,322,570,1046,401,282,329,564,1022
629,322,481,1131,405,282,322,437,989
658,322,481,1123,413,282,321,438,1126
658,322,443,1161,413,282,321,438,1123
658,322,443,1161,410,285,316,443,1123
658,322,442,1120,452,282,317,445,1123
658,322,442,1108,464,282,317,445,1123
658,322,274,1240,500,282,317,445,1123
658,315,281,1240,500,282,317,445,1123
479,494,281,1234,506,282,317,445,1123
350,623,217,1230,574,282,317,443,1123
350,623,217,983,821,282,317,443,1094
350,608,232,713,1091,282,317,434,1086
350,448,392,713,1091,282,317,434,1033
382,448,392,683,1121,282,317,434,1144
388,448,392,645,1158,283,317,434,1112
388,444,396,645,1157,284,317,406,1029
388,442,398,555,1247,284,317,361,1060
388,369,471,555,1247,284,317,342,1025
390,347,493,555,1244,202,402,314,742
400,356,493,555,1123,287,438,312,731
250,506,493,555,1111,299,438,312,492
244,473,532,458,1179,326,440,312,492
285,473,506,484,1135,370,440,286,492
369,473,467,523,956,518,471,267,492
399,473,441,549,949,525,469,198,493
399,473,417,537,984,432,422,324,474
410,473,322,611,1005,403,409,366,502
481,473,322,594,1022,402,409,367,515
627,482,322,570,1046,402,409,364,515
517,629,322,570,1046,401,410,262,515
517,629,322,570,1046,401,282,329,515
518,629,322,481,1131,405,282,322,514
491,658,322,481,1123,413,282,321,319
491,658,322,443,1161,413,282,321,337
491,658,322,443,1161,410,285,316,340
