Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
512,415,2031,1140,263,587,477,430,1423,1049
543,316,2130,1140,263,549,514,431,1423,1091
590,296,2088,1200,236,560,410,553,1423,1168
633,274,2086,1041,376,603,410,526,1450,1240
611,293,2089,930,486,604,354,513,1519,1339
611,293,2089,924,491,605,354,513,1475,1360
628,291,2008,968,534,605,354,513,1211,1391
665,291,2008,968,534,605,354,512,1097,1391
680,281,2038,918,598,545,410,512,1069,1382
675,255,2069,913,603,544,301,620,937,1315
635,279,2017,958,626,531,314,620,841,1184
589,330,1971,976,654,498,339,628,839,1135
582,343,1965,981,655,481,356,628,786,1141
588,355,1966,621,1015,461,360,644,755,1142
592,311,1940,665,1042,365,424,676,750,1169
590,295,1956,573,1138,364,421,680,747,1242
607,265,1986,562,1149,342,391,732,747,1123
582,290,1955,578,1164,255,454,756,744,1160
490,382,1939,594,1164,151,543,771,631,1229
487,384,1940,594,1164,150,540,775,630,1139
487,384,1940,594,1164,150,539,776,582,1021
486,385,1939,595,1164,150,539,776,515,1021
486,385,1883,651,1086,228,539,776,515,1019
486,390,1661,873,1056,258,539,776,437,962
530,393,1347,1187,1055,246,552,776,430,867
526,482,1181,1353,975,326,552,776,430,823
473,516,1182,1417,975,326,552,776,430,815
536,523,1139,1445,991,326,544,764,448,814
536,523,765,1765,1045,326,544,749,454,785
536,513,683,1795,1107,326,526,716,369,785
536,512,624,1853,1109,263,587,485,460,772
536,512,415,2031,1140,263,587,477,430,763
505,543,316,2130,1140,263,549,514,431,622
458,590,296,2088,1200,236,560,410,553,540
438,633,274,2086,1041,376,603,410,526,468
468,611,293,2089,930,486,604,354,513,369
519,611,293,2089,924,491,605,354,513,348
549,628,291,2008,968,534,605,354,513,320
514,665,291,2008,968,534,605,354,512,320
466,680,281,2038,918,598,545,410,512,320
466,675,255,2069,913,603,544,301,620,320
467,635,279,2017,958,626,531,314,620,320
462,589,330,1971,976,654,498,339,628,320
456,582,343,1965,981,655,481,356,628,313
437,588,355,1966,621,1015,461,360,644,308
434,592,311,1940,665,1042,365,424,676,281
439,590,295,1956,573,1138,364,421,680,208
426,607,265,1986,562,1149,342,391,732,204
457,582,290,1955,578,1164,255,454,756,114
511,490,382,1939,594,1164,151,543,771,18
581,487,384,1940,594,1164,150,540,775,11
640,487,384,1940,594,1164,150,539,776,20
720,486,385,1939,595,1164,150,539,776,44
733,486,385,1883,651,1086,228,539,776,44
743,486,390,1661,873,1056,258,539,776,40
696,530,393,1347,1187,1055,246,552,776,38
611,526,482,1181,1353,975,326,552,776,38
565,473,516,1182,1417,975,326,552,776,38
494,536,523,1139,1445,991,326,544,764,59
546,536,523,765,1765,1045,326,544,749,60
604,536,513,683,1795,1107,326,526,716,61
683,536,512,624,1853,1109,263,587,485,80
744,536,512,415,2031,1140,263,587,477,281
761,505,543,316,2130,1140,263,549,514,322
761,458,590,296,2088,1200,236,560,410,364
745,438,633,274,2086,1041,376,603,410,496
744,468,611,293,2089,930,486,604,354,625
707,519,611,293,2089,924,491,605,354,625
694,549,628,291,2008,968,534,605,354,620
692,514,665,291,2008,968,534,605,354,625
691,466,680,281,2038,918,598,545,410,626
691,466,675,255,2069,913,603,544,301,628
690,467,635,279,2017,958,626,531,314,629
690,462,589,330,1971,976,654,498,339,631
690,456,582,343,1965,981,655,481,356,631
690,437,588,355,1966,621,1015,461,360,631
710,434,592,311,1940,665,1042,365,424,631
710,439,590,295,1956,573,1138,364,421,631
708,426,607,265,1986,562,1149,342,391,632
705,457,582,290,1955,578,1164,255,454,635
692,511,490,382,1939,594,1164,151,543,635
648,581,487,384,1940,594,1164,150,540,655
589,640,487,384,1940,594,1164,150,539,646
525,720,486,385,1939,595,1164,150,539,622
539,733,486,385,1883,651,1086,228,539,627
543,743,486,390,1661,873,1056,258,539,629
636,696,530,393,1347,1187,1055,246,552,629
636,611,526,482,1181,1353,975,326,552,629
636,565,473,516,1182,1417,975,326,552,629
636,494,536,523,1139,1445,991,326,544,608
584,546,536,523,765,1765,1045,326,544,607
533,604,536,513,683,1795,1107,326,526,650
473,683,536,512,624,1853,1109,263,587,895
413,744,536,512,415,2031,1140,263,587,809
396,761,505,543,316,2130,1140,263,549,800
402,761,458,590,296,2088,1200,236,560,892
462,745,438,633,274,2086,1041,376,603,856
433,744,468,611,293,2089,930,486,604,729
