Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
2057,116,901,1119,444,989,803,721,441,521,1048,582
2057,167,1010,1106,436,657,832,595,428,522,1354,569
1690,579,1092,1050,383,610,757,502,433,522,1398,558
1871,589,1091,1049,290,580,714,386,433,522,1532,514
1902,564,1086,974,169,667,707,336,485,538,1532,472
1787,698,1314,919,99,588,777,314,485,576,1532,472
1792,708,1335,886,98,546,709,314,486,577,1532,472
1719,784,1203,802,98,497,704,278,517,660,1532,472
1719,784,1293,798,85,389,706,278,517,683,1532,472
1715,788,1287,706,84,367,735,278,532,703,1532,472
1654,860,1306,692,84,411,731,319,538,901,1532,472
1464,1055,1325,691,84,430,698,319,578,1050,1527,472
1311,1208,1365,709,84,430,704,319,578,1017,1528,472
1217,1302,1364,709,88,434,712,319,578,985,1521,472
911,1608,1415,709,88,448,712,307,578,1026,1493,507
860,1659,1384,774,88,534,668,247,522,1079,1489,517
852,1671,1369,845,81,654,746,374,515,1118,1489,517
897,1669,1359,845,263,683,904,374,513,1127,1489,517
948,1690,1255,840,365,690,959,354,506,1179,1517,563
1015,1719,1248,833,356,694,1014,380,650,1086,1506,586
1006,1737,1166,815,354,748,1015,387,650,1073,1500,573
985,1758,1026,645,381,803,1015,387,635,1073,1372,572
967,1776,919,634,750,803,1015,387,608,1050,1371,650
964,1779,844,602,750,815,1015,387,562,1072,1332,701
973,1779,868,549,750,815,1015,391,545,1080,1318,650
973,1778,898,549,750,793,1015,384,545,1102,1241,767
968,1783,896,519,750,792,1036,357,545,1026,1213,777
925,1826,900,535,750,790,1036,346,530,1016,1279,642
941,1841,928,468,750,722,1039,345,528,1017,1151,487
904,1872,928,417,750,746,914,311,530,1017,1058,487
903,1883,928,351,736,780,836,247,525,1049,1020,490
708,2057,878,357,736,991,738,230,500,1091,782,491
653,2057,770,441,764,994,709,230,516,1091,550,491
597,1690,708,604,771,978,697,230,513,1091,564,491
380,1871,705,607,778,1049,628,230,513,1091,437,495
341,1902,705,644,775,1086,622,224,461,1075,438,541
323,1787,476,644,775,1304,591,224,461,1042,438,546
308,1792,428,641,786,1243,601,225,460,1082,443,592
303,1719,428,641,786,1240,707,246,429,1059,445,607
303,1719,309,628,888,1200,706,258,429,1036,445,870
303,1715,311,621,1042,1199,704,270,479,1021,445,925
292,1654,309,622,1063,1145,801,229,518,817,445,980
290,1464,347,622,1083,1126,914,239,593,650,445,1012
309,1311,316,601,1086,1126,930,239,726,549,443,1212
341,1217,321,620,1077,1122,1066,240,745,482,443,1216
343,911,351,627,1080,1108,1066,431,746,440,434,1181
344,860,359,562,1148,1022,1066,444,746,387,434,1171
357,852,359,517,1139,902,988,339,666,348,434,1171
357,897,339,556,951,873,830,427,605,339,434,1211
283,948,339,556,848,866,775,433,609,279,406,1275
187,1015,337,556,837,884,720,417,526,273,361,1382
178,1006,337,570,837,830,732,446,558,273,342,1380
181,985,337,574,835,775,732,446,558,293,314,1419
186,967,337,708,485,775,777,446,555,293,312,1435
192,964,367,708,485,763,880,446,555,273,312,1402
183,973,342,749,485,776,999,442,555,292,312,1469
183,973,391,778,485,835,1016,441,568,271,286,1491
183,968,399,804,489,835,1042,464,568,271,267,1457
183,925,388,982,489,914,1206,486,567,314,198,1448
154,941,358,935,508,1079,1294,515,567,313,324,1448
155,904,358,931,510,1071,1328,522,565,313,366,1448
174,903,358,910,510,1087,1412,674,548,281,367,1445
202,708,358,901,632,920,1412,674,553,230,364,1444
202,653,355,816,672,917,1429,675,543,235,262,1444
221,597,378,692,720,917,1499,687,544,241,329,1469
221,380,378,689,713,846,1523,691,550,266,322,1479
221,341,378,652,765,704,1519,762,554,266,321,1433
224,323,378,652,780,463,1509,822,560,263,321,1428
226,308,378,652,837,513,1499,832,560,228,316,1382
226,303,370,652,838,715,1315,817,573,168,317,1367
226,303,370,652,743,786,1308,805,594,255,317,1105
227,303,388,652,592,812,1281,793,529,251,317,1050
227,292,375,651,571,863,1146,793,484,251,317,1091
224,290,312,651,551,892,1031,783,369,251,317,1059
221,309,297,651,548,1008,1008,783,236,251,317,859
272,341,296,632,548,1018,870,782,217,251,317,855
271,343,215,625,545,1018,920,591,216,251,317,1089
270,344,219,628,477,1022,955,573,216,290,317,1246
253,357,219,782,466,1055,992,591,216,362,317,1349
208,357,219,820,466,1231,992,516,187,396,317,1368
208,283,219,824,462,1254,1207,510,190,443,317,1260
208,187,211,824,534,1232,1211,500,129,447,317,1130
208,178,211,804,547,1251,1219,634,106,447,317,1130
205,181,211,797,571,1251,1224,717,106,427,402,1080
200,186,211,790,600,1256,1179,721,162,427,438,986
194,192,181,807,622,1327,1076,768,184,425,438,960
194,183,181,784,648,1358,976,805,189,394,440,857
194,183,102,816,654,1299,972,875,227,393,440,718
194,183,94,821,650,1306,954,958,252,385,471,694
194,183,124,645,650,1233,831,950,252,329,469,693
192,154,154,628,631,1068,740,1056,252,329,422,693
198,155,197,688,629,1040,706,1104,252,415,409,693
161,174,259,697,629,989,621,977,252,417,409,693
133,202,330,736,507,945,621,977,263,453,409,693
133,202,330,739,439,977,604,976,265,517,410,693
119,221,297,700,384,1094,534,964,318,526,282,668
119,221,297,700,388,1112,510,960,340,512,282,654
174,221,297,725,340,1112,510,889,342,529,282,654
218,224,297,725,326,1158,475,829,336,527,282,654
238,226,297,725,258,1108,475,818,336,523,285,654
317,226,297,725,257,917,475,815,323,523,282,654
317,226,317,731,250,852,475,823,302,436,282,653
316,227,297,735,247,888,475,846,302,435,282,653
316,227,292,735,247,930,475,856,302,435,282,585
316,224,292,735,247,927,475,915,342,435,282,646
312,221,287,735,290,811,475,922,383,435,282,706
252,272,295,735,492,801,469,922,383,443,282,708
318,271,295,735,578,803,419,922,406,472,282,530
358,270,283,732,578,857,384,922,470,515,282,433
402,253,283,552,578,825,347,877,476,446,282,330
423,208,283,475,578,696,347,906,476,412,283,271
517,208,283,471,578,673,132,906,460,514,284,267
