Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
377,1452,690,896,763,357,1375,1206,700,917,194,192,903,928,351,736,780,836,247,525,1049,1020
397,1449,693,896,699,421,1374,1207,700,917,194,183,708,878,357,736,991,738,230,500,1091,782
389,1434,562,1043,706,397,1398,1162,701,961,194,183,653,770,441,764,994,709,230,516,1091,550
395,1355,504,1121,767,396,1399,1159,704,961,194,183,597,708,604,771,978,697,230,513,1091,564
441,1329,511,947,962,396,1399,1159,472,1193,194,183,380,705,607,778,1049,628,230,513,1091,437
476,1329,478,977,951,407,1402,877,754,1193,192,154,341,705,644,775,1086,622,224,461,1075,438
476,1316,491,942,986,296,1392,980,772,1186,198,155,323,476,644,775,1304,591,224,461,1042,438
482,1316,478,927,1014,290,1339,1038,695,1264,161,174,308,428,641,786,1243,601,225,460,1082,443
472,1307,497,907,1034,287,1340,961,708,1330,133,202,303,428,641,786,1240,707,246,429,1059,445
471,1292,513,901,1040,287,1197,1062,750,1330,133,202,303,309,628,888,1200,706,258,429,1036,445
476,1300,424,990,1040,281,1194,1071,748,1327,119,221,303,311,621,1042,1199,704,270,479,1021,445
462,1315,424,964,1066,281,1191,1074,717,1358,119,221,292,309,622,1063,1145,801,229,518,817,445
462,1314,425,846,1184,281,1106,1159,717,1303,174,221,290,347,622,1083,1126,914,239,593,650,445
477,1166,573,799,1170,342,906,1215,819,1297,218,224,309,316,601,1086,1126,930,239,726,549,443
423,1101,693,555,1373,383,610,1508,822,1275,238,226,341,321,620,1077,1122,1066,240,745,482,443
423,1016,778,526,1402,383,459,1592,889,1196,317,226,343,351,627,1080,1108,1066,431,746,440,434
423,858,936,518,1397,390,443,1614,889,1196,317,226,344,359,562,1148,1022,1066,444,746,387,434
423,857,937,515,1380,410,438,1609,857,1238,316,227,357,359,517,1139,902,988,339,666,348,434
421,858,925,528,1336,454,437,1480,963,1262,316,227,357,339,556,951,873,830,427,605,339,434
387,828,989,528,1336,454,437,1480,960,1265,316,224,283,339,556,848,866,775,433,609,279,406
373,799,1032,528,1336,454,437,1479,954,1260,312,221,187,337,556,837,884,720,417,526,273,361
364,678,1146,544,1336,446,445,1462,970,1238,252,272,178,337,570,837,830,732,446,558,273,342
367,661,1162,545,1336,315,551,1281,1165,1182,318,271,181,337,574,835,775,732,446,558,293,314
378,661,1162,545,1316,335,551,1247,1083,1258,358,270,186,337,708,485,775,777,446,555,293,312
432,534,1289,545,1275,323,604,1246,1084,1214,402,253,192,367,708,485,763,880,446,555,273,312
432,471,1352,545,1275,322,605,1246,1084,1193,423,208,183,342,749,485,776,999,442,555,292,312
421,248,1460,668,1248,349,608,1178,1152,1099,517,208,183,391,778,485,835,1016,441,568,271,286
417,218,1491,670,1180,418,608,1178,1152,1004,612,208,183,399,804,489,835,1042,464,568,271,267
408,313,1493,670,931,667,426,1360,1152,926,690,208,183,388,982,489,914,1206,486,567,314,198
343,338,1533,658,882,728,394,1392,1152,770,846,205,154,358,935,508,1079,1294,515,567,313,324
335,346,1533,608,896,763,395,1390,1154,701,915,200,155,358,931,510,1071,1328,522,565,313,366
303,377,1452,690,896,763,357,1375,1206,700,917,194,174,358,910,510,1087,1412,674,548,281,367
283,397,1449,693,896,699,421,1374,1207,700,917,194,202,358,901,632,920,1412,674,553,230,364
283,389,1434,562,1043,706,397,1398,1162,701,961,194,202,355,816,672,917,1429,675,543,235,262
275,395,1355,504,1121,767,396,1399,1159,704,961,194,221,378,692,720,917,1499,687,544,241,329
243,441,1329,511,947,962,396,1399,1159,472,1193,194,221,378,689,713,846,1523,691,550,266,322
208,476,1329,478,977,951,407,1402,877,754,1193,192,221,378,652,765,704,1519,762,554,266,321
208,476,1316,491,942,986,296,1392,980,772,1186,198,224,378,652,780,463,1509,822,560,263,321
219,482,1316,478,927,1014,290,1339,1038,695,1264,161,226,378,652,837,513,1499,832,560,228,316
299,472,1307,497,907,1034,287,1340,961,708,1330,133,226,370,652,838,715,1315,817,573,168,317
304,471,1292,513,901,1040,287,1197,1062,750,1330,133,226,370,652,743,786,1308,805,594,255,317
298,476,1300,424,990,1040,281,1194,1071,748,1327,119,227,388,652,592,812,1281,793,529,251,317
297,462,1315,424,964,1066,281,1191,1074,717,1358,119,227,375,651,571,863,1146,793,484,251,317
299,462,1314,425,846,1184,281,1106,1159,717,1303,174,224,312,651,551,892,1031,783,369,251,317
366,477,1166,573,799,1170,342,906,1215,819,1297,218,221,297,651,548,1008,1008,783,236,251,317
404,423,1101,693,555,1373,383,610,1508,822,1275,238,272,296,632,548,1018,870,782,217,251,317
430,423,1016,778,526,1402,383,459,1592,889,1196,317,271,215,625,545,1018,920,591,216,251,317
559,423,858,936,518,1397,390,443,1614,889,1196,317,270,219,628,477,1022,955,573,216,290,317
559,423,857,937,515,1380,410,438,1609,857,1238,316,253,219,782,466,1055,992,591,216,362,317
559,421,858,925,528,1336,454,437,1480,963,1262,316,208,219,820,466,1231,992,516,187,396,317
580,387,828,989,528,1336,454,437,1480,960,1265,316,208,219,824,462,1254,1207,510,190,443,317
629,373,799,1032,528,1336,454,437,1479,954,1260,312,208,211,824,534,1232,1211,500,129,447,317
629,364,678,1146,544,1336,446,445,1462,970,1238,252,208,211,804,547,1251,1219,634,106,447,317
626,367,661,1162,545,1336,315,551,1281,1165,1182,318,205,211,797,571,1251,1224,717,106,427,402
615,378,661,1162,545,1316,335,551,1247,1083,1258,358,200,211,790,600,1256,1179,721,162,427,438
561,432,534,1289,545,1275,323,604,1246,1084,1214,402,194,181,807,622,1327,1076,768,184,425,438
561,432,471,1352,545,1275,322,605,1246,1084,1193,423,194,181,784,648,1358,976,805,189,394,440
561,421,248,1460,668,1248,349,608,1178,1152,1099,517,194,102,816,654,1299,972,875,227,393,440
561,417,218,1491,670,1180,418,608,1178,1152,1004,612,194,94,821,650,1306,954,958,252,385,471
473,408,313,1493,670,931,667,426,1360,1152,926,690,194,124,645,650,1233,831,950,252,329,469
473,343,338,1533,658,882,728,394,1392,1152,770,846,192,154,628,631,1068,740,1056,252,329,422
473,335,346,1533,608,896,763,395,1390,1154,701,915,198,197,688,629,1040,706,1104,252,415,409
473,303,377,1452,690,896,763,357,1375,1206,700,917,161,259,697,629,989,621,977,252,417,409
473,283,397,1449,693,896,699,421,1374,1207,700,917,133,330,736,507,945,621,977,263,453,409
473,283,389,1434,562,1043,706,397,1398,1162,701,961,133,330,739,439,977,604,976,265,517,410
473,275,395,1355,504,1121,767,396,1399,1159,704,961,119,297,700,384,1094,534,964,318,526,282
459,243,441,1329,511,947,962,396,1399,1159,472,1193,119,297,700,388,1112,510,960,340,512,282
539,208,476,1329,478,977,951,407,1402,877,754,1193,174,297,725,340,1112,510,889,342,529,282
585,208,476,1316,491,942,986,296,1392,980,772,1186,218,297,725,326,1158,475,829,336,527,282
639,219,482,1316,478,927,1014,290,1339,1038,695,1264,238,297,725,258,1108,475,818,336,523,285
657,299,472,1307,497,907,1034,287,1340,961,708,1330,317,297,725,257,917,475,815,323,523,282
654,304,471,1292,513,901,1040,287,1197,1062,750,1330,317,317,731,250,852,475,823,302,436,282
647,298,476,1300,424,990,1040,281,1194,1071,748,1327,316,297,735,247,888,475,846,302,435,282
647,297,462,1315,424,964,1066,281,1191,1074,717,1358,316,292,735,247,930,475,856,302,435,282
646,299,462,1314,425,846,1184,281,1106,1159,717,1303,316,292,735,247,927,475,915,342,435,282
564,366,477,1166,573,799,1170,342,906,1215,819,1297,312,287,735,290,811,475,922,383,435,282
525,404,423,1101,693,555,1373,383,610,1508,822,1275,252,295,735,492,801,469,922,383,443,282
499,430,423,1016,778,526,1402,383,459,1592,889,1196,318,295,735,578,803,419,922,406,472,282
370,559,423,858,936,518,1397,390,443,1614,889,1196,358,283,732,578,857,384,922,470,515,282
370,559,423,857,937,515,1380,410,438,1609,857,1238,402,283,552,578,825,347,877,476,446,282
370,559,421,858,925,528,1336,454,437,1480,963,1262,423,283,475,578,696,347,906,476,412,283
349,580,387,828,989,528,1336,454,437,1480,960,1265,517,283,471,578,673,132,906,460,514,284
300,629,373,799,1032,528,1336,454,437,1479,954,1260,612,288,471,505,685,128,906,463,510,284
300,629,364,678,1146,544,1336,446,445,1462,970,1238,690,314,471,492,674,107,736,455,510,284
500,626,367,661,1162,545,1336,315,551,1281,1165,1182,846,314,500,448,674,102,653,564,510,202
523,615,378,661,1162,545,1316,335,551,1247,1083,1258,915,314,373,471,669,102,682,568,510,287
527,561,432,534,1289,545,1275,323,604,1246,1084,1214,917,314,311,451,598,102,635,545,542,299
527,561,432,471,1352,545,1275,322,605,1246,1084,1193,917,352,289,479,716,83,598,551,563,326
594,561,421,248,1460,668,1248,349,608,1178,1152,1099,961,360,228,473,724,136,528,500,569,370
594,561,417,218,1491,670,1180,418,608,1178,1152,1004,961,390,198,473,730,107,520,475,569,518
594,473,408,313,1493,670,931,667,426,1360,1152,926,1193,360,190,473,747,66,517,475,571,525
596,473,343,338,1533,658,882,728,394,1392,1152,770,1193,330,275,473,747,66,382,475,571,432
596,473,335,346,1533,608,896,763,395,1390,1154,701,1186,287,276,473,747,66,327,545,523,403
596,473,303,377,1452,690,896,763,357,1375,1206,700,1264,225,267,473,747,90,302,568,538,402
606,473,283,397,1449,693,896,699,421,1374,1207,700,1330,154,228,475,747,92,317,559,503,402
944,473,283,389,1434,562,1043,706,397,1398,1162,701,1330,154,486,475,715,92,317,565,502,401
977,473,275,395,1355,504,1121,767,396,1399,1159,704,1327,144,507,475,598,198,317,607,694,401
980,459,243,441,1329,511,947,962,396,1399,1159,472,1358,144,507,476,579,279,427,590,892,405
900,539,208,476,1329,478,977,951,407,1402,877,754,1303,186,533,540,579,370,432,584,877,413
871,585,208,476,1316,491,942,986,296,1392,980,772,1297,186,533,683,532,370,432,584,877,413
841,639,219,482,1316,478,927,1014,290,1339,1038,695,1275,186,632,721,532,398,432,584,984,410
765,657,299,472,1307,497,907,1034,287,1340,961,708,1196,186,632,776,521,413,557,584,984,452
805,654,304,471,1292,513,901,1040,287,1197,1062,750,1196,179,626,776,515,433,571,677,992,464
879,647,298,476,1300,424,990,1040,281,1194,1071,748,1238,187,627,935,453,444,548,766,992,500
932,647,297,462,1315,424,964,1066,281,1191,1074,717,1262,187,627,983,360,479,538,766,992,500
1012,646,299,462,1314,425,846,1184,281,1106,1159,717,1265,187,627,983,392,638,876,726,992,506
1012,564,366,477,1166,573,799,1170,342,906,1215,819,1260,218,693,945,418,724,869,685,992,574
1400,525,404,423,1101,693,555,1373,383,610,1508,822,1238,255,693,743,423,724,908,685,984,821
1590,499,430,423,1016,778,526,1402,383,459,1592,889,1182,364,693,662,437,762,959,662,955,1091
1646,370,559,423,858,936,518,1397,390,443,1614,889,1258,425,693,662,379,902,1144,723,873,1091
1647,370,559,423,857,937,515,1380,410,438,1609,857,1214,425,693,703,378,903,1191,721,870,1121
1745,370,559,421,858,925,528,1336,454,437,1480,963,1193,433,693,703,331,903,1160,722,870,1158
1764,349,580,387,828,989,528,1336,454,437,1480,960,1099,433,693,703,331,903,1173,737,721,1157
1767,300,629,373,799,1032,528,1336,454,437,1479,954,1004,428,693,703,326,903,1197,734,721,1247
1803,300,629,364,678,1146,544,1336,446,445,1462,970,926,402,765,703,321,951,1247,733,721,1247
1603,500,626,367,661,1162,545,1336,315,551,1281,1165,770,402,866,709,330,1112,1385,624,721,1244
1587,523,615,378,661,1162,545,1316,335,551,1247,1083,701,402,871,639,367,1159,1384,563,721,1123
1658,527,561,432,534,1289,545,1275,323,604,1246,1084,700,402,893,648,386,1177,1384,563,689,1111
1669,527,561,432,471,1352,545,1275,322,605,1246,1084,700,364,972,594,291,1183,1487,796,668,1179
1649,594,561,421,248,1460,668,1248,349,608,1178,1152,701,356,1100,594,354,1123,1512,796,675,1135
1649,594,561,417,218,1491,670,1180,418,608,1178,1152,704,435,1106,594,341,1195,1428,796,675,956
1649,594,473,408,313,1493,670,931,667,426,1360,1152,472,435,1096,594,318,1443,1468,796,673,949
1647,596,473,343,338,1533,658,882,728,394,1392,1152,754,435,1008,594,330,1443,1468,796,707,984
1647,596,473,335,346,1533,608,896,763,395,1390,1154,772,488,947,594,345,1443,1468,772,669,1005
1647,596,473,303,377,1452,690,896,763,357,1375,1206,695,488,947,594,345,1419,1470,749,710,1022
1637,606,473,283,397,1449,693,896,699,421,1374,1207,708,528,947,592,567,1417,1456,740,709,1046
