Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
1048,1209,1416,492,1196,557,330,646,393,857,1469,650,582,946,1633,512,1049,509,547,809,2307,647
1354,1188,1465,492,1155,598,330,634,405,718,1491,767,569,939,1622,543,1091,488,525,820,2337,437
1398,1005,1651,492,1138,605,340,609,430,694,1457,777,558,948,1600,590,1168,457,524,800,2432,363
1532,953,1702,493,1075,600,408,574,465,693,1448,642,514,1147,1671,633,1240,410,524,739,2431,232
1532,935,1720,474,1055,555,492,573,466,693,1448,487,472,1391,1671,611,1339,403,524,705,2560,233
1532,935,1666,502,1043,593,474,559,498,693,1448,487,472,1343,1691,611,1360,403,525,665,2721,276
1532,872,1716,515,1043,577,415,382,750,693,1445,490,472,1240,1641,628,1391,403,522,640,2685,283
1532,849,1739,515,1024,594,406,334,809,693,1444,491,472,1221,1668,665,1391,403,522,657,2553,292
1532,731,1857,515,1024,594,270,461,818,693,1444,491,472,1222,1615,680,1382,403,531,614,2494,319
1532,702,1886,515,1022,596,270,461,818,668,1469,491,472,1104,1602,675,1315,403,549,682,2301,465
1532,515,2073,514,989,622,274,465,818,654,1479,495,472,1070,1451,635,1184,403,549,711,2250,756
1527,504,2089,319,1126,466,465,488,818,654,1433,541,472,1056,1158,589,1135,403,550,747,2230,941
1528,504,2072,337,1123,469,449,504,818,654,1428,546,472,1020,1037,582,1141,350,550,720,2134,1001
1521,469,2111,340,1123,467,436,517,820,654,1382,592,472,898,1006,588,1142,350,550,711,2158,1011
1493,479,2138,340,1123,373,524,523,820,654,1367,607,507,881,1001,592,1169,350,550,712,2120,1011
1489,437,2154,370,1123,359,538,510,833,653,1105,870,517,868,1001,590,1242,350,550,709,2038,1006
1489,338,2127,496,1123,356,541,474,869,653,1050,925,517,871,982,607,1123,295,550,709,1975,1010
1489,331,2080,550,1123,356,539,476,841,585,1091,980,517,851,865,582,1160,315,546,808,1969,1052
1517,331,2049,581,1123,334,561,476,780,646,1059,1012,563,863,705,490,1229,389,546,807,1773,1038
1506,387,2049,581,1123,334,561,476,720,706,859,1212,586,868,705,487,1139,321,428,823,1348,1022
1500,412,2034,596,1094,363,561,367,827,708,855,1216,573,954,719,487,1021,319,357,853,1256,985
1372,511,1984,703,1086,371,561,367,771,530,1089,1181,572,1036,727,486,1021,346,275,1387,1152,996
1371,509,1742,950,1033,424,561,367,711,433,1246,1171,650,1124,719,486,1019,244,78,1509,1126,1000
1332,524,1731,871,1144,427,561,367,711,330,1349,1171,701,1188,691,486,962,248,52,1525,1057,1061
1318,530,1697,905,1112,464,564,351,727,271,1368,1211,650,1172,510,530,867,248,52,1816,1107,1068
1241,572,1406,1257,1029,542,569,339,739,267,1260,1275,767,1200,341,526,823,250,73,1921,1153,1076
