Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
521,501,703,244,1048,582,946,1633,512,1049,509,547,809,2307
522,492,671,285,1354,569,939,1622,543,1091,488,525,820,2337
522,432,647,369,1398,558,948,1600,590,1168,457,524,800,2432
522,409,640,399,1532,514,1147,1671,633,1240,410,524,739,2431
538,409,640,399,1532,472,1391,1671,611,1339,403,524,705,2560
576,409,629,410,1532,472,1343,1691,611,1360,403,525,665,2721
577,409,558,481,1532,472,1240,1641,628,1391,403,522,640,2685
660,409,403,627,1532,472,1221,1668,665,1391,403,522,657,2553
683,409,366,517,1532,472,1222,1615,680,1382,403,531,614,2494
703,409,366,517,1532,472,1104,1602,675,1315,403,549,682,2301
901,415,365,518,1532,472,1070,1451,635,1184,403,549,711,2250
1050,433,363,491,1527,472,1056,1158,589,1135,403,550,747,2230
1017,549,381,491,1528,472,1020,1037,582,1141,350,550,720,2134
985,648,381,491,1521,472,898,1006,588,1142,350,550,711,2158
1026,612,418,491,1493,507,881,1001,592,1169,350,550,712,2120
1079,612,418,491,1489,517,868,1001,590,1242,350,550,709,2038
1118,534,496,491,1489,517,871,982,607,1123,295,550,709,1975
1127,475,555,491,1489,517,851,865,582,1160,315,546,808,1969
1179,477,561,491,1517,563,863,705,490,1229,389,546,807,1773
1086,574,563,491,1506,586,868,705,487,1139,321,428,823,1348
1073,587,563,491,1500,573,954,719,487,1021,319,357,853,1256
1073,587,563,491,1372,572,1036,727,486,1021,346,275,1387,1152
1050,608,565,491,1371,650,1124,719,486,1019,244,78,1509,1126
1072,581,592,459,1332,701,1188,691,486,962,248,52,1525,1057
1080,585,592,453,1318,650,1172,510,530,867,248,52,1816,1107
1102,553,624,453,1241,767,1200,341,526,823,250,73,1921,1153
1026,588,673,453,1213,777,1205,260,473,815,253,73,1762,1253
1016,567,717,453,1279,642,1197,199,536,814,253,73,1930,1253
1017,567,695,473,1151,487,1182,284,536,785,247,73,2053,1185
1017,565,680,471,1058,487,1182,293,536,785,211,68,2024,1129
1049,521,678,517,1020,490,1181,286,536,772,209,63,1976,951
1091,521,501,703,782,491,1051,279,536,763,209,63,1983,958
1091,522,492,671,550,491,1036,295,505,622,209,123,2023,994
1091,522,432,647,564,491,1092,295,458,540,179,124,2022,994
1091,522,409,640,437,495,999,219,438,468,185,124,2035,968
1075,538,409,640,438,541,839,219,468,369,228,124,2035,839
1042,576,409,629,438,546,907,220,519,348,228,123,2036,695
