Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
512,415,2031,1140,263,1049,509,547,809,2307,647,575,1184,1363,947
543,316,2130,1140,263,1091,488,525,820,2337,437,575,1431,1363,947
590,296,2088,1200,236,1168,457,524,800,2432,363,575,1586,1363,947
633,274,2086,1041,376,1240,410,524,739,2431,232,595,1732,1363,339
611,293,2089,930,486,1339,403,524,705,2560,233,620,1900,1363,284
611,293,2089,924,491,1360,403,525,665,2721,276,620,1910,1363,318
628,291,2008,968,534,1391,403,522,640,2685,283,620,1955,1363,318
665,291,2008,968,534,1391,403,522,657,2553,292,629,2013,1363,318
680,281,2038,918,598,1382,403,531,614,2494,319,656,2096,1363,265
675,255,2069,913,603,1315,403,549,682,2301,465,720,2086,1363,266
635,279,2017,958,626,1184,403,549,711,2250,756,720,2177,1363,266
589,330,1971,976,654,1135,403,550,747,2230,941,720,2124,1293,246
582,343,1965,981,655,1141,350,550,720,2134,1001,720,2111,1150,246
588,355,1966,621,1015,1142,350,550,711,2158,1011,720,2111,993,254
592,311,1940,665,1042,1169,350,550,712,2120,1011,720,2101,863,251
590,295,1956,573,1138,1242,350,550,709,2038,1006,699,2101,786,251
607,265,1986,562,1149,1123,295,550,709,1975,1010,611,2101,639,256
582,290,1955,578,1164,1160,315,546,808,1969,1052,501,2101,612,259
490,382,1939,594,1164,1229,389,546,807,1773,1038,378,2116,594,172
487,384,1940,594,1164,1139,321,428,823,1348,1022,339,2103,307,164
487,384,1940,594,1164,1021,319,357,853,1256,985,224,2068,297,239
486,385,1939,595,1164,1021,346,275,1387,1152,996,194,2068,174,239
486,385,1883,651,1086,1019,244,78,1509,1126,1000,172,2068,264,219
486,390,1661,873,1056,962,248,52,1525,1057,1061,172,2068,419,209
530,393,1347,1187,1055,867,248,52,1816,1107,1068,172,2008,647,209
526,482,1181,1353,975,823,250,73,1921,1153,1076,171,1840,657,209
473,516,1182,1417,975,815,253,73,1762,1253,1085,162,1747,670,206
536,523,1139,1445,991,814,253,73,1930,1253,1096,162,1737,715,206
536,523,765,1765,1045,785,247,73,2053,1185,1126,162,1462,715,206
536,513,683,1795,1107,785,211,68,2024,1129,1126,162,1349,715,206
536,512,624,1853,1109,772,209,63,1976,951,1126,162,1331,715,206
536,512,415,2031,1140,763,209,63,1983,958,1126,162,1248,715,206
505,543,316,2130,1140,622,209,123,2023,994,1126,162,993,800,206
458,590,296,2088,1200,540,179,124,2022,994,1126,163,838,855,206
438,633,274,2086,1041,468,185,124,2035,968,1126,178,692,855,201
468,611,293,2089,930,369,228,124,2035,839,1125,172,524,855,166
519,611,293,2089,924,348,228,123,2036,695,1087,172,527,855,129
549,628,291,2008,968,320,228,117,2036,674,1031,172,482,858,129
514,665,291,2008,968,320,228,122,2008,677,1022,163,429,858,129
466,680,281,2038,918,320,228,113,1997,681,995,187,359,858,129
466,675,255,2069,913,320,246,121,1967,681,849,137,201,971,126
467,635,279,2017,958,320,259,124,1992,681,538,223,142,1018,126
462,589,330,1971,976,320,380,297,1991,626,325,242,142,1101,109
456,582,343,1965,981,313,538,304,2022,586,257,314,142,1148,132
437,588,355,1966,621,308,627,308,2019,531,247,314,150,1248,136
434,592,311,1940,665,281,636,308,2226,531,247,373,175,1453,144
439,590,295,1956,573,208,636,353,2271,531,244,397,175,1453,186
426,607,265,1986,562,204,643,378,2320,531,256,406,175,1460,181
457,582,290,1955,578,114,790,534,2221,531,214,406,175,1460,255
511,490,382,1939,594,18,709,569,2298,507,223,396,160,1460,288
581,487,384,1940,594,11,717,723,2325,501,236,389,160,1457,298
640,487,384,1940,594,20,731,723,2312,501,274,389,147,1457,223
720,486,385,1939,595,44,692,723,1778,528,240,389,124,1457,223
733,486,385,1883,651,44,703,724,1715,513,240,389,124,1252,241
743,486,390,1661,873,40,847,719,1732,532,179,389,124,1087,251
696,530,393,1347,1187,38,1129,719,1464,482,172,389,124,867,391
611,526,482,1181,1353,38,1244,733,1356,423,174,389,124,1080,439
565,473,516,1182,1417,38,1244,733,1320,320,189,389,124,1354,472
494,536,523,1139,1445,59,1244,735,1080,351,178,389,164,1427,492
546,536,523,765,1765,60,1245,751,874,350,148,389,164,1452,577
604,536,513,683,1795,61,1245,751,935,390,148,407,284,1485,769
683,536,512,624,1853,80,1299,751,978,441,148,407,284,1485,831
744,536,512,415,2031,281,1321,751,963,434,148,407,284,1485,831
761,505,543,316,2130,322,1334,691,970,362,148,413,284,1400,831
761,458,590,296,2088,364,1334,690,994,266,149,417,287,1345,831
745,438,633,274,2086,496,1328,697,981,253,149,382,287,1345,841
744,468,611,293,2089,625,1268,697,1003,283,149,363,282,1345,978
707,519,611,293,2089,625,1268,697,998,266,143,363,269,1345,978
694,549,628,291,2008,620,1268,697,998,266,142,378,279,1342,978
692,514,665,291,2008,625,1268,692,979,263,142,383,274,1342,978
691,466,680,281,2038,626,1268,692,974,269,142,430,261,1342,981
691,466,675,255,2069,628,1250,666,934,298,142,527,246,1239,989
690,467,635,279,2017,629,1253,663,878,298,142,445,211,1192,989
690,462,589,330,1971,631,1133,489,888,360,142,522,211,1109,1046
690,456,582,343,1965,631,975,482,884,366,142,450,211,1057,1266
690,437,588,355,1966,631,886,478,1047,383,152,450,206,949,1269
710,434,592,311,1940,631,882,478,952,426,152,391,181,719,1261
710,439,590,295,1956,631,925,433,1012,526,152,367,456,719,1219
708,426,607,265,1986,632,926,423,969,526,136,360,475,734,1219
705,457,582,290,1955,635,753,339,967,582,147,361,720,734,1160
692,511,490,382,1939,635,748,345,890,594,161,455,753,772,1160
648,581,487,384,1940,655,759,205,840,599,155,584,753,772,1150
589,640,487,384,1940,646,745,205,823,620,113,617,753,772,1170
525,720,486,385,1939,622,757,205,854,638,104,617,748,772,1200
539,733,486,385,1883,627,744,239,806,626,107,638,748,772,1182
543,743,486,390,1661,629,596,240,834,601,107,640,748,772,1172
636,696,530,393,1347,629,347,240,834,614,107,650,748,769,1032
636,611,526,482,1181,629,232,224,859,615,97,662,748,546,984
636,565,473,516,1182,629,229,236,859,613,73,671,748,259,951
636,494,536,523,1139,608,229,234,918,644,73,671,708,141,931
584,546,536,523,765,607,228,218,910,743,104,671,708,116,946
533,604,536,513,683,650,228,218,835,734,104,687,588,83,947
473,683,536,512,624,895,177,218,792,683,104,687,588,113,923
413,744,536,512,415,809,158,229,792,763,167,687,623,118,945
396,761,505,543,316,800,155,229,734,785,212,681,628,118,1063
402,761,458,590,296,892,174,229,711,787,225,676,625,118,1128
462,745,438,633,274,856,174,222,711,788,225,676,638,118,1118
433,744,468,611,293,729,174,222,689,786,225,676,638,118,966
419,707,519,611,293,782,174,222,689,921,227,676,638,118,966
381,694,549,628,291,813,174,222,731,931,227,661,628,118,999
395,692,514,665,291,813,174,228,731,996,283,656,628,143,1037
511,691,466,680,281,815,174,240,731,992,350,559,628,151,1347
555,691,466,675,255,813,174,240,731,983,355,456,628,141,1509
774,690,467,635,279,815,159,240,731,983,366,463,628,151,1564
787,690,462,589,330,926,158,240,724,921,366,437,628,231,1504
787,690,456,582,343,927,158,240,700,914,366,437,628,261,1261
787,690,437,588,355,975,158,240,609,897,356,465,630,264,1269
767,710,434,592,311,1042,153,240,683,854,358,491,658,317,1269
762,710,439,590,295,1042,110,240,679,754,358,504,392,317,1302
784,708,426,607,265,1119,102,225,719,754,358,502,373,295,1302
789,705,457,582,290,1123,102,153,716,698,347,501,128,345,1394
773,692,511,490,382,1123,102,112,716,686,317,407,148,327,1559
773,648,581,487,384,1103,83,106,716,681,310,296,158,330,1559
773,589,640,487,384,1105,83,110,716,723,310,263,158,330,1542
757,525,720,486,385,1114,98,110,745,682,310,271,158,330,1572
731,539,733,486,385,1245,195,73,772,679,301,250,158,330,1755
712,543,743,486,390,1385,242,72,711,693,301,268,158,340,1755
619,636,696,530,393,1423,220,80,687,680,301,282,158,335,1755
619,636,611,526,482,1423,229,61,708,679,301,284,158,335,1755
619,636,565,473,516,1423,229,49,726,679,315,275,428,335,1755
685,636,494,536,523,1450,229,53,667,600,319,330,471,335,1755
685,584,546,536,523,1519,229,160,666,499,288,330,471,335,1655
678,533,604,536,513,1475,229,183,666,460,288,296,471,335,1462
661,473,683,536,512,1211,227,183,666,523,288,296,476,305,1424
663,413,744,536,512,1097,427,172,666,453,225,296,441,300,1402
668,396,761,505,543,1069,517,177,666,482,197,296,436,300,1284
693,402,761,458,590,937,516,207,665,477,276,296,436,300,1219
626,462,745,438,633,841,517,207,665,534,298,296,423,305,1219
626,433,744,468,611,839,587,207,665,506,323,315,423,365,1334
675,419,707,519,611,786,617,207,665,371,321,317,423,435,1399
681,381,694,549,628,755,638,207,623,361,335,561,423,435,1471
673,395,692,514,665,750,653,201,623,297,601,561,423,415,1488
595,511,691,466,680,747,653,189,623,297,910,560,423,407,1175
551,555,691,466,675,747,653,189,623,329,921,552,433,407,1008
332,774,690,467,635,744,678,190,623,329,917,541,463,397,953
319,787,690,462,589,631,710,212,653,329,917,471,471,317,953
327,787,690,456,582,630,710,329,757,329,917,471,474,287,953
368,787,690,437,588,582,849,430,806,362,957,443,469,284,930
369,767,710,434,592,515,851,495,621,369,955,417,441,231,930
367,762,710,439,590,515,927,495,520,464,1044,404,432,231,897
343,784,708,426,607,437,1054,498,474,577,1046,404,432,231,897
311,789,705,457,582,430,1054,528,473,583,1046,404,432,181,787
286,773,692,511,490,430,1054,531,473,698,1041,404,379,161,589
260,773,648,581,487,430,1054,523,473,718,1041,386,369,158,589
260,773,589,640,487,448,1054,568,509,655,1041,404,369,158,586
260,757,525,720,486,454,1027,641,449,672,1130,557,369,158,526
259,731,539,733,486,369,930,713,421,674,1193,557,369,158,343
293,712,543,743,486,460,883,713,438,660,1256,537,369,148,343
293,619,636,696,530,430,872,705,470,660,1256,590,369,148,343
316,619,636,611,526,431,861,705,448,660,1294,576,369,148,348
316,619,636,565,473,553,861,705,449,660,1280,591,99,148,348
250,685,636,494,536,526,861,840,472,660,1276,540,56,148,348
285,685,584,546,536,513,861,749,512,794,1365,542,56,313,348
396,678,533,604,536,513,861,726,552,825,1391,561,56,458,491
443,661,473,683,536,513,860,726,599,926,1391,592,51,506,496
487,663,413,744,536,512,657,726,610,938,1391,677,51,521,542
488,668,396,761,505,512,557,721,610,898,1374,684,142,551,590
517,693,402,761,458,620,731,691,645,900,1281,684,208,721,642
540,626,462,745,438,620,866,691,645,840,1259,697,228,789,667
540,626,433,744,468,628,796,691,645,840,1234,712,245,766,567
491,675,419,707,519,628,766,691,646,859,1293,724,321,696,535
485,681,381,694,549,644,885,691,646,864,1282,480,321,696,430
492,673,395,692,514,676,870,691,658,863,986,521,321,691,375
822,595,511,691,466,680,1077,691,689,857,620,521,336,691,375
822,551,555,691,466,732,1116,691,689,805,638,521,341,691,372
822,332,774,690,467,756,1090,690,705,805,646,521,315,691,372
822,319,787,690,462,771,1092,668,649,805,662,521,307,691,372
814,327,787,690,456,775,1310,551,577,805,669,521,359,691,372
773,368,787,690,437,776,1171,450,508,772,629,521,366,721,372
770,369,767,710,434,776,1178,385,506,765,629,521,376,749,372
779,367,762,710,439,776,1144,480,506,670,540,556,485,764,372
813,343,784,708,426,776,1098,484,533,557,677,580,486,769,372
812,311,789,705,457,776,1180,464,533,551,677,580,538,799,757
812,286,773,692,511,776,1410,461,533,436,677,832,538,817,812
812,260,773,648,581,776,1516,466,533,416,677,1213,565,817,812
812,260,773,589,640,764,1606,417,497,416,677,1290,569,817,812
930,260,757,525,720,749,1747,344,497,391,588,1129,587,817,817
1024,259,731,539,733,716,1843,272,487,388,532,1129,634,867,892
991,293,712,543,743,485,1843,273,470,388,469,1129,634,867,892
1016,293,619,636,696,477,1871,286,438,388,469,1052,634,1070,937
1053,316,619,636,611,514,1911,295,408,388,431,1052,634,1308,945
1053,316,619,636,565,410,1921,316,389,388,431,1048,634,1371,1000
1053,250,685,636,494,410,1989,251,400,388,431,1072,634,1371,1028
1018,285,685,584,546,354,2059,250,384,254,342,1070,634,1324,1028
907,396,678,533,604,354,2314,295,359,223,316,1091,634,1179,1058
858,443,661,473,683,354,2317,366,312,59,320,1182,634,1386,1096
1022,487,663,413,744,354,2322,383,301,37,320,1191,638,1386,1050
1062,488,668,396,761,410,2331,395,301,65,320,1184,547,1447,1002
1003,517,693,402,761,301,2139,395,266,96,320,1184,481,1277,1138
980,540,626,462,745,314,2003,419,266,97,320,1171,461,1249,1150
980,540,626,433,744,339,2003,426,266,97,381,1258,444,1217,1135
980,491,675,419,707,356,2003,426,272,78,322,1268,368,1217,1102
1190,485,681,381,694,360,1868,426,273,73,374,1378,368,1217,1102
1177,492,673,395,692,424,1868,426,261,73,351,1337,479,1217,1102
809,822,595,511,691,421,1766,426,230,75,541,1339,483,1217,1102
824,822,551,555,691,391,1727,426,268,75,512,1339,468,1217,1102
824,822,332,774,690,454,1727,426,252,75,510,1344,464,1217,1102
824,822,319,787,690,543,1821,426,252,75,494,1348,464,1217,1102
824,814,327,787,690,540,1628,426,217,75,488,1349,428,1217,1102
824,773,368,787,690,539,1679,426,158,77,640,1349,421,1187,1102
824,770,369,767,710,539,1701,426,158,77,682,1349,411,1159,1102
826,779,367,762,710,539,1659,331,158,77,707,1344,302,1144,1102
792,813,343,784,708,539,1578,324,209,77,568,1320,301,1131,1245
792,812,311,789,705,552,1496,363,209,77,568,1320,249,1101,967
792,812,286,773,692,552,1283,364,209,132,568,1129,251,1083,912
792,812,260,773,648,552,1189,359,209,132,608,748,372,1083,912
792,812,260,773,589,544,1099,359,293,132,626,653,449,1083,912
674,930,260,757,525,544,959,359,350,132,763,653,432,1083,907
580,1024,259,731,539,526,863,359,358,142,900,653,385,1033,832
579,991,293,712,543,587,863,364,358,142,900,653,385,1206,832
554,1016,293,619,636,587,848,351,358,185,1112,653,612,1003,817
494,1053,316,619,636,549,866,342,358,276,1139,663,612,765,804
494,1053,316,619,636,560,866,321,358,352,1139,807,612,702,794
494,1053,250,685,636,603,870,247,324,352,1139,779,612,702,769
