Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
509,1254,831,341,900,351,547,809,2307,647,575,1184,1363,947,389,1450
488,1246,398,801,902,342,525,820,2337,437,575,1431,1363,947,564,1470
457,1303,402,801,902,321,524,800,2432,363,575,1586,1363,947,600,1470
410,1349,403,801,902,247,524,739,2431,232,595,1732,1363,339,695,1473
403,1252,502,823,902,232,524,705,2560,233,620,1900,1363,284,770,1520
403,1170,569,838,902,187,525,665,2721,276,620,1910,1363,318,820,1432
403,1102,637,838,902,116,522,640,2685,283,620,1955,1363,318,890,1420
403,1068,671,838,870,131,522,657,2553,292,629,2013,1363,318,890,1420
403,1033,706,838,860,129,531,614,2494,319,656,2096,1363,265,900,1420
403,1033,706,838,860,129,549,682,2301,465,720,2086,1363,266,925,1420
403,1026,713,838,860,105,549,711,2250,756,720,2177,1363,266,956,1420
403,772,967,838,738,220,550,747,2230,941,720,2124,1293,246,956,1420
350,719,1073,838,700,258,550,720,2134,1001,720,2111,1150,246,958,1378
350,668,1124,755,678,363,550,711,2158,1011,720,2111,993,254,1051,1325
350,668,1124,744,614,438,550,712,2120,1011,720,2101,863,251,1043,1212
350,668,1115,743,624,438,550,709,2038,1006,699,2101,786,251,1023,1139
295,723,1095,763,624,438,550,709,1975,1010,611,2101,639,256,1049,1104
315,729,1051,807,624,438,546,808,1969,1052,501,2101,612,259,829,744
389,613,1176,810,624,438,546,807,1773,1038,378,2116,594,172,829,687
321,657,1176,834,624,438,428,823,1348,1022,339,2103,307,164,877,687
319,549,1194,926,624,438,357,853,1256,985,224,2068,297,239,936,687
346,561,1170,884,569,559,275,1387,1152,996,194,2068,174,239,1036,657
244,665,1170,880,526,606,78,1509,1126,1000,172,2068,264,219,1099,654
248,655,1180,880,525,607,52,1525,1057,1061,172,2068,419,209,1244,653
248,647,1188,874,521,568,52,1816,1107,1068,172,2008,647,209,1445,575
250,544,1291,874,466,622,73,1921,1153,1076,171,1840,657,209,1594,575
253,542,1291,876,466,622,73,1762,1253,1085,162,1747,670,206,1602,575
253,542,1283,884,428,660,73,1930,1253,1096,162,1737,715,206,1799,567
247,548,1264,744,484,763,73,2053,1185,1126,162,1462,715,206,1892,494
211,517,1259,816,443,804,68,2024,1129,1126,162,1349,715,206,1930,469
209,512,1266,816,395,846,63,1976,951,1126,162,1331,715,206,1945,406
209,509,1254,831,341,900,63,1983,958,1126,162,1248,715,206,2207,113
209,488,1246,398,801,902,123,2023,994,1126,162,993,800,206,2105,78
179,457,1303,402,801,902,124,2022,994,1126,163,838,855,206,2147,79
185,410,1349,403,801,902,124,2035,968,1126,178,692,855,201,2092,76
228,403,1252,502,823,902,124,2035,839,1125,172,524,855,166,2160,29
228,403,1170,569,838,902,123,2036,695,1087,172,527,855,129,2123,41
228,403,1102,637,838,902,117,2036,674,1031,172,482,858,129,2053,49
228,403,1068,671,838,870,122,2008,677,1022,163,429,858,129,2233,52
228,403,1033,706,838,860,113,1997,681,995,187,359,858,129,2343,52
246,403,1033,706,838,860,121,1967,681,849,137,201,971,126,2348,145
259,403,1026,713,838,860,124,1992,681,538,223,142,1018,126,2452,188
380,403,772,967,838,738,297,1991,626,325,242,142,1101,109,2515,243
538,350,719,1073,838,700,304,2022,586,257,314,142,1148,132,2513,243
627,350,668,1124,755,678,308,2019,531,247,314,150,1248,136,2420,339
636,350,668,1124,744,614,308,2226,531,247,373,175,1453,144,2415,379
636,350,668,1115,743,624,353,2271,531,244,397,175,1453,186,2380,394
643,295,723,1095,763,624,378,2320,531,256,406,175,1460,181,2312,411
790,315,729,1051,807,624,534,2221,531,214,406,175,1460,255,2312,414
709,389,613,1176,810,624,569,2298,507,223,396,160,1460,288,2315,414
717,321,657,1176,834,624,723,2325,501,236,389,160,1457,298,2267,414
731,319,549,1194,926,624,723,2312,501,274,389,147,1457,223,2205,417
692,346,561,1170,884,569,723,1778,528,240,389,124,1457,223,2102,417
703,244,665,1170,880,526,724,1715,513,240,389,124,1252,241,2044,417
847,248,655,1180,880,525,719,1732,532,179,389,124,1087,251,1924,417
1129,248,647,1188,874,521,719,1464,482,172,389,124,867,391,1721,417
1244,250,544,1291,874,466,733,1356,423,174,389,124,1080,439,1569,445
1244,253,542,1291,876,466,733,1320,320,189,389,124,1354,472,1561,603
1244,253,542,1283,884,428,735,1080,351,178,389,164,1427,492,1367,608
1245,247,548,1264,744,484,751,874,350,148,389,164,1452,577,1289,696
1245,211,517,1259,816,443,751,935,390,148,407,284,1485,769,1231,734
1299,209,512,1266,816,395,751,978,441,148,407,284,1485,831,1213,744
1321,209,509,1254,831,341,751,963,434,148,407,284,1485,831,994,744
1334,209,488,1246,398,801,691,970,362,148,413,284,1400,831,921,744
1334,179,457,1303,402,801,690,994,266,149,417,287,1345,831,896,743
1328,185,410,1349,403,801,697,981,253,149,382,287,1345,841,881,743
1268,228,403,1252,502,823,697,1003,283,149,363,282,1345,978,738,743
1268,228,403,1170,569,838,697,998,266,143,363,269,1345,978,725,711
1268,228,403,1102,637,838,697,998,266,142,378,279,1342,978,740,695
1268,228,403,1068,671,838,692,979,263,142,383,274,1342,978,570,692
1268,228,403,1033,706,838,692,974,269,142,430,261,1342,981,488,692
1250,246,403,1033,706,838,666,934,298,142,527,246,1239,989,491,599
1253,259,403,1026,713,838,663,878,298,142,445,211,1192,989,399,556
1133,380,403,772,967,838,489,888,360,142,522,211,1109,1046,456,506
975,538,350,719,1073,838,482,884,366,142,450,211,1057,1266,543,506
886,627,350,668,1124,755,478,1047,383,152,450,206,949,1269,546,425
882,636,350,668,1124,744,478,952,426,152,391,181,719,1261,546,470
925,636,350,668,1115,743,433,1012,526,152,367,456,719,1219,549,505
926,643,295,723,1095,763,423,969,526,136,360,475,734,1219,554,488
753,790,315,729,1051,807,339,967,582,147,361,720,734,1160,669,498
748,709,389,613,1176,810,345,890,594,161,455,753,772,1160,686,518
759,717,321,657,1176,834,205,840,599,155,584,753,772,1150,764,606
745,731,319,549,1194,926,205,823,620,113,617,753,772,1170,814,651
757,692,346,561,1170,884,205,854,638,104,617,748,772,1200,1102,733
744,703,244,665,1170,880,239,806,626,107,638,748,772,1182,1130,733
596,847,248,655,1180,880,240,834,601,107,640,748,772,1172,1133,801
347,1129,248,647,1188,874,240,834,614,107,650,748,769,1032,1136,948
232,1244,250,544,1291,874,224,859,615,97,662,748,546,984,1154,925
229,1244,253,542,1291,876,236,859,613,73,671,748,259,951,1209,775
229,1244,253,542,1283,884,234,918,644,73,671,708,141,931,1206,770
228,1245,247,548,1264,744,218,910,743,104,671,708,116,946,1201,682
228,1245,211,517,1259,816,218,835,734,104,687,588,83,947,1201,644
177,1299,209,512,1266,816,218,792,683,104,687,588,113,923,1201,637
158,1321,209,509,1254,831,229,792,763,167,687,623,118,945,1133,640
155,1334,209,488,1246,398,229,734,785,212,681,628,118,1063,1133,643
174,1334,179,457,1303,402,229,711,787,225,676,625,118,1128,1080,656
174,1328,185,410,1349,403,222,711,788,225,676,638,118,1118,1055,749
174,1268,228,403,1252,502,222,689,786,225,676,638,118,966,1055,749
174,1268,228,403,1170,569,222,689,921,227,676,638,118,966,1058,757
174,1268,228,403,1102,637,222,731,931,227,661,628,118,999,1043,779
174,1268,228,403,1068,671,228,731,996,283,656,628,143,1037,1033,852
174,1268,228,403,1033,706,240,731,992,350,559,628,151,1347,1013,943
174,1250,246,403,1033,706,240,731,983,355,456,628,141,1509,1000,948
159,1253,259,403,1026,713,240,731,983,366,463,628,151,1564,957,948
158,1133,380,403,772,967,240,724,921,366,437,628,231,1504,837,943
158,975,538,350,719,1073,240,700,914,366,437,628,261,1261,758,943
158,886,627,350,668,1124,240,609,897,356,465,630,264,1269,802,928
