Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
809,471,637,1058,786,185,388,660,680,2307,647,575,1184,1363,947,389,1450,720,386
820,471,637,1058,695,276,388,660,679,2337,437,575,1431,1363,947,564,1470,783,391
800,492,637,1058,619,352,388,660,679,2432,363,575,1586,1363,947,600,1470,827,424
739,553,624,1071,619,352,388,660,600,2431,232,595,1732,1363,339,695,1473,827,424
705,587,617,1078,619,352,254,794,499,2560,233,620,1900,1363,284,770,1520,803,424
665,631,617,1078,619,352,223,825,460,2721,276,620,1910,1363,318,820,1432,751,454
640,651,622,1067,630,352,59,926,523,2685,283,620,1955,1363,318,890,1420,638,457
657,622,681,988,709,352,37,938,453,2553,292,629,2013,1363,318,890,1420,623,457
614,681,681,915,689,406,65,898,482,2494,319,656,2096,1363,265,900,1420,590,482
682,648,716,789,793,395,96,900,477,2301,465,720,2086,1363,266,925,1420,664,483
711,576,790,757,825,394,97,840,534,2250,756,720,2177,1363,266,956,1420,718,484
747,576,790,591,877,508,97,840,506,2230,941,720,2124,1293,246,956,1420,721,517
720,603,790,591,816,569,78,859,371,2134,1001,720,2111,1150,246,958,1378,772,501
711,609,803,512,832,632,73,864,361,2158,1011,720,2111,993,254,1051,1325,835,513
712,597,815,512,832,632,73,863,297,2120,1011,720,2101,863,251,1043,1212,905,513
709,530,885,391,953,630,75,857,297,2038,1006,699,2101,786,251,1023,1139,920,494
709,526,889,380,964,630,75,805,329,1975,1010,611,2101,639,256,1049,1104,907,448
808,529,892,376,968,630,75,805,329,1969,1052,501,2101,612,259,829,744,947,311
807,491,931,362,965,647,75,805,329,1773,1038,378,2116,594,172,829,687,1042,278
823,471,958,312,1015,647,75,805,329,1348,1022,339,2103,307,164,877,687,1034,272
853,466,963,220,900,852,77,772,362,1256,985,224,2068,297,239,936,687,1057,306
1387,466,963,169,950,853,77,765,369,1152,996,194,2068,174,239,1036,657,1173,353
1509,356,1002,239,951,853,77,670,464,1126,1000,172,2068,264,219,1099,654,1353,356
