Accum_y-0,T-1,Accum_y-1,Accum_y-2
377,1452,903,928
397,1449,708,878
389,1434,653,770
395,1355,597,708
441,1329,380,705
476,1329,341,705
476,1316,323,476
482,1316,308,428
472,1307,303,428
471,1292,303,309
476,1300,303,311
462,1315,292,309
462,1314,290,347
477,1166,309,316
423,1101,341,321
423,1016,343,351
423,858,344,359
423,857,357,359
421,858,357,339
387,828,283,339
373,799,187,337
364,678,178,337
367,661,181,337
378,661,186,337
432,534,192,367
432,471,183,342
421,248,183,391
417,218,183,399
408,313,183,388
343,338,154,358
335,346,155,358
303,377,174,358
283,397,202,358
283,389,202,355
275,395,221,378
243,441,221,378
208,476,221,378
208,476,224,378
219,482,226,378
299,472,226,370
304,471,226,370
298,476,227,388
297,462,227,375
299,462,224,312
366,477,221,297
404,423,272,296
430,423,271,215
559,423,270,219
559,423,253,219
559,421,208,219
580,387,208,219
629,373,208,211
629,364,208,211
626,367,205,211
615,378,200,211
561,432,194,181
561,432,194,181
561,421,194,102
561,417,194,94
473,408,194,124
473,343,192,154
473,335,198,197
473,303,161,259
473,283,133,330
473,283,133,330
473,275,119,297
459,243,119,297
539,208,174,297
585,208,218,297
639,219,238,297
657,299,317,297
654,304,317,317
647,298,316,297
647,297,316,292
646,299,316,292
564,366,312,287
525,404,252,295
499,430,318,295
370,559,358,283
370,559,402,283
370,559,423,283
349,580,517,283
300,629,612,288
300,629,690,314
500,626,846,314
523,615,915,314
527,561,917,314
527,561,917,352
594,561,961,360
594,561,961,390
594,473,1193,360
596,473,1193,330
596,473,1186,287
596,473,1264,225
606,473,1330,154
944,473,1330,154
977,473,1327,144
980,459,1358,144
900,539,1303,186
871,585,1297,186
841,639,1275,186
765,657,1196,186
805,654,1196,179
879,647,1238,187
932,647,1262,187
1012,646,1265,187
1012,564,1260,218
1400,525,1238,255
1590,499,1182,364
1646,370,1258,425
1647,370,1214,425
1745,370,1193,433
1764,349,1099,433
1767,300,1004,428
1803,300,926,402
1603,500,770,402
1587,523,701,402
1658,527,700,402
1669,527,700,364
1649,594,701,356
1649,594,704,435
1649,594,472,435
1647,596,754,435
1647,596,772,488
1647,596,695,488
1637,606,708,528
1299,944,750,630
1296,977,748,633
1326,980,717,648
1326,900,717,611
1309,871,819,674
1269,841,822,674
1414,765,889,711
1372,805,889,698
1298,879,857,690
1245,932,963,726
1164,1012,960,741
1164,1012,954,760
902,1400,970,754
1349,1590,1165,864
1303,1646,1083,811
1305,1647,1084,1097
1209,1745,1084,1101
1194,1764,1152,1102
1191,1767,1152,1104
1155,1803,1152,1104
1158,1603,1152,1105
1170,1587,1154,1105
1189,1658,1206,1164
1178,1669,1207,1164
1131,1649,1162,1164
1145,1649,1159,1055
1312,1649,1159,1055
1312,1647,877,1055
1312,1647,980,1002
1312,1647,1038,1002
1312,1637,961,962
1312,1299,1062,860
1282,1296,1071,857
1247,1326,1074,859
1247,1326,1159,854
1247,1309,1215,812
1246,1269,1508,833
1079,1414,1592,811
1079,1372,1614,811
1079,1298,1609,937
1079,1245,1480,1032
1079,1164,1480,1032
1079,1164,1479,989
953,902,1462,946
316,1349,1281,729
607,1303,1247,735
604,1305,1246,451
646,1209,1246,458
650,1194,1178,457
702,1191,1178,467
702,1155,1360,552
740,1158,1392,590
724,1170,1390,590
645,1189,1375,531
646,1178,1374,536
646,1131,1398,536
632,1145,1399,536
509,1312,1399,542
509,1312,1402,598
509,1312,1392,729
