Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2
444,553,734,1155,639,854,977,291,716,1358,776,989,803
436,508,689,1253,639,854,906,354,724,1299,835,657,832
383,561,637,1302,627,869,906,341,730,1306,835,610,757
290,654,611,1264,685,704,1077,318,747,1233,914,580,714
169,778,609,1190,687,690,1153,330,747,1068,1079,667,707
99,848,542,1257,473,904,1138,345,747,1040,1071,588,777
98,842,505,1091,683,904,1138,345,747,989,1087,546,709
98,841,506,1033,741,904,916,567,747,945,920,497,704
85,854,457,1065,758,864,870,653,715,977,917,389,706
84,743,569,1065,713,879,895,658,598,1094,917,367,735
84,694,618,1065,713,879,895,658,579,1112,846,411,731
84,644,668,1065,713,874,900,658,579,1112,704,430,698
84,636,674,1052,707,828,967,658,532,1158,463,430,704
88,641,674,649,1057,877,971,658,532,1108,513,434,712
88,641,674,420,1283,880,883,746,521,917,715,448,712
88,637,670,428,1283,880,883,746,515,852,786,534,668
81,637,634,491,1275,888,805,824,453,888,812,654,746
263,643,634,491,1274,869,808,841,360,930,863,683,904
365,642,640,491,1268,865,765,836,392,927,892,690,959
356,661,642,491,1268,864,766,810,418,811,1008,694,1014
354,657,648,491,1227,839,832,805,423,801,1018,748,1015
381,630,657,510,1209,812,820,846,437,803,1018,803,1015
750,567,720,510,1209,809,821,848,379,857,1022,803,1015
750,557,729,511,1096,922,821,848,378,825,1055,815,1015
750,541,737,515,1100,922,793,876,331,696,1231,815,1015
750,541,737,515,1081,941,793,876,331,673,1254,793,1015
750,541,737,515,1079,943,793,869,326,685,1232,792,1036
750,541,573,679,1079,871,622,1109,321,674,1251,790,1036
750,541,570,682,1079,692,801,1100,330,674,1251,722,1039
750,541,550,702,1079,639,854,1063,367,669,1256,746,914
736,520,527,760,1079,639,854,1044,386,598,1327,780,836
736,444,553,734,1155,639,854,977,291,716,1358,991,738
764,436,508,689,1253,639,854,906,354,724,1299,994,709
771,383,561,637,1302,627,869,906,341,730,1306,978,697
778,290,654,611,1264,685,704,1077,318,747,1233,1049,628
775,169,778,609,1190,687,690,1153,330,747,1068,1086,622
775,99,848,542,1257,473,904,1138,345,747,1040,1304,591
786,98,842,505,1091,683,904,1138,345,747,989,1243,601
786,98,841,506,1033,741,904,916,567,747,945,1240,707
888,85,854,457,1065,758,864,870,653,715,977,1200,706
1042,84,743,569,1065,713,879,895,658,598,1094,1199,704
1063,84,694,618,1065,713,879,895,658,579,1112,1145,801
1083,84,644,668,1065,713,874,900,658,579,1112,1126,914
1086,84,636,674,1052,707,828,967,658,532,1158,1126,930
1077,88,641,674,649,1057,877,971,658,532,1108,1122,1066
1080,88,641,674,420,1283,880,883,746,521,917,1108,1066
1148,88,637,670,428,1283,880,883,746,515,852,1022,1066
1139,81,637,634,491,1275,888,805,824,453,888,902,988
951,263,643,634,491,1274,869,808,841,360,930,873,830
848,365,642,640,491,1268,865,765,836,392,927,866,775
837,356,661,642,491,1268,864,766,810,418,811,884,720
837,354,657,648,491,1227,839,832,805,423,801,830,732
835,381,630,657,510,1209,812,820,846,437,803,775,732
485,750,567,720,510,1209,809,821,848,379,857,775,777
485,750,557,729,511,1096,922,821,848,378,825,763,880
485,750,541,737,515,1100,922,793,876,331,696,776,999
485,750,541,737,515,1081,941,793,876,331,673,835,1016
489,750,541,737,515,1079,943,793,869,326,685,835,1042
489,750,541,573,679,1079,871,622,1109,321,674,914,1206
508,750,541,570,682,1079,692,801,1100,330,674,1079,1294
510,750,541,550,702,1079,639,854,1063,367,669,1071,1328
510,736,520,527,760,1079,639,854,1044,386,598,1087,1412
632,736,444,553,734,1155,639,854,977,291,716,920,1412
672,764,436,508,689,1253,639,854,906,354,724,917,1429
720,771,383,561,637,1302,627,869,906,341,730,917,1499
713,778,290,654,611,1264,685,704,1077,318,747,846,1523
765,775,169,778,609,1190,687,690,1153,330,747,704,1519
780,775,99,848,542,1257,473,904,1138,345,747,463,1509
837,786,98,842,505,1091,683,904,1138,345,747,513,1499
838,786,98,841,506,1033,741,904,916,567,747,715,1315
743,888,85,854,457,1065,758,864,870,653,715,786,1308
592,1042,84,743,569,1065,713,879,895,658,598,812,1281
571,1063,84,694,618,1065,713,879,895,658,579,863,1146
551,1083,84,644,668,1065,713,874,900,658,579,892,1031
548,1086,84,636,674,1052,707,828,967,658,532,1008,1008
548,1077,88,641,674,649,1057,877,971,658,532,1018,870
545,1080,88,641,674,420,1283,880,883,746,521,1018,920
477,1148,88,637,670,428,1283,880,883,746,515,1022,955
466,1139,81,637,634,491,1275,888,805,824,453,1055,992
466,951,263,643,634,491,1274,869,808,841,360,1231,992
462,848,365,642,640,491,1268,865,765,836,392,1254,1207
534,837,356,661,642,491,1268,864,766,810,418,1232,1211
547,837,354,657,648,491,1227,839,832,805,423,1251,1219
571,835,381,630,657,510,1209,812,820,846,437,1251,1224
600,485,750,567,720,510,1209,809,821,848,379,1256,1179
622,485,750,557,729,511,1096,922,821,848,378,1327,1076
648,485,750,541,737,515,1100,922,793,876,331,1358,976
654,485,750,541,737,515,1081,941,793,876,331,1299,972
650,489,750,541,737,515,1079,943,793,869,326,1306,954
650,489,750,541,573,679,1079,871,622,1109,321,1233,831
631,508,750,541,570,682,1079,692,801,1100,330,1068,740
629,510,750,541,550,702,1079,639,854,1063,367,1040,706
629,510,736,520,527,760,1079,639,854,1044,386,989,621
507,632,736,444,553,734,1155,639,854,977,291,945,621
439,672,764,436,508,689,1253,639,854,906,354,977,604
384,720,771,383,561,637,1302,627,869,906,341,1094,534
388,713,778,290,654,611,1264,685,704,1077,318,1112,510
340,765,775,169,778,609,1190,687,690,1153,330,1112,510
326,780,775,99,848,542,1257,473,904,1138,345,1158,475
258,837,786,98,842,505,1091,683,904,1138,345,1108,475
257,838,786,98,841,506,1033,741,904,916,567,917,475
250,743,888,85,854,457,1065,758,864,870,653,852,475
247,592,1042,84,743,569,1065,713,879,895,658,888,475
247,571,1063,84,694,618,1065,713,879,895,658,930,475
247,551,1083,84,644,668,1065,713,874,900,658,927,475
290,548,1086,84,636,674,1052,707,828,967,658,811,475
492,548,1077,88,641,674,649,1057,877,971,658,801,469
578,545,1080,88,641,674,420,1283,880,883,746,803,419
578,477,1148,88,637,670,428,1283,880,883,746,857,384
578,466,1139,81,637,634,491,1275,888,805,824,825,347
578,466,951,263,643,634,491,1274,869,808,841,696,347
578,462,848,365,642,640,491,1268,865,765,836,673,132
505,534,837,356,661,642,491,1268,864,766,810,685,128
492,547,837,354,657,648,491,1227,839,832,805,674,107
448,571,835,381,630,657,510,1209,812,820,846,674,102
471,600,485,750,567,720,510,1209,809,821,848,669,102
451,622,485,750,557,729,511,1096,922,821,848,598,102
479,648,485,750,541,737,515,1100,922,793,876,716,83
473,654,485,750,541,737,515,1081,941,793,876,724,136
473,650,489,750,541,737,515,1079,943,793,869,730,107
473,650,489,750,541,573,679,1079,871,622,1109,747,66
473,631,508,750,541,570,682,1079,692,801,1100,747,66
473,629,510,750,541,550,702,1079,639,854,1063,747,66
473,629,510,736,520,527,760,1079,639,854,1044,747,90
475,507,632,736,444,553,734,1155,639,854,977,747,92
475,439,672,764,436,508,689,1253,639,854,906,715,92
475,384,720,771,383,561,637,1302,627,869,906,598,198
476,388,713,778,290,654,611,1264,685,704,1077,579,279
540,340,765,775,169,778,609,1190,687,690,1153,579,370
683,326,780,775,99,848,542,1257,473,904,1138,532,370
721,258,837,786,98,842,505,1091,683,904,1138,532,398
776,257,838,786,98,841,506,1033,741,904,916,521,413
776,250,743,888,85,854,457,1065,758,864,870,515,433
935,247,592,1042,84,743,569,1065,713,879,895,453,444
983,247,571,1063,84,694,618,1065,713,879,895,360,479
983,247,551,1083,84,644,668,1065,713,874,900,392,638
945,290,548,1086,84,636,674,1052,707,828,967,418,724
743,492,548,1077,88,641,674,649,1057,877,971,423,724
662,578,545,1080,88,641,674,420,1283,880,883,437,762
662,578,477,1148,88,637,670,428,1283,880,883,379,902
703,578,466,1139,81,637,634,491,1275,888,805,378,903
703,578,466,951,263,643,634,491,1274,869,808,331,903
703,578,462,848,365,642,640,491,1268,865,765,331,903
703,505,534,837,356,661,642,491,1268,864,766,326,903
703,492,547,837,354,657,648,491,1227,839,832,321,951
709,448,571,835,381,630,657,510,1209,812,820,330,1112
639,471,600,485,750,567,720,510,1209,809,821,367,1159
648,451,622,485,750,557,729,511,1096,922,821,386,1177
594,479,648,485,750,541,737,515,1100,922,793,291,1183
594,473,654,485,750,541,737,515,1081,941,793,354,1123
594,473,650,489,750,541,737,515,1079,943,793,341,1195
594,473,650,489,750,541,573,679,1079,871,622,318,1443
594,473,631,508,750,541,570,682,1079,692,801,330,1443
594,473,629,510,750,541,550,702,1079,639,854,345,1443
594,473,629,510,736,520,527,760,1079,639,854,345,1419
592,475,507,632,736,444,553,734,1155,639,854,567,1417
650,475,439,672,764,436,508,689,1253,639,854,653,1417
685,475,384,720,771,383,561,637,1302,627,869,658,1311
684,476,388,713,778,290,654,611,1264,685,704,658,1261
661,540,340,765,775,169,778,609,1190,687,690,658,1204
711,683,326,780,775,99,848,542,1257,473,904,658,1278
757,721,258,837,786,98,842,505,1091,683,904,658,1250
702,776,257,838,786,98,841,506,1033,741,904,746,1235
702,776,250,743,888,85,854,457,1065,758,864,746,1220
543,935,247,592,1042,84,743,569,1065,713,879,824,1237
879,983,247,571,1063,84,694,618,1065,713,879,841,1290
879,983,247,551,1083,84,644,668,1065,713,874,836,1175
874,945,290,548,1086,84,636,674,1052,707,828,810,1213
874,743,492,548,1077,88,641,674,649,1057,877,805,1267
869,662,578,545,1080,88,641,674,420,1283,880,846,1230
882,662,578,477,1148,88,637,670,428,1283,880,848,1122
889,703,578,466,1139,81,637,634,491,1275,888,848,1173
889,703,578,466,951,263,643,634,491,1274,869,876,1266
889,703,578,462,848,365,642,640,491,1268,865,876,1383
889,703,505,534,837,356,661,642,491,1268,864,869,1425
905,703,492,547,837,354,657,648,491,1227,839,1109,1448
893,709,448,571,835,381,630,657,510,1209,812,1100,1409
892,639,471,600,485,750,567,720,510,1209,809,1063,1376
881,648,451,622,485,750,557,729,511,1096,922,1044,1399
888,594,479,648,485,750,541,737,515,1100,922,977,1401
888,594,473,654,485,750,541,737,515,1081,941,906,1398
888,594,473,650,489,750,541,737,515,1079,943,906,1374
888,594,473,650,489,750,541,573,679,1079,871,1077,1320
888,594,473,631,508,750,541,570,682,1079,692,1153,1495
888,594,473,629,510,750,541,550,702,1079,639,1138,1529
888,594,473,629,510,736,520,527,760,1079,639,1138,1589
898,592,475,507,632,736,444,553,734,1155,639,916,1618
892,650,475,439,672,764,436,508,689,1253,639,870,1618
896,685,475,384,720,771,383,561,637,1302,627,895,1713
933,684,476,388,713,778,290,654,611,1264,685,895,1689
888,661,540,340,765,775,169,778,609,1190,687,900,1656
694,711,683,326,780,775,99,848,542,1257,473,967,1583
655,757,721,258,837,786,98,842,505,1091,683,971,1591
750,702,776,257,838,786,98,841,506,1033,741,883,1593
750,702,776,250,743,888,85,854,457,1065,758,883,1588
750,543,935,247,592,1042,84,743,569,1065,713,805,1560
366,879,983,247,571,1063,84,694,618,1065,713,808,1472
471,879,983,247,551,1083,84,644,668,1065,713,765,1428
490,874,945,290,548,1086,84,636,674,1052,707,766,1304
508,874,743,492,548,1077,88,641,674,649,1057,832,1307
511,869,662,578,545,1080,88,641,674,420,1283,820,1382
498,882,662,578,477,1148,88,637,670,428,1283,821,1417
508,889,703,578,466,1139,81,637,634,491,1275,821,1369
705,889,703,578,466,951,263,643,634,491,1274,793,1313
727,889,703,578,462,848,365,642,640,491,1268,793,1197
727,889,703,505,534,837,356,661,642,491,1268,793,1155
711,905,703,492,547,837,354,657,648,491,1227,622,1084
749,893,709,448,571,835,381,630,657,510,1209,801,962
749,892,639,471,600,485,750,567,720,510,1209,854,992
754,881,648,451,622,485,750,557,729,511,1096,854,995
747,888,594,479,648,485,750,541,737,515,1100,854,987
747,888,594,473,654,485,750,541,737,515,1081,854,984
747,888,594,473,650,489,750,541,737,515,1079,869,936
786,888,594,473,650,489,750,541,573,679,1079,704,834
786,888,594,473,631,508,750,541,570,682,1079,690,659
786,888,594,473,629,510,750,541,550,702,1079,904,625
786,888,594,473,629,510,736,520,527,760,1079,904,565
776,898,592,475,507,632,736,444,553,734,1155,904,840
743,892,650,475,439,672,764,436,508,689,1253,864,881
704,896,685,475,384,720,771,383,561,637,1302,879,810
663,933,684,476,388,713,778,290,654,611,1264,879,899
832,888,661,540,340,765,775,169,778,609,1190,874,907
855,694,711,683,326,780,775,99,848,542,1257,828,906
810,655,757,721,258,837,786,98,842,505,1091,877,903
935,750,702,776,257,838,786,98,841,506,1033,880,901
935,750,702,776,250,743,888,85,854,457,1065,880,901
935,750,543,935,247,592,1042,84,743,569,1065,888,952
935,366,879,983,247,571,1063,84,694,618,1065,869,1009
830,471,879,983,247,551,1083,84,644,668,1065,865,1035
811,490,874,945,290,548,1086,84,636,674,1052,864,1035
793,508,874,743,492,548,1077,88,641,674,649,839,1028
790,511,869,662,578,545,1080,88,641,674,420,812,963
793,498,882,662,578,477,1148,88,637,670,428,809,974
735,508,889,703,578,466,1139,81,637,634,491,922,1304
538,705,889,703,578,466,951,263,643,634,491,922,1268
516,727,889,703,578,462,848,365,642,640,491,941,1267
533,727,889,703,505,534,837,356,661,642,491,943,1267
533,711,905,703,492,547,837,354,657,648,491,871,1267
