Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
512,415,2031,1049,509
543,316,2130,1091,488
590,296,2088,1168,457
633,274,2086,1240,410
611,293,2089,1339,403
611,293,2089,1360,403
628,291,2008,1391,403
665,291,2008,1391,403
680,281,2038,1382,403
675,255,2069,1315,403
635,279,2017,1184,403
589,330,1971,1135,403
582,343,1965,1141,350
588,355,1966,1142,350
592,311,1940,1169,350
590,295,1956,1242,350
607,265,1986,1123,295
582,290,1955,1160,315
490,382,1939,1229,389
487,384,1940,1139,321
487,384,1940,1021,319
486,385,1939,1021,346
486,385,1883,1019,244
486,390,1661,962,248
530,393,1347,867,248
526,482,1181,823,250
473,516,1182,815,253
536,523,1139,814,253
536,523,765,785,247
536,513,683,785,211
536,512,624,772,209
536,512,415,763,209
505,543,316,622,209
458,590,296,540,179
438,633,274,468,185
468,611,293,369,228
519,611,293,348,228
549,628,291,320,228
514,665,291,320,228
466,680,281,320,228
466,675,255,320,246
467,635,279,320,259
462,589,330,320,380
456,582,343,313,538
437,588,355,308,627
434,592,311,281,636
439,590,295,208,636
426,607,265,204,643
457,582,290,114,790
511,490,382,18,709
581,487,384,11,717
640,487,384,20,731
720,486,385,44,692
733,486,385,44,703
743,486,390,40,847
696,530,393,38,1129
611,526,482,38,1244
565,473,516,38,1244
494,536,523,59,1244
546,536,523,60,1245
604,536,513,61,1245
683,536,512,80,1299
744,536,512,281,1321
761,505,543,322,1334
761,458,590,364,1334
745,438,633,496,1328
744,468,611,625,1268
707,519,611,625,1268
694,549,628,620,1268
692,514,665,625,1268
691,466,680,626,1268
691,466,675,628,1250
690,467,635,629,1253
690,462,589,631,1133
690,456,582,631,975
690,437,588,631,886
710,434,592,631,882
710,439,590,631,925
708,426,607,632,926
705,457,582,635,753
692,511,490,635,748
648,581,487,655,759
589,640,487,646,745
525,720,486,622,757
539,733,486,627,744
543,743,486,629,596
636,696,530,629,347
636,611,526,629,232
636,565,473,629,229
636,494,536,608,229
584,546,536,607,228
533,604,536,650,228
473,683,536,895,177
413,744,536,809,158
396,761,505,800,155
402,761,458,892,174
462,745,438,856,174
433,744,468,729,174
419,707,519,782,174
381,694,549,813,174
395,692,514,813,174
511,691,466,815,174
555,691,466,813,174
774,690,467,815,159
787,690,462,926,158
787,690,456,927,158
787,690,437,975,158
767,710,434,1042,153
762,710,439,1042,110
784,708,426,1119,102
789,705,457,1123,102
773,692,511,1123,102
773,648,581,1103,83
773,589,640,1105,83
757,525,720,1114,98
731,539,733,1245,195
712,543,743,1385,242
619,636,696,1423,220
619,636,611,1423,229
619,636,565,1423,229
685,636,494,1450,229
685,584,546,1519,229
678,533,604,1475,229
661,473,683,1211,227
663,413,744,1097,427
668,396,761,1069,517
693,402,761,937,516
626,462,745,841,517
626,433,744,839,587
675,419,707,786,617
681,381,694,755,638
673,395,692,750,653
595,511,691,747,653
551,555,691,747,653
332,774,690,744,678
319,787,690,631,710
327,787,690,630,710
368,787,690,582,849
369,767,710,515,851
367,762,710,515,927
343,784,708,437,1054
311,789,705,430,1054
286,773,692,430,1054
260,773,648,430,1054
260,773,589,448,1054
260,757,525,454,1027
259,731,539,369,930
293,712,543,460,883
293,619,636,430,872
316,619,636,431,861
316,619,636,553,861
250,685,636,526,861
285,685,584,513,861
396,678,533,513,861
443,661,473,513,860
487,663,413,512,657
488,668,396,512,557
517,693,402,620,731
540,626,462,620,866
540,626,433,628,796
491,675,419,628,766
485,681,381,644,885
492,673,395,676,870
822,595,511,680,1077
822,551,555,732,1116
822,332,774,756,1090
822,319,787,771,1092
814,327,787,775,1310
773,368,787,776,1171
770,369,767,776,1178
779,367,762,776,1144
813,343,784,776,1098
812,311,789,776,1180
812,286,773,776,1410
812,260,773,776,1516
812,260,773,764,1606
930,260,757,749,1747
1024,259,731,716,1843
991,293,712,485,1843
1016,293,619,477,1871
1053,316,619,514,1911
1053,316,619,410,1921
1053,250,685,410,1989
1018,285,685,354,2059
907,396,678,354,2314
858,443,661,354,2317
1022,487,663,354,2322
1062,488,668,410,2331
1003,517,693,301,2139
980,540,626,314,2003
980,540,626,339,2003
980,491,675,356,2003
1190,485,681,360,1868
1177,492,673,424,1868
809,822,595,421,1766
824,822,551,391,1727
824,822,332,454,1727
824,822,319,543,1821
824,814,327,540,1628
824,773,368,539,1679
824,770,369,539,1701
826,779,367,539,1659
792,813,343,539,1578
792,812,311,552,1496
792,812,286,552,1283
792,812,260,552,1189
792,812,260,544,1099
674,930,260,544,959
580,1024,259,526,863
579,991,293,587,863
554,1016,293,587,848
494,1053,316,549,866
494,1053,316,560,866
