Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2
901,848,531,812,1119,444
1010,850,518,825,1106,436
1092,849,385,959,1050,383
1091,832,406,959,1049,290
1086,820,423,959,974,169
1314,821,394,988,919,99
1335,722,519,989,886,98
1203,754,627,951,802,98
1293,702,708,770,798,85
1287,612,804,718,706,84
1306,559,858,717,692,84
1325,410,1013,717,691,84
1365,388,1046,717,709,84
1364,306,1134,689,709,88
1415,302,1138,689,709,88
1384,332,1108,720,774,88
1369,347,1034,722,845,81
1359,377,1034,634,845,263
1255,480,1035,634,840,365
1248,495,944,727,833,356
1166,577,909,762,815,354
1026,717,909,762,645,381
919,809,924,762,634,750
844,883,888,799,602,750
868,884,888,730,549,750
898,882,890,526,549,750
896,883,891,525,519,750
900,887,893,512,535,750
928,889,893,511,468,750
928,852,930,507,417,750
928,851,915,523,351,736
878,901,848,531,357,736
770,1010,850,518,441,764
708,1092,849,385,604,771
705,1091,832,406,607,778
705,1086,820,423,644,775
476,1314,821,394,644,775
428,1335,722,519,641,786
428,1203,754,627,641,786
309,1293,702,708,628,888
311,1287,612,804,621,1042
309,1306,559,858,622,1063
347,1325,410,1013,622,1083
316,1365,388,1046,601,1086
321,1364,306,1134,620,1077
351,1415,302,1138,627,1080
359,1384,332,1108,562,1148
359,1369,347,1034,517,1139
339,1359,377,1034,556,951
339,1255,480,1035,556,848
337,1248,495,944,556,837
337,1166,577,909,570,837
337,1026,717,909,574,835
337,919,809,924,708,485
367,844,883,888,708,485
342,868,884,888,749,485
391,898,882,890,778,485
399,896,883,891,804,489
388,900,887,893,982,489
358,928,889,893,935,508
358,928,852,930,931,510
358,928,851,915,910,510
358,878,901,848,901,632
355,770,1010,850,816,672
378,708,1092,849,692,720
378,705,1091,832,689,713
378,705,1086,820,652,765
378,476,1314,821,652,780
378,428,1335,722,652,837
370,428,1203,754,652,838
370,309,1293,702,652,743
388,311,1287,612,652,592
375,309,1306,559,651,571
312,347,1325,410,651,551
297,316,1365,388,651,548
296,321,1364,306,632,548
215,351,1415,302,625,545
219,359,1384,332,628,477
219,359,1369,347,782,466
219,339,1359,377,820,466
219,339,1255,480,824,462
211,337,1248,495,824,534
211,337,1166,577,804,547
211,337,1026,717,797,571
211,337,919,809,790,600
181,367,844,883,807,622
181,342,868,884,784,648
102,391,898,882,816,654
94,399,896,883,821,650
124,388,900,887,645,650
154,358,928,889,628,631
197,358,928,852,688,629
259,358,928,851,697,629
330,358,878,901,736,507
330,355,770,1010,739,439
297,378,708,1092,700,384
297,378,705,1091,700,388
297,378,705,1086,725,340
297,378,476,1314,725,326
297,378,428,1335,725,258
297,370,428,1203,725,257
317,370,309,1293,731,250
297,388,311,1287,735,247
292,375,309,1306,735,247
292,312,347,1325,735,247
287,297,316,1365,735,290
295,296,321,1364,735,492
295,215,351,1415,735,578
283,219,359,1384,732,578
283,219,359,1369,552,578
