Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2
521,501,703,244,473,1048,582
522,492,671,285,473,1354,569
522,432,647,369,473,1398,558
522,409,640,399,473,1532,514
538,409,640,399,473,1532,472
576,409,629,410,473,1532,472
577,409,558,481,473,1532,472
660,409,403,627,482,1532,472
683,409,366,517,629,1532,472
703,409,366,517,629,1532,472
901,415,365,518,629,1532,472
1050,433,363,491,658,1527,472
1017,549,381,491,658,1528,472
985,648,381,491,658,1521,472
1026,612,418,491,658,1493,507
1079,612,418,491,658,1489,517
1118,534,496,491,658,1489,517
1127,475,555,491,658,1489,517
1179,477,561,491,479,1517,563
1086,574,563,491,350,1506,586
1073,587,563,491,350,1500,573
1073,587,563,491,350,1372,572
1050,608,565,491,350,1371,650
1072,581,592,459,382,1332,701
1080,585,592,453,388,1318,650
1102,553,624,453,388,1241,767
1026,588,673,453,388,1213,777
1016,567,717,453,388,1279,642
1017,567,695,473,390,1151,487
1017,565,680,471,400,1058,487
1049,521,678,517,250,1020,490
1091,521,501,703,244,782,491
1091,522,492,671,285,550,491
1091,522,432,647,369,564,491
1091,522,409,640,399,437,495
1075,538,409,640,399,438,541
1042,576,409,629,410,438,546
1082,577,409,558,481,443,592
1059,660,409,403,627,445,607
1036,683,409,366,517,445,870
1021,703,409,366,517,445,925
817,901,415,365,518,445,980
650,1050,433,363,491,445,1012
549,1017,549,381,491,443,1212
482,985,648,381,491,443,1216
440,1026,612,418,491,434,1181
387,1079,612,418,491,434,1171
348,1118,534,496,491,434,1171
339,1127,475,555,491,434,1211
279,1179,477,561,491,406,1275
273,1086,574,563,491,361,1382
273,1073,587,563,491,342,1380
293,1073,587,563,491,314,1419
293,1050,608,565,491,312,1435
273,1072,581,592,459,312,1402
292,1080,585,592,453,312,1469
271,1102,553,624,453,286,1491
271,1026,588,673,453,267,1457
314,1016,567,717,453,198,1448
313,1017,567,695,473,324,1448
313,1017,565,680,471,366,1448
281,1049,521,678,517,367,1445
230,1091,521,501,703,364,1444
235,1091,522,492,671,262,1444
241,1091,522,432,647,329,1469
266,1091,522,409,640,322,1479
266,1075,538,409,640,321,1433
263,1042,576,409,629,321,1428
228,1082,577,409,558,316,1382
168,1059,660,409,403,317,1367
255,1036,683,409,366,317,1105
251,1021,703,409,366,317,1050
251,817,901,415,365,317,1091
251,650,1050,433,363,317,1059
251,549,1017,549,381,317,859
251,482,985,648,381,317,855
251,440,1026,612,418,317,1089
290,387,1079,612,418,317,1246
362,348,1118,534,496,317,1349
396,339,1127,475,555,317,1368
443,279,1179,477,561,317,1260
447,273,1086,574,563,317,1130
447,273,1073,587,563,317,1130
427,293,1073,587,563,402,1080
427,293,1050,608,565,438,986
425,273,1072,581,592,438,960
394,292,1080,585,592,440,857
393,271,1102,553,624,440,718
385,271,1026,588,673,471,694
329,314,1016,567,717,469,693
329,313,1017,567,695,422,693
415,313,1017,565,680,409,693
417,281,1049,521,678,409,693
453,230,1091,521,501,409,693
517,235,1091,522,492,410,693
526,241,1091,522,432,282,668
512,266,1091,522,409,282,654
529,266,1075,538,409,282,654
527,263,1042,576,409,282,654
523,228,1082,577,409,285,654
523,168,1059,660,409,282,654
436,255,1036,683,409,282,653
435,251,1021,703,409,282,653
435,251,817,901,415,282,585
435,251,650,1050,433,282,646
435,251,549,1017,549,282,706
443,251,482,985,648,282,708
472,251,440,1026,612,282,530
515,290,387,1079,612,282,433
446,362,348,1118,534,282,330
412,396,339,1127,475,283,271
514,443,279,1179,477,284,267
510,447,273,1086,574,284,267
510,447,273,1073,587,284,267
510,427,293,1073,587,202,267
510,427,293,1050,608,287,295
542,425,273,1072,581,299,328
563,394,292,1080,585,326,393
569,393,271,1102,553,370,405
569,385,271,1026,588,518,430
571,329,314,1016,567,525,465
571,329,313,1017,567,432,466
523,415,313,1017,565,403,498
538,417,281,1049,521,402,750
503,453,230,1091,521,402,809
502,517,235,1091,522,401,818
694,526,241,1091,522,401,818
892,512,266,1091,522,405,818
877,529,266,1075,538,413,818
877,527,263,1042,576,413,818
984,523,228,1082,577,410,820
984,523,168,1059,660,452,820
992,436,255,1036,683,464,833
992,435,251,1021,703,500,869
992,435,251,817,901,500,841
992,435,251,650,1050,506,780
992,435,251,549,1017,574,720
984,443,251,482,985,821,827
955,472,251,440,1026,1091,771
873,515,290,387,1079,1091,711
870,446,362,348,1118,1121,711
870,412,396,339,1127,1158,727
721,514,443,279,1179,1157,739
721,510,447,273,1086,1247,745
721,510,447,273,1073,1247,756
721,510,427,293,1073,1244,767
721,510,427,293,1050,1123,739
689,542,425,273,1072,1111,711
668,563,394,292,1080,1179,646
675,569,393,271,1102,1135,634
675,569,385,271,1026,956,609
673,571,329,314,1016,949,574
707,571,329,313,1017,984,573
669,523,415,313,1017,1005,559
710,538,417,281,1049,1022,382
709,503,453,230,1091,1046,334
640,502,517,235,1091,1046,461
433,694,526,241,1091,1046,461
224,892,512,266,1091,1131,465
222,877,529,266,1075,1123,488
295,877,527,263,1042,1161,504
208,984,523,228,1082,1161,517
299,984,523,168,1059,1120,523
291,992,436,255,1036,1108,510
291,992,435,251,1021,1240,474
291,992,435,251,817,1240,476
291,992,435,251,650,1234,476
291,992,435,251,549,1230,476
305,984,443,251,482,983,367
326,955,472,251,440,713,367
326,873,515,290,387,713,367
327,870,446,362,348,683,367
423,870,412,396,339,645,351
423,721,514,443,279,645,339
444,721,510,447,273,555,333
444,721,510,447,273,555,322
444,721,510,427,293,555,311
444,721,510,427,293,555,311
444,689,542,425,273,555,330
444,668,563,394,292,458,330
431,675,569,393,271,484,330
484,675,569,385,271,523,340
587,673,571,329,314,549,408
568,707,571,329,313,537,492
606,669,523,415,313,611,474
548,710,538,417,281,594,415
548,709,503,453,230,570,406
623,640,502,517,235,570,270
671,433,694,526,241,570,270
695,224,892,512,266,481,274
705,222,877,529,266,481,465
634,295,877,527,263,443,449
614,208,984,523,228,443,436
523,299,984,523,168,442,524
523,291,992,436,255,442,538
523,291,992,435,251,274,541
523,291,992,435,251,281,539
525,291,992,435,251,281,561
661,291,992,435,251,217,561
715,305,984,443,251,217,561
724,326,955,472,251,232,561
776,326,873,515,290,392,561
775,327,870,446,362,392,561
679,423,870,412,396,392,564
679,423,721,514,443,396,569
681,444,721,510,447,398,571
689,444,721,510,447,471,571
689,444,721,510,427,493,571
689,444,721,510,427,493,571
689,444,689,542,425,493,547
689,444,668,563,394,532,557
689,431,675,569,393,506,598
636,484,675,569,385,467,605
533,587,673,571,329,441,600
525,568,707,571,329,417,555
506,606,669,523,415,322,593
506,548,710,538,417,322,577
506,548,709,503,453,322,594
454,623,640,502,517,322,594
406,671,433,694,526,322,596
382,695,224,892,512,322,622
499,705,222,877,529,322,466
497,634,295,877,527,322,469
567,614,208,984,523,322,467
654,523,299,984,523,322,373
682,523,291,992,436,322,359
682,523,291,992,435,322,356
863,523,291,992,435,315,356
900,525,291,992,435,494,334
995,661,291,992,435,623,334
927,715,305,984,443,623,363
1010,724,326,955,472,608,371
982,776,326,873,515,448,424
982,775,327,870,446,448,427
983,679,423,870,412,448,464
1022,679,423,721,514,444,542
1097,681,444,721,510,442,544
1112,689,444,721,510,369,663
1124,689,444,721,510,347,956
1221,689,444,721,510,356,967
1249,689,444,689,542,506,1206
1278,689,444,668,563,473,1196
1278,689,431,675,569,473,1155
1278,636,484,675,569,473,1138
1278,533,587,673,571,473,1075
1271,525,568,707,571,473,1055
1252,506,606,669,523,473,1043
1252,506,548,710,538,473,1043
1252,506,548,709,503,482,1024
1229,454,623,640,502,629,1024
1229,406,671,433,694,629,1022
1229,382,695,224,892,629,989
1233,499,705,222,877,658,1126
1239,497,634,295,877,658,1123
1167,567,614,208,984,658,1123
1081,654,523,299,984,658,1123
1053,682,523,291,992,658,1123
1056,682,523,291,992,658,1123
875,863,523,291,992,658,1123
836,900,525,291,992,479,1123
641,995,661,291,992,350,1123
641,927,715,305,984,350,1094
539,1010,724,326,955,350,1086
518,982,776,326,873,350,1033
537,982,775,327,870,382,1144
654,983,679,423,870,388,1112
620,1022,679,423,721,388,1029
562,1097,681,444,721,388,1060
539,1112,689,444,721,388,1025
549,1124,689,444,721,390,742
453,1221,689,444,721,400,731
427,1249,689,444,689,250,492
456,1278,689,444,668,244,492
456,1278,689,431,675,285,492
456,1278,636,484,675,369,492
456,1278,533,587,673,399,493
456,1271,525,568,707,399,474
509,1252,506,606,669,410,502
512,1252,506,548,710,481,515
518,1252,506,548,709,627,515
537,1229,454,623,640,517,515
551,1229,406,671,433,517,515
551,1229,382,695,224,518,514
420,1233,499,705,222,491,319
414,1239,497,634,295,491,337
425,1167,567,614,208,491,340
456,1081,654,523,299,491,340
478,1053,682,523,291,491,370
552,1056,682,523,291,491,496
624,875,863,523,291,491,550
645,836,900,525,291,491,581
618,641,995,661,291,491,581
757,641,927,715,305,491,596
746,539,1010,724,326,491,703
743,518,982,776,326,491,950
724,537,982,775,327,459,871
643,654,983,679,423,453,905
638,620,1022,679,423,453,1257
598,562,1097,681,444,453,1400
715,539,1112,689,444,453,1421
713,549,1124,689,444,473,1411
753,453,1221,689,444,471,1412
753,427,1249,689,444,517,1413
695,456,1278,689,444,703,1416
713,456,1278,689,431,671,1465
766,456,1278,636,484,647,1651
839,456,1278,533,587,640,1702
848,456,1271,525,568,640,1720
795,509,1252,506,606,629,1666
834,512,1252,506,548,558,1716
828,518,1252,506,548,403,1739
810,537,1229,454,623,366,1857
842,551,1229,406,671,366,1886
852,551,1229,382,695,365,2073
852,420,1233,499,705,363,2089
854,414,1239,497,634,381,2072
843,425,1167,567,614,381,2111
811,456,1081,654,523,418,2138
789,478,1053,682,523,418,2154
715,552,1056,682,523,496,2127
651,624,875,863,523,555,2080
742,645,836,900,525,561,2049
733,618,641,995,661,563,2049
594,757,641,927,715,563,2034
607,746,539,1010,724,563,1984
619,743,518,982,776,565,1742
629,724,537,982,775,592,1731
592,643,654,983,679,592,1697
592,638,620,1022,679,624,1406
616,598,562,1097,681,673,1228
499,715,539,1112,689,717,1123
481,713,549,1124,689,695,1132
440,753,453,1221,689,680,1141
438,753,427,1249,689,678,1144
457,695,456,1278,689,501,1209
452,713,456,1278,689,492,1188
399,766,456,1278,636,432,1005
326,839,456,1278,533,409,953
317,848,456,1271,525,409,935
317,795,509,1252,506,409,935
275,834,512,1252,506,409,872
275,828,518,1252,506,409,849
274,810,537,1229,454,409,731
228,842,551,1229,406,409,702
218,852,551,1229,382,415,515
218,852,420,1233,499,433,504
216,854,414,1239,497,549,504
216,843,425,1167,567,648,469
216,811,456,1081,654,612,479
272,789,478,1053,682,612,437
356,715,552,1056,682,534,338
440,651,624,875,863,475,331
344,742,645,836,900,477,331
344,733,618,641,995,574,387
344,594,757,641,927,587,412
346,607,746,539,1010,587,511
365,619,743,518,982,608,509
402,629,724,537,982,581,524
419,592,643,654,983,585,530
419,592,638,620,1022,553,572
395,616,598,562,1097,588,619
411,499,715,539,1112,567,624
411,481,713,549,1124,567,758
411,440,753,453,1221,565,841
433,438,753,427,1249,521,875
441,457,695,456,1278,521,1048
428,452,713,456,1278,522,1354
433,399,766,456,1278,522,1398
433,326,839,456,1278,522,1532
485,317,848,456,1271,538,1532
485,317,795,509,1252,576,1532
486,275,834,512,1252,577,1532
517,275,828,518,1252,660,1532
517,274,810,537,1229,683,1532
532,228,842,551,1229,703,1532
538,218,852,551,1229,901,1532
578,218,852,420,1233,1050,1527
578,216,854,414,1239,1017,1528
578,216,843,425,1167,985,1521
578,216,811,456,1081,1026,1493
522,272,789,478,1053,1079,1489
515,356,715,552,1056,1118,1489
513,440,651,624,875,1127,1489
506,344,742,645,836,1179,1517
650,344,733,618,641,1086,1506
650,344,594,757,641,1073,1500
635,346,607,746,539,1073,1372
608,365,619,743,518,1050,1371
562,402,629,724,537,1072,1332
545,419,592,643,654,1080,1318
545,419,592,638,620,1102,1241
545,395,616,598,562,1026,1213
530,411,499,715,539,1016,1279
528,411,481,713,549,1017,1151
530,411,440,753,453,1017,1058
525,433,438,753,427,1049,1020
500,441,457,695,456,1091,782
516,428,452,713,456,1091,550
513,433,399,766,456,1091,564
513,433,326,839,456,1091,437
461,485,317,848,456,1075,438
461,485,317,795,509,1042,438
460,486,275,834,512,1082,443
429,517,275,828,518,1059,445
429,517,274,810,537,1036,445
479,532,228,842,551,1021,445
518,538,218,852,551,817,445
593,578,218,852,420,650,445
726,578,216,854,414,549,443
745,578,216,843,425,482,443
746,578,216,811,456,440,434
746,522,272,789,478,387,434
666,515,356,715,552,348,434
605,513,440,651,624,339,434
609,506,344,742,645,279,406
526,650,344,733,618,273,361
558,650,344,594,757,273,342
558,635,346,607,746,293,314
555,608,365,619,743,293,312
555,562,402,629,724,273,312
555,545,419,592,643,292,312
568,545,419,592,638,271,286
568,545,395,616,598,271,267
567,530,411,499,715,314,198
567,528,411,481,713,313,324
565,530,411,440,753,313,366
548,525,433,438,753,281,367
553,500,441,457,695,230,364
543,516,428,452,713,235,262
544,513,433,399,766,241,329
550,513,433,326,839,266,322
554,461,485,317,848,266,321
560,461,485,317,795,263,321
560,460,486,275,834,228,316
573,429,517,275,828,168,317
594,429,517,274,810,255,317
529,479,532,228,842,251,317
484,518,538,218,852,251,317
369,593,578,218,852,251,317
236,726,578,216,854,251,317
217,745,578,216,843,251,317
216,746,578,216,811,251,317
216,746,522,272,789,290,317
216,666,515,356,715,362,317
187,605,513,440,651,396,317
190,609,506,344,742,443,317
129,526,650,344,733,447,317
106,558,650,344,594,447,317
106,558,635,346,607,427,402
162,555,608,365,619,427,438
184,555,562,402,629,425,438
189,555,545,419,592,394,440
227,568,545,419,592,393,440
252,568,545,395,616,385,471
252,567,530,411,499,329,469
252,567,528,411,481,329,422
252,565,530,411,440,415,409
252,548,525,433,438,417,409
263,553,500,441,457,453,409
265,543,516,428,452,517,410
318,544,513,433,399,526,282
340,550,513,433,326,512,282
342,554,461,485,317,529,282
336,560,461,485,317,527,282
336,560,460,486,275,523,285
323,573,429,517,275,523,282
302,594,429,517,274,436,282
302,529,479,532,228,435,282
302,484,518,538,218,435,282
342,369,593,578,218,435,282
383,236,726,578,216,435,282
383,217,745,578,216,443,282
406,216,746,578,216,472,282
470,216,746,522,272,515,282
476,216,666,515,356,446,282
476,187,605,513,440,412,283
460,190,609,506,344,514,284
463,129,526,650,344,510,284
455,106,558,650,344,510,284
564,106,558,635,346,510,202
568,162,555,608,365,510,287
545,184,555,562,402,542,299
551,189,555,545,419,563,326
500,227,568,545,419,569,370
475,252,568,545,395,569,518
475,252,567,530,411,571,525
475,252,567,528,411,571,432
545,252,565,530,411,523,403
568,252,548,525,433,538,402
559,263,553,500,441,503,402
565,265,543,516,428,502,401
607,318,544,513,433,694,401
590,340,550,513,433,892,405
584,342,554,461,485,877,413
584,336,560,461,485,877,413
584,336,560,460,486,984,410
584,323,573,429,517,984,452
677,302,594,429,517,992,464
766,302,529,479,532,992,500
766,302,484,518,538,992,500
726,342,369,593,578,992,506
685,383,236,726,578,992,574
685,383,217,745,578,984,821
662,406,216,746,578,955,1091
723,470,216,746,522,873,1091
721,476,216,666,515,870,1121
722,476,187,605,513,870,1158
737,460,190,609,506,721,1157
734,463,129,526,650,721,1247
733,455,106,558,650,721,1247
624,564,106,558,635,721,1244
563,568,162,555,608,721,1123
563,545,184,555,562,689,1111
796,551,189,555,545,668,1179
796,500,227,568,545,675,1135
796,475,252,568,545,675,956
796,475,252,567,530,673,949
796,475,252,567,528,707,984
772,545,252,565,530,669,1005
749,568,252,548,525,710,1022
740,559,263,553,500,709,1046
758,565,265,543,516,640,1046
660,607,318,544,513,433,1046
649,590,340,550,513,224,1131
649,584,342,554,461,222,1123
649,584,336,560,461,295,1161
649,584,336,560,460,208,1161
649,584,323,573,429,299,1120
556,677,302,594,429,291,1108
468,766,302,529,479,291,1240
468,766,302,484,518,291,1240
468,726,342,369,593,291,1234
468,685,383,236,726,291,1230
468,685,383,217,745,305,983
468,662,406,216,746,326,713
343,723,470,216,746,326,713
339,721,476,216,666,327,683
338,722,476,187,605,423,645
323,737,460,190,609,423,645
323,734,463,129,526,444,555
325,733,455,106,558,444,555
326,624,564,106,558,444,555
326,563,568,162,555,444,555
376,563,545,184,555,444,555
334,796,551,189,555,444,458
392,796,500,227,568,431,484
456,796,475,252,568,484,523
505,796,475,252,567,587,549
505,796,475,252,567,568,537
493,772,545,252,565,606,611
507,749,568,252,548,548,594
759,740,559,263,553,548,570
772,758,565,265,543,623,570
848,660,607,318,544,671,570
848,649,590,340,550,695,481
848,649,584,342,554,705,481
848,649,584,336,560,634,443
848,649,584,336,560,614,443
848,649,584,323,573,523,442
848,556,677,302,594,523,442
847,468,766,302,529,523,274
847,468,766,302,484,523,281
847,468,726,342,369,525,281
957,468,685,383,236,661,217
957,468,685,383,217,715,217
1024,468,662,406,216,724,232
1024,343,723,470,216,776,392
1024,339,721,476,216,775,392
1027,338,722,476,187,679,392
1076,323,737,460,190,679,396
1093,323,734,463,129,681,398
1091,325,733,455,106,689,471
1134,326,624,564,106,689,493
1273,326,563,568,162,689,493
1657,376,563,545,184,689,493
1456,334,796,551,189,689,532
1398,392,796,500,227,689,506
1334,456,796,475,252,636,467
1285,505,796,475,252,533,441
1286,505,796,475,252,525,417
1252,493,772,545,252,506,322
1297,507,749,568,252,506,322
1045,759,740,559,263,506,322
1055,772,758,565,265,454,322
1007,848,660,607,318,406,322
1007,848,649,590,340,382,322
1007,848,649,584,342,499,322
1019,848,649,584,336,497,322
1032,848,649,584,336,567,322
1135,848,649,584,323,654,322
1249,848,556,677,302,682,322
1249,847,468,766,302,682,322
1249,847,468,766,302,863,315
