Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2
2057,116,295,458,817,536,901,1119
2057,167,299,458,817,536,1010,1106
1690,579,310,458,817,536,1092,1050
1871,589,336,458,811,542,1091,1049
1902,564,369,443,770,598,1086,974
1787,698,311,501,639,729,1314,919
1792,708,306,505,540,829,1335,886
1719,784,293,478,579,832,1203,802
1719,784,271,500,440,971,1293,798
1715,788,270,490,401,1021,1287,706
1654,860,269,490,402,1004,1306,692
1464,1055,268,237,656,1004,1325,691
1311,1208,266,239,642,997,1365,709
1217,1302,266,229,651,977,1364,709
911,1608,266,229,633,980,1415,709
860,1659,266,229,633,980,1384,774
852,1671,266,229,633,854,1369,845
897,1669,207,245,676,725,1359,845
948,1690,126,270,734,710,1255,840
1015,1719,124,251,753,705,1248,833
1006,1737,124,251,753,700,1166,815
985,1758,124,251,723,728,1026,645
967,1776,124,251,723,714,919,634
964,1779,120,255,723,712,844,602
973,1779,96,279,698,718,868,549
973,1778,97,279,663,753,898,549
968,1783,97,279,599,805,896,519
925,1826,97,279,458,861,900,535
941,1841,93,283,458,822,928,468
904,1872,87,295,458,822,928,417
903,1883,95,295,458,822,928,351
708,2057,116,295,458,817,878,357
653,2057,167,299,458,817,770,441
597,1690,579,310,458,817,708,604
380,1871,589,336,458,811,705,607
341,1902,564,369,443,770,705,644
323,1787,698,311,501,639,476,644
308,1792,708,306,505,540,428,641
303,1719,784,293,478,579,428,641
303,1719,784,271,500,440,309,628
303,1715,788,270,490,401,311,621
292,1654,860,269,490,402,309,622
290,1464,1055,268,237,656,347,622
309,1311,1208,266,239,642,316,601
341,1217,1302,266,229,651,321,620
343,911,1608,266,229,633,351,627
344,860,1659,266,229,633,359,562
357,852,1671,266,229,633,359,517
357,897,1669,207,245,676,339,556
283,948,1690,126,270,734,339,556
187,1015,1719,124,251,753,337,556
178,1006,1737,124,251,753,337,570
181,985,1758,124,251,723,337,574
186,967,1776,124,251,723,337,708
192,964,1779,120,255,723,367,708
183,973,1779,96,279,698,342,749
183,973,1778,97,279,663,391,778
183,968,1783,97,279,599,399,804
183,925,1826,97,279,458,388,982
154,941,1841,93,283,458,358,935
155,904,1872,87,295,458,358,931
174,903,1883,95,295,458,358,910
202,708,2057,116,295,458,358,901
202,653,2057,167,299,458,355,816
221,597,1690,579,310,458,378,692
221,380,1871,589,336,458,378,689
221,341,1902,564,369,443,378,652
224,323,1787,698,311,501,378,652
226,308,1792,708,306,505,378,652
226,303,1719,784,293,478,370,652
226,303,1719,784,271,500,370,652
227,303,1715,788,270,490,388,652
227,292,1654,860,269,490,375,651
224,290,1464,1055,268,237,312,651
221,309,1311,1208,266,239,297,651
272,341,1217,1302,266,229,296,632
271,343,911,1608,266,229,215,625
270,344,860,1659,266,229,219,628
253,357,852,1671,266,229,219,782
208,357,897,1669,207,245,219,820
208,283,948,1690,126,270,219,824
208,187,1015,1719,124,251,211,824
208,178,1006,1737,124,251,211,804
205,181,985,1758,124,251,211,797
200,186,967,1776,124,251,211,790
194,192,964,1779,120,255,181,807
194,183,973,1779,96,279,181,784
194,183,973,1778,97,279,102,816
194,183,968,1783,97,279,94,821
194,183,925,1826,97,279,124,645
192,154,941,1841,93,283,154,628
198,155,904,1872,87,295,197,688
161,174,903,1883,95,295,259,697
133,202,708,2057,116,295,330,736
133,202,653,2057,167,299,330,739
119,221,597,1690,579,310,297,700
119,221,380,1871,589,336,297,700
174,221,341,1902,564,369,297,725
218,224,323,1787,698,311,297,725
238,226,308,1792,708,306,297,725
317,226,303,1719,784,293,297,725
317,226,303,1719,784,271,317,731
316,227,303,1715,788,270,297,735
316,227,292,1654,860,269,292,735
316,224,290,1464,1055,268,292,735
312,221,309,1311,1208,266,287,735
252,272,341,1217,1302,266,295,735
318,271,343,911,1608,266,295,735
358,270,344,860,1659,266,283,732
402,253,357,852,1671,266,283,552
423,208,357,897,1669,207,283,475
517,208,283,948,1690,126,283,471
612,208,187,1015,1719,124,288,471
690,208,178,1006,1737,124,314,471
846,205,181,985,1758,124,314,500
915,200,186,967,1776,124,314,373
917,194,192,964,1779,120,314,311
917,194,183,973,1779,96,352,289
961,194,183,973,1778,97,360,228
961,194,183,968,1783,97,390,198
1193,194,183,925,1826,97,360,190
1193,192,154,941,1841,93,330,275
1186,198,155,904,1872,87,287,276
1264,161,174,903,1883,95,225,267
1330,133,202,708,2057,116,154,228
1330,133,202,653,2057,167,154,486
1327,119,221,597,1690,579,144,507
1358,119,221,380,1871,589,144,507
1303,174,221,341,1902,564,186,533
1297,218,224,323,1787,698,186,533
1275,238,226,308,1792,708,186,632
1196,317,226,303,1719,784,186,632
1196,317,226,303,1719,784,179,626
1238,316,227,303,1715,788,187,627
1262,316,227,292,1654,860,187,627
1265,316,224,290,1464,1055,187,627
1260,312,221,309,1311,1208,218,693
1238,252,272,341,1217,1302,255,693
1182,318,271,343,911,1608,364,693
1258,358,270,344,860,1659,425,693
1214,402,253,357,852,1671,425,693
1193,423,208,357,897,1669,433,693
1099,517,208,283,948,1690,433,693
1004,612,208,187,1015,1719,428,693
926,690,208,178,1006,1737,402,765
770,846,205,181,985,1758,402,866
701,915,200,186,967,1776,402,871
700,917,194,192,964,1779,402,893
700,917,194,183,973,1779,364,972
701,961,194,183,973,1778,356,1100
704,961,194,183,968,1783,435,1106
472,1193,194,183,925,1826,435,1096
754,1193,192,154,941,1841,435,1008
772,1186,198,155,904,1872,488,947
695,1264,161,174,903,1883,488,947
708,1330,133,202,708,2057,528,947
750,1330,133,202,653,2057,630,940
748,1327,119,221,597,1690,633,919
717,1358,119,221,380,1871,648,1062
717,1303,174,221,341,1902,611,1073
819,1297,218,224,323,1787,674,1164
822,1275,238,226,308,1792,674,1100
889,1196,317,226,303,1719,711,1129
889,1196,317,226,303,1719,698,1129
857,1238,316,227,303,1715,690,1151
963,1262,316,227,292,1654,726,1151
960,1265,316,224,290,1464,741,1151
954,1260,312,221,309,1311,760,1151
970,1238,252,272,341,1217,754,1151
1165,1182,318,271,343,911,864,1158
1083,1258,358,270,344,860,811,1160
1084,1214,402,253,357,852,1097,1160
1084,1193,423,208,357,897,1101,1160
1152,1099,517,208,283,948,1102,1160
1152,1004,612,208,187,1015,1104,1160
1152,926,690,208,178,1006,1104,1088
1152,770,846,205,181,985,1105,958
1154,701,915,200,186,967,1105,953
1206,700,917,194,192,964,1164,931
1207,700,917,194,183,973,1164,852
1162,701,961,194,183,973,1164,724
1159,704,961,194,183,968,1055,716
1159,472,1193,194,183,925,1055,716
877,754,1193,192,154,941,1055,716
980,772,1186,198,155,904,1002,716
1038,695,1264,161,174,903,1002,716
961,708,1330,133,202,708,962,716
1062,750,1330,133,202,653,860,462
1071,748,1327,119,221,597,857,462
1074,717,1358,119,221,380,859,319
1159,717,1303,174,221,341,854,340
1215,819,1297,218,224,323,812,378
1508,822,1275,238,226,308,833,344
1592,889,1196,317,226,303,811,315
1614,889,1196,317,226,303,811,319
1609,857,1238,316,227,303,937,299
1480,963,1262,316,227,292,1032,304
1480,960,1265,316,224,290,1032,304
1479,954,1260,312,221,309,989,238
1462,970,1238,252,272,341,946,238
1281,1165,1182,318,271,343,729,231
1247,1083,1258,358,270,344,735,267
1246,1084,1214,402,253,357,451,272
1246,1084,1193,423,208,357,458,276
1178,1152,1099,517,208,283,457,276
1178,1152,1004,612,208,187,467,276
1360,1152,926,690,208,178,552,317
1392,1152,770,846,205,181,590,317
1390,1154,701,915,200,186,590,447
1375,1206,700,917,194,192,531,468
1374,1207,700,917,194,183,536,468
1398,1162,701,961,194,183,536,471
1399,1159,704,961,194,183,536,471
1399,1159,472,1193,194,183,542,494
1402,877,754,1193,192,154,598,494
1392,980,772,1186,198,155,729,536
1339,1038,695,1264,161,174,829,597
1340,961,708,1330,133,202,832,597
1197,1062,750,1330,133,202,971,597
