Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2
989,826,352,530,1179,987,1401,803,721
657,1158,352,530,1179,984,1398,832,595
610,1221,338,544,1179,936,1374,757,502
580,1252,333,549,1087,834,1320,714,386
667,1270,333,440,1196,659,1495,707,336
588,1373,333,434,1202,625,1529,777,314
546,1403,406,429,1207,565,1589,709,314
497,1452,409,420,912,840,1618,704,278
389,1500,509,420,871,881,1618,706,278
367,1412,615,425,847,810,1713,735,278
411,1394,592,476,751,899,1689,731,319
430,1362,624,447,771,907,1656,698,319
430,1362,624,446,772,906,1583,704,319
434,1306,680,446,767,903,1591,712,319
448,1296,690,446,767,901,1593,712,307
534,1296,690,446,767,901,1588,668,247
654,1296,690,446,716,952,1560,746,374
683,1296,680,456,659,1009,1472,904,374
690,1296,680,379,710,1035,1428,959,354
694,1150,826,360,729,1035,1304,1014,380
748,1144,832,360,679,1028,1307,1015,387
803,1106,856,374,668,963,1382,1015,387
803,1106,855,375,590,974,1417,1015,387
815,1088,873,375,256,1304,1369,1015,387
815,1088,873,375,255,1268,1313,1015,391
793,1090,893,318,312,1267,1197,1015,384
792,1047,937,318,312,1267,1155,1036,357
790,1040,946,318,312,1267,1084,1036,346
722,1108,946,151,479,1267,962,1039,345
746,1111,716,380,489,1223,992,914,311
780,1108,707,352,530,1179,995,836,247
991,989,826,352,530,1179,987,738,230
994,657,1158,352,530,1179,984,709,230
978,610,1221,338,544,1179,936,697,230
1049,580,1252,333,549,1087,834,628,230
1086,667,1270,333,440,1196,659,622,224
1304,588,1373,333,434,1202,625,591,224
1243,546,1403,406,429,1207,565,601,225
1240,497,1452,409,420,912,840,707,246
1200,389,1500,509,420,871,881,706,258
1199,367,1412,615,425,847,810,704,270
1145,411,1394,592,476,751,899,801,229
1126,430,1362,624,447,771,907,914,239
1126,430,1362,624,446,772,906,930,239
1122,434,1306,680,446,767,903,1066,240
1108,448,1296,690,446,767,901,1066,431
1022,534,1296,690,446,767,901,1066,444
902,654,1296,690,446,716,952,988,339
873,683,1296,680,456,659,1009,830,427
866,690,1296,680,379,710,1035,775,433
884,694,1150,826,360,729,1035,720,417
830,748,1144,832,360,679,1028,732,446
775,803,1106,856,374,668,963,732,446
775,803,1106,855,375,590,974,777,446
763,815,1088,873,375,256,1304,880,446
776,815,1088,873,375,255,1268,999,442
835,793,1090,893,318,312,1267,1016,441
835,792,1047,937,318,312,1267,1042,464
914,790,1040,946,318,312,1267,1206,486
1079,722,1108,946,151,479,1267,1294,515
1071,746,1111,716,380,489,1223,1328,522
1087,780,1108,707,352,530,1179,1412,674
920,991,989,826,352,530,1179,1412,674
917,994,657,1158,352,530,1179,1429,675
917,978,610,1221,338,544,1179,1499,687
846,1049,580,1252,333,549,1087,1523,691
704,1086,667,1270,333,440,1196,1519,762
463,1304,588,1373,333,434,1202,1509,822
513,1243,546,1403,406,429,1207,1499,832
715,1240,497,1452,409,420,912,1315,817
786,1200,389,1500,509,420,871,1308,805
812,1199,367,1412,615,425,847,1281,793
863,1145,411,1394,592,476,751,1146,793
892,1126,430,1362,624,447,771,1031,783
1008,1126,430,1362,624,446,772,1008,783
1018,1122,434,1306,680,446,767,870,782
1018,1108,448,1296,690,446,767,920,591
1022,1022,534,1296,690,446,767,955,573
1055,902,654,1296,690,446,716,992,591
1231,873,683,1296,680,456,659,992,516
1254,866,690,1296,680,379,710,1207,510
1232,884,694,1150,826,360,729,1211,500
1251,830,748,1144,832,360,679,1219,634
1251,775,803,1106,856,374,668,1224,717
1256,775,803,1106,855,375,590,1179,721
1327,763,815,1088,873,375,256,1076,768
1358,776,815,1088,873,375,255,976,805
1299,835,793,1090,893,318,312,972,875
1306,835,792,1047,937,318,312,954,958
1233,914,790,1040,946,318,312,831,950
1068,1079,722,1108,946,151,479,740,1056
1040,1071,746,1111,716,380,489,706,1104
989,1087,780,1108,707,352,530,621,977
945,920,991,989,826,352,530,621,977
977,917,994,657,1158,352,530,604,976
1094,917,978,610,1221,338,544,534,964
1112,846,1049,580,1252,333,549,510,960
1112,704,1086,667,1270,333,440,510,889
1158,463,1304,588,1373,333,434,475,829
1108,513,1243,546,1403,406,429,475,818
917,715,1240,497,1452,409,420,475,815
852,786,1200,389,1500,509,420,475,823
888,812,1199,367,1412,615,425,475,846
930,863,1145,411,1394,592,476,475,856
927,892,1126,430,1362,624,447,475,915
811,1008,1126,430,1362,624,446,475,922
801,1018,1122,434,1306,680,446,469,922
803,1018,1108,448,1296,690,446,419,922
857,1022,1022,534,1296,690,446,384,922
825,1055,902,654,1296,690,446,347,877
696,1231,873,683,1296,680,456,347,906
673,1254,866,690,1296,680,379,132,906
685,1232,884,694,1150,826,360,128,906
674,1251,830,748,1144,832,360,107,736
674,1251,775,803,1106,856,374,102,653
669,1256,775,803,1106,855,375,102,682
598,1327,763,815,1088,873,375,102,635
716,1358,776,815,1088,873,375,83,598
724,1299,835,793,1090,893,318,136,528
730,1306,835,792,1047,937,318,107,520
747,1233,914,790,1040,946,318,66,517
747,1068,1079,722,1108,946,151,66,382
747,1040,1071,746,1111,716,380,66,327
747,989,1087,780,1108,707,352,90,302
747,945,920,991,989,826,352,92,317
715,977,917,994,657,1158,352,92,317
598,1094,917,978,610,1221,338,198,317
579,1112,846,1049,580,1252,333,279,427
579,1112,704,1086,667,1270,333,370,432
532,1158,463,1304,588,1373,333,370,432
532,1108,513,1243,546,1403,406,398,432
521,917,715,1240,497,1452,409,413,557
515,852,786,1200,389,1500,509,433,571
453,888,812,1199,367,1412,615,444,548
360,930,863,1145,411,1394,592,479,538
392,927,892,1126,430,1362,624,638,876
418,811,1008,1126,430,1362,624,724,869
423,801,1018,1122,434,1306,680,724,908
437,803,1018,1108,448,1296,690,762,959
379,857,1022,1022,534,1296,690,902,1144
378,825,1055,902,654,1296,690,903,1191
331,696,1231,873,683,1296,680,903,1160
331,673,1254,866,690,1296,680,903,1173
326,685,1232,884,694,1150,826,903,1197
321,674,1251,830,748,1144,832,951,1247
330,674,1251,775,803,1106,856,1112,1385
367,669,1256,775,803,1106,855,1159,1384
386,598,1327,763,815,1088,873,1177,1384
291,716,1358,776,815,1088,873,1183,1487
354,724,1299,835,793,1090,893,1123,1512
341,730,1306,835,792,1047,937,1195,1428
318,747,1233,914,790,1040,946,1443,1468
