Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2
647,1016,774,493,921,653,1052,590,575,1184
437,1226,760,369,1049,663,1052,576,575,1431
363,1238,822,311,952,807,1048,591,575,1586
232,1330,855,161,1108,779,1072,540,595,1732
233,1330,855,148,1121,779,1070,542,620,1900
276,1331,855,110,1159,739,1091,561,620,1910
283,1381,758,207,1159,617,1182,592,620,1955
292,1381,751,214,1159,523,1191,677,629,2013
319,1363,769,212,1161,523,1184,684,656,2096
465,1362,770,212,1161,523,1184,684,720,2086
756,1291,861,212,1159,525,1171,697,720,2177
941,1187,989,216,1099,464,1258,712,720,2124
1001,1168,1016,201,887,667,1268,724,720,2111
1011,1164,1020,201,871,573,1378,480,720,2111
1011,1164,1020,201,806,638,1337,521,720,2101
1006,1081,1049,218,695,792,1339,521,699,2101
1010,1014,1116,206,707,792,1339,521,611,2101
1052,995,1135,206,707,787,1344,521,501,2101
1038,990,1166,206,707,783,1348,521,378,2116
1022,989,1183,205,701,789,1349,521,339,2103
985,1025,1158,235,641,849,1349,521,224,2068
996,1024,1138,288,611,879,1349,521,194,2068
1000,989,1174,289,611,849,1344,556,172,2068
1061,989,1123,332,605,863,1320,580,172,2068
1068,989,972,483,565,903,1320,580,172,2008
1076,878,968,598,561,846,1129,832,171,1840
1085,852,971,621,561,846,748,1213,162,1747
1096,839,948,657,561,846,653,1290,162,1737
1126,800,876,768,561,846,653,1129,162,1462
1126,663,1000,774,568,846,653,1129,162,1349
1126,660,1003,774,498,916,653,1129,162,1331
1126,647,1016,774,493,921,653,1052,162,1248
1126,437,1226,760,369,1049,663,1052,162,993
1126,363,1238,822,311,952,807,1048,163,838
1126,232,1330,855,161,1108,779,1072,178,692
1125,233,1330,855,148,1121,779,1070,172,524
1087,276,1331,855,110,1159,739,1091,172,527
1031,283,1381,758,207,1159,617,1182,172,482
1022,292,1381,751,214,1159,523,1191,163,429
995,319,1363,769,212,1161,523,1184,187,359
849,465,1362,770,212,1161,523,1184,137,201
538,756,1291,861,212,1159,525,1171,223,142
325,941,1187,989,216,1099,464,1258,242,142
257,1001,1168,1016,201,887,667,1268,314,142
247,1011,1164,1020,201,871,573,1378,314,150
247,1011,1164,1020,201,806,638,1337,373,175
244,1006,1081,1049,218,695,792,1339,397,175
256,1010,1014,1116,206,707,792,1339,406,175
214,1052,995,1135,206,707,787,1344,406,175
223,1038,990,1166,206,707,783,1348,396,160
236,1022,989,1183,205,701,789,1349,389,160
274,985,1025,1158,235,641,849,1349,389,147
240,996,1024,1138,288,611,879,1349,389,124
240,1000,989,1174,289,611,849,1344,389,124
179,1061,989,1123,332,605,863,1320,389,124
172,1068,989,972,483,565,903,1320,389,124
174,1076,878,968,598,561,846,1129,389,124
189,1085,852,971,621,561,846,748,389,124
178,1096,839,948,657,561,846,653,389,164
148,1126,800,876,768,561,846,653,389,164
148,1126,663,1000,774,568,846,653,407,284
148,1126,660,1003,774,498,916,653,407,284
148,1126,647,1016,774,493,921,653,407,284
148,1126,437,1226,760,369,1049,663,413,284
149,1126,363,1238,822,311,952,807,417,287
149,1126,232,1330,855,161,1108,779,382,287
149,1125,233,1330,855,148,1121,779,363,282
143,1087,276,1331,855,110,1159,739,363,269
142,1031,283,1381,758,207,1159,617,378,279
142,1022,292,1381,751,214,1159,523,383,274
142,995,319,1363,769,212,1161,523,430,261
142,849,465,1362,770,212,1161,523,527,246
142,538,756,1291,861,212,1159,525,445,211
142,325,941,1187,989,216,1099,464,522,211
142,257,1001,1168,1016,201,887,667,450,211
152,247,1011,1164,1020,201,871,573,450,206
152,247,1011,1164,1020,201,806,638,391,181
152,244,1006,1081,1049,218,695,792,367,456
136,256,1010,1014,1116,206,707,792,360,475
147,214,1052,995,1135,206,707,787,361,720
161,223,1038,990,1166,206,707,783,455,753
155,236,1022,989,1183,205,701,789,584,753
113,274,985,1025,1158,235,641,849,617,753
104,240,996,1024,1138,288,611,879,617,748
107,240,1000,989,1174,289,611,849,638,748
107,179,1061,989,1123,332,605,863,640,748
107,172,1068,989,972,483,565,903,650,748
97,174,1076,878,968,598,561,846,662,748
73,189,1085,852,971,621,561,846,671,748
73,178,1096,839,948,657,561,846,671,708
104,148,1126,800,876,768,561,846,671,708
104,148,1126,663,1000,774,568,846,687,588
104,148,1126,660,1003,774,498,916,687,588
167,148,1126,647,1016,774,493,921,687,623
212,148,1126,437,1226,760,369,1049,681,628
225,149,1126,363,1238,822,311,952,676,625
225,149,1126,232,1330,855,161,1108,676,638
225,149,1125,233,1330,855,148,1121,676,638
227,143,1087,276,1331,855,110,1159,676,638
227,142,1031,283,1381,758,207,1159,661,628
283,142,1022,292,1381,751,214,1159,656,628
350,142,995,319,1363,769,212,1161,559,628
355,142,849,465,1362,770,212,1161,456,628
366,142,538,756,1291,861,212,1159,463,628
366,142,325,941,1187,989,216,1099,437,628
366,142,257,1001,1168,1016,201,887,437,628
356,152,247,1011,1164,1020,201,871,465,630
358,152,247,1011,1164,1020,201,806,491,658
358,152,244,1006,1081,1049,218,695,504,392
358,136,256,1010,1014,1116,206,707,502,373
347,147,214,1052,995,1135,206,707,501,128
317,161,223,1038,990,1166,206,707,407,148
310,155,236,1022,989,1183,205,701,296,158
310,113,274,985,1025,1158,235,641,263,158
310,104,240,996,1024,1138,288,611,271,158
301,107,240,1000,989,1174,289,611,250,158
301,107,179,1061,989,1123,332,605,268,158
301,107,172,1068,989,972,483,565,282,158
301,97,174,1076,878,968,598,561,284,158
315,73,189,1085,852,971,621,561,275,428
319,73,178,1096,839,948,657,561,330,471
288,104,148,1126,800,876,768,561,330,471
288,104,148,1126,663,1000,774,568,296,471
288,104,148,1126,660,1003,774,498,296,476
225,167,148,1126,647,1016,774,493,296,441
197,212,148,1126,437,1226,760,369,296,436
276,225,149,1126,363,1238,822,311,296,436
298,225,149,1126,232,1330,855,161,296,423
323,225,149,1125,233,1330,855,148,315,423
321,227,143,1087,276,1331,855,110,317,423
335,227,142,1031,283,1381,758,207,561,423
601,283,142,1022,292,1381,751,214,561,423
910,350,142,995,319,1363,769,212,560,423
921,355,142,849,465,1362,770,212,552,433
