Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
377,1452,903,928,351
397,1449,708,878,357
389,1434,653,770,441
395,1355,597,708,604
441,1329,380,705,607
476,1329,341,705,644
476,1316,323,476,644
482,1316,308,428,641
472,1307,303,428,641
471,1292,303,309,628
476,1300,303,311,621
462,1315,292,309,622
462,1314,290,347,622
477,1166,309,316,601
423,1101,341,321,620
423,1016,343,351,627
423,858,344,359,562
423,857,357,359,517
421,858,357,339,556
387,828,283,339,556
373,799,187,337,556
364,678,178,337,570
367,661,181,337,574
378,661,186,337,708
432,534,192,367,708
432,471,183,342,749
421,248,183,391,778
417,218,183,399,804
408,313,183,388,982
343,338,154,358,935
335,346,155,358,931
303,377,174,358,910
283,397,202,358,901
283,389,202,355,816
275,395,221,378,692
243,441,221,378,689
208,476,221,378,652
208,476,224,378,652
219,482,226,378,652
299,472,226,370,652
304,471,226,370,652
298,476,227,388,652
297,462,227,375,651
299,462,224,312,651
366,477,221,297,651
404,423,272,296,632
430,423,271,215,625
559,423,270,219,628
559,423,253,219,782
559,421,208,219,820
580,387,208,219,824
629,373,208,211,824
629,364,208,211,804
626,367,205,211,797
615,378,200,211,790
561,432,194,181,807
561,432,194,181,784
561,421,194,102,816
561,417,194,94,821
473,408,194,124,645
473,343,192,154,628
473,335,198,197,688
473,303,161,259,697
473,283,133,330,736
473,283,133,330,739
473,275,119,297,700
459,243,119,297,700
539,208,174,297,725
585,208,218,297,725
639,219,238,297,725
657,299,317,297,725
654,304,317,317,731
647,298,316,297,735
647,297,316,292,735
646,299,316,292,735
564,366,312,287,735
525,404,252,295,735
499,430,318,295,735
370,559,358,283,732
370,559,402,283,552
370,559,423,283,475
349,580,517,283,471
300,629,612,288,471
300,629,690,314,471
500,626,846,314,500
523,615,915,314,373
527,561,917,314,311
527,561,917,352,289
594,561,961,360,228
594,561,961,390,198
594,473,1193,360,190
596,473,1193,330,275
596,473,1186,287,276
596,473,1264,225,267
606,473,1330,154,228
944,473,1330,154,486
977,473,1327,144,507
980,459,1358,144,507
900,539,1303,186,533
871,585,1297,186,533
841,639,1275,186,632
765,657,1196,186,632
805,654,1196,179,626
879,647,1238,187,627
932,647,1262,187,627
1012,646,1265,187,627
1012,564,1260,218,693
1400,525,1238,255,693
1590,499,1182,364,693
1646,370,1258,425,693
1647,370,1214,425,693
1745,370,1193,433,693
1764,349,1099,433,693
1767,300,1004,428,693
1803,300,926,402,765
1603,500,770,402,866
1587,523,701,402,871
1658,527,700,402,893
1669,527,700,364,972
1649,594,701,356,1100
1649,594,704,435,1106
1649,594,472,435,1096
1647,596,754,435,1008
1647,596,772,488,947
1647,596,695,488,947
1637,606,708,528,947
1299,944,750,630,940
1296,977,748,633,919
1326,980,717,648,1062
1326,900,717,611,1073
1309,871,819,674,1164
1269,841,822,674,1100
1414,765,889,711,1129
1372,805,889,698,1129
1298,879,857,690,1151
1245,932,963,726,1151
1164,1012,960,741,1151
1164,1012,954,760,1151
902,1400,970,754,1151
1349,1590,1165,864,1158
1303,1646,1083,811,1160
1305,1647,1084,1097,1160
1209,1745,1084,1101,1160
1194,1764,1152,1102,1160
1191,1767,1152,1104,1160
1155,1803,1152,1104,1088
1158,1603,1152,1105,958
1170,1587,1154,1105,953
1189,1658,1206,1164,931
1178,1669,1207,1164,852
1131,1649,1162,1164,724
1145,1649,1159,1055,716
1312,1649,1159,1055,716
1312,1647,877,1055,716
1312,1647,980,1002,716
1312,1647,1038,1002,716
1312,1637,961,962,716
1312,1299,1062,860,462
1282,1296,1071,857,462
1247,1326,1074,859,319
1247,1326,1159,854,340
1247,1309,1215,812,378
1246,1269,1508,833,344
1079,1414,1592,811,315
1079,1372,1614,811,319
1079,1298,1609,937,299
1079,1245,1480,1032,304
1079,1164,1480,1032,304
1079,1164,1479,989,238
953,902,1462,946,238
316,1349,1281,729,231
607,1303,1247,735,267
604,1305,1246,451,272
646,1209,1246,458,276
650,1194,1178,457,276
702,1191,1178,467,276
702,1155,1360,552,317
740,1158,1392,590,317
724,1170,1390,590,447
645,1189,1375,531,468
646,1178,1374,536,468
646,1131,1398,536,471
632,1145,1399,536,471
509,1312,1399,542,494
509,1312,1402,598,494
509,1312,1392,729,536
545,1312,1339,829,597
633,1312,1340,832,597
633,1312,1197,971,597
633,1282,1194,1021,605
633,1247,1191,1004,605
633,1247,1106,1004,522
675,1247,906,997,433
675,1246,610,977,777
675,1079,459,980,777
675,1079,443,980,885
675,1079,438,854,1024
675,1079,437,725,1110
701,1079,437,710,1225
888,1079,437,705,1237
888,953,445,700,1237
888,316,551,728,1237
587,607,551,714,1199
587,604,604,712,1196
574,646,605,718,1302
573,650,608,753,1326
523,702,608,805,1326
523,702,426,861,1474
482,740,394,822,1829
479,724,395,822,1722
464,645,357,822,1777
465,646,421,817,1787
465,646,397,817,1784
465,632,396,817,1784
421,509,396,811,1761
421,509,407,770,1761
421,509,296,639,1719
385,545,290,540,1658
345,633,287,579,1696
612,633,287,440,1877
722,633,281,401,1921
731,633,281,402,1922
908,633,281,656,1922
868,675,342,642,1882
873,675,383,651,1565
896,675,383,633,1565
905,675,390,633,1453
962,675,410,633,1379
1078,675,454,676,1376
1090,701,454,734,1261
912,888,454,753,1249
920,888,446,753,1249
920,888,315,723,1249
920,587,335,723,1249
920,587,323,723,1247
889,574,322,698,1206
882,573,349,663,1386
891,523,418,599,1387
891,523,667,458,1212
891,482,728,458,858
891,479,763,458,839
891,464,763,458,763
889,465,699,458,812
889,465,706,458,825
889,465,767,458,959
985,421,962,458,959
1082,421,951,443,959
1090,421,986,501,988
1090,385,1014,505,989
1042,345,1034,478,951
780,612,1040,500,770
716,722,1040,490,718
710,731,1066,490,717
533,908,1184,237,717
531,868,1170,239,717
839,873,1373,229,689
839,896,1402,229,689
863,905,1397,229,720
865,962,1380,229,722
749,1078,1336,245,634
715,1090,1336,270,634
713,912,1336,251,727
709,920,1336,251,762
890,920,1336,251,762
1136,920,1316,251,762
1144,920,1275,255,799
1214,889,1275,279,730
1352,882,1248,279,526
1470,891,1180,279,525
1507,891,931,279,512
1507,891,882,283,511
1507,891,896,295,507
1507,891,896,295,523
1507,889,896,295,531
1659,889,1043,299,518
1758,889,1121,310,385
1805,985,947,336,406
1768,1082,977,369,423
1812,1090,942,311,394
1828,1090,927,306,519
2000,1042,907,293,627
2010,780,901,271,708
2055,716,990,270,804
2052,710,964,269,858
2060,533,846,268,1013
2065,531,799,266,1046
1789,839,555,266,1134
1767,839,526,266,1138
1734,863,518,266,1108
1675,865,515,266,1034
1675,749,528,207,1034
1683,715,528,126,1035
1687,713,528,124,944
1719,709,544,124,909
1538,890,545,124,909
1292,1136,545,124,924
1286,1144,545,120,888
1218,1214,545,96,888
1080,1352,668,97,890
951,1470,670,97,891
914,1507,670,97,893
928,1507,658,93,893
928,1507,608,87,930
997,1507,690,95,915
997,1507,693,116,848
845,1659,562,167,850
746,1758,504,579,849
617,1805,511,589,832
557,1768,478,564,820
511,1812,491,698,821
497,1828,478,708,722
325,2000,497,784,754
310,2010,513,784,702
219,2055,424,788,612
219,2052,424,860,559
211,2060,425,1055,410
234,2065,573,1208,388
197,1789,693,1302,306
196,1767,778,1608,302
196,1734,936,1659,332
196,1675,937,1671,347
279,1675,925,1669,377
267,1683,989,1690,480
256,1687,1032,1719,495
328,1719,1146,1737,577
328,1538,1162,1758,717
358,1292,1162,1776,809
441,1286,1289,1779,883
440,1218,1352,1779,884
443,1080,1460,1778,882
614,951,1491,1783,883
626,914,1493,1826,887
612,928,1533,1841,889
613,928,1533,1872,852
544,997,1452,1883,851
624,997,1449,2057,901
640,845,1434,2057,1010
688,746,1355,1690,1092
702,617,1329,1871,1091
816,557,1329,1902,1086
821,511,1316,1787,1314
829,497,1316,1792,1335
906,325,1307,1719,1203
917,310,1292,1719,1293
942,219,1300,1715,1287
942,219,1315,1654,1306
945,211,1314,1464,1325
938,234,1166,1311,1365
990,197,1101,1217,1364
1012,196,1016,911,1415
1013,196,858,860,1384
1013,196,857,852,1369
930,279,858,897,1359
987,267,828,948,1255
1003,256,799,1015,1248
895,328,678,1006,1166
960,328,661,985,1026
935,358,661,967,919
861,441,534,964,844
910,440,471,973,868
943,443,248,973,898
772,614,218,968,896
760,626,313,925,900
760,612,338,941,928
759,613,346,904,928
792,544,377,903,928
