Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3
2307,191,647,575,1184
2337,197,437,575,1431
2432,201,363,575,1586
2431,243,232,595,1732
2560,243,233,620,1900
2721,243,276,620,1910
2685,299,283,620,1955
2553,406,292,629,2013
2494,456,319,656,2096
2301,649,465,720,2086
2250,689,756,720,2177
2230,750,941,720,2124
2134,886,1001,720,2111
2158,916,1011,720,2111
2120,887,1011,720,2101
2038,926,1006,699,2101
1975,989,1010,611,2101
1969,995,1052,501,2101
1773,1215,1038,378,2116
1348,1646,1022,339,2103
1256,1738,985,224,2068
1152,1845,996,194,2068
1126,1900,1000,172,2068
1057,1975,1061,172,2068
1107,1975,1068,172,2008
1153,1988,1076,171,1840
1253,1993,1085,162,1747
1253,2009,1096,162,1737
1185,2080,1126,162,1462
1129,2144,1126,162,1349
951,2322,1126,162,1331
958,2307,1126,162,1248
994,2337,1126,162,993
994,2432,1126,163,838
968,2431,1126,178,692
839,2560,1125,172,524
695,2721,1087,172,527
674,2685,1031,172,482
677,2553,1022,163,429
681,2494,995,187,359
681,2301,849,137,201
681,2250,538,223,142
626,2230,325,242,142
586,2134,257,314,142
531,2158,247,314,150
531,2120,247,373,175
531,2038,244,397,175
531,1975,256,406,175
531,1969,214,406,175
507,1773,223,396,160
501,1348,236,389,160
501,1256,274,389,147
528,1152,240,389,124
513,1126,240,389,124
532,1057,179,389,124
482,1107,172,389,124
423,1153,174,389,124
320,1253,189,389,124
351,1253,178,389,164
350,1185,148,389,164
390,1129,148,407,284
441,951,148,407,284
434,958,148,407,284
362,994,148,413,284
266,994,149,417,287
253,968,149,382,287
283,839,149,363,282
266,695,143,363,269
266,674,142,378,279
263,677,142,383,274
269,681,142,430,261
298,681,142,527,246
298,681,142,445,211
360,626,142,522,211
366,586,142,450,211
383,531,152,450,206
426,531,152,391,181
526,531,152,367,456
526,531,136,360,475
582,531,147,361,720
594,507,161,455,753
599,501,155,584,753
620,501,113,617,753
638,528,104,617,748
626,513,107,638,748
601,532,107,640,748
614,482,107,650,748
615,423,97,662,748
613,320,73,671,748
644,351,73,671,708
743,350,104,671,708
734,390,104,687,588
683,441,104,687,588
763,434,167,687,623
785,362,212,681,628
787,266,225,676,625
788,253,225,676,638
786,283,225,676,638
921,266,227,676,638
931,266,227,661,628
996,263,283,656,628
992,269,350,559,628
983,298,355,456,628
983,298,366,463,628
921,360,366,437,628
914,366,366,437,628
897,383,356,465,630
854,426,358,491,658
754,526,358,504,392
754,526,358,502,373
698,582,347,501,128
686,594,317,407,148
681,599,310,296,158
723,620,310,263,158
682,638,310,271,158
679,626,301,250,158
693,601,301,268,158
680,614,301,282,158
679,615,301,284,158
679,613,315,275,428
600,644,319,330,471
499,743,288,330,471
460,734,288,296,471
523,683,288,296,476
453,763,225,296,441
482,785,197,296,436
477,787,276,296,436
534,788,298,296,423
506,786,323,315,423
371,921,321,317,423
361,931,335,561,423
297,996,601,561,423
297,992,910,560,423
329,983,921,552,433
329,983,917,541,463
329,921,917,471,471
329,914,917,471,474
362,897,957,443,469
369,854,955,417,441
464,754,1044,404,432
577,754,1046,404,432
583,698,1046,404,432
698,686,1041,404,379
718,681,1041,386,369
655,723,1041,404,369
672,682,1130,557,369
674,679,1193,557,369
660,693,1256,537,369
660,680,1256,590,369
660,679,1294,576,369
660,679,1280,591,99
660,600,1276,540,56
794,499,1365,542,56
825,460,1391,561,56
926,523,1391,592,51
938,453,1391,677,51
898,482,1374,684,142
900,477,1281,684,208
840,534,1259,697,228
840,506,1234,712,245
859,371,1293,724,321
864,361,1282,480,321
863,297,986,521,321
857,297,620,521,336
805,329,638,521,341
805,329,646,521,315
805,329,662,521,307
805,329,669,521,359
772,362,629,521,366
765,369,629,521,376
670,464,540,556,485
557,577,677,580,486
551,583,677,580,538
436,698,677,832,538
416,718,677,1213,565
416,655,677,1290,569
391,672,588,1129,587
388,674,532,1129,634
388,660,469,1129,634
388,660,469,1052,634
388,660,431,1052,634
388,660,431,1048,634
388,660,431,1072,634
254,794,342,1070,634
223,825,316,1091,634
59,926,320,1182,634
37,938,320,1191,638
65,898,320,1184,547
96,900,320,1184,481
97,840,320,1171,461
97,840,381,1258,444
78,859,322,1268,368
73,864,374,1378,368
73,863,351,1337,479
75,857,541,1339,483
75,805,512,1339,468
75,805,510,1344,464
75,805,494,1348,464
75,805,488,1349,428
77,772,640,1349,421
77,765,682,1349,411
77,670,707,1344,302
77,557,568,1320,301
77,551,568,1320,249
132,436,568,1129,251
132,416,608,748,372
132,416,626,653,449
132,391,763,653,432
142,388,900,653,385
142,388,900,653,385
185,388,1112,653,612
276,388,1139,663,612
352,388,1139,807,612
352,388,1139,779,612
352,254,1139,779,612
352,223,1139,739,612
352,59,1135,617,612
352,37,1135,523,608
406,65,1135,523,616
395,96,1135,523,728
394,97,1190,525,728
508,97,1140,464,728
569,78,1140,667,728
632,73,1086,573,728
632,73,1083,638,617
630,75,955,792,598
630,75,1028,792,598
630,75,1015,787,598
647,75,1015,783,598
647,75,1014,789,579
852,77,862,849,579
853,77,820,879,579
853,77,795,849,579
853,77,795,863,596
864,77,796,903,596
809,132,796,846,594
830,132,756,846,446
832,132,738,846,365
833,132,601,846,364
829,142,457,846,364
829,142,457,916,364
786,185,245,921,137
695,276,218,1049,137
619,352,218,952,141
619,352,218,1108,141
619,352,242,1121,141
619,352,242,1159,141
630,352,245,1159,141
709,352,245,1159,141
689,406,269,1161,133
793,395,376,1161,21
825,394,330,1159,21
877,508,418,1099,21
816,569,535,887,47
832,632,546,871,47
832,632,787,806,47
953,630,801,695,47
964,630,996,707,47
968,630,1001,707,52
965,647,1001,707,52
1015,647,1001,701,52
900,852,1001,641,52
950,853,1001,611,52
951,853,1040,611,52
951,853,1204,605,58
940,864,1288,565,58
1086,809,1378,561,70
1067,830,1442,561,190
1065,832,1442,561,263
1064,833,1442,561,291
1058,829,1442,568,338
1058,829,1442,498,480
1058,786,1457,493,507
1058,695,1509,369,520
1058,619,1509,311,516
1071,619,1512,161,516
1078,619,1513,148,516
1078,619,1933,110,615
1067,630,1967,207,712
988,709,1972,214,712
915,689,1958,212,712
789,793,1923,212,712
757,825,1917,212,712
591,877,1823,216,712
591,816,1741,201,778
512,832,1793,201,778
512,832,1664,201,778
391,953,1588,218,778
380,964,1315,206,780
376,968,1310,206,868
362,965,1310,206,947
312,1015,1310,205,953
