Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3
1049,878,689,347,473,848,1871,872,220,347,1129,248,509,547,809
1091,977,689,346,416,866,1911,861,229,232,1244,250,488,525,820
1168,982,689,96,656,866,1921,861,229,229,1244,253,457,524,800
1240,982,689,96,584,870,1989,861,229,229,1244,253,410,524,739
1339,953,718,96,583,801,2059,861,229,228,1245,247,403,524,705
1360,849,822,96,583,546,2314,861,229,228,1245,211,403,525,665
1391,645,1028,96,583,543,2317,860,227,177,1299,209,403,522,640
1391,644,849,276,583,538,2322,657,427,158,1321,209,403,522,657
1382,641,779,355,586,529,2331,557,517,155,1334,209,403,531,614
1315,571,899,372,586,529,2139,731,516,174,1334,179,403,549,682
1184,686,844,443,586,529,2003,866,517,174,1328,185,403,549,711
1135,714,750,558,586,529,2003,796,587,174,1268,228,403,550,747
1141,642,735,646,586,529,2003,766,617,174,1268,228,350,550,720
1142,644,717,601,651,524,1868,885,638,174,1268,228,350,550,711
1169,644,693,597,679,524,1868,870,653,174,1268,228,350,550,712
1242,639,611,684,679,419,1766,1077,653,174,1268,228,350,550,709
1123,753,615,689,679,419,1727,1116,653,174,1250,246,295,550,709
1160,806,615,689,679,419,1727,1090,678,159,1253,259,315,546,808
1229,833,615,689,678,292,1821,1092,710,158,1133,380,389,546,807
1139,915,630,689,657,288,1628,1310,710,158,975,538,321,428,823
1021,990,673,689,657,237,1679,1171,849,158,886,627,319,357,853
1021,988,675,689,657,206,1701,1178,851,153,882,636,346,275,1387
1019,990,675,689,657,206,1659,1144,927,110,925,636,244,78,1509
962,1051,675,689,657,206,1578,1098,1054,102,926,643,248,52,1525
867,1148,675,689,656,207,1496,1180,1054,102,753,790,248,52,1816
823,1192,675,689,656,190,1283,1410,1054,102,748,709,250,73,1921
815,1200,675,689,656,178,1189,1516,1054,83,759,717,253,73,1762
814,1182,694,689,598,236,1099,1606,1054,83,745,731,253,73,1930
785,1162,743,689,570,263,959,1747,1027,98,757,692,247,73,2053
785,1058,847,689,432,401,863,1843,930,195,744,703,211,68,2024
772,1041,877,689,417,416,863,1843,883,242,596,847,209,63,1976
763,1049,878,689,347,473,848,1871,872,220,347,1129,209,63,1983
622,1091,977,689,346,416,866,1911,861,229,232,1244,209,123,2023
540,1168,982,689,96,656,866,1921,861,229,229,1244,179,124,2022
468,1240,982,689,96,584,870,1989,861,229,229,1244,185,124,2035
