Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3
989,826,352,803,721,441
657,1158,352,832,595,428
610,1221,338,757,502,433
580,1252,333,714,386,433
667,1270,333,707,336,485
588,1373,333,777,314,485
546,1403,406,709,314,486
497,1452,409,704,278,517
389,1500,509,706,278,517
367,1412,615,735,278,532
411,1394,592,731,319,538
430,1362,624,698,319,578
430,1362,624,704,319,578
434,1306,680,712,319,578
448,1296,690,712,307,578
534,1296,690,668,247,522
654,1296,690,746,374,515
683,1296,680,904,374,513
690,1296,680,959,354,506
694,1150,826,1014,380,650
748,1144,832,1015,387,650
803,1106,856,1015,387,635
803,1106,855,1015,387,608
815,1088,873,1015,387,562
815,1088,873,1015,391,545
793,1090,893,1015,384,545
792,1047,937,1036,357,545
790,1040,946,1036,346,530
722,1108,946,1039,345,528
746,1111,716,914,311,530
780,1108,707,836,247,525
991,989,826,738,230,500
994,657,1158,709,230,516
978,610,1221,697,230,513
1049,580,1252,628,230,513
1086,667,1270,622,224,461
1304,588,1373,591,224,461
1243,546,1403,601,225,460
1240,497,1452,707,246,429
1200,389,1500,706,258,429
1199,367,1412,704,270,479
1145,411,1394,801,229,518
1126,430,1362,914,239,593
1126,430,1362,930,239,726
1122,434,1306,1066,240,745
1108,448,1296,1066,431,746
1022,534,1296,1066,444,746
902,654,1296,988,339,666
873,683,1296,830,427,605
866,690,1296,775,433,609
884,694,1150,720,417,526
830,748,1144,732,446,558
775,803,1106,732,446,558
775,803,1106,777,446,555
763,815,1088,880,446,555
776,815,1088,999,442,555
835,793,1090,1016,441,568
835,792,1047,1042,464,568
914,790,1040,1206,486,567
1079,722,1108,1294,515,567
1071,746,1111,1328,522,565
1087,780,1108,1412,674,548
920,991,989,1412,674,553
917,994,657,1429,675,543
917,978,610,1499,687,544
846,1049,580,1523,691,550
704,1086,667,1519,762,554
463,1304,588,1509,822,560
513,1243,546,1499,832,560
715,1240,497,1315,817,573
786,1200,389,1308,805,594
812,1199,367,1281,793,529
863,1145,411,1146,793,484
892,1126,430,1031,783,369
1008,1126,430,1008,783,236
1018,1122,434,870,782,217
1018,1108,448,920,591,216
1022,1022,534,955,573,216
1055,902,654,992,591,216
1231,873,683,992,516,187
1254,866,690,1207,510,190
1232,884,694,1211,500,129
1251,830,748,1219,634,106
1251,775,803,1224,717,106
1256,775,803,1179,721,162
1327,763,815,1076,768,184
1358,776,815,976,805,189
1299,835,793,972,875,227
1306,835,792,954,958,252
1233,914,790,831,950,252
1068,1079,722,740,1056,252
1040,1071,746,706,1104,252
989,1087,780,621,977,252
945,920,991,621,977,263
977,917,994,604,976,265
1094,917,978,534,964,318
1112,846,1049,510,960,340
1112,704,1086,510,889,342
1158,463,1304,475,829,336
1108,513,1243,475,818,336
917,715,1240,475,815,323
852,786,1200,475,823,302
888,812,1199,475,846,302
930,863,1145,475,856,302
927,892,1126,475,915,342
811,1008,1126,475,922,383
801,1018,1122,469,922,383
803,1018,1108,419,922,406
857,1022,1022,384,922,470
825,1055,902,347,877,476
696,1231,873,347,906,476
673,1254,866,132,906,460
685,1232,884,128,906,463
674,1251,830,107,736,455
674,1251,775,102,653,564
669,1256,775,102,682,568
598,1327,763,102,635,545
716,1358,776,83,598,551
724,1299,835,136,528,500
730,1306,835,107,520,475
747,1233,914,66,517,475
747,1068,1079,66,382,475
747,1040,1071,66,327,545
747,989,1087,90,302,568
747,945,920,92,317,559
715,977,917,92,317,565
598,1094,917,198,317,607
579,1112,846,279,427,590
579,1112,704,370,432,584
532,1158,463,370,432,584
532,1108,513,398,432,584
521,917,715,413,557,584
515,852,786,433,571,677
453,888,812,444,548,766
360,930,863,479,538,766
392,927,892,638,876,726
418,811,1008,724,869,685
423,801,1018,724,908,685
437,803,1018,762,959,662
379,857,1022,902,1144,723
378,825,1055,903,1191,721
331,696,1231,903,1160,722
331,673,1254,903,1173,737
326,685,1232,903,1197,734
321,674,1251,951,1247,733
330,674,1251,1112,1385,624
367,669,1256,1159,1384,563
386,598,1327,1177,1384,563
291,716,1358,1183,1487,796
354,724,1299,1123,1512,796
341,730,1306,1195,1428,796
318,747,1233,1443,1468,796
330,747,1068,1443,1468,796
345,747,1040,1443,1468,772
345,747,989,1419,1470,749
567,747,945,1417,1456,740
653,715,977,1417,1456,758
658,598,1094,1311,1456,660
658,579,1112,1261,1346,649
658,579,1112,1204,1341,649
658,532,1158,1278,1341,649
658,532,1108,1250,1341,649
746,521,917,1235,1213,649
746,515,852,1220,1191,556
824,453,888,1237,1288,468
841,360,930,1290,1338,468
836,392,927,1175,941,468
810,418,811,1213,941,468
805,423,801,1267,1017,468
846,437,803,1230,1114,468
848,379,857,1122,929,343
848,378,825,1173,898,339
876,331,696,1266,879,338
876,331,673,1383,866,323
869,326,685,1425,842,323
1109,321,674,1448,933,325
1100,330,674,1409,803,326
1063,367,669,1376,782,326
1044,386,598,1399,782,376
977,291,716,1401,681,334
906,354,724,1398,656,392
906,341,730,1374,642,456
1077,318,747,1320,591,505
1153,330,747,1495,591,505
1138,345,747,1529,591,493
1138,345,747,1589,608,507
916,567,747,1618,624,759
870,653,715,1618,625,772
895,658,598,1713,629,848
895,658,579,1689,629,848
900,658,579,1656,629,848
967,658,532,1583,629,848
971,658,532,1591,629,848
883,746,521,1593,629,848
883,746,515,1588,629,848
805,824,453,1560,532,847
808,841,360,1472,482,847
765,836,392,1428,482,847
766,810,418,1304,482,957
832,805,423,1307,367,957
820,846,437,1382,219,1024
821,848,379,1417,219,1024
821,848,378,1369,223,1024
793,876,331,1313,223,1027
793,876,331,1197,223,1076
793,869,326,1155,223,1093
622,1109,321,1084,82,1091
801,1100,330,962,88,1134
854,1063,367,992,124,1273
854,1044,386,995,124,1657
854,977,291,987,122,1456
854,906,354,984,122,1398
869,906,341,936,134,1334
704,1077,318,834,188,1285
690,1153,330,659,222,1286
904,1138,345,625,501,1252
904,1138,345,565,482,1297
904,916,567,840,465,1045
864,870,653,881,465,1055
879,895,658,810,461,1007
879,895,658,899,475,1007
874,900,658,907,531,1007
828,967,658,906,612,1019
877,971,658,903,617,1032
880,883,746,901,713,1135
880,883,746,901,831,1249
888,805,824,952,832,1249
869,808,841,1009,834,1249
865,765,836,1035,1012,1249
864,766,810,1035,1021,1139
839,832,805,1028,1044,1160
812,820,846,963,1062,1093
809,821,848,974,1132,1093
922,821,848,1304,1113,1093
922,793,876,1268,1113,1092
941,793,876,1267,1363,1044
943,793,869,1267,1469,1087
871,622,1109,1267,1553,1087
692,801,1100,1267,1539,1043
639,854,1063,1223,1666,904
639,854,1044,1179,1748,470
639,854,977,1179,1748,469
639,854,906,1179,1748,469
627,869,906,1179,1736,469
685,704,1077,1087,1682,469
687,690,1153,1196,1670,468
473,904,1138,1202,1391,468
683,904,1138,1207,1391,409
741,904,916,912,1391,409
758,864,870,871,1390,354
713,879,895,847,1390,326
713,879,895,751,1376,327
713,874,900,771,1320,658
707,828,967,772,1239,759
1057,877,971,767,1234,776
1283,880,883,767,1138,673
1283,880,883,767,1020,560
1275,888,805,716,1022,610
1274,869,808,659,1020,652
1268,865,765,710,867,652
1268,864,766,729,878,652
1227,839,832,679,860,631
1209,812,820,668,842,631
1209,809,821,590,772,631
1096,922,821,256,771,631
1100,922,793,255,771,629
1081,941,793,312,527,628
1079,943,793,312,434,575
1079,871,622,312,358,575
1079,692,801,479,358,586
1079,639,854,489,184,596
1079,639,854,530,118,613
1155,639,854,530,174,652
1253,639,854,530,193,825
1302,627,869,544,381,842
1264,685,704,549,630,842
1190,687,690,440,609,842
1257,473,904,434,613,842
1091,683,904,429,677,842
1033,741,904,420,682,842
1065,758,864,420,682,842
1065,713,879,425,683,843
1065,713,879,476,683,842
1065,713,874,447,683,511
1052,707,828,446,683,398
649,1057,877,446,683,368
420,1283,880,446,683,368
428,1283,880,446,683,367
491,1275,888,446,680,317
491,1274,869,456,680,275
491,1268,865,379,655,280
491,1268,864,360,715,323
491,1227,839,360,747,383
510,1209,812,374,752,424
510,1209,809,375,784,477
511,1096,922,375,934,481
515,1100,922,375,995,481
515,1081,941,318,990,483
515,1079,943,318,977,476
679,1079,871,318,969,476
682,1079,692,151,976,465
702,1079,639,380,977,455
760,1079,639,352,961,438
734,1155,639,352,928,493
689,1253,639,352,927,338
637,1302,627,338,739,402
611,1264,685,333,490,471
609,1190,687,333,489,522
542,1257,473,333,485,547
505,1091,683,406,421,547
506,1033,741,409,416,552
457,1065,758,509,423,552
569,1065,713,615,422,561
618,1065,713,592,422,561
668,1065,713,624,485,563
674,1052,707,624,485,573
674,649,1057,680,565,573
674,420,1283,690,580,573
670,428,1283,690,580,647
634,491,1275,690,628,665
634,491,1274,680,636,680
640,491,1268,680,695,675
642,491,1268,826,697,632
648,491,1227,832,758,572
657,510,1209,856,782,539
720,510,1209,855,776,486
729,511,1096,873,885,482
737,515,1100,873,851,520
737,515,1081,893,927,518
737,515,1079,937,929,542
573,679,1079,946,929,569
570,682,1079,946,947,593
550,702,1079,716,946,593
527,760,1079,707,947,593
553,734,1155,826,924,499
508,689,1253,1158,906,607
561,637,1302,1221,993,619
654,611,1264,1252,1105,666
778,609,1190,1270,1122,671
848,542,1257,1373,1128,668
842,505,1091,1403,1196,668
841,506,1033,1452,1279,699
854,457,1065,1500,1278,699
743,569,1065,1412,1278,689
694,618,1065,1394,1320,689
644,668,1065,1362,1292,687
636,674,1052,1362,1293,677
641,674,649,1306,1213,677
641,674,420,1296,1198,689
637,670,428,1296,1242,680
637,634,491,1296,1194,667
643,634,491,1296,1186,660
642,640,491,1296,1127,680
661,642,491,1150,1045,680
657,648,491,1144,947,680
630,657,510,1106,918,672
567,720,510,1106,892,672
557,729,511,1088,633,672
541,737,515,1088,606,634
541,737,515,1090,529,642
541,737,515,1047,527,645
541,573,679,1040,527,629
541,570,682,1108,502,606
541,550,702,1111,627,640
520,527,760,1108,705,704
444,553,734,989,803,721
436,508,689,657,832,595
383,561,637,610,757,502
290,654,611,580,714,386
169,778,609,667,707,336
99,848,542,588,777,314
98,842,505,546,709,314
98,841,506,497,704,278
85,854,457,389,706,278
84,743,569,367,735,278
84,694,618,411,731,319
84,644,668,430,698,319
84,636,674,430,704,319
88,641,674,434,712,319
88,641,674,448,712,307
88,637,670,534,668,247
81,637,634,654,746,374
263,643,634,683,904,374
365,642,640,690,959,354
356,661,642,694,1014,380
354,657,648,748,1015,387
381,630,657,803,1015,387
750,567,720,803,1015,387
750,557,729,815,1015,387
750,541,737,815,1015,391
750,541,737,793,1015,384
750,541,737,792,1036,357
750,541,573,790,1036,346
750,541,570,722,1039,345
750,541,550,746,914,311
736,520,527,780,836,247
736,444,553,991,738,230
764,436,508,994,709,230
771,383,561,978,697,230
778,290,654,1049,628,230
775,169,778,1086,622,224
775,99,848,1304,591,224
786,98,842,1243,601,225
786,98,841,1240,707,246
888,85,854,1200,706,258
1042,84,743,1199,704,270
1063,84,694,1145,801,229
1083,84,644,1126,914,239
1086,84,636,1126,930,239
1077,88,641,1122,1066,240
1080,88,641,1108,1066,431
1148,88,637,1022,1066,444
1139,81,637,902,988,339
951,263,643,873,830,427
848,365,642,866,775,433
837,356,661,884,720,417
837,354,657,830,732,446
835,381,630,775,732,446
485,750,567,775,777,446
485,750,557,763,880,446
485,750,541,776,999,442
485,750,541,835,1016,441
489,750,541,835,1042,464
489,750,541,914,1206,486
508,750,541,1079,1294,515
510,750,541,1071,1328,522
510,736,520,1087,1412,674
632,736,444,920,1412,674
672,764,436,917,1429,675
720,771,383,917,1499,687
713,778,290,846,1523,691
765,775,169,704,1519,762
780,775,99,463,1509,822
837,786,98,513,1499,832
838,786,98,715,1315,817
743,888,85,786,1308,805
592,1042,84,812,1281,793
571,1063,84,863,1146,793
551,1083,84,892,1031,783
548,1086,84,1008,1008,783
548,1077,88,1018,870,782
545,1080,88,1018,920,591
477,1148,88,1022,955,573
466,1139,81,1055,992,591
466,951,263,1231,992,516
462,848,365,1254,1207,510
534,837,356,1232,1211,500
547,837,354,1251,1219,634
571,835,381,1251,1224,717
600,485,750,1256,1179,721
622,485,750,1327,1076,768
648,485,750,1358,976,805
654,485,750,1299,972,875
650,489,750,1306,954,958
650,489,750,1233,831,950
631,508,750,1068,740,1056
629,510,750,1040,706,1104
629,510,736,989,621,977
507,632,736,945,621,977
439,672,764,977,604,976
384,720,771,1094,534,964
388,713,778,1112,510,960
340,765,775,1112,510,889
326,780,775,1158,475,829
258,837,786,1108,475,818
257,838,786,917,475,815
250,743,888,852,475,823
247,592,1042,888,475,846
247,571,1063,930,475,856
247,551,1083,927,475,915
290,548,1086,811,475,922
492,548,1077,801,469,922
578,545,1080,803,419,922
578,477,1148,857,384,922
578,466,1139,825,347,877
578,466,951,696,347,906
578,462,848,673,132,906
505,534,837,685,128,906
492,547,837,674,107,736
448,571,835,674,102,653
471,600,485,669,102,682
451,622,485,598,102,635
479,648,485,716,83,598
473,654,485,724,136,528
473,650,489,730,107,520
473,650,489,747,66,517
473,631,508,747,66,382
473,629,510,747,66,327
473,629,510,747,90,302
475,507,632,747,92,317
475,439,672,715,92,317
475,384,720,598,198,317
476,388,713,579,279,427
540,340,765,579,370,432
683,326,780,532,370,432
721,258,837,532,398,432
776,257,838,521,413,557
776,250,743,515,433,571
935,247,592,453,444,548
983,247,571,360,479,538
983,247,551,392,638,876
945,290,548,418,724,869
743,492,548,423,724,908
662,578,545,437,762,959
662,578,477,379,902,1144
703,578,466,378,903,1191
703,578,466,331,903,1160
703,578,462,331,903,1173
703,505,534,326,903,1197
703,492,547,321,951,1247
709,448,571,330,1112,1385
639,471,600,367,1159,1384
648,451,622,386,1177,1384
594,479,648,291,1183,1487
594,473,654,354,1123,1512
594,473,650,341,1195,1428
594,473,650,318,1443,1468
594,473,631,330,1443,1468
594,473,629,345,1443,1468
594,473,629,345,1419,1470
592,475,507,567,1417,1456
650,475,439,653,1417,1456
685,475,384,658,1311,1456
684,476,388,658,1261,1346
661,540,340,658,1204,1341
711,683,326,658,1278,1341
757,721,258,658,1250,1341
702,776,257,746,1235,1213
702,776,250,746,1220,1191
543,935,247,824,1237,1288
879,983,247,841,1290,1338
879,983,247,836,1175,941
874,945,290,810,1213,941
874,743,492,805,1267,1017
869,662,578,846,1230,1114
882,662,578,848,1122,929
889,703,578,848,1173,898
889,703,578,876,1266,879
889,703,578,876,1383,866
889,703,505,869,1425,842
905,703,492,1109,1448,933
893,709,448,1100,1409,803
892,639,471,1063,1376,782
881,648,451,1044,1399,782
888,594,479,977,1401,681
888,594,473,906,1398,656
888,594,473,906,1374,642
888,594,473,1077,1320,591
888,594,473,1153,1495,591
888,594,473,1138,1529,591
888,594,473,1138,1589,608
898,592,475,916,1618,624
892,650,475,870,1618,625
896,685,475,895,1713,629
933,684,476,895,1689,629
888,661,540,900,1656,629
694,711,683,967,1583,629
655,757,721,971,1591,629
750,702,776,883,1593,629
750,702,776,883,1588,629
750,543,935,805,1560,532
366,879,983,808,1472,482
471,879,983,765,1428,482
490,874,945,766,1304,482
508,874,743,832,1307,367
511,869,662,820,1382,219
498,882,662,821,1417,219
508,889,703,821,1369,223
705,889,703,793,1313,223
727,889,703,793,1197,223
727,889,703,793,1155,223
711,905,703,622,1084,82
749,893,709,801,962,88
749,892,639,854,992,124
754,881,648,854,995,124
747,888,594,854,987,122
747,888,594,854,984,122
747,888,594,869,936,134
786,888,594,704,834,188
786,888,594,690,659,222
786,888,594,904,625,501
786,888,594,904,565,482
776,898,592,904,840,465
743,892,650,864,881,465
704,896,685,879,810,461
663,933,684,879,899,475
832,888,661,874,907,531
855,694,711,828,906,612
810,655,757,877,903,617
935,750,702,880,901,713
935,750,702,880,901,831
935,750,543,888,952,832
935,366,879,869,1009,834
830,471,879,865,1035,1012
811,490,874,864,1035,1021
793,508,874,839,1028,1044
790,511,869,812,963,1062
793,498,882,809,974,1132
735,508,889,922,1304,1113
538,705,889,922,1268,1113
516,727,889,941,1267,1363
533,727,889,943,1267,1469
533,711,905,871,1267,1553
495,749,893,692,1267,1539
495,749,892,639,1223,1666
490,754,881,639,1179,1748
490,747,888,639,1179,1748
490,747,888,639,1179,1748
591,747,888,627,1179,1736
552,786,888,685,1087,1682
626,786,888,687,1196,1670
816,786,888,473,1202,1391
819,786,888,683,1207,1391
819,776,898,741,912,1391
800,743,892,758,871,1390
800,704,896,713,847,1390
800,663,933,713,751,1376
631,832,888,713,771,1320
608,855,694,707,772,1239
608,810,655,1057,767,1234
389,935,750,1283,767,1138
482,935,750,1283,767,1020
482,935,750,1275,716,1022
482,935,366,1274,659,1020
482,830,471,1268,710,867
482,811,490,1268,729,878
482,793,508,1227,679,860
576,790,511,1209,668,842
573,793,498,1209,590,772
573,735,508,1096,256,771
573,538,705,1100,255,771
573,516,727,1081,312,527
556,533,727,1079,312,434
556,533,711,1079,312,358
556,495,749,1079,479,358
556,495,749,1079,489,184
556,490,754,1079,530,118
556,490,747,1155,530,174
556,490,747,1253,530,193
455,591,747,1302,544,381
455,552,786,1264,549,630
381,626,786,1190,440,609
396,816,786,1257,434,613
432,819,786,1091,429,677
458,819,776,1033,420,682
476,800,743,1065,420,682
476,800,704,1065,425,683
568,800,663,1065,476,683
694,631,832,1065,447,683
740,608,855,1052,446,683
740,608,810,649,446,683
739,389,935,420,446,683
646,482,935,428,446,683
648,482,935,491,446,680
650,482,935,491,456,680
650,482,830,491,379,655
650,482,811,491,360,715
650,482,793,491,360,747
556,576,790,510,374,752
556,573,793,510,375,784
558,573,735,511,375,934
600,573,538,515,375,995
605,573,516,515,318,990
605,556,533,515,318,977
605,556,533,679,318,969
605,556,495,682,151,976
605,556,495,702,380,977
605,556,490,760,352,961
605,556,490,734,352,928
639,556,490,689,352,927
684,455,591,637,338,739
761,455,552,611,333,490
942,381,626,609,333,489
771,396,816,542,333,485
740,432,819,505,406,421
806,458,819,506,409,416
788,476,800,457,509,423
845,476,800,569,615,422
797,568,800,618,592,422
671,694,631,668,624,485
628,740,608,674,624,485
629,740,608,674,680,565
639,739,389,674,690,580
642,646,482,670,690,580
802,648,482,634,690,628
955,650,482,634,680,636
955,650,482,640,680,695
955,650,482,642,826,697
955,650,482,648,832,758
955,556,576,657,856,782
959,556,573,720,855,776
1143,558,573,729,873,885
1155,600,573,737,873,851
1187,605,573,737,893,927
1189,605,556,737,937,929
1349,605,556,573,946,929
1453,605,556,570,946,947
1547,605,556,550,716,946
1547,605,556,527,707,947
1558,605,556,553,826,924
1538,639,556,508,1158,906
1549,684,455,561,1221,993
1473,761,455,654,1252,1105
1367,942,381,778,1270,1122
1388,771,396,848,1373,1128
1416,740,432,842,1403,1196
1408,806,458,841,1452,1279
1425,788,476,854,1500,1278
