Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3
2307,191,900,1457,647,575,1184
2337,197,848,1509,437,575,1431
2432,201,848,1509,363,575,1586
2431,243,845,1512,232,595,1732
2560,243,820,1513,233,620,1900
2721,243,400,1933,276,620,1910
2685,299,364,1967,283,620,1955
2553,406,384,1972,292,629,2013
2494,456,383,1958,319,656,2096
2301,649,311,1923,465,720,2086
2250,689,319,1917,756,720,2177
2230,750,328,1823,941,720,2124
2134,886,294,1741,1001,720,2111
2158,916,231,1793,1011,720,2111
2120,887,186,1664,1011,720,2101
2038,926,219,1588,1006,699,2101
1975,989,219,1315,1010,611,2101
1969,995,219,1310,1052,501,2101
1773,1215,219,1310,1038,378,2116
1348,1646,219,1310,1022,339,2103
1256,1738,219,1310,985,224,2068
1152,1845,181,1349,996,194,2068
1126,1900,183,1310,1000,172,2068
1057,1975,176,1153,1061,172,2068
1107,1975,175,1069,1068,172,2008
1153,1988,175,979,1076,171,1840
1253,1993,175,915,1085,162,1747
1253,2009,176,915,1096,162,1737
1185,2080,176,915,1126,162,1462
1129,2144,176,915,1126,162,1349
951,2322,176,915,1126,162,1331
958,2307,191,900,1126,162,1248
994,2337,197,848,1126,162,993
994,2432,201,848,1126,163,838
968,2431,243,845,1126,178,692
839,2560,243,820,1125,172,524
695,2721,243,400,1087,172,527
674,2685,299,364,1031,172,482
677,2553,406,384,1022,163,429
681,2494,456,383,995,187,359
681,2301,649,311,849,137,201
681,2250,689,319,538,223,142
626,2230,750,328,325,242,142
586,2134,886,294,257,314,142
531,2158,916,231,247,314,150
531,2120,887,186,247,373,175
531,2038,926,219,244,397,175
531,1975,989,219,256,406,175
531,1969,995,219,214,406,175
507,1773,1215,219,223,396,160
501,1348,1646,219,236,389,160
501,1256,1738,219,274,389,147
528,1152,1845,181,240,389,124
513,1126,1900,183,240,389,124
532,1057,1975,176,179,389,124
482,1107,1975,175,172,389,124
423,1153,1988,175,174,389,124
320,1253,1993,175,189,389,124
351,1253,2009,176,178,389,164
350,1185,2080,176,148,389,164
390,1129,2144,176,148,407,284
441,951,2322,176,148,407,284
434,958,2307,191,148,407,284
362,994,2337,197,148,413,284
266,994,2432,201,149,417,287
253,968,2431,243,149,382,287
283,839,2560,243,149,363,282
266,695,2721,243,143,363,269
266,674,2685,299,142,378,279
263,677,2553,406,142,383,274
269,681,2494,456,142,430,261
298,681,2301,649,142,527,246
298,681,2250,689,142,445,211
360,626,2230,750,142,522,211
366,586,2134,886,142,450,211
383,531,2158,916,152,450,206
426,531,2120,887,152,391,181
526,531,2038,926,152,367,456
526,531,1975,989,136,360,475
582,531,1969,995,147,361,720
594,507,1773,1215,161,455,753
599,501,1348,1646,155,584,753
620,501,1256,1738,113,617,753
638,528,1152,1845,104,617,748
626,513,1126,1900,107,638,748
601,532,1057,1975,107,640,748
614,482,1107,1975,107,650,748
615,423,1153,1988,97,662,748
613,320,1253,1993,73,671,748
644,351,1253,2009,73,671,708
743,350,1185,2080,104,671,708
734,390,1129,2144,104,687,588
683,441,951,2322,104,687,588
763,434,958,2307,167,687,623
785,362,994,2337,212,681,628
787,266,994,2432,225,676,625
788,253,968,2431,225,676,638
786,283,839,2560,225,676,638
921,266,695,2721,227,676,638
931,266,674,2685,227,661,628
996,263,677,2553,283,656,628
992,269,681,2494,350,559,628
983,298,681,2301,355,456,628
983,298,681,2250,366,463,628
921,360,626,2230,366,437,628
914,366,586,2134,366,437,628
897,383,531,2158,356,465,630
854,426,531,2120,358,491,658
754,526,531,2038,358,504,392
754,526,531,1975,358,502,373
698,582,531,1969,347,501,128
686,594,507,1773,317,407,148
681,599,501,1348,310,296,158
723,620,501,1256,310,263,158
682,638,528,1152,310,271,158
679,626,513,1126,301,250,158
693,601,532,1057,301,268,158
680,614,482,1107,301,282,158
679,615,423,1153,301,284,158
679,613,320,1253,315,275,428
600,644,351,1253,319,330,471
499,743,350,1185,288,330,471
460,734,390,1129,288,296,471
