Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3
521,501,703,244,473,532,1048,582,946
522,492,671,285,473,506,1354,569,939
522,432,647,369,473,467,1398,558,948
522,409,640,399,473,441,1532,514,1147
538,409,640,399,473,417,1532,472,1391
576,409,629,410,473,322,1532,472,1343
577,409,558,481,473,322,1532,472,1240
660,409,403,627,482,322,1532,472,1221
683,409,366,517,629,322,1532,472,1222
703,409,366,517,629,322,1532,472,1104
901,415,365,518,629,322,1532,472,1070
1050,433,363,491,658,322,1527,472,1056
1017,549,381,491,658,322,1528,472,1020
985,648,381,491,658,322,1521,472,898
1026,612,418,491,658,322,1493,507,881
1079,612,418,491,658,322,1489,517,868
1118,534,496,491,658,322,1489,517,871
1127,475,555,491,658,315,1489,517,851
1179,477,561,491,479,494,1517,563,863
1086,574,563,491,350,623,1506,586,868
1073,587,563,491,350,623,1500,573,954
1073,587,563,491,350,608,1372,572,1036
1050,608,565,491,350,448,1371,650,1124
1072,581,592,459,382,448,1332,701,1188
1080,585,592,453,388,448,1318,650,1172
1102,553,624,453,388,444,1241,767,1200
1026,588,673,453,388,442,1213,777,1205
1016,567,717,453,388,369,1279,642,1197
1017,567,695,473,390,347,1151,487,1182
1017,565,680,471,400,356,1058,487,1182
1049,521,678,517,250,506,1020,490,1181
1091,521,501,703,244,473,782,491,1051
1091,522,492,671,285,473,550,491,1036
1091,522,432,647,369,473,564,491,1092
1091,522,409,640,399,473,437,495,999
1075,538,409,640,399,473,438,541,839
1042,576,409,629,410,473,438,546,907
1082,577,409,558,481,473,443,592,956
1059,660,409,403,627,482,445,607,985
1036,683,409,366,517,629,445,870,987
1021,703,409,366,517,629,445,925,952
817,901,415,365,518,629,445,980,952
650,1050,433,363,491,658,445,1012,1144
549,1017,549,381,491,658,443,1212,1147
482,985,648,381,491,658,443,1216,1147
440,1026,612,418,491,658,434,1181,1147
387,1079,612,418,491,658,434,1171,1157
348,1118,534,496,491,658,434,1171,1154
339,1127,475,555,491,658,434,1211,1141
279,1179,477,561,491,479,406,1275,1128
273,1086,574,563,491,350,361,1382,1123
273,1073,587,563,491,350,342,1380,1051
293,1073,587,563,491,350,314,1419,980
293,1050,608,565,491,350,312,1435,924
273,1072,581,592,459,382,312,1402,859
292,1080,585,592,453,388,312,1469,817
271,1102,553,624,453,388,286,1491,744
271,1026,588,673,453,388,267,1457,707
314,1016,567,717,453,388,198,1448,729
313,1017,567,695,473,390,324,1448,769
313,1017,565,680,471,400,366,1448,769
281,1049,521,678,517,250,367,1445,820
230,1091,521,501,703,244,364,1444,897
235,1091,522,492,671,285,262,1444,874
241,1091,522,432,647,369,329,1469,823
266,1091,522,409,640,399,322,1479,753
266,1075,538,409,640,399,321,1433,727
263,1042,576,409,629,410,321,1428,670
228,1082,577,409,558,481,316,1382,668
168,1059,660,409,403,627,317,1367,708
255,1036,683,409,366,517,317,1105,758
251,1021,703,409,366,517,317,1050,780
251,817,901,415,365,518,317,1091,851
251,650,1050,433,363,491,317,1059,717
251,549,1017,549,381,491,317,859,723
251,482,985,648,381,491,317,855,794
251,440,1026,612,418,491,317,1089,819
290,387,1079,612,418,491,317,1246,815
362,348,1118,534,496,491,317,1349,923
396,339,1127,475,555,491,317,1368,1135
443,279,1179,477,561,491,317,1260,1167
447,273,1086,574,563,491,317,1130,1219
447,273,1073,587,563,491,317,1130,1280
427,293,1073,587,563,491,402,1080,1305
427,293,1050,608,565,491,438,986,1272
425,273,1072,581,592,459,438,960,1285
394,292,1080,585,592,453,440,857,1404
393,271,1102,553,624,453,440,718,1400
385,271,1026,588,673,453,471,694,1400
329,314,1016,567,717,453,469,693,1378
329,313,1017,567,695,473,422,693,1338
415,313,1017,565,680,471,409,693,1355
417,281,1049,521,678,517,409,693,1322
453,230,1091,521,501,703,409,693,1341
