Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
444,553,734,1155,639,854,977,291,989,803,721
436,508,689,1253,639,854,906,354,657,832,595
383,561,637,1302,627,869,906,341,610,757,502
290,654,611,1264,685,704,1077,318,580,714,386
169,778,609,1190,687,690,1153,330,667,707,336
99,848,542,1257,473,904,1138,345,588,777,314
98,842,505,1091,683,904,1138,345,546,709,314
98,841,506,1033,741,904,916,567,497,704,278
85,854,457,1065,758,864,870,653,389,706,278
84,743,569,1065,713,879,895,658,367,735,278
84,694,618,1065,713,879,895,658,411,731,319
84,644,668,1065,713,874,900,658,430,698,319
84,636,674,1052,707,828,967,658,430,704,319
88,641,674,649,1057,877,971,658,434,712,319
88,641,674,420,1283,880,883,746,448,712,307
88,637,670,428,1283,880,883,746,534,668,247
81,637,634,491,1275,888,805,824,654,746,374
263,643,634,491,1274,869,808,841,683,904,374
365,642,640,491,1268,865,765,836,690,959,354
356,661,642,491,1268,864,766,810,694,1014,380
354,657,648,491,1227,839,832,805,748,1015,387
381,630,657,510,1209,812,820,846,803,1015,387
750,567,720,510,1209,809,821,848,803,1015,387
750,557,729,511,1096,922,821,848,815,1015,387
750,541,737,515,1100,922,793,876,815,1015,391
750,541,737,515,1081,941,793,876,793,1015,384
750,541,737,515,1079,943,793,869,792,1036,357
750,541,573,679,1079,871,622,1109,790,1036,346
750,541,570,682,1079,692,801,1100,722,1039,345
750,541,550,702,1079,639,854,1063,746,914,311
736,520,527,760,1079,639,854,1044,780,836,247
736,444,553,734,1155,639,854,977,991,738,230
764,436,508,689,1253,639,854,906,994,709,230
771,383,561,637,1302,627,869,906,978,697,230
778,290,654,611,1264,685,704,1077,1049,628,230
775,169,778,609,1190,687,690,1153,1086,622,224
775,99,848,542,1257,473,904,1138,1304,591,224
786,98,842,505,1091,683,904,1138,1243,601,225
786,98,841,506,1033,741,904,916,1240,707,246
888,85,854,457,1065,758,864,870,1200,706,258
1042,84,743,569,1065,713,879,895,1199,704,270
1063,84,694,618,1065,713,879,895,1145,801,229
1083,84,644,668,1065,713,874,900,1126,914,239
1086,84,636,674,1052,707,828,967,1126,930,239
1077,88,641,674,649,1057,877,971,1122,1066,240
1080,88,641,674,420,1283,880,883,1108,1066,431
1148,88,637,670,428,1283,880,883,1022,1066,444
1139,81,637,634,491,1275,888,805,902,988,339
951,263,643,634,491,1274,869,808,873,830,427
848,365,642,640,491,1268,865,765,866,775,433
837,356,661,642,491,1268,864,766,884,720,417
837,354,657,648,491,1227,839,832,830,732,446
835,381,630,657,510,1209,812,820,775,732,446
485,750,567,720,510,1209,809,821,775,777,446
485,750,557,729,511,1096,922,821,763,880,446
485,750,541,737,515,1100,922,793,776,999,442
485,750,541,737,515,1081,941,793,835,1016,441
489,750,541,737,515,1079,943,793,835,1042,464
489,750,541,573,679,1079,871,622,914,1206,486
508,750,541,570,682,1079,692,801,1079,1294,515
510,750,541,550,702,1079,639,854,1071,1328,522
510,736,520,527,760,1079,639,854,1087,1412,674
632,736,444,553,734,1155,639,854,920,1412,674
672,764,436,508,689,1253,639,854,917,1429,675
720,771,383,561,637,1302,627,869,917,1499,687
713,778,290,654,611,1264,685,704,846,1523,691
765,775,169,778,609,1190,687,690,704,1519,762
780,775,99,848,542,1257,473,904,463,1509,822
837,786,98,842,505,1091,683,904,513,1499,832
838,786,98,841,506,1033,741,904,715,1315,817
743,888,85,854,457,1065,758,864,786,1308,805
592,1042,84,743,569,1065,713,879,812,1281,793
571,1063,84,694,618,1065,713,879,863,1146,793
551,1083,84,644,668,1065,713,874,892,1031,783
548,1086,84,636,674,1052,707,828,1008,1008,783
548,1077,88,641,674,649,1057,877,1018,870,782
545,1080,88,641,674,420,1283,880,1018,920,591
477,1148,88,637,670,428,1283,880,1022,955,573
466,1139,81,637,634,491,1275,888,1055,992,591
466,951,263,643,634,491,1274,869,1231,992,516
462,848,365,642,640,491,1268,865,1254,1207,510
534,837,356,661,642,491,1268,864,1232,1211,500
547,837,354,657,648,491,1227,839,1251,1219,634
571,835,381,630,657,510,1209,812,1251,1224,717
600,485,750,567,720,510,1209,809,1256,1179,721
622,485,750,557,729,511,1096,922,1327,1076,768
648,485,750,541,737,515,1100,922,1358,976,805
654,485,750,541,737,515,1081,941,1299,972,875
650,489,750,541,737,515,1079,943,1306,954,958
650,489,750,541,573,679,1079,871,1233,831,950
631,508,750,541,570,682,1079,692,1068,740,1056
629,510,750,541,550,702,1079,639,1040,706,1104
629,510,736,520,527,760,1079,639,989,621,977
507,632,736,444,553,734,1155,639,945,621,977
439,672,764,436,508,689,1253,639,977,604,976
384,720,771,383,561,637,1302,627,1094,534,964
388,713,778,290,654,611,1264,685,1112,510,960
340,765,775,169,778,609,1190,687,1112,510,889
326,780,775,99,848,542,1257,473,1158,475,829
258,837,786,98,842,505,1091,683,1108,475,818
257,838,786,98,841,506,1033,741,917,475,815
250,743,888,85,854,457,1065,758,852,475,823
247,592,1042,84,743,569,1065,713,888,475,846
247,571,1063,84,694,618,1065,713,930,475,856
247,551,1083,84,644,668,1065,713,927,475,915
290,548,1086,84,636,674,1052,707,811,475,922
492,548,1077,88,641,674,649,1057,801,469,922
578,545,1080,88,641,674,420,1283,803,419,922
578,477,1148,88,637,670,428,1283,857,384,922
578,466,1139,81,637,634,491,1275,825,347,877
578,466,951,263,643,634,491,1274,696,347,906
578,462,848,365,642,640,491,1268,673,132,906
505,534,837,356,661,642,491,1268,685,128,906
492,547,837,354,657,648,491,1227,674,107,736
448,571,835,381,630,657,510,1209,674,102,653
471,600,485,750,567,720,510,1209,669,102,682
451,622,485,750,557,729,511,1096,598,102,635
479,648,485,750,541,737,515,1100,716,83,598
473,654,485,750,541,737,515,1081,724,136,528
473,650,489,750,541,737,515,1079,730,107,520
473,650,489,750,541,573,679,1079,747,66,517
473,631,508,750,541,570,682,1079,747,66,382
473,629,510,750,541,550,702,1079,747,66,327
473,629,510,736,520,527,760,1079,747,90,302
475,507,632,736,444,553,734,1155,747,92,317
475,439,672,764,436,508,689,1253,715,92,317
475,384,720,771,383,561,637,1302,598,198,317
476,388,713,778,290,654,611,1264,579,279,427
540,340,765,775,169,778,609,1190,579,370,432
683,326,780,775,99,848,542,1257,532,370,432
721,258,837,786,98,842,505,1091,532,398,432
776,257,838,786,98,841,506,1033,521,413,557
776,250,743,888,85,854,457,1065,515,433,571
935,247,592,1042,84,743,569,1065,453,444,548
983,247,571,1063,84,694,618,1065,360,479,538
983,247,551,1083,84,644,668,1065,392,638,876
945,290,548,1086,84,636,674,1052,418,724,869
