Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3
433,438,753,427,1249,689,444,689,542,521,875,598
441,457,695,456,1278,689,444,668,563,521,1048,582
428,452,713,456,1278,689,431,675,569,522,1354,569
433,399,766,456,1278,636,484,675,569,522,1398,558
433,326,839,456,1278,533,587,673,571,522,1532,514
485,317,848,456,1271,525,568,707,571,538,1532,472
485,317,795,509,1252,506,606,669,523,576,1532,472
486,275,834,512,1252,506,548,710,538,577,1532,472
517,275,828,518,1252,506,548,709,503,660,1532,472
517,274,810,537,1229,454,623,640,502,683,1532,472
532,228,842,551,1229,406,671,433,694,703,1532,472
538,218,852,551,1229,382,695,224,892,901,1532,472
578,218,852,420,1233,499,705,222,877,1050,1527,472
578,216,854,414,1239,497,634,295,877,1017,1528,472
578,216,843,425,1167,567,614,208,984,985,1521,472
578,216,811,456,1081,654,523,299,984,1026,1493,507
522,272,789,478,1053,682,523,291,992,1079,1489,517
515,356,715,552,1056,682,523,291,992,1118,1489,517
513,440,651,624,875,863,523,291,992,1127,1489,517
506,344,742,645,836,900,525,291,992,1179,1517,563
650,344,733,618,641,995,661,291,992,1086,1506,586
650,344,594,757,641,927,715,305,984,1073,1500,573
635,346,607,746,539,1010,724,326,955,1073,1372,572
608,365,619,743,518,982,776,326,873,1050,1371,650
562,402,629,724,537,982,775,327,870,1072,1332,701
545,419,592,643,654,983,679,423,870,1080,1318,650
545,419,592,638,620,1022,679,423,721,1102,1241,767
545,395,616,598,562,1097,681,444,721,1026,1213,777
530,411,499,715,539,1112,689,444,721,1016,1279,642
528,411,481,713,549,1124,689,444,721,1017,1151,487
530,411,440,753,453,1221,689,444,721,1017,1058,487
525,433,438,753,427,1249,689,444,689,1049,1020,490
500,441,457,695,456,1278,689,444,668,1091,782,491
516,428,452,713,456,1278,689,431,675,1091,550,491
513,433,399,766,456,1278,636,484,675,1091,564,491
513,433,326,839,456,1278,533,587,673,1091,437,495
461,485,317,848,456,1271,525,568,707,1075,438,541
461,485,317,795,509,1252,506,606,669,1042,438,546
460,486,275,834,512,1252,506,548,710,1082,443,592
429,517,275,828,518,1252,506,548,709,1059,445,607
429,517,274,810,537,1229,454,623,640,1036,445,870
479,532,228,842,551,1229,406,671,433,1021,445,925
518,538,218,852,551,1229,382,695,224,817,445,980
593,578,218,852,420,1233,499,705,222,650,445,1012
726,578,216,854,414,1239,497,634,295,549,443,1212
745,578,216,843,425,1167,567,614,208,482,443,1216
746,578,216,811,456,1081,654,523,299,440,434,1181
746,522,272,789,478,1053,682,523,291,387,434,1171
666,515,356,715,552,1056,682,523,291,348,434,1171
605,513,440,651,624,875,863,523,291,339,434,1211
609,506,344,742,645,836,900,525,291,279,406,1275
526,650,344,733,618,641,995,661,291,273,361,1382
558,650,344,594,757,641,927,715,305,273,342,1380
558,635,346,607,746,539,1010,724,326,293,314,1419
555,608,365,619,743,518,982,776,326,293,312,1435
555,562,402,629,724,537,982,775,327,273,312,1402
555,545,419,592,643,654,983,679,423,292,312,1469
568,545,419,592,638,620,1022,679,423,271,286,1491
568,545,395,616,598,562,1097,681,444,271,267,1457
567,530,411,499,715,539,1112,689,444,314,198,1448
567,528,411,481,713,549,1124,689,444,313,324,1448
565,530,411,440,753,453,1221,689,444,313,366,1448
548,525,433,438,753,427,1249,689,444,281,367,1445
553,500,441,457,695,456,1278,689,444,230,364,1444
543,516,428,452,713,456,1278,689,431,235,262,1444
544,513,433,399,766,456,1278,636,484,241,329,1469
550,513,433,326,839,456,1278,533,587,266,322,1479
554,461,485,317,848,456,1271,525,568,266,321,1433
560,461,485,317,795,509,1252,506,606,263,321,1428
560,460,486,275,834,512,1252,506,548,228,316,1382
573,429,517,275,828,518,1252,506,548,168,317,1367
594,429,517,274,810,537,1229,454,623,255,317,1105
529,479,532,228,842,551,1229,406,671,251,317,1050
484,518,538,218,852,551,1229,382,695,251,317,1091
369,593,578,218,852,420,1233,499,705,251,317,1059
236,726,578,216,854,414,1239,497,634,251,317,859
217,745,578,216,843,425,1167,567,614,251,317,855
216,746,578,216,811,456,1081,654,523,251,317,1089
216,746,522,272,789,478,1053,682,523,290,317,1246
216,666,515,356,715,552,1056,682,523,362,317,1349
187,605,513,440,651,624,875,863,523,396,317,1368
190,609,506,344,742,645,836,900,525,443,317,1260
129,526,650,344,733,618,641,995,661,447,317,1130
106,558,650,344,594,757,641,927,715,447,317,1130
106,558,635,346,607,746,539,1010,724,427,402,1080
162,555,608,365,619,743,518,982,776,427,438,986
184,555,562,402,629,724,537,982,775,425,438,960
189,555,545,419,592,643,654,983,679,394,440,857
227,568,545,419,592,638,620,1022,679,393,440,718
252,568,545,395,616,598,562,1097,681,385,471,694
252,567,530,411,499,715,539,1112,689,329,469,693
252,567,528,411,481,713,549,1124,689,329,422,693
252,565,530,411,440,753,453,1221,689,415,409,693
252,548,525,433,438,753,427,1249,689,417,409,693
263,553,500,441,457,695,456,1278,689,453,409,693
265,543,516,428,452,713,456,1278,689,517,410,693
318,544,513,433,399,766,456,1278,636,526,282,668
340,550,513,433,326,839,456,1278,533,512,282,654
342,554,461,485,317,848,456,1271,525,529,282,654
336,560,461,485,317,795,509,1252,506,527,282,654
336,560,460,486,275,834,512,1252,506,523,285,654
323,573,429,517,275,828,518,1252,506,523,282,654
302,594,429,517,274,810,537,1229,454,436,282,653
302,529,479,532,228,842,551,1229,406,435,282,653
302,484,518,538,218,852,551,1229,382,435,282,585
342,369,593,578,218,852,420,1233,499,435,282,646
383,236,726,578,216,854,414,1239,497,435,282,706
383,217,745,578,216,843,425,1167,567,443,282,708
406,216,746,578,216,811,456,1081,654,472,282,530
470,216,746,522,272,789,478,1053,682,515,282,433
476,216,666,515,356,715,552,1056,682,446,282,330
476,187,605,513,440,651,624,875,863,412,283,271
460,190,609,506,344,742,645,836,900,514,284,267
463,129,526,650,344,733,618,641,995,510,284,267
455,106,558,650,344,594,757,641,927,510,284,267
564,106,558,635,346,607,746,539,1010,510,202,267
568,162,555,608,365,619,743,518,982,510,287,295
545,184,555,562,402,629,724,537,982,542,299,328
551,189,555,545,419,592,643,654,983,563,326,393
500,227,568,545,419,592,638,620,1022,569,370,405
475,252,568,545,395,616,598,562,1097,569,518,430
475,252,567,530,411,499,715,539,1112,571,525,465
475,252,567,528,411,481,713,549,1124,571,432,466
545,252,565,530,411,440,753,453,1221,523,403,498
568,252,548,525,433,438,753,427,1249,538,402,750
559,263,553,500,441,457,695,456,1278,503,402,809
565,265,543,516,428,452,713,456,1278,502,401,818
607,318,544,513,433,399,766,456,1278,694,401,818
590,340,550,513,433,326,839,456,1278,892,405,818
584,342,554,461,485,317,848,456,1271,877,413,818
