Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3
547,337,457,850,474,358,438,470,687,834,809,2307,647
525,295,469,902,474,358,408,448,708,859,820,2337,437
524,296,468,903,474,358,389,449,726,859,800,2432,363
524,238,296,1132,475,324,400,472,667,918,739,2431,232
524,238,280,1042,581,300,384,512,666,910,705,2560,233
525,238,243,1079,581,285,359,552,666,835,665,2721,276
522,247,241,1006,656,285,312,599,666,792,640,2685,283
522,247,239,1008,656,285,301,610,666,792,657,2553,292
531,235,251,947,620,382,301,610,666,734,614,2494,319
549,235,251,766,740,443,266,645,665,711,682,2301,465
549,235,251,764,742,443,266,645,665,711,711,2250,756
550,235,251,726,780,443,266,645,665,689,747,2230,941
550,235,251,692,814,436,272,646,665,689,720,2134,1001
550,235,251,685,820,436,273,646,623,731,711,2158,1011
550,220,266,642,863,436,261,658,623,731,712,2120,1011
550,150,336,642,863,436,230,689,623,731,709,2038,1006
550,117,369,640,865,398,268,689,623,731,709,1975,1010
546,86,404,552,953,398,252,705,623,731,808,1969,1052
546,86,385,569,955,386,252,649,653,724,807,1773,1038
428,191,398,568,956,386,217,577,757,700,823,1348,1022
357,249,411,568,956,386,158,508,806,609,853,1256,985
275,331,411,568,956,386,158,506,621,683,1387,1152,996
78,530,411,568,956,386,158,506,520,679,1509,1126,1000
52,561,411,568,873,391,209,533,474,719,1525,1057,1061
52,561,411,568,792,472,209,533,473,716,1816,1107,1068
73,561,409,494,801,539,209,533,473,716,1921,1153,1076
73,559,411,493,802,539,209,533,473,716,1762,1253,1085
73,537,425,500,803,455,293,497,509,716,1930,1253,1096
73,537,380,414,892,440,350,497,449,745,2053,1185,1126
68,542,337,457,885,439,358,487,421,772,2024,1129,1126
63,547,337,457,850,474,358,470,438,711,1976,951,1126
63,547,337,457,850,474,358,438,470,687,1983,958,1126
123,525,295,469,902,474,358,408,448,708,2023,994,1126
124,524,296,468,903,474,358,389,449,726,2022,994,1126
124,524,238,296,1132,475,324,400,472,667,2035,968,1126
124,524,238,280,1042,581,300,384,512,666,2035,839,1125
123,525,238,243,1079,581,285,359,552,666,2036,695,1087
117,522,247,241,1006,656,285,312,599,666,2036,674,1031
122,522,247,239,1008,656,285,301,610,666,2008,677,1022
113,531,235,251,947,620,382,301,610,666,1997,681,995
121,549,235,251,766,740,443,266,645,665,1967,681,849
124,549,235,251,764,742,443,266,645,665,1992,681,538
297,550,235,251,726,780,443,266,645,665,1991,626,325
304,550,235,251,692,814,436,272,646,665,2022,586,257
308,550,235,251,685,820,436,273,646,623,2019,531,247
308,550,220,266,642,863,436,261,658,623,2226,531,247
353,550,150,336,642,863,436,230,689,623,2271,531,244
378,550,117,369,640,865,398,268,689,623,2320,531,256
534,546,86,404,552,953,398,252,705,623,2221,531,214
569,546,86,385,569,955,386,252,649,653,2298,507,223
723,428,191,398,568,956,386,217,577,757,2325,501,236
723,357,249,411,568,956,386,158,508,806,2312,501,274
723,275,331,411,568,956,386,158,506,621,1778,528,240
724,78,530,411,568,956,386,158,506,520,1715,513,240
719,52,561,411,568,873,391,209,533,474,1732,532,179
719,52,561,411,568,792,472,209,533,473,1464,482,172
733,73,561,409,494,801,539,209,533,473,1356,423,174
733,73,559,411,493,802,539,209,533,473,1320,320,189
735,73,537,425,500,803,455,293,497,509,1080,351,178
751,73,537,380,414,892,440,350,497,449,874,350,148
751,68,542,337,457,885,439,358,487,421,935,390,148
751,63,547,337,457,850,474,358,470,438,978,441,148
751,63,547,337,457,850,474,358,438,470,963,434,148
691,123,525,295,469,902,474,358,408,448,970,362,148
690,124,524,296,468,903,474,358,389,449,994,266,149
697,124,524,238,296,1132,475,324,400,472,981,253,149
697,124,524,238,280,1042,581,300,384,512,1003,283,149
697,123,525,238,243,1079,581,285,359,552,998,266,143
697,117,522,247,241,1006,656,285,312,599,998,266,142
692,122,522,247,239,1008,656,285,301,610,979,263,142
692,113,531,235,251,947,620,382,301,610,974,269,142
666,121,549,235,251,766,740,443,266,645,934,298,142
663,124,549,235,251,764,742,443,266,645,878,298,142
489,297,550,235,251,726,780,443,266,645,888,360,142
482,304,550,235,251,692,814,436,272,646,884,366,142
478,308,550,235,251,685,820,436,273,646,1047,383,152
478,308,550,220,266,642,863,436,261,658,952,426,152
433,353,550,150,336,642,863,436,230,689,1012,526,152
423,378,550,117,369,640,865,398,268,689,969,526,136
339,534,546,86,404,552,953,398,252,705,967,582,147
345,569,546,86,385,569,955,386,252,649,890,594,161
205,723,428,191,398,568,956,386,217,577,840,599,155
205,723,357,249,411,568,956,386,158,508,823,620,113
205,723,275,331,411,568,956,386,158,506,854,638,104
239,724,78,530,411,568,956,386,158,506,806,626,107
240,719,52,561,411,568,873,391,209,533,834,601,107
240,719,52,561,411,568,792,472,209,533,834,614,107
224,733,73,561,409,494,801,539,209,533,859,615,97
236,733,73,559,411,493,802,539,209,533,859,613,73
234,735,73,537,425,500,803,455,293,497,918,644,73
218,751,73,537,380,414,892,440,350,497,910,743,104
218,751,68,542,337,457,885,439,358,487,835,734,104
218,751,63,547,337,457,850,474,358,470,792,683,104
229,751,63,547,337,457,850,474,358,438,792,763,167
229,691,123,525,295,469,902,474,358,408,734,785,212
229,690,124,524,296,468,903,474,358,389,711,787,225
222,697,124,524,238,296,1132,475,324,400,711,788,225
222,697,124,524,238,280,1042,581,300,384,689,786,225
222,697,123,525,238,243,1079,581,285,359,689,921,227
222,697,117,522,247,241,1006,656,285,312,731,931,227
228,692,122,522,247,239,1008,656,285,301,731,996,283
240,692,113,531,235,251,947,620,382,301,731,992,350
240,666,121,549,235,251,766,740,443,266,731,983,355
240,663,124,549,235,251,764,742,443,266,731,983,366
240,489,297,550,235,251,726,780,443,266,724,921,366
240,482,304,550,235,251,692,814,436,272,700,914,366
240,478,308,550,235,251,685,820,436,273,609,897,356
240,478,308,550,220,266,642,863,436,261,683,854,358
240,433,353,550,150,336,642,863,436,230,679,754,358
225,423,378,550,117,369,640,865,398,268,719,754,358
153,339,534,546,86,404,552,953,398,252,716,698,347
112,345,569,546,86,385,569,955,386,252,716,686,317
106,205,723,428,191,398,568,956,386,217,716,681,310
110,205,723,357,249,411,568,956,386,158,716,723,310
110,205,723,275,331,411,568,956,386,158,745,682,310
73,239,724,78,530,411,568,956,386,158,772,679,301
72,240,719,52,561,411,568,873,391,209,711,693,301
80,240,719,52,561,411,568,792,472,209,687,680,301
61,224,733,73,561,409,494,801,539,209,708,679,301
49,236,733,73,559,411,493,802,539,209,726,679,315
53,234,735,73,537,425,500,803,455,293,667,600,319
160,218,751,73,537,380,414,892,440,350,666,499,288
183,218,751,68,542,337,457,885,439,358,666,460,288
183,218,751,63,547,337,457,850,474,358,666,523,288
172,229,751,63,547,337,457,850,474,358,666,453,225
177,229,691,123,525,295,469,902,474,358,666,482,197
207,229,690,124,524,296,468,903,474,358,665,477,276
207,222,697,124,524,238,296,1132,475,324,665,534,298
207,222,697,124,524,238,280,1042,581,300,665,506,323
207,222,697,123,525,238,243,1079,581,285,665,371,321
207,222,697,117,522,247,241,1006,656,285,623,361,335
