Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
377,1452,903,928,351,736
397,1449,708,878,357,736
389,1434,653,770,441,764
395,1355,597,708,604,771
441,1329,380,705,607,778
476,1329,341,705,644,775
476,1316,323,476,644,775
482,1316,308,428,641,786
472,1307,303,428,641,786
471,1292,303,309,628,888
476,1300,303,311,621,1042
462,1315,292,309,622,1063
462,1314,290,347,622,1083
477,1166,309,316,601,1086
423,1101,341,321,620,1077
423,1016,343,351,627,1080
423,858,344,359,562,1148
423,857,357,359,517,1139
421,858,357,339,556,951
387,828,283,339,556,848
373,799,187,337,556,837
364,678,178,337,570,837
367,661,181,337,574,835
378,661,186,337,708,485
432,534,192,367,708,485
432,471,183,342,749,485
421,248,183,391,778,485
417,218,183,399,804,489
408,313,183,388,982,489
343,338,154,358,935,508
335,346,155,358,931,510
303,377,174,358,910,510
283,397,202,358,901,632
283,389,202,355,816,672
275,395,221,378,692,720
243,441,221,378,689,713
208,476,221,378,652,765
208,476,224,378,652,780
219,482,226,378,652,837
299,472,226,370,652,838
304,471,226,370,652,743
298,476,227,388,652,592
297,462,227,375,651,571
299,462,224,312,651,551
366,477,221,297,651,548
404,423,272,296,632,548
430,423,271,215,625,545
559,423,270,219,628,477
559,423,253,219,782,466
559,421,208,219,820,466
580,387,208,219,824,462
629,373,208,211,824,534
629,364,208,211,804,547
626,367,205,211,797,571
615,378,200,211,790,600
561,432,194,181,807,622
561,432,194,181,784,648
561,421,194,102,816,654
561,417,194,94,821,650
473,408,194,124,645,650
473,343,192,154,628,631
473,335,198,197,688,629
473,303,161,259,697,629
473,283,133,330,736,507
473,283,133,330,739,439
473,275,119,297,700,384
459,243,119,297,700,388
539,208,174,297,725,340
585,208,218,297,725,326
639,219,238,297,725,258
657,299,317,297,725,257
654,304,317,317,731,250
647,298,316,297,735,247
647,297,316,292,735,247
646,299,316,292,735,247
564,366,312,287,735,290
525,404,252,295,735,492
499,430,318,295,735,578
370,559,358,283,732,578
370,559,402,283,552,578
370,559,423,283,475,578
349,580,517,283,471,578
300,629,612,288,471,505
300,629,690,314,471,492
500,626,846,314,500,448
523,615,915,314,373,471
527,561,917,314,311,451
527,561,917,352,289,479
594,561,961,360,228,473
594,561,961,390,198,473
594,473,1193,360,190,473
596,473,1193,330,275,473
596,473,1186,287,276,473
596,473,1264,225,267,473
606,473,1330,154,228,475
944,473,1330,154,486,475
977,473,1327,144,507,475
980,459,1358,144,507,476
900,539,1303,186,533,540
871,585,1297,186,533,683
841,639,1275,186,632,721
765,657,1196,186,632,776
805,654,1196,179,626,776
879,647,1238,187,627,935
932,647,1262,187,627,983
1012,646,1265,187,627,983
1012,564,1260,218,693,945
1400,525,1238,255,693,743
1590,499,1182,364,693,662
1646,370,1258,425,693,662
1647,370,1214,425,693,703
1745,370,1193,433,693,703
1764,349,1099,433,693,703
1767,300,1004,428,693,703
1803,300,926,402,765,703
1603,500,770,402,866,709
1587,523,701,402,871,639
1658,527,700,402,893,648
1669,527,700,364,972,594
1649,594,701,356,1100,594
1649,594,704,435,1106,594
1649,594,472,435,1096,594
1647,596,754,435,1008,594
1647,596,772,488,947,594
1647,596,695,488,947,594
1637,606,708,528,947,592
1299,944,750,630,940,650
1296,977,748,633,919,685
1326,980,717,648,1062,684
1326,900,717,611,1073,661
1309,871,819,674,1164,711
1269,841,822,674,1100,757
1414,765,889,711,1129,702
1372,805,889,698,1129,702
1298,879,857,690,1151,543
1245,932,963,726,1151,879
1164,1012,960,741,1151,879
1164,1012,954,760,1151,874
902,1400,970,754,1151,874
1349,1590,1165,864,1158,869
1303,1646,1083,811,1160,882
1305,1647,1084,1097,1160,889
1209,1745,1084,1101,1160,889
1194,1764,1152,1102,1160,889
1191,1767,1152,1104,1160,889
1155,1803,1152,1104,1088,905
1158,1603,1152,1105,958,893
1170,1587,1154,1105,953,892
1189,1658,1206,1164,931,881
1178,1669,1207,1164,852,888
1131,1649,1162,1164,724,888
1145,1649,1159,1055,716,888
1312,1649,1159,1055,716,888
1312,1647,877,1055,716,888
1312,1647,980,1002,716,888
1312,1647,1038,1002,716,888
1312,1637,961,962,716,898
1312,1299,1062,860,462,892
1282,1296,1071,857,462,896
1247,1326,1074,859,319,933
1247,1326,1159,854,340,888
1247,1309,1215,812,378,694
1246,1269,1508,833,344,655
1079,1414,1592,811,315,750
1079,1372,1614,811,319,750
1079,1298,1609,937,299,750
1079,1245,1480,1032,304,366
1079,1164,1480,1032,304,471
1079,1164,1479,989,238,490
953,902,1462,946,238,508
316,1349,1281,729,231,511
607,1303,1247,735,267,498
604,1305,1246,451,272,508
646,1209,1246,458,276,705
650,1194,1178,457,276,727
702,1191,1178,467,276,727
702,1155,1360,552,317,711
740,1158,1392,590,317,749
724,1170,1390,590,447,749
645,1189,1375,531,468,754
646,1178,1374,536,468,747
646,1131,1398,536,471,747
632,1145,1399,536,471,747
509,1312,1399,542,494,786
509,1312,1402,598,494,786
509,1312,1392,729,536,786
545,1312,1339,829,597,786
633,1312,1340,832,597,776
633,1312,1197,971,597,743
633,1282,1194,1021,605,704
633,1247,1191,1004,605,663
633,1247,1106,1004,522,832
675,1247,906,997,433,855
675,1246,610,977,777,810
675,1079,459,980,777,935
675,1079,443,980,885,935
675,1079,438,854,1024,935
675,1079,437,725,1110,935
701,1079,437,710,1225,830
888,1079,437,705,1237,811
888,953,445,700,1237,793
888,316,551,728,1237,790
587,607,551,714,1199,793
587,604,604,712,1196,735
574,646,605,718,1302,538
573,650,608,753,1326,516
523,702,608,805,1326,533
523,702,426,861,1474,533
482,740,394,822,1829,495
479,724,395,822,1722,495
464,645,357,822,1777,490
465,646,421,817,1787,490
465,646,397,817,1784,490
465,632,396,817,1784,591
421,509,396,811,1761,552
421,509,407,770,1761,626
421,509,296,639,1719,816
385,545,290,540,1658,819
345,633,287,579,1696,819
612,633,287,440,1877,800
722,633,281,401,1921,800
731,633,281,402,1922,800
908,633,281,656,1922,631
868,675,342,642,1882,608
873,675,383,651,1565,608
896,675,383,633,1565,389
905,675,390,633,1453,482
962,675,410,633,1379,482
1078,675,454,676,1376,482
1090,701,454,734,1261,482
912,888,454,753,1249,482
920,888,446,753,1249,482
920,888,315,723,1249,576
920,587,335,723,1249,573
920,587,323,723,1247,573
889,574,322,698,1206,573
882,573,349,663,1386,573
891,523,418,599,1387,556
891,523,667,458,1212,556
891,482,728,458,858,556
891,479,763,458,839,556
891,464,763,458,763,556
889,465,699,458,812,556
889,465,706,458,825,556
889,465,767,458,959,455
985,421,962,458,959,455
1082,421,951,443,959,381
1090,421,986,501,988,396
1090,385,1014,505,989,432
1042,345,1034,478,951,458
780,612,1040,500,770,476
716,722,1040,490,718,476
710,731,1066,490,717,568
533,908,1184,237,717,694
531,868,1170,239,717,740
839,873,1373,229,689,740
839,896,1402,229,689,739
863,905,1397,229,720,646
865,962,1380,229,722,648
749,1078,1336,245,634,650
715,1090,1336,270,634,650
713,912,1336,251,727,650
709,920,1336,251,762,650
890,920,1336,251,762,556
1136,920,1316,251,762,556
1144,920,1275,255,799,558
1214,889,1275,279,730,600
1352,882,1248,279,526,605
1470,891,1180,279,525,605
1507,891,931,279,512,605
1507,891,882,283,511,605
1507,891,896,295,507,605
1507,891,896,295,523,605
1507,889,896,295,531,605
1659,889,1043,299,518,639
1758,889,1121,310,385,684
1805,985,947,336,406,761
1768,1082,977,369,423,942
1812,1090,942,311,394,771
1828,1090,927,306,519,740
2000,1042,907,293,627,806
2010,780,901,271,708,788
2055,716,990,270,804,845
2052,710,964,269,858,797
2060,533,846,268,1013,671
2065,531,799,266,1046,628
1789,839,555,266,1134,629
1767,839,526,266,1138,639
1734,863,518,266,1108,642
1675,865,515,266,1034,802
1675,749,528,207,1034,955
1683,715,528,126,1035,955
1687,713,528,124,944,955
1719,709,544,124,909,955
1538,890,545,124,909,955
1292,1136,545,124,924,959
1286,1144,545,120,888,1143
1218,1214,545,96,888,1155
1080,1352,668,97,890,1187
951,1470,670,97,891,1189
914,1507,670,97,893,1349
928,1507,658,93,893,1453
928,1507,608,87,930,1547
997,1507,690,95,915,1547
997,1507,693,116,848,1558
845,1659,562,167,850,1538
746,1758,504,579,849,1549
617,1805,511,589,832,1473
557,1768,478,564,820,1367
511,1812,491,698,821,1388
497,1828,478,708,722,1416
325,2000,497,784,754,1408
310,2010,513,784,702,1425
219,2055,424,788,612,1467
219,2052,424,860,559,1437
211,2060,425,1055,410,1438
234,2065,573,1208,388,1438
197,1789,693,1302,306,1437
196,1767,778,1608,302,1427
196,1734,936,1659,332,1424
196,1675,937,1671,347,1262
279,1675,925,1669,377,1107
267,1683,989,1690,480,1112
256,1687,1032,1719,495,1119
328,1719,1146,1737,577,1143
328,1538,1162,1758,717,1316
358,1292,1162,1776,809,1323
441,1286,1289,1779,883,1214
440,1218,1352,1779,884,1217
443,1080,1460,1778,882,1180
614,951,1491,1783,883,1209
626,914,1493,1826,887,1049
612,928,1533,1841,889,1079
613,928,1533,1872,852,1040
544,997,1452,1883,851,1127
624,997,1449,2057,901,1119
640,845,1434,2057,1010,1106
688,746,1355,1690,1092,1050
702,617,1329,1871,1091,1049
816,557,1329,1902,1086,974
821,511,1316,1787,1314,919
829,497,1316,1792,1335,886
906,325,1307,1719,1203,802
917,310,1292,1719,1293,798
942,219,1300,1715,1287,706
942,219,1315,1654,1306,692
945,211,1314,1464,1325,691
938,234,1166,1311,1365,709
990,197,1101,1217,1364,709
1012,196,1016,911,1415,709
1013,196,858,860,1384,774
1013,196,857,852,1369,845
930,279,858,897,1359,845
987,267,828,948,1255,840
1003,256,799,1015,1248,833
895,328,678,1006,1166,815
960,328,661,985,1026,645
935,358,661,967,919,634
861,441,534,964,844,602
910,440,471,973,868,549
943,443,248,973,898,549
772,614,218,968,896,519
760,626,313,925,900,535
760,612,338,941,928,468
759,613,346,904,928,417
