Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1119,1558,605,556,490,747,888,594,479,648,485,444,989,803,721
1106,1538,639,556,490,747,888,594,473,654,485,436,657,832,595
1050,1549,684,455,591,747,888,594,473,650,489,383,610,757,502
1049,1473,761,455,552,786,888,594,473,650,489,290,580,714,386
974,1367,942,381,626,786,888,594,473,631,508,169,667,707,336
919,1388,771,396,816,786,888,594,473,629,510,99,588,777,314
886,1416,740,432,819,786,888,594,473,629,510,98,546,709,314
802,1408,806,458,819,776,898,592,475,507,632,98,497,704,278
798,1425,788,476,800,743,892,650,475,439,672,85,389,706,278
706,1467,845,476,800,704,896,685,475,384,720,84,367,735,278
692,1437,797,568,800,663,933,684,476,388,713,84,411,731,319
691,1438,671,694,631,832,888,661,540,340,765,84,430,698,319
709,1438,628,740,608,855,694,711,683,326,780,84,430,704,319
709,1437,629,740,608,810,655,757,721,258,837,88,434,712,319
709,1427,639,739,389,935,750,702,776,257,838,88,448,712,307
774,1424,642,646,482,935,750,702,776,250,743,88,534,668,247
845,1262,802,648,482,935,750,543,935,247,592,81,654,746,374
845,1107,955,650,482,935,366,879,983,247,571,263,683,904,374
840,1112,955,650,482,830,471,879,983,247,551,365,690,959,354
833,1119,955,650,482,811,490,874,945,290,548,356,694,1014,380
815,1143,955,650,482,793,508,874,743,492,548,354,748,1015,387
645,1316,955,556,576,790,511,869,662,578,545,381,803,1015,387
634,1323,959,556,573,793,498,882,662,578,477,750,803,1015,387
602,1214,1143,558,573,735,508,889,703,578,466,750,815,1015,387
549,1217,1155,600,573,538,705,889,703,578,466,750,815,1015,391
549,1180,1187,605,573,516,727,889,703,578,462,750,793,1015,384
519,1209,1189,605,556,533,727,889,703,505,534,750,792,1036,357
535,1049,1349,605,556,533,711,905,703,492,547,750,790,1036,346
468,1079,1453,605,556,495,749,893,709,448,571,750,722,1039,345
417,1040,1547,605,556,495,749,892,639,471,600,750,746,914,311
351,1127,1547,605,556,490,754,881,648,451,622,736,780,836,247
357,1119,1558,605,556,490,747,888,594,479,648,736,991,738,230
441,1106,1538,639,556,490,747,888,594,473,654,764,994,709,230
604,1050,1549,684,455,591,747,888,594,473,650,771,978,697,230
607,1049,1473,761,455,552,786,888,594,473,650,778,1049,628,230
644,974,1367,942,381,626,786,888,594,473,631,775,1086,622,224
644,919,1388,771,396,816,786,888,594,473,629,775,1304,591,224
641,886,1416,740,432,819,786,888,594,473,629,786,1243,601,225
641,802,1408,806,458,819,776,898,592,475,507,786,1240,707,246
628,798,1425,788,476,800,743,892,650,475,439,888,1200,706,258
621,706,1467,845,476,800,704,896,685,475,384,1042,1199,704,270
622,692,1437,797,568,800,663,933,684,476,388,1063,1145,801,229
622,691,1438,671,694,631,832,888,661,540,340,1083,1126,914,239
601,709,1438,628,740,608,855,694,711,683,326,1086,1126,930,239
620,709,1437,629,740,608,810,655,757,721,258,1077,1122,1066,240
627,709,1427,639,739,389,935,750,702,776,257,1080,1108,1066,431
562,774,1424,642,646,482,935,750,702,776,250,1148,1022,1066,444
517,845,1262,802,648,482,935,750,543,935,247,1139,902,988,339
556,845,1107,955,650,482,935,366,879,983,247,951,873,830,427
556,840,1112,955,650,482,830,471,879,983,247,848,866,775,433
556,833,1119,955,650,482,811,490,874,945,290,837,884,720,417
570,815,1143,955,650,482,793,508,874,743,492,837,830,732,446
574,645,1316,955,556,576,790,511,869,662,578,835,775,732,446
708,634,1323,959,556,573,793,498,882,662,578,485,775,777,446
708,602,1214,1143,558,573,735,508,889,703,578,485,763,880,446
749,549,1217,1155,600,573,538,705,889,703,578,485,776,999,442
778,549,1180,1187,605,573,516,727,889,703,578,485,835,1016,441
804,519,1209,1189,605,556,533,727,889,703,505,489,835,1042,464
982,535,1049,1349,605,556,533,711,905,703,492,489,914,1206,486
935,468,1079,1453,605,556,495,749,893,709,448,508,1079,1294,515
931,417,1040,1547,605,556,495,749,892,639,471,510,1071,1328,522
910,351,1127,1547,605,556,490,754,881,648,451,510,1087,1412,674
901,357,1119,1558,605,556,490,747,888,594,479,632,920,1412,674
816,441,1106,1538,639,556,490,747,888,594,473,672,917,1429,675
692,604,1050,1549,684,455,591,747,888,594,473,720,917,1499,687
689,607,1049,1473,761,455,552,786,888,594,473,713,846,1523,691
652,644,974,1367,942,381,626,786,888,594,473,765,704,1519,762
652,644,919,1388,771,396,816,786,888,594,473,780,463,1509,822
652,641,886,1416,740,432,819,786,888,594,473,837,513,1499,832
652,641,802,1408,806,458,819,776,898,592,475,838,715,1315,817
652,628,798,1425,788,476,800,743,892,650,475,743,786,1308,805
652,621,706,1467,845,476,800,704,896,685,475,592,812,1281,793
651,622,692,1437,797,568,800,663,933,684,476,571,863,1146,793
651,622,691,1438,671,694,631,832,888,661,540,551,892,1031,783
651,601,709,1438,628,740,608,855,694,711,683,548,1008,1008,783
632,620,709,1437,629,740,608,810,655,757,721,548,1018,870,782
625,627,709,1427,639,739,389,935,750,702,776,545,1018,920,591
628,562,774,1424,642,646,482,935,750,702,776,477,1022,955,573
782,517,845,1262,802,648,482,935,750,543,935,466,1055,992,591
820,556,845,1107,955,650,482,935,366,879,983,466,1231,992,516
