Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1633,415,618,688,731,554,512,1049,509,547
1622,414,613,705,731,494,543,1091,488,525
1600,221,720,813,731,494,590,1168,457,524
1671,226,696,838,731,494,633,1240,410,524
1671,226,636,898,715,510,611,1339,403,524
1691,200,663,899,702,523,611,1360,403,525
1641,246,667,899,664,561,628,1391,403,522
1668,259,667,899,660,354,665,1391,403,522
1615,312,636,933,645,323,680,1382,403,531
1602,291,657,946,635,332,675,1315,403,549
1451,420,677,948,575,392,635,1184,403,549
1158,695,691,952,567,400,589,1135,403,550
1037,816,691,952,567,400,582,1141,350,550
1006,847,691,952,567,190,588,1142,350,550
1001,850,693,952,567,190,592,1169,350,550
1001,850,693,952,492,265,590,1242,350,550
982,864,698,873,567,254,607,1123,295,550
865,980,700,873,495,326,582,1160,315,546
705,1141,700,822,546,326,490,1229,389,546
705,1136,705,822,488,384,487,1139,321,428
719,1132,696,834,489,384,487,1021,319,357
727,1132,696,791,532,384,486,1021,346,275
719,1139,614,829,579,373,486,1019,244,78
691,1158,614,796,621,373,486,962,248,52
510,1317,470,936,647,373,530,867,248,52
341,1478,469,944,648,373,526,823,250,73
260,1559,469,929,630,406,473,815,253,73
199,1617,481,867,368,730,536,814,253,73
284,1620,481,854,380,731,536,785,247,73
293,1625,481,823,411,731,536,785,211,68
286,1632,413,748,554,731,536,772,209,63
279,1633,415,618,688,731,536,763,209,63
295,1622,414,613,705,731,505,622,209,123
295,1600,221,720,813,731,458,540,179,124
219,1671,226,696,838,731,438,468,185,124
219,1671,226,636,898,715,468,369,228,124
220,1691,200,663,899,702,519,348,228,123
248,1641,246,667,899,664,549,320,228,117
301,1668,259,667,899,660,514,320,228,122
302,1615,312,636,933,645,466,320,228,113
389,1602,291,657,946,635,466,320,246,121
389,1451,420,677,948,575,467,320,259,124
411,1158,695,691,952,567,462,320,380,297
433,1037,816,691,952,567,456,313,538,304
443,1006,847,691,952,567,437,308,627,308
511,1001,850,693,952,567,434,281,636,308
