Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1049,878,689,347,473,848,1871,509,547,809,2307
1091,977,689,346,416,866,1911,488,525,820,2337
1168,982,689,96,656,866,1921,457,524,800,2432
1240,982,689,96,584,870,1989,410,524,739,2431
1339,953,718,96,583,801,2059,403,524,705,2560
1360,849,822,96,583,546,2314,403,525,665,2721
1391,645,1028,96,583,543,2317,403,522,640,2685
1391,644,849,276,583,538,2322,403,522,657,2553
1382,641,779,355,586,529,2331,403,531,614,2494
1315,571,899,372,586,529,2139,403,549,682,2301
1184,686,844,443,586,529,2003,403,549,711,2250
1135,714,750,558,586,529,2003,403,550,747,2230
1141,642,735,646,586,529,2003,350,550,720,2134
1142,644,717,601,651,524,1868,350,550,711,2158
1169,644,693,597,679,524,1868,350,550,712,2120
1242,639,611,684,679,419,1766,350,550,709,2038
1123,753,615,689,679,419,1727,295,550,709,1975
1160,806,615,689,679,419,1727,315,546,808,1969
1229,833,615,689,678,292,1821,389,546,807,1773
1139,915,630,689,657,288,1628,321,428,823,1348
1021,990,673,689,657,237,1679,319,357,853,1256
1021,988,675,689,657,206,1701,346,275,1387,1152
1019,990,675,689,657,206,1659,244,78,1509,1126
962,1051,675,689,657,206,1578,248,52,1525,1057
867,1148,675,689,656,207,1496,248,52,1816,1107
823,1192,675,689,656,190,1283,250,73,1921,1153
815,1200,675,689,656,178,1189,253,73,1762,1253
814,1182,694,689,598,236,1099,253,73,1930,1253
785,1162,743,689,570,263,959,247,73,2053,1185
785,1058,847,689,432,401,863,211,68,2024,1129
772,1041,877,689,417,416,863,209,63,1976,951
763,1049,878,689,347,473,848,209,63,1983,958
622,1091,977,689,346,416,866,209,123,2023,994
540,1168,982,689,96,656,866,179,124,2022,994
468,1240,982,689,96,584,870,185,124,2035,968
369,1339,953,718,96,583,801,228,124,2035,839
348,1360,849,822,96,583,546,228,123,2036,695
320,1391,645,1028,96,583,543,228,117,2036,674
320,1391,644,849,276,583,538,228,122,2008,677
320,1382,641,779,355,586,529,228,113,1997,681
320,1315,571,899,372,586,529,246,121,1967,681
320,1184,686,844,443,586,529,259,124,1992,681
320,1135,714,750,558,586,529,380,297,1991,626
313,1141,642,735,646,586,529,538,304,2022,586
308,1142,644,717,601,651,524,627,308,2019,531
281,1169,644,693,597,679,524,636,308,2226,531
208,1242,639,611,684,679,419,636,353,2271,531
204,1123,753,615,689,679,419,643,378,2320,531
114,1160,806,615,689,679,419,790,534,2221,531
18,1229,833,615,689,678,292,709,569,2298,507
11,1139,915,630,689,657,288,717,723,2325,501
20,1021,990,673,689,657,237,731,723,2312,501
44,1021,988,675,689,657,206,692,723,1778,528
44,1019,990,675,689,657,206,703,724,1715,513
40,962,1051,675,689,657,206,847,719,1732,532
38,867,1148,675,689,656,207,1129,719,1464,482
38,823,1192,675,689,656,190,1244,733,1356,423
38,815,1200,675,689,656,178,1244,733,1320,320
59,814,1182,694,689,598,236,1244,735,1080,351
60,785,1162,743,689,570,263,1245,751,874,350
61,785,1058,847,689,432,401,1245,751,935,390
80,772,1041,877,689,417,416,1299,751,978,441
281,763,1049,878,689,347,473,1321,751,963,434
322,622,1091,977,689,346,416,1334,691,970,362
364,540,1168,982,689,96,656,1334,690,994,266
496,468,1240,982,689,96,584,1328,697,981,253
625,369,1339,953,718,96,583,1268,697,1003,283
625,348,1360,849,822,96,583,1268,697,998,266
620,320,1391,645,1028,96,583,1268,697,998,266
625,320,1391,644,849,276,583,1268,692,979,263
626,320,1382,641,779,355,586,1268,692,974,269
628,320,1315,571,899,372,586,1250,666,934,298
629,320,1184,686,844,443,586,1253,663,878,298
631,320,1135,714,750,558,586,1133,489,888,360
631,313,1141,642,735,646,586,975,482,884,366
631,308,1142,644,717,601,651,886,478,1047,383
631,281,1169,644,693,597,679,882,478,952,426
631,208,1242,639,611,684,679,925,433,1012,526
632,204,1123,753,615,689,679,926,423,969,526
635,114,1160,806,615,689,679,753,339,967,582
635,18,1229,833,615,689,678,748,345,890,594
655,11,1139,915,630,689,657,759,205,840,599
646,20,1021,990,673,689,657,745,205,823,620
622,44,1021,988,675,689,657,757,205,854,638
627,44,1019,990,675,689,657,744,239,806,626
629,40,962,1051,675,689,657,596,240,834,601
629,38,867,1148,675,689,656,347,240,834,614
629,38,823,1192,675,689,656,232,224,859,615
629,38,815,1200,675,689,656,229,236,859,613
608,59,814,1182,694,689,598,229,234,918,644
607,60,785,1162,743,689,570,228,218,910,743
650,61,785,1058,847,689,432,228,218,835,734
895,80,772,1041,877,689,417,177,218,792,683
809,281,763,1049,878,689,347,158,229,792,763
800,322,622,1091,977,689,346,155,229,734,785
892,364,540,1168,982,689,96,174,229,711,787
856,496,468,1240,982,689,96,174,222,711,788
729,625,369,1339,953,718,96,174,222,689,786
782,625,348,1360,849,822,96,174,222,689,921
813,620,320,1391,645,1028,96,174,222,731,931
813,625,320,1391,644,849,276,174,228,731,996
815,626,320,1382,641,779,355,174,240,731,992
813,628,320,1315,571,899,372,174,240,731,983
815,629,320,1184,686,844,443,159,240,731,983
926,631,320,1135,714,750,558,158,240,724,921
927,631,313,1141,642,735,646,158,240,700,914
975,631,308,1142,644,717,601,158,240,609,897
1042,631,281,1169,644,693,597,153,240,683,854
1042,631,208,1242,639,611,684,110,240,679,754
1119,632,204,1123,753,615,689,102,225,719,754
1123,635,114,1160,806,615,689,102,153,716,698
1123,635,18,1229,833,615,689,102,112,716,686
1103,655,11,1139,915,630,689,83,106,716,681
1105,646,20,1021,990,673,689,83,110,716,723
1114,622,44,1021,988,675,689,98,110,745,682
1245,627,44,1019,990,675,689,195,73,772,679
1385,629,40,962,1051,675,689,242,72,711,693
1423,629,38,867,1148,675,689,220,80,687,680
1423,629,38,823,1192,675,689,229,61,708,679
1423,629,38,815,1200,675,689,229,49,726,679
1450,608,59,814,1182,694,689,229,53,667,600
1519,607,60,785,1162,743,689,229,160,666,499
1475,650,61,785,1058,847,689,229,183,666,460
1211,895,80,772,1041,877,689,227,183,666,523
1097,809,281,763,1049,878,689,427,172,666,453
1069,800,322,622,1091,977,689,517,177,666,482
937,892,364,540,1168,982,689,516,207,665,477
841,856,496,468,1240,982,689,517,207,665,534
839,729,625,369,1339,953,718,587,207,665,506
786,782,625,348,1360,849,822,617,207,665,371
755,813,620,320,1391,645,1028,638,207,623,361
750,813,625,320,1391,644,849,653,201,623,297
747,815,626,320,1382,641,779,653,189,623,297
747,813,628,320,1315,571,899,653,189,623,329
744,815,629,320,1184,686,844,678,190,623,329
631,926,631,320,1135,714,750,710,212,653,329
630,927,631,313,1141,642,735,710,329,757,329
582,975,631,308,1142,644,717,849,430,806,362
515,1042,631,281,1169,644,693,851,495,621,369
515,1042,631,208,1242,639,611,927,495,520,464
437,1119,632,204,1123,753,615,1054,498,474,577
430,1123,635,114,1160,806,615,1054,528,473,583
430,1123,635,18,1229,833,615,1054,531,473,698
430,1103,655,11,1139,915,630,1054,523,473,718
448,1105,646,20,1021,990,673,1054,568,509,655
454,1114,622,44,1021,988,675,1027,641,449,672
369,1245,627,44,1019,990,675,930,713,421,674
460,1385,629,40,962,1051,675,883,713,438,660
430,1423,629,38,867,1148,675,872,705,470,660
431,1423,629,38,823,1192,675,861,705,448,660
553,1423,629,38,815,1200,675,861,705,449,660
526,1450,608,59,814,1182,694,861,840,472,660
513,1519,607,60,785,1162,743,861,749,512,794
513,1475,650,61,785,1058,847,861,726,552,825
513,1211,895,80,772,1041,877,860,726,599,926
512,1097,809,281,763,1049,878,657,726,610,938
512,1069,800,322,622,1091,977,557,721,610,898
620,937,892,364,540,1168,982,731,691,645,900
620,841,856,496,468,1240,982,866,691,645,840
628,839,729,625,369,1339,953,796,691,645,840
628,786,782,625,348,1360,849,766,691,646,859
644,755,813,620,320,1391,645,885,691,646,864
676,750,813,625,320,1391,644,870,691,658,863
680,747,815,626,320,1382,641,1077,691,689,857
732,747,813,628,320,1315,571,1116,691,689,805
756,744,815,629,320,1184,686,1090,690,705,805
771,631,926,631,320,1135,714,1092,668,649,805
775,630,927,631,313,1141,642,1310,551,577,805
776,582,975,631,308,1142,644,1171,450,508,772
776,515,1042,631,281,1169,644,1178,385,506,765
776,515,1042,631,208,1242,639,1144,480,506,670
776,437,1119,632,204,1123,753,1098,484,533,557
776,430,1123,635,114,1160,806,1180,464,533,551
776,430,1123,635,18,1229,833,1410,461,533,436
776,430,1103,655,11,1139,915,1516,466,533,416
764,448,1105,646,20,1021,990,1606,417,497,416
749,454,1114,622,44,1021,988,1747,344,497,391
716,369,1245,627,44,1019,990,1843,272,487,388
485,460,1385,629,40,962,1051,1843,273,470,388
477,430,1423,629,38,867,1148,1871,286,438,388
514,431,1423,629,38,823,1192,1911,295,408,388
410,553,1423,629,38,815,1200,1921,316,389,388
410,526,1450,608,59,814,1182,1989,251,400,388
354,513,1519,607,60,785,1162,2059,250,384,254
354,513,1475,650,61,785,1058,2314,295,359,223
354,513,1211,895,80,772,1041,2317,366,312,59
354,512,1097,809,281,763,1049,2322,383,301,37
410,512,1069,800,322,622,1091,2331,395,301,65
301,620,937,892,364,540,1168,2139,395,266,96
314,620,841,856,496,468,1240,2003,419,266,97
339,628,839,729,625,369,1339,2003,426,266,97
356,628,786,782,625,348,1360,2003,426,272,78
360,644,755,813,620,320,1391,1868,426,273,73
424,676,750,813,625,320,1391,1868,426,261,73
421,680,747,815,626,320,1382,1766,426,230,75
391,732,747,813,628,320,1315,1727,426,268,75
454,756,744,815,629,320,1184,1727,426,252,75
543,771,631,926,631,320,1135,1821,426,252,75
540,775,630,927,631,313,1141,1628,426,217,75
539,776,582,975,631,308,1142,1679,426,158,77
539,776,515,1042,631,281,1169,1701,426,158,77
539,776,515,1042,631,208,1242,1659,331,158,77
539,776,437,1119,632,204,1123,1578,324,209,77
552,776,430,1123,635,114,1160,1496,363,209,77
552,776,430,1123,635,18,1229,1283,364,209,132
552,776,430,1103,655,11,1139,1189,359,209,132
544,764,448,1105,646,20,1021,1099,359,293,132
544,749,454,1114,622,44,1021,959,359,350,132
526,716,369,1245,627,44,1019,863,359,358,142
587,485,460,1385,629,40,962,863,364,358,142
587,477,430,1423,629,38,867,848,351,358,185
549,514,431,1423,629,38,823,866,342,358,276
560,410,553,1423,629,38,815,866,321,358,352
603,410,526,1450,608,59,814,870,247,324,352
604,354,513,1519,607,60,785,801,232,300,352
605,354,513,1475,650,61,785,546,187,285,352
605,354,513,1211,895,80,772,543,116,285,352
605,354,512,1097,809,281,763,538,131,285,352
545,410,512,1069,800,322,622,529,129,382,406
544,301,620,937,892,364,540,529,129,443,395
531,314,620,841,856,496,468,529,105,443,394
498,339,628,839,729,625,369,529,220,443,508
481,356,628,786,782,625,348,529,258,436,569
461,360,644,755,813,620,320,524,363,436,632
365,424,676,750,813,625,320,524,438,436,632
364,421,680,747,815,626,320,419,438,436,630
342,391,732,747,813,628,320,419,438,398,630
255,454,756,744,815,629,320,419,438,398,630
151,543,771,631,926,631,320,292,438,386,647
150,540,775,630,927,631,313,288,438,386,647
150,539,776,582,975,631,308,237,438,386,852
150,539,776,515,1042,631,281,206,559,386,853
228,539,776,515,1042,631,208,206,606,386,853
258,539,776,437,1119,632,204,206,607,391,853
246,552,776,430,1123,635,114,207,568,472,864
326,552,776,430,1123,635,18,190,622,539,809
326,552,776,430,1103,655,11,178,622,539,830
326,544,764,448,1105,646,20,236,660,455,832
326,544,749,454,1114,622,44,263,763,440,833
326,526,716,369,1245,627,44,401,804,439,829
263,587,485,460,1385,629,40,416,846,474,829
263,587,477,430,1423,629,38,473,900,474,786
263,549,514,431,1423,629,38,416,902,474,695
236,560,410,553,1423,629,38,656,902,474,619
376,603,410,526,1450,608,59,584,902,475,619
486,604,354,513,1519,607,60,583,902,581,619
491,605,354,513,1475,650,61,583,902,581,619
534,605,354,513,1211,895,80,583,902,656,630
534,605,354,512,1097,809,281,583,870,656,709
598,545,410,512,1069,800,322,586,860,620,689
603,544,301,620,937,892,364,586,860,740,793
626,531,314,620,841,856,496,586,860,742,825
654,498,339,628,839,729,625,586,738,780,877
655,481,356,628,786,782,625,586,700,814,816
1015,461,360,644,755,813,620,651,678,820,832
1042,365,424,676,750,813,625,679,614,863,832
1138,364,421,680,747,815,626,679,624,863,953
1149,342,391,732,747,813,628,679,624,865,964
1164,255,454,756,744,815,629,679,624,953,968
1164,151,543,771,631,926,631,678,624,955,965
1164,150,540,775,630,927,631,657,624,956,1015
1164,150,539,776,582,975,631,657,624,956,900
1164,150,539,776,515,1042,631,657,569,956,950
1086,228,539,776,515,1042,631,657,526,956,951
1056,258,539,776,437,1119,632,657,525,873,951
1055,246,552,776,430,1123,635,656,521,792,940
975,326,552,776,430,1123,635,656,466,801,1086
975,326,552,776,430,1103,655,656,466,802,1067
991,326,544,764,448,1105,646,598,428,803,1065
1045,326,544,749,454,1114,622,570,484,892,1064
1107,326,526,716,369,1245,627,432,443,885,1058
1109,263,587,485,460,1385,629,417,395,850,1058
1140,263,587,477,430,1423,629,347,341,850,1058
1140,263,549,514,431,1423,629,346,801,902,1058
1200,236,560,410,553,1423,629,96,801,903,1058
1041,376,603,410,526,1450,608,96,801,1132,1071
930,486,604,354,513,1519,607,96,823,1042,1078
924,491,605,354,513,1475,650,96,838,1079,1078
968,534,605,354,513,1211,895,96,838,1006,1067
968,534,605,354,512,1097,809,276,838,1008,988
918,598,545,410,512,1069,800,355,838,947,915
913,603,544,301,620,937,892,372,838,766,789
958,626,531,314,620,841,856,443,838,764,757
976,654,498,339,628,839,729,558,838,726,591
981,655,481,356,628,786,782,646,838,692,591
621,1015,461,360,644,755,813,601,755,685,512
