Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1048,1209,1416,492,1196,557,330,646,582,946,1633,512
1354,1188,1465,492,1155,598,330,634,569,939,1622,543
1398,1005,1651,492,1138,605,340,609,558,948,1600,590
1532,953,1702,493,1075,600,408,574,514,1147,1671,633
1532,935,1720,474,1055,555,492,573,472,1391,1671,611
1532,935,1666,502,1043,593,474,559,472,1343,1691,611
1532,872,1716,515,1043,577,415,382,472,1240,1641,628
1532,849,1739,515,1024,594,406,334,472,1221,1668,665
1532,731,1857,515,1024,594,270,461,472,1222,1615,680
1532,702,1886,515,1022,596,270,461,472,1104,1602,675
1532,515,2073,514,989,622,274,465,472,1070,1451,635
1527,504,2089,319,1126,466,465,488,472,1056,1158,589
1528,504,2072,337,1123,469,449,504,472,1020,1037,582
1521,469,2111,340,1123,467,436,517,472,898,1006,588
1493,479,2138,340,1123,373,524,523,507,881,1001,592
1489,437,2154,370,1123,359,538,510,517,868,1001,590
1489,338,2127,496,1123,356,541,474,517,871,982,607
1489,331,2080,550,1123,356,539,476,517,851,865,582
1517,331,2049,581,1123,334,561,476,563,863,705,490
1506,387,2049,581,1123,334,561,476,586,868,705,487
1500,412,2034,596,1094,363,561,367,573,954,719,487
1372,511,1984,703,1086,371,561,367,572,1036,727,486
1371,509,1742,950,1033,424,561,367,650,1124,719,486
1332,524,1731,871,1144,427,561,367,701,1188,691,486
1318,530,1697,905,1112,464,564,351,650,1172,510,530
1241,572,1406,1257,1029,542,569,339,767,1200,341,526
1213,619,1228,1400,1060,544,571,333,777,1205,260,473
1279,624,1123,1421,1025,663,571,322,642,1197,199,536
1151,758,1132,1411,742,956,571,311,487,1182,284,536
1058,841,1141,1412,731,967,571,311,487,1182,293,536
1020,875,1144,1413,492,1206,547,330,490,1181,286,536
782,1048,1209,1416,492,1196,557,330,491,1051,279,536
550,1354,1188,1465,492,1155,598,330,491,1036,295,505
564,1398,1005,1651,492,1138,605,340,491,1092,295,458
437,1532,953,1702,493,1075,600,408,495,999,219,438
438,1532,935,1720,474,1055,555,492,541,839,219,468
438,1532,935,1666,502,1043,593,474,546,907,220,519
443,1532,872,1716,515,1043,577,415,592,956,248,549
445,1532,849,1739,515,1024,594,406,607,985,301,514
445,1532,731,1857,515,1024,594,270,870,987,302,466
445,1532,702,1886,515,1022,596,270,925,952,389,466
445,1532,515,2073,514,989,622,274,980,952,389,467
445,1527,504,2089,319,1126,466,465,1012,1144,411,462
443,1528,504,2072,337,1123,469,449,1212,1147,433,456
443,1521,469,2111,340,1123,467,436,1216,1147,443,437
434,1493,479,2138,340,1123,373,524,1181,1147,511,434
434,1489,437,2154,370,1123,359,538,1171,1157,582,439
434,1489,338,2127,496,1123,356,541,1171,1154,584,426
434,1489,331,2080,550,1123,356,539,1211,1141,700,457
406,1517,331,2049,581,1123,334,561,1275,1128,710,511
361,1506,387,2049,581,1123,334,561,1382,1123,710,581
342,1500,412,2034,596,1094,363,561,1380,1051,696,640
314,1372,511,1984,703,1086,371,561,1419,980,688,720
312,1371,509,1742,950,1033,424,561,1435,924,686,733
312,1332,524,1731,871,1144,427,561,1402,859,726,743
312,1318,530,1697,905,1112,464,564,1469,817,754,696
286,1241,572,1406,1257,1029,542,569,1491,744,754,611
267,1213,619,1228,1400,1060,544,571,1457,707,754,565
198,1279,624,1123,1421,1025,663,571,1448,729,844,494
324,1151,758,1132,1411,742,956,571,1448,769,807,546
366,1058,841,1141,1412,731,967,571,1448,769,794,604
367,1020,875,1144,1413,492,1206,547,1445,820,934,683
364,782,1048,1209,1416,492,1196,557,1444,897,937,744
262,550,1354,1188,1465,492,1155,598,1444,874,921,761
329,564,1398,1005,1651,492,1138,605,1469,823,921,761
322,437,1532,953,1702,493,1075,600,1479,753,920,745
321,438,1532,935,1720,474,1055,555,1433,727,938,744
321,438,1532,935,1666,502,1043,593,1428,670,916,707
316,443,1532,872,1716,515,1043,577,1382,668,890,694
317,445,1532,849,1739,515,1024,594,1367,708,797,692
317,445,1532,731,1857,515,1024,594,1105,758,793,691
317,445,1532,702,1886,515,1022,596,1050,780,706,691
317,445,1532,515,2073,514,989,622,1091,851,728,690
317,445,1527,504,2089,319,1126,466,1059,717,706,690
317,443,1528,504,2072,337,1123,469,859,723,684,690
317,443,1521,469,2111,340,1123,467,855,794,675,690
317,434,1493,479,2138,340,1123,373,1089,819,610,710
317,434,1489,437,2154,370,1123,359,1246,815,539,710
317,434,1489,338,2127,496,1123,356,1349,923,537,708
317,434,1489,331,2080,550,1123,356,1368,1135,420,705
317,406,1517,331,2049,581,1123,334,1260,1167,409,692
317,361,1506,387,2049,581,1123,334,1130,1219,410,648
317,342,1500,412,2034,596,1094,363,1130,1280,485,589
402,314,1372,511,1984,703,1086,371,1080,1305,563,525
438,312,1371,509,1742,950,1033,424,986,1272,572,539
438,312,1332,524,1731,871,1144,427,960,1285,555,543
440,312,1318,530,1697,905,1112,464,857,1404,527,636
440,286,1241,572,1406,1257,1029,542,718,1400,655,636
471,267,1213,619,1228,1400,1060,544,694,1400,719,636
469,198,1279,624,1123,1421,1025,663,693,1378,645,636
422,324,1151,758,1132,1411,742,956,693,1338,598,584
409,366,1058,841,1141,1412,731,967,693,1355,597,533
409,367,1020,875,1144,1413,492,1206,693,1322,493,473
409,364,782,1048,1209,1416,492,1196,693,1341,503,413
410,262,550,1354,1188,1465,492,1155,693,1375,525,396
282,329,564,1398,1005,1651,492,1138,668,1426,525,402
282,322,437,1532,953,1702,493,1075,654,1424,525,462
282,321,438,1532,935,1720,474,1055,654,1374,507,433
282,321,438,1532,935,1666,502,1043,654,1441,506,419
285,316,443,1532,872,1716,515,1043,654,1452,504,381
282,317,445,1532,849,1739,515,1024,654,1384,565,395
282,317,445,1532,731,1857,515,1024,653,1331,595,511
282,317,445,1532,702,1886,515,1022,653,1309,651,555
282,317,445,1532,515,2073,514,989,585,1336,673,774
282,317,445,1527,504,2089,319,1126,646,1330,710,787
282,317,443,1528,504,2072,337,1123,706,1334,780,787
282,317,443,1521,469,2111,340,1123,708,1263,781,787
282,317,434,1493,479,2138,340,1123,530,1263,778,767
282,317,434,1489,437,2154,370,1123,433,1267,781,762
282,317,434,1489,338,2127,496,1123,330,1161,781,784
283,317,434,1489,331,2080,550,1123,271,952,782,789
284,317,406,1517,331,2049,581,1123,267,920,782,773
284,317,361,1506,387,2049,581,1123,267,868,860,773
284,317,342,1500,412,2034,596,1094,267,1064,785,773
202,402,314,1372,511,1984,703,1086,267,1087,707,757
287,438,312,1371,509,1742,950,1033,295,1117,698,731
299,438,312,1332,524,1731,871,1144,328,1123,675,712
326,440,312,1318,530,1697,905,1112,393,1057,675,619
370,440,286,1241,572,1406,1257,1029,405,1209,561,619
518,471,267,1213,619,1228,1400,1060,430,1209,497,619
525,469,198,1279,624,1123,1421,1025,465,1209,472,685
432,422,324,1151,758,1132,1411,742,466,1288,468,685
403,409,366,1058,841,1141,1412,731,498,1271,518,678
402,409,367,1020,875,1144,1413,492,750,1253,482,661
402,409,364,782,1048,1209,1416,492,809,1157,506,663
