Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
582,788,946,1633,512,1049,509
569,801,939,1622,543,1091,488
558,812,948,1600,590,1168,457
514,856,1147,1671,633,1240,410
472,898,1391,1671,611,1339,403
472,898,1343,1691,611,1360,403
472,844,1240,1641,628,1391,403
472,715,1221,1668,665,1391,403
472,562,1222,1615,680,1382,403
472,559,1104,1602,675,1315,403
472,559,1070,1451,635,1184,403
472,559,1056,1158,589,1135,403
472,536,1020,1037,582,1141,350
472,536,898,1006,588,1142,350
507,535,881,1001,592,1169,350
517,535,868,1001,590,1242,350
517,535,871,982,607,1123,295
517,535,851,865,582,1160,315
563,537,863,705,490,1229,389
586,537,868,705,487,1139,321
573,552,954,719,487,1021,319
572,564,1036,727,486,1021,346
650,493,1124,719,486,1019,244
701,496,1188,691,486,962,248
650,547,1172,510,530,867,248
767,508,1200,341,526,823,250
777,496,1205,260,473,815,253
642,609,1197,199,536,814,253
487,763,1182,284,536,785,247
487,681,1182,293,536,785,211
490,598,1181,286,536,772,209
491,582,1051,279,536,763,209
491,569,1036,295,505,622,209
491,558,1092,295,458,540,179
495,514,999,219,438,468,185
541,472,839,219,468,369,228
546,472,907,220,519,348,228
592,472,956,248,549,320,228
607,472,985,301,514,320,228
870,472,987,302,466,320,228
925,472,952,389,466,320,246
980,472,952,389,467,320,259
1012,472,1144,411,462,320,380
1212,472,1147,433,456,313,538
1216,472,1147,443,437,308,627
1181,507,1147,511,434,281,636
1171,517,1157,582,439,208,636
1171,517,1154,584,426,204,643
1211,517,1141,700,457,114,790
1275,563,1128,710,511,18,709
1382,586,1123,710,581,11,717
1380,573,1051,696,640,20,731
1419,572,980,688,720,44,692
1435,650,924,686,733,44,703
1402,701,859,726,743,40,847
1469,650,817,754,696,38,1129
1491,767,744,754,611,38,1244
1457,777,707,754,565,38,1244
1448,642,729,844,494,59,1244
1448,487,769,807,546,60,1245
1448,487,769,794,604,61,1245
1445,490,820,934,683,80,1299
1444,491,897,937,744,281,1321
1444,491,874,921,761,322,1334
1469,491,823,921,761,364,1334
1479,495,753,920,745,496,1328
1433,541,727,938,744,625,1268
1428,546,670,916,707,625,1268
1382,592,668,890,694,620,1268
1367,607,708,797,692,625,1268
1105,870,758,793,691,626,1268
1050,925,780,706,691,628,1250
1091,980,851,728,690,629,1253
1059,1012,717,706,690,631,1133
859,1212,723,684,690,631,975
855,1216,794,675,690,631,886
1089,1181,819,610,710,631,882
1246,1171,815,539,710,631,925
1349,1171,923,537,708,632,926
1368,1211,1135,420,705,635,753
1260,1275,1167,409,692,635,748
1130,1382,1219,410,648,655,759
1130,1380,1280,485,589,646,745
1080,1419,1305,563,525,622,757
986,1435,1272,572,539,627,744
960,1402,1285,555,543,629,596
857,1469,1404,527,636,629,347
718,1491,1400,655,636,629,232
694,1457,1400,719,636,629,229
693,1448,1378,645,636,608,229
693,1448,1338,598,584,607,228
693,1448,1355,597,533,650,228
693,1445,1322,493,473,895,177
693,1444,1341,503,413,809,158
693,1444,1375,525,396,800,155
668,1469,1426,525,402,892,174
654,1479,1424,525,462,856,174
654,1433,1374,507,433,729,174
654,1428,1441,506,419,782,174
654,1382,1452,504,381,813,174
654,1367,1384,565,395,813,174
653,1105,1331,595,511,815,174
653,1050,1309,651,555,813,174
585,1091,1336,673,774,815,159
646,1059,1330,710,787,926,158
706,859,1334,780,787,927,158
708,855,1263,781,787,975,158
530,1089,1263,778,767,1042,153
433,1246,1267,781,762,1042,110
330,1349,1161,781,784,1119,102
271,1368,952,782,789,1123,102
267,1260,920,782,773,1123,102
267,1130,868,860,773,1103,83
267,1130,1064,785,773,1105,83
267,1080,1087,707,757,1114,98
295,986,1117,698,731,1245,195
328,960,1123,675,712,1385,242
393,857,1057,675,619,1423,220
405,718,1209,561,619,1423,229
430,694,1209,497,619,1423,229
465,693,1209,472,685,1450,229
466,693,1288,468,685,1519,229
498,693,1271,518,678,1475,229
750,693,1253,482,661,1211,227
809,693,1157,506,663,1097,427
818,693,1123,542,668,1069,517
818,668,1058,546,693,937,516
818,654,1021,551,626,841,517
818,654,1013,551,626,839,587
818,654,929,551,675,786,617
820,654,871,554,681,755,638
820,654,870,579,673,750,653
833,653,870,550,595,747,653
869,653,881,494,551,747,653
841,585,787,450,332,744,678
780,646,779,438,319,631,710
720,706,769,389,327,630,710
827,708,785,409,368,582,849
771,530,760,473,369,515,851
711,433,750,470,367,515,927
711,330,748,591,343,437,1054
727,271,745,594,311,430,1054
739,267,745,594,286,430,1054
745,267,745,523,260,430,1054
756,267,474,557,260,448,1054
767,267,415,590,260,454,1027
739,295,385,591,259,369,930
711,328,366,607,293,460,883
646,393,312,624,293,430,872
634,405,157,756,316,431,861
609,430,157,756,316,553,861
574,465,159,756,250,526,861
573,466,90,756,285,513,861
559,498,117,769,396,513,861
382,750,117,809,443,513,860
334,809,117,997,487,512,657
461,818,117,940,488,512,557
461,818,208,936,517,620,731
465,818,222,931,540,620,866
488,818,222,938,540,628,796
504,818,356,947,491,628,766
517,820,364,944,485,644,885
523,820,364,858,492,676,870
510,833,364,857,822,680,1077
474,869,353,857,822,732,1116
476,841,666,857,822,756,1090
476,780,678,832,822,771,1092
476,720,748,811,814,775,1310
367,827,733,789,773,776,1171
367,771,733,725,770,776,1178
367,711,733,725,779,776,1144
367,711,733,607,813,776,1098
351,727,733,603,812,776,1180
339,739,733,609,812,776,1410
333,745,733,610,812,776,1516
322,756,733,618,812,764,1606
311,767,757,585,930,749,1747
311,739,791,584,1024,716,1843
330,711,791,568,991,485,1843
330,646,791,551,1016,477,1871
330,634,793,405,1053,514,1911
340,609,793,486,1053,410,1921
408,574,791,717,1053,410,1989
492,573,781,717,1018,354,2059
474,559,754,896,907,354,2314
415,382,772,883,858,354,2317
406,334,929,667,1022,354,2322
270,461,937,887,1062,410,2331
270,461,846,920,1003,301,2139
274,465,832,1176,980,314,2003
465,488,854,1208,980,339,2003
449,504,721,1211,980,356,2003
436,517,759,1219,1190,360,1868
524,523,1039,1328,1177,424,1868
538,510,1156,1364,809,421,1766
541,474,1165,1402,824,391,1727
539,476,848,1415,824,454,1727
561,476,834,1415,824,543,1821
561,476,820,1415,824,540,1628
