Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
1049,878,689,347,473,848,1871,872,220,347,1129,509,547,809,2307,647
1091,977,689,346,416,866,1911,861,229,232,1244,488,525,820,2337,437
1168,982,689,96,656,866,1921,861,229,229,1244,457,524,800,2432,363
1240,982,689,96,584,870,1989,861,229,229,1244,410,524,739,2431,232
1339,953,718,96,583,801,2059,861,229,228,1245,403,524,705,2560,233
1360,849,822,96,583,546,2314,861,229,228,1245,403,525,665,2721,276
1391,645,1028,96,583,543,2317,860,227,177,1299,403,522,640,2685,283
1391,644,849,276,583,538,2322,657,427,158,1321,403,522,657,2553,292
1382,641,779,355,586,529,2331,557,517,155,1334,403,531,614,2494,319
1315,571,899,372,586,529,2139,731,516,174,1334,403,549,682,2301,465
1184,686,844,443,586,529,2003,866,517,174,1328,403,549,711,2250,756
1135,714,750,558,586,529,2003,796,587,174,1268,403,550,747,2230,941
1141,642,735,646,586,529,2003,766,617,174,1268,350,550,720,2134,1001
1142,644,717,601,651,524,1868,885,638,174,1268,350,550,711,2158,1011
1169,644,693,597,679,524,1868,870,653,174,1268,350,550,712,2120,1011
1242,639,611,684,679,419,1766,1077,653,174,1268,350,550,709,2038,1006
1123,753,615,689,679,419,1727,1116,653,174,1250,295,550,709,1975,1010
1160,806,615,689,679,419,1727,1090,678,159,1253,315,546,808,1969,1052
1229,833,615,689,678,292,1821,1092,710,158,1133,389,546,807,1773,1038
1139,915,630,689,657,288,1628,1310,710,158,975,321,428,823,1348,1022
1021,990,673,689,657,237,1679,1171,849,158,886,319,357,853,1256,985
1021,988,675,689,657,206,1701,1178,851,153,882,346,275,1387,1152,996
1019,990,675,689,657,206,1659,1144,927,110,925,244,78,1509,1126,1000
962,1051,675,689,657,206,1578,1098,1054,102,926,248,52,1525,1057,1061
867,1148,675,689,656,207,1496,1180,1054,102,753,248,52,1816,1107,1068
823,1192,675,689,656,190,1283,1410,1054,102,748,250,73,1921,1153,1076
