Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
444,553,734,989,803,721,441,521
436,508,689,657,832,595,428,522
383,561,637,610,757,502,433,522
290,654,611,580,714,386,433,522
169,778,609,667,707,336,485,538
99,848,542,588,777,314,485,576
98,842,505,546,709,314,486,577
98,841,506,497,704,278,517,660
85,854,457,389,706,278,517,683
84,743,569,367,735,278,532,703
84,694,618,411,731,319,538,901
84,644,668,430,698,319,578,1050
84,636,674,430,704,319,578,1017
88,641,674,434,712,319,578,985
88,641,674,448,712,307,578,1026
88,637,670,534,668,247,522,1079
81,637,634,654,746,374,515,1118
263,643,634,683,904,374,513,1127
365,642,640,690,959,354,506,1179
356,661,642,694,1014,380,650,1086
354,657,648,748,1015,387,650,1073
381,630,657,803,1015,387,635,1073
750,567,720,803,1015,387,608,1050
750,557,729,815,1015,387,562,1072
750,541,737,815,1015,391,545,1080
750,541,737,793,1015,384,545,1102
750,541,737,792,1036,357,545,1026
750,541,573,790,1036,346,530,1016
750,541,570,722,1039,345,528,1017
750,541,550,746,914,311,530,1017
736,520,527,780,836,247,525,1049
736,444,553,991,738,230,500,1091
764,436,508,994,709,230,516,1091
771,383,561,978,697,230,513,1091
778,290,654,1049,628,230,513,1091
775,169,778,1086,622,224,461,1075
775,99,848,1304,591,224,461,1042
786,98,842,1243,601,225,460,1082
786,98,841,1240,707,246,429,1059
888,85,854,1200,706,258,429,1036
1042,84,743,1199,704,270,479,1021
1063,84,694,1145,801,229,518,817
1083,84,644,1126,914,239,593,650
1086,84,636,1126,930,239,726,549
1077,88,641,1122,1066,240,745,482
1080,88,641,1108,1066,431,746,440
1148,88,637,1022,1066,444,746,387
1139,81,637,902,988,339,666,348
951,263,643,873,830,427,605,339
848,365,642,866,775,433,609,279
837,356,661,884,720,417,526,273
837,354,657,830,732,446,558,273
835,381,630,775,732,446,558,293
485,750,567,775,777,446,555,293
485,750,557,763,880,446,555,273
485,750,541,776,999,442,555,292
485,750,541,835,1016,441,568,271
489,750,541,835,1042,464,568,271
489,750,541,914,1206,486,567,314
508,750,541,1079,1294,515,567,313
510,750,541,1071,1328,522,565,313
510,736,520,1087,1412,674,548,281
632,736,444,920,1412,674,553,230
672,764,436,917,1429,675,543,235
720,771,383,917,1499,687,544,241
713,778,290,846,1523,691,550,266
765,775,169,704,1519,762,554,266
780,775,99,463,1509,822,560,263
837,786,98,513,1499,832,560,228
838,786,98,715,1315,817,573,168
743,888,85,786,1308,805,594,255
592,1042,84,812,1281,793,529,251
571,1063,84,863,1146,793,484,251
551,1083,84,892,1031,783,369,251
548,1086,84,1008,1008,783,236,251
548,1077,88,1018,870,782,217,251
545,1080,88,1018,920,591,216,251
477,1148,88,1022,955,573,216,290
466,1139,81,1055,992,591,216,362
466,951,263,1231,992,516,187,396
462,848,365,1254,1207,510,190,443
534,837,356,1232,1211,500,129,447
547,837,354,1251,1219,634,106,447
571,835,381,1251,1224,717,106,427
600,485,750,1256,1179,721,162,427
622,485,750,1327,1076,768,184,425
648,485,750,1358,976,805,189,394
654,485,750,1299,972,875,227,393
650,489,750,1306,954,958,252,385
650,489,750,1233,831,950,252,329
631,508,750,1068,740,1056,252,329
629,510,750,1040,706,1104,252,415
629,510,736,989,621,977,252,417
507,632,736,945,621,977,263,453
439,672,764,977,604,976,265,517
384,720,771,1094,534,964,318,526
388,713,778,1112,510,960,340,512
340,765,775,1112,510,889,342,529
326,780,775,1158,475,829,336,527
258,837,786,1108,475,818,336,523
257,838,786,917,475,815,323,523
250,743,888,852,475,823,302,436
247,592,1042,888,475,846,302,435
247,571,1063,930,475,856,302,435
247,551,1083,927,475,915,342,435
290,548,1086,811,475,922,383,435
492,548,1077,801,469,922,383,443
578,545,1080,803,419,922,406,472
578,477,1148,857,384,922,470,515
578,466,1139,825,347,877,476,446
578,466,951,696,347,906,476,412
578,462,848,673,132,906,460,514
505,534,837,685,128,906,463,510
492,547,837,674,107,736,455,510
448,571,835,674,102,653,564,510
471,600,485,669,102,682,568,510
451,622,485,598,102,635,545,542
479,648,485,716,83,598,551,563
473,654,485,724,136,528,500,569
473,650,489,730,107,520,475,569
473,650,489,747,66,517,475,571
473,631,508,747,66,382,475,571
473,629,510,747,66,327,545,523
473,629,510,747,90,302,568,538
475,507,632,747,92,317,559,503
475,439,672,715,92,317,565,502
475,384,720,598,198,317,607,694
476,388,713,579,279,427,590,892
540,340,765,579,370,432,584,877
683,326,780,532,370,432,584,877
721,258,837,532,398,432,584,984
776,257,838,521,413,557,584,984
776,250,743,515,433,571,677,992
935,247,592,453,444,548,766,992
983,247,571,360,479,538,766,992
983,247,551,392,638,876,726,992
945,290,548,418,724,869,685,992
743,492,548,423,724,908,685,984
662,578,545,437,762,959,662,955
662,578,477,379,902,1144,723,873
703,578,466,378,903,1191,721,870
703,578,466,331,903,1160,722,870
703,578,462,331,903,1173,737,721
703,505,534,326,903,1197,734,721
703,492,547,321,951,1247,733,721
709,448,571,330,1112,1385,624,721
639,471,600,367,1159,1384,563,721
648,451,622,386,1177,1384,563,689
594,479,648,291,1183,1487,796,668
594,473,654,354,1123,1512,796,675
594,473,650,341,1195,1428,796,675
594,473,650,318,1443,1468,796,673
594,473,631,330,1443,1468,796,707
594,473,629,345,1443,1468,772,669
594,473,629,345,1419,1470,749,710
592,475,507,567,1417,1456,740,709
650,475,439,653,1417,1456,758,640
685,475,384,658,1311,1456,660,433
684,476,388,658,1261,1346,649,224
661,540,340,658,1204,1341,649,222
711,683,326,658,1278,1341,649,295
757,721,258,658,1250,1341,649,208
702,776,257,746,1235,1213,649,299
702,776,250,746,1220,1191,556,291
543,935,247,824,1237,1288,468,291
879,983,247,841,1290,1338,468,291
879,983,247,836,1175,941,468,291
874,945,290,810,1213,941,468,291
874,743,492,805,1267,1017,468,305
869,662,578,846,1230,1114,468,326
882,662,578,848,1122,929,343,326
889,703,578,848,1173,898,339,327
889,703,578,876,1266,879,338,423
889,703,578,876,1383,866,323,423
889,703,505,869,1425,842,323,444
905,703,492,1109,1448,933,325,444
893,709,448,1100,1409,803,326,444
892,639,471,1063,1376,782,326,444
881,648,451,1044,1399,782,376,444
888,594,479,977,1401,681,334,444
888,594,473,906,1398,656,392,431
888,594,473,906,1374,642,456,484
888,594,473,1077,1320,591,505,587
888,594,473,1153,1495,591,505,568
888,594,473,1138,1529,591,493,606
888,594,473,1138,1589,608,507,548
898,592,475,916,1618,624,759,548
892,650,475,870,1618,625,772,623
896,685,475,895,1713,629,848,671
933,684,476,895,1689,629,848,695
888,661,540,900,1656,629,848,705
694,711,683,967,1583,629,848,634
655,757,721,971,1591,629,848,614
750,702,776,883,1593,629,848,523
750,702,776,883,1588,629,848,523
750,543,935,805,1560,532,847,523
366,879,983,808,1472,482,847,523
471,879,983,765,1428,482,847,525
490,874,945,766,1304,482,957,661
508,874,743,832,1307,367,957,715
511,869,662,820,1382,219,1024,724
498,882,662,821,1417,219,1024,776
508,889,703,821,1369,223,1024,775
705,889,703,793,1313,223,1027,679
727,889,703,793,1197,223,1076,679
727,889,703,793,1155,223,1093,681
711,905,703,622,1084,82,1091,689
749,893,709,801,962,88,1134,689
749,892,639,854,992,124,1273,689
754,881,648,854,995,124,1657,689
747,888,594,854,987,122,1456,689
747,888,594,854,984,122,1398,689
747,888,594,869,936,134,1334,636
786,888,594,704,834,188,1285,533
786,888,594,690,659,222,1286,525
786,888,594,904,625,501,1252,506
786,888,594,904,565,482,1297,506
776,898,592,904,840,465,1045,506
743,892,650,864,881,465,1055,454
704,896,685,879,810,461,1007,406
663,933,684,879,899,475,1007,382
832,888,661,874,907,531,1007,499
855,694,711,828,906,612,1019,497
810,655,757,877,903,617,1032,567
935,750,702,880,901,713,1135,654
935,750,702,880,901,831,1249,682
935,750,543,888,952,832,1249,682
935,366,879,869,1009,834,1249,863
830,471,879,865,1035,1012,1249,900
