Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
2307,191,900,1457,245,647,575,1184,1363,947
2337,197,848,1509,218,437,575,1431,1363,947
2432,201,848,1509,218,363,575,1586,1363,947
2431,243,845,1512,218,232,595,1732,1363,339
2560,243,820,1513,242,233,620,1900,1363,284
2721,243,400,1933,242,276,620,1910,1363,318
2685,299,364,1967,245,283,620,1955,1363,318
2553,406,384,1972,245,292,629,2013,1363,318
2494,456,383,1958,269,319,656,2096,1363,265
2301,649,311,1923,376,465,720,2086,1363,266
2250,689,319,1917,330,756,720,2177,1363,266
2230,750,328,1823,418,941,720,2124,1293,246
2134,886,294,1741,535,1001,720,2111,1150,246
2158,916,231,1793,546,1011,720,2111,993,254
2120,887,186,1664,787,1011,720,2101,863,251
2038,926,219,1588,801,1006,699,2101,786,251
1975,989,219,1315,996,1010,611,2101,639,256
1969,995,219,1310,1001,1052,501,2101,612,259
1773,1215,219,1310,1001,1038,378,2116,594,172
1348,1646,219,1310,1001,1022,339,2103,307,164
1256,1738,219,1310,1001,985,224,2068,297,239
1152,1845,181,1349,1001,996,194,2068,174,239
1126,1900,183,1310,1040,1000,172,2068,264,219
1057,1975,176,1153,1204,1061,172,2068,419,209
1107,1975,175,1069,1288,1068,172,2008,647,209
1153,1988,175,979,1378,1076,171,1840,657,209
1253,1993,175,915,1442,1085,162,1747,670,206
1253,2009,176,915,1442,1096,162,1737,715,206
1185,2080,176,915,1442,1126,162,1462,715,206
1129,2144,176,915,1442,1126,162,1349,715,206
951,2322,176,915,1442,1126,162,1331,715,206
958,2307,191,900,1457,1126,162,1248,715,206
994,2337,197,848,1509,1126,162,993,800,206
994,2432,201,848,1509,1126,163,838,855,206
968,2431,243,845,1512,1126,178,692,855,201
839,2560,243,820,1513,1125,172,524,855,166
695,2721,243,400,1933,1087,172,527,855,129
674,2685,299,364,1967,1031,172,482,858,129
677,2553,406,384,1972,1022,163,429,858,129
681,2494,456,383,1958,995,187,359,858,129
681,2301,649,311,1923,849,137,201,971,126
681,2250,689,319,1917,538,223,142,1018,126
626,2230,750,328,1823,325,242,142,1101,109
586,2134,886,294,1741,257,314,142,1148,132
531,2158,916,231,1793,247,314,150,1248,136
531,2120,887,186,1664,247,373,175,1453,144
531,2038,926,219,1588,244,397,175,1453,186
531,1975,989,219,1315,256,406,175,1460,181
531,1969,995,219,1310,214,406,175,1460,255
507,1773,1215,219,1310,223,396,160,1460,288
501,1348,1646,219,1310,236,389,160,1457,298
501,1256,1738,219,1310,274,389,147,1457,223
528,1152,1845,181,1349,240,389,124,1457,223
513,1126,1900,183,1310,240,389,124,1252,241
532,1057,1975,176,1153,179,389,124,1087,251
482,1107,1975,175,1069,172,389,124,867,391
423,1153,1988,175,979,174,389,124,1080,439
320,1253,1993,175,915,189,389,124,1354,472
351,1253,2009,176,915,178,389,164,1427,492
350,1185,2080,176,915,148,389,164,1452,577
390,1129,2144,176,915,148,407,284,1485,769
441,951,2322,176,915,148,407,284,1485,831
434,958,2307,191,900,148,407,284,1485,831
362,994,2337,197,848,148,413,284,1400,831
266,994,2432,201,848,149,417,287,1345,831
253,968,2431,243,845,149,382,287,1345,841
283,839,2560,243,820,149,363,282,1345,978
266,695,2721,243,400,143,363,269,1345,978
266,674,2685,299,364,142,378,279,1342,978
263,677,2553,406,384,142,383,274,1342,978
269,681,2494,456,383,142,430,261,1342,981
298,681,2301,649,311,142,527,246,1239,989
298,681,2250,689,319,142,445,211,1192,989
360,626,2230,750,328,142,522,211,1109,1046
366,586,2134,886,294,142,450,211,1057,1266
383,531,2158,916,231,152,450,206,949,1269
426,531,2120,887,186,152,391,181,719,1261
526,531,2038,926,219,152,367,456,719,1219
526,531,1975,989,219,136,360,475,734,1219
582,531,1969,995,219,147,361,720,734,1160
594,507,1773,1215,219,161,455,753,772,1160
599,501,1348,1646,219,155,584,753,772,1150
620,501,1256,1738,219,113,617,753,772,1170
638,528,1152,1845,181,104,617,748,772,1200
626,513,1126,1900,183,107,638,748,772,1182
601,532,1057,1975,176,107,640,748,772,1172
614,482,1107,1975,175,107,650,748,769,1032
615,423,1153,1988,175,97,662,748,546,984
613,320,1253,1993,175,73,671,748,259,951
644,351,1253,2009,176,73,671,708,141,931
743,350,1185,2080,176,104,671,708,116,946
734,390,1129,2144,176,104,687,588,83,947
683,441,951,2322,176,104,687,588,113,923
763,434,958,2307,191,167,687,623,118,945
785,362,994,2337,197,212,681,628,118,1063
787,266,994,2432,201,225,676,625,118,1128
788,253,968,2431,243,225,676,638,118,1118
786,283,839,2560,243,225,676,638,118,966
921,266,695,2721,243,227,676,638,118,966
931,266,674,2685,299,227,661,628,118,999
996,263,677,2553,406,283,656,628,143,1037
992,269,681,2494,456,350,559,628,151,1347
983,298,681,2301,649,355,456,628,141,1509
983,298,681,2250,689,366,463,628,151,1564
921,360,626,2230,750,366,437,628,231,1504
914,366,586,2134,886,366,437,628,261,1261
897,383,531,2158,916,356,465,630,264,1269
854,426,531,2120,887,358,491,658,317,1269
754,526,531,2038,926,358,504,392,317,1302
754,526,531,1975,989,358,502,373,295,1302
698,582,531,1969,995,347,501,128,345,1394
686,594,507,1773,1215,317,407,148,327,1559
681,599,501,1348,1646,310,296,158,330,1559
723,620,501,1256,1738,310,263,158,330,1542
682,638,528,1152,1845,310,271,158,330,1572
679,626,513,1126,1900,301,250,158,330,1755
693,601,532,1057,1975,301,268,158,340,1755
680,614,482,1107,1975,301,282,158,335,1755
679,615,423,1153,1988,301,284,158,335,1755
679,613,320,1253,1993,315,275,428,335,1755
600,644,351,1253,2009,319,330,471,335,1755
499,743,350,1185,2080,288,330,471,335,1655
460,734,390,1129,2144,288,296,471,335,1462
523,683,441,951,2322,288,296,476,305,1424
453,763,434,958,2307,225,296,441,300,1402
482,785,362,994,2337,197,296,436,300,1284
477,787,266,994,2432,276,296,436,300,1219
534,788,253,968,2431,298,296,423,305,1219
506,786,283,839,2560,323,315,423,365,1334
371,921,266,695,2721,321,317,423,435,1399
361,931,266,674,2685,335,561,423,435,1471
297,996,263,677,2553,601,561,423,415,1488
297,992,269,681,2494,910,560,423,407,1175
329,983,298,681,2301,921,552,433,407,1008
329,983,298,681,2250,917,541,463,397,953
329,921,360,626,2230,917,471,471,317,953
329,914,366,586,2134,917,471,474,287,953
362,897,383,531,2158,957,443,469,284,930
369,854,426,531,2120,955,417,441,231,930
464,754,526,531,2038,1044,404,432,231,897
577,754,526,531,1975,1046,404,432,231,897
583,698,582,531,1969,1046,404,432,181,787
698,686,594,507,1773,1041,404,379,161,589
718,681,599,501,1348,1041,386,369,158,589
655,723,620,501,1256,1041,404,369,158,586
672,682,638,528,1152,1130,557,369,158,526
674,679,626,513,1126,1193,557,369,158,343
660,693,601,532,1057,1256,537,369,148,343
660,680,614,482,1107,1256,590,369,148,343
660,679,615,423,1153,1294,576,369,148,348
660,679,613,320,1253,1280,591,99,148,348
660,600,644,351,1253,1276,540,56,148,348
794,499,743,350,1185,1365,542,56,313,348
825,460,734,390,1129,1391,561,56,458,491
926,523,683,441,951,1391,592,51,506,496
938,453,763,434,958,1391,677,51,521,542
898,482,785,362,994,1374,684,142,551,590
900,477,787,266,994,1281,684,208,721,642
840,534,788,253,968,1259,697,228,789,667
840,506,786,283,839,1234,712,245,766,567
859,371,921,266,695,1293,724,321,696,535
864,361,931,266,674,1282,480,321,696,430
863,297,996,263,677,986,521,321,691,375
857,297,992,269,681,620,521,336,691,375
805,329,983,298,681,638,521,341,691,372
805,329,983,298,681,646,521,315,691,372
805,329,921,360,626,662,521,307,691,372
805,329,914,366,586,669,521,359,691,372
772,362,897,383,531,629,521,366,721,372
765,369,854,426,531,629,521,376,749,372
670,464,754,526,531,540,556,485,764,372
557,577,754,526,531,677,580,486,769,372
551,583,698,582,531,677,580,538,799,757
436,698,686,594,507,677,832,538,817,812
416,718,681,599,501,677,1213,565,817,812
416,655,723,620,501,677,1290,569,817,812
391,672,682,638,528,588,1129,587,817,817
388,674,679,626,513,532,1129,634,867,892
388,660,693,601,532,469,1129,634,867,892
388,660,680,614,482,469,1052,634,1070,937
388,660,679,615,423,431,1052,634,1308,945
388,660,679,613,320,431,1048,634,1371,1000
388,660,600,644,351,431,1072,634,1371,1028
254,794,499,743,350,342,1070,634,1324,1028
223,825,460,734,390,316,1091,634,1179,1058
59,926,523,683,441,320,1182,634,1386,1096
37,938,453,763,434,320,1191,638,1386,1050
65,898,482,785,362,320,1184,547,1447,1002
96,900,477,787,266,320,1184,481,1277,1138
97,840,534,788,253,320,1171,461,1249,1150
97,840,506,786,283,381,1258,444,1217,1135
78,859,371,921,266,322,1268,368,1217,1102
73,864,361,931,266,374,1378,368,1217,1102
73,863,297,996,263,351,1337,479,1217,1102
75,857,297,992,269,541,1339,483,1217,1102
75,805,329,983,298,512,1339,468,1217,1102
