Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
1119,1558,605,556,490,747,888,444,989,803,721,441
1106,1538,639,556,490,747,888,436,657,832,595,428
1050,1549,684,455,591,747,888,383,610,757,502,433
1049,1473,761,455,552,786,888,290,580,714,386,433
974,1367,942,381,626,786,888,169,667,707,336,485
919,1388,771,396,816,786,888,99,588,777,314,485
886,1416,740,432,819,786,888,98,546,709,314,486
802,1408,806,458,819,776,898,98,497,704,278,517
798,1425,788,476,800,743,892,85,389,706,278,517
706,1467,845,476,800,704,896,84,367,735,278,532
692,1437,797,568,800,663,933,84,411,731,319,538
691,1438,671,694,631,832,888,84,430,698,319,578
709,1438,628,740,608,855,694,84,430,704,319,578
709,1437,629,740,608,810,655,88,434,712,319,578
709,1427,639,739,389,935,750,88,448,712,307,578
774,1424,642,646,482,935,750,88,534,668,247,522
845,1262,802,648,482,935,750,81,654,746,374,515
845,1107,955,650,482,935,366,263,683,904,374,513
840,1112,955,650,482,830,471,365,690,959,354,506
833,1119,955,650,482,811,490,356,694,1014,380,650
815,1143,955,650,482,793,508,354,748,1015,387,650
645,1316,955,556,576,790,511,381,803,1015,387,635
634,1323,959,556,573,793,498,750,803,1015,387,608
602,1214,1143,558,573,735,508,750,815,1015,387,562
549,1217,1155,600,573,538,705,750,815,1015,391,545
549,1180,1187,605,573,516,727,750,793,1015,384,545
519,1209,1189,605,556,533,727,750,792,1036,357,545
535,1049,1349,605,556,533,711,750,790,1036,346,530
468,1079,1453,605,556,495,749,750,722,1039,345,528
417,1040,1547,605,556,495,749,750,746,914,311,530
351,1127,1547,605,556,490,754,736,780,836,247,525
357,1119,1558,605,556,490,747,736,991,738,230,500
441,1106,1538,639,556,490,747,764,994,709,230,516
604,1050,1549,684,455,591,747,771,978,697,230,513
607,1049,1473,761,455,552,786,778,1049,628,230,513
644,974,1367,942,381,626,786,775,1086,622,224,461
644,919,1388,771,396,816,786,775,1304,591,224,461
641,886,1416,740,432,819,786,786,1243,601,225,460
641,802,1408,806,458,819,776,786,1240,707,246,429
628,798,1425,788,476,800,743,888,1200,706,258,429
621,706,1467,845,476,800,704,1042,1199,704,270,479
622,692,1437,797,568,800,663,1063,1145,801,229,518
622,691,1438,671,694,631,832,1083,1126,914,239,593
601,709,1438,628,740,608,855,1086,1126,930,239,726
620,709,1437,629,740,608,810,1077,1122,1066,240,745
627,709,1427,639,739,389,935,1080,1108,1066,431,746
562,774,1424,642,646,482,935,1148,1022,1066,444,746
517,845,1262,802,648,482,935,1139,902,988,339,666
556,845,1107,955,650,482,935,951,873,830,427,605
556,840,1112,955,650,482,830,848,866,775,433,609
556,833,1119,955,650,482,811,837,884,720,417,526
570,815,1143,955,650,482,793,837,830,732,446,558
574,645,1316,955,556,576,790,835,775,732,446,558
708,634,1323,959,556,573,793,485,775,777,446,555
708,602,1214,1143,558,573,735,485,763,880,446,555
749,549,1217,1155,600,573,538,485,776,999,442,555
778,549,1180,1187,605,573,516,485,835,1016,441,568
804,519,1209,1189,605,556,533,489,835,1042,464,568
982,535,1049,1349,605,556,533,489,914,1206,486,567
935,468,1079,1453,605,556,495,508,1079,1294,515,567
931,417,1040,1547,605,556,495,510,1071,1328,522,565
910,351,1127,1547,605,556,490,510,1087,1412,674,548
901,357,1119,1558,605,556,490,632,920,1412,674,553
816,441,1106,1538,639,556,490,672,917,1429,675,543
692,604,1050,1549,684,455,591,720,917,1499,687,544
689,607,1049,1473,761,455,552,713,846,1523,691,550
652,644,974,1367,942,381,626,765,704,1519,762,554
652,644,919,1388,771,396,816,780,463,1509,822,560
652,641,886,1416,740,432,819,837,513,1499,832,560
652,641,802,1408,806,458,819,838,715,1315,817,573
652,628,798,1425,788,476,800,743,786,1308,805,594
652,621,706,1467,845,476,800,592,812,1281,793,529
651,622,692,1437,797,568,800,571,863,1146,793,484
651,622,691,1438,671,694,631,551,892,1031,783,369
651,601,709,1438,628,740,608,548,1008,1008,783,236
632,620,709,1437,629,740,608,548,1018,870,782,217
625,627,709,1427,639,739,389,545,1018,920,591,216
628,562,774,1424,642,646,482,477,1022,955,573,216
782,517,845,1262,802,648,482,466,1055,992,591,216
820,556,845,1107,955,650,482,466,1231,992,516,187
824,556,840,1112,955,650,482,462,1254,1207,510,190
824,556,833,1119,955,650,482,534,1232,1211,500,129
804,570,815,1143,955,650,482,547,1251,1219,634,106
797,574,645,1316,955,556,576,571,1251,1224,717,106
790,708,634,1323,959,556,573,600,1256,1179,721,162
807,708,602,1214,1143,558,573,622,1327,1076,768,184
784,749,549,1217,1155,600,573,648,1358,976,805,189
816,778,549,1180,1187,605,573,654,1299,972,875,227
821,804,519,1209,1189,605,556,650,1306,954,958,252
645,982,535,1049,1349,605,556,650,1233,831,950,252
628,935,468,1079,1453,605,556,631,1068,740,1056,252
688,931,417,1040,1547,605,556,629,1040,706,1104,252
697,910,351,1127,1547,605,556,629,989,621,977,252
736,901,357,1119,1558,605,556,507,945,621,977,263
739,816,441,1106,1538,639,556,439,977,604,976,265
700,692,604,1050,1549,684,455,384,1094,534,964,318
700,689,607,1049,1473,761,455,388,1112,510,960,340
725,652,644,974,1367,942,381,340,1112,510,889,342
725,652,644,919,1388,771,396,326,1158,475,829,336
725,652,641,886,1416,740,432,258,1108,475,818,336
725,652,641,802,1408,806,458,257,917,475,815,323
731,652,628,798,1425,788,476,250,852,475,823,302
735,652,621,706,1467,845,476,247,888,475,846,302
735,651,622,692,1437,797,568,247,930,475,856,302
735,651,622,691,1438,671,694,247,927,475,915,342
735,651,601,709,1438,628,740,290,811,475,922,383
735,632,620,709,1437,629,740,492,801,469,922,383
735,625,627,709,1427,639,739,578,803,419,922,406
732,628,562,774,1424,642,646,578,857,384,922,470
552,782,517,845,1262,802,648,578,825,347,877,476
475,820,556,845,1107,955,650,578,696,347,906,476
471,824,556,840,1112,955,650,578,673,132,906,460
471,824,556,833,1119,955,650,505,685,128,906,463
471,804,570,815,1143,955,650,492,674,107,736,455
500,797,574,645,1316,955,556,448,674,102,653,564
373,790,708,634,1323,959,556,471,669,102,682,568
311,807,708,602,1214,1143,558,451,598,102,635,545
289,784,749,549,1217,1155,600,479,716,83,598,551
228,816,778,549,1180,1187,605,473,724,136,528,500
198,821,804,519,1209,1189,605,473,730,107,520,475
190,645,982,535,1049,1349,605,473,747,66,517,475
275,628,935,468,1079,1453,605,473,747,66,382,475
