Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
444,553,734,1155,639,854,977,291,716,989,803,721,441,521
436,508,689,1253,639,854,906,354,724,657,832,595,428,522
383,561,637,1302,627,869,906,341,730,610,757,502,433,522
290,654,611,1264,685,704,1077,318,747,580,714,386,433,522
169,778,609,1190,687,690,1153,330,747,667,707,336,485,538
99,848,542,1257,473,904,1138,345,747,588,777,314,485,576
98,842,505,1091,683,904,1138,345,747,546,709,314,486,577
98,841,506,1033,741,904,916,567,747,497,704,278,517,660
85,854,457,1065,758,864,870,653,715,389,706,278,517,683
84,743,569,1065,713,879,895,658,598,367,735,278,532,703
84,694,618,1065,713,879,895,658,579,411,731,319,538,901
84,644,668,1065,713,874,900,658,579,430,698,319,578,1050
84,636,674,1052,707,828,967,658,532,430,704,319,578,1017
88,641,674,649,1057,877,971,658,532,434,712,319,578,985
88,641,674,420,1283,880,883,746,521,448,712,307,578,1026
88,637,670,428,1283,880,883,746,515,534,668,247,522,1079
81,637,634,491,1275,888,805,824,453,654,746,374,515,1118
263,643,634,491,1274,869,808,841,360,683,904,374,513,1127
365,642,640,491,1268,865,765,836,392,690,959,354,506,1179
356,661,642,491,1268,864,766,810,418,694,1014,380,650,1086
354,657,648,491,1227,839,832,805,423,748,1015,387,650,1073
381,630,657,510,1209,812,820,846,437,803,1015,387,635,1073
750,567,720,510,1209,809,821,848,379,803,1015,387,608,1050
750,557,729,511,1096,922,821,848,378,815,1015,387,562,1072
750,541,737,515,1100,922,793,876,331,815,1015,391,545,1080
750,541,737,515,1081,941,793,876,331,793,1015,384,545,1102
750,541,737,515,1079,943,793,869,326,792,1036,357,545,1026
750,541,573,679,1079,871,622,1109,321,790,1036,346,530,1016
750,541,570,682,1079,692,801,1100,330,722,1039,345,528,1017
750,541,550,702,1079,639,854,1063,367,746,914,311,530,1017
736,520,527,760,1079,639,854,1044,386,780,836,247,525,1049
736,444,553,734,1155,639,854,977,291,991,738,230,500,1091
764,436,508,689,1253,639,854,906,354,994,709,230,516,1091
771,383,561,637,1302,627,869,906,341,978,697,230,513,1091
778,290,654,611,1264,685,704,1077,318,1049,628,230,513,1091
775,169,778,609,1190,687,690,1153,330,1086,622,224,461,1075
775,99,848,542,1257,473,904,1138,345,1304,591,224,461,1042
786,98,842,505,1091,683,904,1138,345,1243,601,225,460,1082
786,98,841,506,1033,741,904,916,567,1240,707,246,429,1059
888,85,854,457,1065,758,864,870,653,1200,706,258,429,1036
1042,84,743,569,1065,713,879,895,658,1199,704,270,479,1021
1063,84,694,618,1065,713,879,895,658,1145,801,229,518,817
1083,84,644,668,1065,713,874,900,658,1126,914,239,593,650
1086,84,636,674,1052,707,828,967,658,1126,930,239,726,549
1077,88,641,674,649,1057,877,971,658,1122,1066,240,745,482
1080,88,641,674,420,1283,880,883,746,1108,1066,431,746,440
1148,88,637,670,428,1283,880,883,746,1022,1066,444,746,387
1139,81,637,634,491,1275,888,805,824,902,988,339,666,348
951,263,643,634,491,1274,869,808,841,873,830,427,605,339
848,365,642,640,491,1268,865,765,836,866,775,433,609,279
837,356,661,642,491,1268,864,766,810,884,720,417,526,273
837,354,657,648,491,1227,839,832,805,830,732,446,558,273
835,381,630,657,510,1209,812,820,846,775,732,446,558,293
485,750,567,720,510,1209,809,821,848,775,777,446,555,293
485,750,557,729,511,1096,922,821,848,763,880,446,555,273
485,750,541,737,515,1100,922,793,876,776,999,442,555,292
485,750,541,737,515,1081,941,793,876,835,1016,441,568,271
489,750,541,737,515,1079,943,793,869,835,1042,464,568,271
489,750,541,573,679,1079,871,622,1109,914,1206,486,567,314
508,750,541,570,682,1079,692,801,1100,1079,1294,515,567,313
510,750,541,550,702,1079,639,854,1063,1071,1328,522,565,313
510,736,520,527,760,1079,639,854,1044,1087,1412,674,548,281
632,736,444,553,734,1155,639,854,977,920,1412,674,553,230
672,764,436,508,689,1253,639,854,906,917,1429,675,543,235
720,771,383,561,637,1302,627,869,906,917,1499,687,544,241
713,778,290,654,611,1264,685,704,1077,846,1523,691,550,266
765,775,169,778,609,1190,687,690,1153,704,1519,762,554,266
780,775,99,848,542,1257,473,904,1138,463,1509,822,560,263
837,786,98,842,505,1091,683,904,1138,513,1499,832,560,228
838,786,98,841,506,1033,741,904,916,715,1315,817,573,168
743,888,85,854,457,1065,758,864,870,786,1308,805,594,255
592,1042,84,743,569,1065,713,879,895,812,1281,793,529,251
571,1063,84,694,618,1065,713,879,895,863,1146,793,484,251
551,1083,84,644,668,1065,713,874,900,892,1031,783,369,251
548,1086,84,636,674,1052,707,828,967,1008,1008,783,236,251
548,1077,88,641,674,649,1057,877,971,1018,870,782,217,251
545,1080,88,641,674,420,1283,880,883,1018,920,591,216,251
477,1148,88,637,670,428,1283,880,883,1022,955,573,216,290
466,1139,81,637,634,491,1275,888,805,1055,992,591,216,362
466,951,263,643,634,491,1274,869,808,1231,992,516,187,396
462,848,365,642,640,491,1268,865,765,1254,1207,510,190,443
534,837,356,661,642,491,1268,864,766,1232,1211,500,129,447
547,837,354,657,648,491,1227,839,832,1251,1219,634,106,447
571,835,381,630,657,510,1209,812,820,1251,1224,717,106,427
600,485,750,567,720,510,1209,809,821,1256,1179,721,162,427
622,485,750,557,729,511,1096,922,821,1327,1076,768,184,425
648,485,750,541,737,515,1100,922,793,1358,976,805,189,394
654,485,750,541,737,515,1081,941,793,1299,972,875,227,393
650,489,750,541,737,515,1079,943,793,1306,954,958,252,385
650,489,750,541,573,679,1079,871,622,1233,831,950,252,329
631,508,750,541,570,682,1079,692,801,1068,740,1056,252,329
629,510,750,541,550,702,1079,639,854,1040,706,1104,252,415
629,510,736,520,527,760,1079,639,854,989,621,977,252,417
507,632,736,444,553,734,1155,639,854,945,621,977,263,453
439,672,764,436,508,689,1253,639,854,977,604,976,265,517
384,720,771,383,561,637,1302,627,869,1094,534,964,318,526
388,713,778,290,654,611,1264,685,704,1112,510,960,340,512
340,765,775,169,778,609,1190,687,690,1112,510,889,342,529
326,780,775,99,848,542,1257,473,904,1158,475,829,336,527
258,837,786,98,842,505,1091,683,904,1108,475,818,336,523
257,838,786,98,841,506,1033,741,904,917,475,815,323,523
