Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
1119,1558,444,989,803,721,441,521
1106,1538,436,657,832,595,428,522
1050,1549,383,610,757,502,433,522
1049,1473,290,580,714,386,433,522
974,1367,169,667,707,336,485,538
919,1388,99,588,777,314,485,576
886,1416,98,546,709,314,486,577
802,1408,98,497,704,278,517,660
798,1425,85,389,706,278,517,683
706,1467,84,367,735,278,532,703
692,1437,84,411,731,319,538,901
691,1438,84,430,698,319,578,1050
709,1438,84,430,704,319,578,1017
709,1437,88,434,712,319,578,985
709,1427,88,448,712,307,578,1026
774,1424,88,534,668,247,522,1079
845,1262,81,654,746,374,515,1118
845,1107,263,683,904,374,513,1127
840,1112,365,690,959,354,506,1179
833,1119,356,694,1014,380,650,1086
815,1143,354,748,1015,387,650,1073
645,1316,381,803,1015,387,635,1073
634,1323,750,803,1015,387,608,1050
602,1214,750,815,1015,387,562,1072
549,1217,750,815,1015,391,545,1080
549,1180,750,793,1015,384,545,1102
519,1209,750,792,1036,357,545,1026
535,1049,750,790,1036,346,530,1016
468,1079,750,722,1039,345,528,1017
417,1040,750,746,914,311,530,1017
351,1127,736,780,836,247,525,1049
357,1119,736,991,738,230,500,1091
441,1106,764,994,709,230,516,1091
604,1050,771,978,697,230,513,1091
607,1049,778,1049,628,230,513,1091
644,974,775,1086,622,224,461,1075
644,919,775,1304,591,224,461,1042
641,886,786,1243,601,225,460,1082
641,802,786,1240,707,246,429,1059
628,798,888,1200,706,258,429,1036
621,706,1042,1199,704,270,479,1021
622,692,1063,1145,801,229,518,817
622,691,1083,1126,914,239,593,650
601,709,1086,1126,930,239,726,549
620,709,1077,1122,1066,240,745,482
627,709,1080,1108,1066,431,746,440
562,774,1148,1022,1066,444,746,387
517,845,1139,902,988,339,666,348
556,845,951,873,830,427,605,339
556,840,848,866,775,433,609,279
556,833,837,884,720,417,526,273
570,815,837,830,732,446,558,273
574,645,835,775,732,446,558,293
708,634,485,775,777,446,555,293
708,602,485,763,880,446,555,273
749,549,485,776,999,442,555,292
778,549,485,835,1016,441,568,271
804,519,489,835,1042,464,568,271
982,535,489,914,1206,486,567,314
935,468,508,1079,1294,515,567,313
931,417,510,1071,1328,522,565,313
910,351,510,1087,1412,674,548,281
901,357,632,920,1412,674,553,230
816,441,672,917,1429,675,543,235
692,604,720,917,1499,687,544,241
689,607,713,846,1523,691,550,266
652,644,765,704,1519,762,554,266
652,644,780,463,1509,822,560,263
652,641,837,513,1499,832,560,228
652,641,838,715,1315,817,573,168
652,628,743,786,1308,805,594,255
652,621,592,812,1281,793,529,251
651,622,571,863,1146,793,484,251
651,622,551,892,1031,783,369,251
651,601,548,1008,1008,783,236,251
632,620,548,1018,870,782,217,251
625,627,545,1018,920,591,216,251
628,562,477,1022,955,573,216,290
782,517,466,1055,992,591,216,362
820,556,466,1231,992,516,187,396
824,556,462,1254,1207,510,190,443
824,556,534,1232,1211,500,129,447
804,570,547,1251,1219,634,106,447
797,574,571,1251,1224,717,106,427
790,708,600,1256,1179,721,162,427
807,708,622,1327,1076,768,184,425
784,749,648,1358,976,805,189,394
816,778,654,1299,972,875,227,393
821,804,650,1306,954,958,252,385
645,982,650,1233,831,950,252,329
628,935,631,1068,740,1056,252,329
688,931,629,1040,706,1104,252,415
697,910,629,989,621,977,252,417
736,901,507,945,621,977,263,453
739,816,439,977,604,976,265,517
700,692,384,1094,534,964,318,526
700,689,388,1112,510,960,340,512
725,652,340,1112,510,889,342,529
725,652,326,1158,475,829,336,527
725,652,258,1108,475,818,336,523
725,652,257,917,475,815,323,523
731,652,250,852,475,823,302,436
735,652,247,888,475,846,302,435
735,651,247,930,475,856,302,435
735,651,247,927,475,915,342,435
735,651,290,811,475,922,383,435
735,632,492,801,469,922,383,443
735,625,578,803,419,922,406,472
732,628,578,857,384,922,470,515
552,782,578,825,347,877,476,446
475,820,578,696,347,906,476,412
471,824,578,673,132,906,460,514
471,824,505,685,128,906,463,510
471,804,492,674,107,736,455,510
500,797,448,674,102,653,564,510
373,790,471,669,102,682,568,510
311,807,451,598,102,635,545,542
289,784,479,716,83,598,551,563
228,816,473,724,136,528,500,569
198,821,473,730,107,520,475,569
190,645,473,747,66,517,475,571
275,628,473,747,66,382,475,571
276,688,473,747,66,327,545,523
267,697,473,747,90,302,568,538
228,736,475,747,92,317,559,503
486,739,475,715,92,317,565,502
507,700,475,598,198,317,607,694
507,700,476,579,279,427,590,892
533,725,540,579,370,432,584,877
533,725,683,532,370,432,584,877
632,725,721,532,398,432,584,984
632,725,776,521,413,557,584,984
626,731,776,515,433,571,677,992
627,735,935,453,444,548,766,992
627,735,983,360,479,538,766,992
627,735,983,392,638,876,726,992
693,735,945,418,724,869,685,992
693,735,743,423,724,908,685,984
693,735,662,437,762,959,662,955
