Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
1119,1558,605,556,490,747,888,594,479,648,485,444,989,803,721,441,521
1106,1538,639,556,490,747,888,594,473,654,485,436,657,832,595,428,522
1050,1549,684,455,591,747,888,594,473,650,489,383,610,757,502,433,522
1049,1473,761,455,552,786,888,594,473,650,489,290,580,714,386,433,522
974,1367,942,381,626,786,888,594,473,631,508,169,667,707,336,485,538
919,1388,771,396,816,786,888,594,473,629,510,99,588,777,314,485,576
886,1416,740,432,819,786,888,594,473,629,510,98,546,709,314,486,577
802,1408,806,458,819,776,898,592,475,507,632,98,497,704,278,517,660
798,1425,788,476,800,743,892,650,475,439,672,85,389,706,278,517,683
706,1467,845,476,800,704,896,685,475,384,720,84,367,735,278,532,703
692,1437,797,568,800,663,933,684,476,388,713,84,411,731,319,538,901
691,1438,671,694,631,832,888,661,540,340,765,84,430,698,319,578,1050
709,1438,628,740,608,855,694,711,683,326,780,84,430,704,319,578,1017
709,1437,629,740,608,810,655,757,721,258,837,88,434,712,319,578,985
709,1427,639,739,389,935,750,702,776,257,838,88,448,712,307,578,1026
774,1424,642,646,482,935,750,702,776,250,743,88,534,668,247,522,1079
845,1262,802,648,482,935,750,543,935,247,592,81,654,746,374,515,1118
845,1107,955,650,482,935,366,879,983,247,571,263,683,904,374,513,1127
840,1112,955,650,482,830,471,879,983,247,551,365,690,959,354,506,1179
833,1119,955,650,482,811,490,874,945,290,548,356,694,1014,380,650,1086
815,1143,955,650,482,793,508,874,743,492,548,354,748,1015,387,650,1073
645,1316,955,556,576,790,511,869,662,578,545,381,803,1015,387,635,1073
634,1323,959,556,573,793,498,882,662,578,477,750,803,1015,387,608,1050
602,1214,1143,558,573,735,508,889,703,578,466,750,815,1015,387,562,1072
549,1217,1155,600,573,538,705,889,703,578,466,750,815,1015,391,545,1080
549,1180,1187,605,573,516,727,889,703,578,462,750,793,1015,384,545,1102
519,1209,1189,605,556,533,727,889,703,505,534,750,792,1036,357,545,1026
535,1049,1349,605,556,533,711,905,703,492,547,750,790,1036,346,530,1016
468,1079,1453,605,556,495,749,893,709,448,571,750,722,1039,345,528,1017
417,1040,1547,605,556,495,749,892,639,471,600,750,746,914,311,530,1017
351,1127,1547,605,556,490,754,881,648,451,622,736,780,836,247,525,1049
357,1119,1558,605,556,490,747,888,594,479,648,736,991,738,230,500,1091
441,1106,1538,639,556,490,747,888,594,473,654,764,994,709,230,516,1091
604,1050,1549,684,455,591,747,888,594,473,650,771,978,697,230,513,1091
607,1049,1473,761,455,552,786,888,594,473,650,778,1049,628,230,513,1091
644,974,1367,942,381,626,786,888,594,473,631,775,1086,622,224,461,1075
644,919,1388,771,396,816,786,888,594,473,629,775,1304,591,224,461,1042
641,886,1416,740,432,819,786,888,594,473,629,786,1243,601,225,460,1082
641,802,1408,806,458,819,776,898,592,475,507,786,1240,707,246,429,1059
628,798,1425,788,476,800,743,892,650,475,439,888,1200,706,258,429,1036
621,706,1467,845,476,800,704,896,685,475,384,1042,1199,704,270,479,1021
622,692,1437,797,568,800,663,933,684,476,388,1063,1145,801,229,518,817
622,691,1438,671,694,631,832,888,661,540,340,1083,1126,914,239,593,650
601,709,1438,628,740,608,855,694,711,683,326,1086,1126,930,239,726,549
620,709,1437,629,740,608,810,655,757,721,258,1077,1122,1066,240,745,482
627,709,1427,639,739,389,935,750,702,776,257,1080,1108,1066,431,746,440
562,774,1424,642,646,482,935,750,702,776,250,1148,1022,1066,444,746,387
517,845,1262,802,648,482,935,750,543,935,247,1139,902,988,339,666,348
556,845,1107,955,650,482,935,366,879,983,247,951,873,830,427,605,339
556,840,1112,955,650,482,830,471,879,983,247,848,866,775,433,609,279
556,833,1119,955,650,482,811,490,874,945,290,837,884,720,417,526,273
570,815,1143,955,650,482,793,508,874,743,492,837,830,732,446,558,273
574,645,1316,955,556,576,790,511,869,662,578,835,775,732,446,558,293
708,634,1323,959,556,573,793,498,882,662,578,485,775,777,446,555,293
708,602,1214,1143,558,573,735,508,889,703,578,485,763,880,446,555,273
749,549,1217,1155,600,573,538,705,889,703,578,485,776,999,442,555,292
778,549,1180,1187,605,573,516,727,889,703,578,485,835,1016,441,568,271
804,519,1209,1189,605,556,533,727,889,703,505,489,835,1042,464,568,271
982,535,1049,1349,605,556,533,711,905,703,492,489,914,1206,486,567,314
935,468,1079,1453,605,556,495,749,893,709,448,508,1079,1294,515,567,313
931,417,1040,1547,605,556,495,749,892,639,471,510,1071,1328,522,565,313
910,351,1127,1547,605,556,490,754,881,648,451,510,1087,1412,674,548,281
901,357,1119,1558,605,556,490,747,888,594,479,632,920,1412,674,553,230
