Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
946,1503,952,1092,620,1633,512,1049,509,547,809
939,1409,1081,1102,620,1622,543,1091,488,525,820
948,1355,1073,1062,678,1600,590,1168,457,524,800
1147,1303,1128,947,793,1671,633,1240,410,524,739
1391,1297,1134,946,794,1671,611,1339,403,524,705
1343,1228,1205,993,799,1691,611,1360,403,525,665
1240,1244,1292,993,799,1641,628,1391,403,522,640
1221,1164,1391,805,987,1668,665,1391,403,522,657
1222,1110,1271,979,982,1615,680,1382,403,531,614
1104,1242,1161,1110,953,1602,675,1315,403,549,682
1070,1276,1055,1216,953,1451,635,1184,403,549,711
1056,1290,1050,1221,953,1158,589,1135,403,550,747
1020,1181,1195,1221,953,1037,582,1141,350,550,720
898,1251,1247,1211,963,1006,588,1142,350,550,711
881,1263,1252,1211,963,1001,592,1169,350,550,712
868,1249,1231,1259,963,1001,590,1242,350,550,709
871,1247,1226,1263,966,982,607,1123,295,550,709
851,1271,1235,1079,1150,865,582,1160,315,546,808
863,1272,1142,1160,1162,705,490,1229,389,546,807
868,1240,1159,1174,1050,705,487,1139,321,428,823
954,1227,1172,1147,917,719,487,1021,319,357,853
1036,1157,1242,1108,800,727,486,1021,346,275,1387
1124,1046,1354,1108,800,719,486,1019,244,78,1509
1188,903,1467,1137,802,691,486,962,248,52,1525
1172,962,1467,1137,802,510,530,867,248,52,1816
1200,918,1550,1147,805,341,526,823,250,73,1921
1205,884,1616,1147,805,260,473,815,253,73,1762
1197,854,1650,1133,723,199,536,814,253,73,1930
1182,869,1643,1138,713,284,536,785,247,73,2053
1182,869,1642,941,910,293,536,785,211,68,2024
1181,870,1483,1098,912,286,536,772,209,63,1976
1051,946,1503,952,1092,279,536,763,209,63,1983
1036,939,1409,1081,1102,295,505,622,209,123,2023
1092,948,1355,1073,1062,295,458,540,179,124,2022
999,1147,1303,1128,947,219,438,468,185,124,2035
839,1391,1297,1134,946,219,468,369,228,124,2035
907,1343,1228,1205,993,220,519,348,228,123,2036
956,1240,1244,1292,993,248,549,320,228,117,2036
985,1221,1164,1391,805,301,514,320,228,122,2008
987,1222,1110,1271,979,302,466,320,228,113,1997
952,1104,1242,1161,1110,389,466,320,246,121,1967
952,1070,1276,1055,1216,389,467,320,259,124,1992
1144,1056,1290,1050,1221,411,462,320,380,297,1991
1147,1020,1181,1195,1221,433,456,313,538,304,2022
1147,898,1251,1247,1211,443,437,308,627,308,2019
1147,881,1263,1252,1211,511,434,281,636,308,2226
1157,868,1249,1231,1259,582,439,208,636,353,2271
1154,871,1247,1226,1263,584,426,204,643,378,2320
1141,851,1271,1235,1079,700,457,114,790,534,2221
1128,863,1272,1142,1160,710,511,18,709,569,2298
1123,868,1240,1159,1174,710,581,11,717,723,2325
1051,954,1227,1172,1147,696,640,20,731,723,2312
980,1036,1157,1242,1108,688,720,44,692,723,1778
924,1124,1046,1354,1108,686,733,44,703,724,1715
859,1188,903,1467,1137,726,743,40,847,719,1732
817,1172,962,1467,1137,754,696,38,1129,719,1464
744,1200,918,1550,1147,754,611,38,1244,733,1356
707,1205,884,1616,1147,754,565,38,1244,733,1320
729,1197,854,1650,1133,844,494,59,1244,735,1080
769,1182,869,1643,1138,807,546,60,1245,751,874
769,1182,869,1642,941,794,604,61,1245,751,935
820,1181,870,1483,1098,934,683,80,1299,751,978
897,1051,946,1503,952,937,744,281,1321,751,963
874,1036,939,1409,1081,921,761,322,1334,691,970
823,1092,948,1355,1073,921,761,364,1334,690,994
