Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
1633,415,512,1049,509,547,809,2307,647
1622,414,543,1091,488,525,820,2337,437
1600,221,590,1168,457,524,800,2432,363
1671,226,633,1240,410,524,739,2431,232
1671,226,611,1339,403,524,705,2560,233
1691,200,611,1360,403,525,665,2721,276
1641,246,628,1391,403,522,640,2685,283
1668,259,665,1391,403,522,657,2553,292
1615,312,680,1382,403,531,614,2494,319
1602,291,675,1315,403,549,682,2301,465
1451,420,635,1184,403,549,711,2250,756
1158,695,589,1135,403,550,747,2230,941
1037,816,582,1141,350,550,720,2134,1001
1006,847,588,1142,350,550,711,2158,1011
1001,850,592,1169,350,550,712,2120,1011
1001,850,590,1242,350,550,709,2038,1006
982,864,607,1123,295,550,709,1975,1010
865,980,582,1160,315,546,808,1969,1052
705,1141,490,1229,389,546,807,1773,1038
705,1136,487,1139,321,428,823,1348,1022
719,1132,487,1021,319,357,853,1256,985
727,1132,486,1021,346,275,1387,1152,996
719,1139,486,1019,244,78,1509,1126,1000
691,1158,486,962,248,52,1525,1057,1061
510,1317,530,867,248,52,1816,1107,1068
341,1478,526,823,250,73,1921,1153,1076
260,1559,473,815,253,73,1762,1253,1085
199,1617,536,814,253,73,1930,1253,1096
284,1620,536,785,247,73,2053,1185,1126
293,1625,536,785,211,68,2024,1129,1126
286,1632,536,772,209,63,1976,951,1126
279,1633,536,763,209,63,1983,958,1126
295,1622,505,622,209,123,2023,994,1126
295,1600,458,540,179,124,2022,994,1126
219,1671,438,468,185,124,2035,968,1126
219,1671,468,369,228,124,2035,839,1125
220,1691,519,348,228,123,2036,695,1087
248,1641,549,320,228,117,2036,674,1031
301,1668,514,320,228,122,2008,677,1022
302,1615,466,320,228,113,1997,681,995
389,1602,466,320,246,121,1967,681,849
389,1451,467,320,259,124,1992,681,538
411,1158,462,320,380,297,1991,626,325
433,1037,456,313,538,304,2022,586,257
443,1006,437,308,627,308,2019,531,247
511,1001,434,281,636,308,2226,531,247
582,1001,439,208,636,353,2271,531,244
584,982,426,204,643,378,2320,531,256
700,865,457,114,790,534,2221,531,214
710,705,511,18,709,569,2298,507,223
710,705,581,11,717,723,2325,501,236
696,719,640,20,731,723,2312,501,274
688,727,720,44,692,723,1778,528,240
686,719,733,44,703,724,1715,513,240
726,691,743,40,847,719,1732,532,179
754,510,696,38,1129,719,1464,482,172
754,341,611,38,1244,733,1356,423,174
754,260,565,38,1244,733,1320,320,189
844,199,494,59,1244,735,1080,351,178
807,284,546,60,1245,751,874,350,148
794,293,604,61,1245,751,935,390,148
934,286,683,80,1299,751,978,441,148
937,279,744,281,1321,751,963,434,148
921,295,761,322,1334,691,970,362,148
921,295,761,364,1334,690,994,266,149
920,219,745,496,1328,697,981,253,149
938,219,744,625,1268,697,1003,283,149
916,220,707,625,1268,697,998,266,143
890,248,694,620,1268,697,998,266,142
797,301,692,625,1268,692,979,263,142
793,302,691,626,1268,692,974,269,142
706,389,691,628,1250,666,934,298,142
728,389,690,629,1253,663,878,298,142
706,411,690,631,1133,489,888,360,142
684,433,690,631,975,482,884,366,142
