Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
509,1254,831,341,900,351,286,705,80,240,719,52,547,809,2307,647,575,1184,1363
488,1246,398,801,902,342,295,705,61,224,733,73,525,820,2337,437,575,1431,1363
457,1303,402,801,902,321,316,705,49,236,733,73,524,800,2432,363,575,1586,1363
410,1349,403,801,902,247,251,840,53,234,735,73,524,739,2431,232,595,1732,1363
403,1252,502,823,902,232,250,749,160,218,751,73,524,705,2560,233,620,1900,1363
403,1170,569,838,902,187,295,726,183,218,751,68,525,665,2721,276,620,1910,1363
403,1102,637,838,902,116,366,726,183,218,751,63,522,640,2685,283,620,1955,1363
403,1068,671,838,870,131,383,726,172,229,751,63,522,657,2553,292,629,2013,1363
403,1033,706,838,860,129,395,721,177,229,691,123,531,614,2494,319,656,2096,1363
403,1033,706,838,860,129,395,691,207,229,690,124,549,682,2301,465,720,2086,1363
403,1026,713,838,860,105,419,691,207,222,697,124,549,711,2250,756,720,2177,1363
403,772,967,838,738,220,426,691,207,222,697,124,550,747,2230,941,720,2124,1293
350,719,1073,838,700,258,426,691,207,222,697,123,550,720,2134,1001,720,2111,1150
350,668,1124,755,678,363,426,691,207,222,697,117,550,711,2158,1011,720,2111,993
350,668,1124,744,614,438,426,691,201,228,692,122,550,712,2120,1011,720,2101,863
350,668,1115,743,624,438,426,691,189,240,692,113,550,709,2038,1006,699,2101,786
295,723,1095,763,624,438,426,691,189,240,666,121,550,709,1975,1010,611,2101,639
315,729,1051,807,624,438,426,690,190,240,663,124,546,808,1969,1052,501,2101,612
389,613,1176,810,624,438,426,668,212,240,489,297,546,807,1773,1038,378,2116,594
321,657,1176,834,624,438,426,551,329,240,482,304,428,823,1348,1022,339,2103,307
319,549,1194,926,624,438,426,450,430,240,478,308,357,853,1256,985,224,2068,297
346,561,1170,884,569,559,426,385,495,240,478,308,275,1387,1152,996,194,2068,174
244,665,1170,880,526,606,331,480,495,240,433,353,78,1509,1126,1000,172,2068,264
248,655,1180,880,525,607,324,484,498,225,423,378,52,1525,1057,1061,172,2068,419
248,647,1188,874,521,568,363,464,528,153,339,534,52,1816,1107,1068,172,2008,647
250,544,1291,874,466,622,364,461,531,112,345,569,73,1921,1153,1076,171,1840,657
253,542,1291,876,466,622,359,466,523,106,205,723,73,1762,1253,1085,162,1747,670
253,542,1283,884,428,660,359,417,568,110,205,723,73,1930,1253,1096,162,1737,715
247,548,1264,744,484,763,359,344,641,110,205,723,73,2053,1185,1126,162,1462,715
211,517,1259,816,443,804,359,272,713,73,239,724,68,2024,1129,1126,162,1349,715
209,512,1266,816,395,846,364,273,713,72,240,719,63,1976,951,1126,162,1331,715
209,509,1254,831,341,900,351,286,705,80,240,719,63,1983,958,1126,162,1248,715
209,488,1246,398,801,902,342,295,705,61,224,733,123,2023,994,1126,162,993,800
179,457,1303,402,801,902,321,316,705,49,236,733,124,2022,994,1126,163,838,855
185,410,1349,403,801,902,247,251,840,53,234,735,124,2035,968,1126,178,692,855
228,403,1252,502,823,902,232,250,749,160,218,751,124,2035,839,1125,172,524,855
228,403,1170,569,838,902,187,295,726,183,218,751,123,2036,695,1087,172,527,855
228,403,1102,637,838,902,116,366,726,183,218,751,117,2036,674,1031,172,482,858
228,403,1068,671,838,870,131,383,726,172,229,751,122,2008,677,1022,163,429,858
228,403,1033,706,838,860,129,395,721,177,229,691,113,1997,681,995,187,359,858
246,403,1033,706,838,860,129,395,691,207,229,690,121,1967,681,849,137,201,971
259,403,1026,713,838,860,105,419,691,207,222,697,124,1992,681,538,223,142,1018
380,403,772,967,838,738,220,426,691,207,222,697,297,1991,626,325,242,142,1101
538,350,719,1073,838,700,258,426,691,207,222,697,304,2022,586,257,314,142,1148
627,350,668,1124,755,678,363,426,691,207,222,697,308,2019,531,247,314,150,1248
636,350,668,1124,744,614,438,426,691,201,228,692,308,2226,531,247,373,175,1453
636,350,668,1115,743,624,438,426,691,189,240,692,353,2271,531,244,397,175,1453
643,295,723,1095,763,624,438,426,691,189,240,666,378,2320,531,256,406,175,1460
790,315,729,1051,807,624,438,426,690,190,240,663,534,2221,531,214,406,175,1460
709,389,613,1176,810,624,438,426,668,212,240,489,569,2298,507,223,396,160,1460
717,321,657,1176,834,624,438,426,551,329,240,482,723,2325,501,236,389,160,1457
731,319,549,1194,926,624,438,426,450,430,240,478,723,2312,501,274,389,147,1457
692,346,561,1170,884,569,559,426,385,495,240,478,723,1778,528,240,389,124,1457
703,244,665,1170,880,526,606,331,480,495,240,433,724,1715,513,240,389,124,1252
847,248,655,1180,880,525,607,324,484,498,225,423,719,1732,532,179,389,124,1087
1129,248,647,1188,874,521,568,363,464,528,153,339,719,1464,482,172,389,124,867
1244,250,544,1291,874,466,622,364,461,531,112,345,733,1356,423,174,389,124,1080
