Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
809,471,637,2307,647,575,1184,1363,947,389
820,471,637,2337,437,575,1431,1363,947,564
800,492,637,2432,363,575,1586,1363,947,600
739,553,624,2431,232,595,1732,1363,339,695
705,587,617,2560,233,620,1900,1363,284,770
665,631,617,2721,276,620,1910,1363,318,820
640,651,622,2685,283,620,1955,1363,318,890
657,622,681,2553,292,629,2013,1363,318,890
614,681,681,2494,319,656,2096,1363,265,900
682,648,716,2301,465,720,2086,1363,266,925
711,576,790,2250,756,720,2177,1363,266,956
747,576,790,2230,941,720,2124,1293,246,956
720,603,790,2134,1001,720,2111,1150,246,958
711,609,803,2158,1011,720,2111,993,254,1051
712,597,815,2120,1011,720,2101,863,251,1043
709,530,885,2038,1006,699,2101,786,251,1023
709,526,889,1975,1010,611,2101,639,256,1049
808,529,892,1969,1052,501,2101,612,259,829
807,491,931,1773,1038,378,2116,594,172,829
823,471,958,1348,1022,339,2103,307,164,877
853,466,963,1256,985,224,2068,297,239,936
1387,466,963,1152,996,194,2068,174,239,1036
1509,356,1002,1126,1000,172,2068,264,219,1099
1525,356,908,1057,1061,172,2068,419,209,1244
1816,357,825,1107,1068,172,2008,647,209,1445
1921,366,785,1153,1076,171,1840,657,209,1594
1762,546,788,1253,1085,162,1747,670,206,1602
1930,618,731,1253,1096,162,1737,715,206,1799
2053,710,721,1185,1126,162,1462,715,206,1892
2024,753,656,1129,1126,162,1349,715,206,1930
1976,801,528,951,1126,162,1331,715,206,1945
1983,809,471,958,1126,162,1248,715,206,2207
2023,820,471,994,1126,162,993,800,206,2105
2022,800,492,994,1126,163,838,855,206,2147
2035,739,553,968,1126,178,692,855,201,2092
2035,705,587,839,1125,172,524,855,166,2160
2036,665,631,695,1087,172,527,855,129,2123
2036,640,651,674,1031,172,482,858,129,2053
2008,657,622,677,1022,163,429,858,129,2233
1997,614,681,681,995,187,359,858,129,2343
1967,682,648,681,849,137,201,971,126,2348
1992,711,576,681,538,223,142,1018,126,2452
1991,747,576,626,325,242,142,1101,109,2515
2022,720,603,586,257,314,142,1148,132,2513
2019,711,609,531,247,314,150,1248,136,2420
2226,712,597,531,247,373,175,1453,144,2415
2271,709,530,531,244,397,175,1453,186,2380
