Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
1049,878,689,347,473,509,547,809,2307,647,575,1184
1091,977,689,346,416,488,525,820,2337,437,575,1431
1168,982,689,96,656,457,524,800,2432,363,575,1586
1240,982,689,96,584,410,524,739,2431,232,595,1732
1339,953,718,96,583,403,524,705,2560,233,620,1900
1360,849,822,96,583,403,525,665,2721,276,620,1910
1391,645,1028,96,583,403,522,640,2685,283,620,1955
1391,644,849,276,583,403,522,657,2553,292,629,2013
1382,641,779,355,586,403,531,614,2494,319,656,2096
1315,571,899,372,586,403,549,682,2301,465,720,2086
1184,686,844,443,586,403,549,711,2250,756,720,2177
1135,714,750,558,586,403,550,747,2230,941,720,2124
1141,642,735,646,586,350,550,720,2134,1001,720,2111
1142,644,717,601,651,350,550,711,2158,1011,720,2111
1169,644,693,597,679,350,550,712,2120,1011,720,2101
1242,639,611,684,679,350,550,709,2038,1006,699,2101
1123,753,615,689,679,295,550,709,1975,1010,611,2101
1160,806,615,689,679,315,546,808,1969,1052,501,2101
1229,833,615,689,678,389,546,807,1773,1038,378,2116
1139,915,630,689,657,321,428,823,1348,1022,339,2103
1021,990,673,689,657,319,357,853,1256,985,224,2068
1021,988,675,689,657,346,275,1387,1152,996,194,2068
1019,990,675,689,657,244,78,1509,1126,1000,172,2068
962,1051,675,689,657,248,52,1525,1057,1061,172,2068
867,1148,675,689,656,248,52,1816,1107,1068,172,2008
823,1192,675,689,656,250,73,1921,1153,1076,171,1840
815,1200,675,689,656,253,73,1762,1253,1085,162,1747
814,1182,694,689,598,253,73,1930,1253,1096,162,1737
785,1162,743,689,570,247,73,2053,1185,1126,162,1462
785,1058,847,689,432,211,68,2024,1129,1126,162,1349
772,1041,877,689,417,209,63,1976,951,1126,162,1331
763,1049,878,689,347,209,63,1983,958,1126,162,1248
622,1091,977,689,346,209,123,2023,994,1126,162,993
540,1168,982,689,96,179,124,2022,994,1126,163,838
468,1240,982,689,96,185,124,2035,968,1126,178,692
369,1339,953,718,96,228,124,2035,839,1125,172,524
348,1360,849,822,96,228,123,2036,695,1087,172,527
320,1391,645,1028,96,228,117,2036,674,1031,172,482
320,1391,644,849,276,228,122,2008,677,1022,163,429
320,1382,641,779,355,228,113,1997,681,995,187,359
320,1315,571,899,372,246,121,1967,681,849,137,201
320,1184,686,844,443,259,124,1992,681,538,223,142
320,1135,714,750,558,380,297,1991,626,325,242,142
313,1141,642,735,646,538,304,2022,586,257,314,142
308,1142,644,717,601,627,308,2019,531,247,314,150
281,1169,644,693,597,636,308,2226,531,247,373,175
208,1242,639,611,684,636,353,2271,531,244,397,175
204,1123,753,615,689,643,378,2320,531,256,406,175
114,1160,806,615,689,790,534,2221,531,214,406,175
18,1229,833,615,689,709,569,2298,507,223,396,160
11,1139,915,630,689,717,723,2325,501,236,389,160
20,1021,990,673,689,731,723,2312,501,274,389,147
44,1021,988,675,689,692,723,1778,528,240,389,124
44,1019,990,675,689,703,724,1715,513,240,389,124
40,962,1051,675,689,847,719,1732,532,179,389,124
38,867,1148,675,689,1129,719,1464,482,172,389,124
38,823,1192,675,689,1244,733,1356,423,174,389,124
38,815,1200,675,689,1244,733,1320,320,189,389,124
59,814,1182,694,689,1244,735,1080,351,178,389,164
60,785,1162,743,689,1245,751,874,350,148,389,164
61,785,1058,847,689,1245,751,935,390,148,407,284
80,772,1041,877,689,1299,751,978,441,148,407,284
281,763,1049,878,689,1321,751,963,434,148,407,284
322,622,1091,977,689,1334,691,970,362,148,413,284
364,540,1168,982,689,1334,690,994,266,149,417,287
496,468,1240,982,689,1328,697,981,253,149,382,287
625,369,1339,953,718,1268,697,1003,283,149,363,282
625,348,1360,849,822,1268,697,998,266,143,363,269
620,320,1391,645,1028,1268,697,998,266,142,378,279
625,320,1391,644,849,1268,692,979,263,142,383,274
626,320,1382,641,779,1268,692,974,269,142,430,261
628,320,1315,571,899,1250,666,934,298,142,527,246
629,320,1184,686,844,1253,663,878,298,142,445,211
631,320,1135,714,750,1133,489,888,360,142,522,211
631,313,1141,642,735,975,482,884,366,142,450,211
631,308,1142,644,717,886,478,1047,383,152,450,206
631,281,1169,644,693,882,478,952,426,152,391,181
631,208,1242,639,611,925,433,1012,526,152,367,456
632,204,1123,753,615,926,423,969,526,136,360,475
635,114,1160,806,615,753,339,967,582,147,361,720
635,18,1229,833,615,748,345,890,594,161,455,753
655,11,1139,915,630,759,205,840,599,155,584,753
646,20,1021,990,673,745,205,823,620,113,617,753
622,44,1021,988,675,757,205,854,638,104,617,748
627,44,1019,990,675,744,239,806,626,107,638,748
629,40,962,1051,675,596,240,834,601,107,640,748
629,38,867,1148,675,347,240,834,614,107,650,748
629,38,823,1192,675,232,224,859,615,97,662,748
629,38,815,1200,675,229,236,859,613,73,671,748
608,59,814,1182,694,229,234,918,644,73,671,708
607,60,785,1162,743,228,218,910,743,104,671,708
650,61,785,1058,847,228,218,835,734,104,687,588
895,80,772,1041,877,177,218,792,683,104,687,588
809,281,763,1049,878,158,229,792,763,167,687,623
800,322,622,1091,977,155,229,734,785,212,681,628
892,364,540,1168,982,174,229,711,787,225,676,625
856,496,468,1240,982,174,222,711,788,225,676,638
729,625,369,1339,953,174,222,689,786,225,676,638
782,625,348,1360,849,174,222,689,921,227,676,638
813,620,320,1391,645,174,222,731,931,227,661,628
813,625,320,1391,644,174,228,731,996,283,656,628
815,626,320,1382,641,174,240,731,992,350,559,628
813,628,320,1315,571,174,240,731,983,355,456,628
815,629,320,1184,686,159,240,731,983,366,463,628
926,631,320,1135,714,158,240,724,921,366,437,628
927,631,313,1141,642,158,240,700,914,366,437,628
975,631,308,1142,644,158,240,609,897,356,465,630
1042,631,281,1169,644,153,240,683,854,358,491,658
1042,631,208,1242,639,110,240,679,754,358,504,392
1119,632,204,1123,753,102,225,719,754,358,502,373
1123,635,114,1160,806,102,153,716,698,347,501,128
1123,635,18,1229,833,102,112,716,686,317,407,148
1103,655,11,1139,915,83,106,716,681,310,296,158
1105,646,20,1021,990,83,110,716,723,310,263,158
1114,622,44,1021,988,98,110,745,682,310,271,158
1245,627,44,1019,990,195,73,772,679,301,250,158
1385,629,40,962,1051,242,72,711,693,301,268,158
1423,629,38,867,1148,220,80,687,680,301,282,158
1423,629,38,823,1192,229,61,708,679,301,284,158
1423,629,38,815,1200,229,49,726,679,315,275,428
1450,608,59,814,1182,229,53,667,600,319,330,471
1519,607,60,785,1162,229,160,666,499,288,330,471
1475,650,61,785,1058,229,183,666,460,288,296,471
1211,895,80,772,1041,227,183,666,523,288,296,476
1097,809,281,763,1049,427,172,666,453,225,296,441
