Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
441,457,695,456,1278,689,444,668,563,521,1048,582,946,1633,512,1049
428,452,713,456,1278,689,431,675,569,522,1354,569,939,1622,543,1091
433,399,766,456,1278,636,484,675,569,522,1398,558,948,1600,590,1168
433,326,839,456,1278,533,587,673,571,522,1532,514,1147,1671,633,1240
485,317,848,456,1271,525,568,707,571,538,1532,472,1391,1671,611,1339
485,317,795,509,1252,506,606,669,523,576,1532,472,1343,1691,611,1360
486,275,834,512,1252,506,548,710,538,577,1532,472,1240,1641,628,1391
517,275,828,518,1252,506,548,709,503,660,1532,472,1221,1668,665,1391
517,274,810,537,1229,454,623,640,502,683,1532,472,1222,1615,680,1382
532,228,842,551,1229,406,671,433,694,703,1532,472,1104,1602,675,1315
538,218,852,551,1229,382,695,224,892,901,1532,472,1070,1451,635,1184
578,218,852,420,1233,499,705,222,877,1050,1527,472,1056,1158,589,1135
578,216,854,414,1239,497,634,295,877,1017,1528,472,1020,1037,582,1141
578,216,843,425,1167,567,614,208,984,985,1521,472,898,1006,588,1142
578,216,811,456,1081,654,523,299,984,1026,1493,507,881,1001,592,1169
522,272,789,478,1053,682,523,291,992,1079,1489,517,868,1001,590,1242
515,356,715,552,1056,682,523,291,992,1118,1489,517,871,982,607,1123
513,440,651,624,875,863,523,291,992,1127,1489,517,851,865,582,1160
506,344,742,645,836,900,525,291,992,1179,1517,563,863,705,490,1229
650,344,733,618,641,995,661,291,992,1086,1506,586,868,705,487,1139
650,344,594,757,641,927,715,305,984,1073,1500,573,954,719,487,1021
635,346,607,746,539,1010,724,326,955,1073,1372,572,1036,727,486,1021
608,365,619,743,518,982,776,326,873,1050,1371,650,1124,719,486,1019
562,402,629,724,537,982,775,327,870,1072,1332,701,1188,691,486,962
545,419,592,643,654,983,679,423,870,1080,1318,650,1172,510,530,867
545,419,592,638,620,1022,679,423,721,1102,1241,767,1200,341,526,823
545,395,616,598,562,1097,681,444,721,1026,1213,777,1205,260,473,815
530,411,499,715,539,1112,689,444,721,1016,1279,642,1197,199,536,814
528,411,481,713,549,1124,689,444,721,1017,1151,487,1182,284,536,785
530,411,440,753,453,1221,689,444,721,1017,1058,487,1182,293,536,785
525,433,438,753,427,1249,689,444,689,1049,1020,490,1181,286,536,772
500,441,457,695,456,1278,689,444,668,1091,782,491,1051,279,536,763
516,428,452,713,456,1278,689,431,675,1091,550,491,1036,295,505,622
513,433,399,766,456,1278,636,484,675,1091,564,491,1092,295,458,540
513,433,326,839,456,1278,533,587,673,1091,437,495,999,219,438,468
461,485,317,848,456,1271,525,568,707,1075,438,541,839,219,468,369
461,485,317,795,509,1252,506,606,669,1042,438,546,907,220,519,348
460,486,275,834,512,1252,506,548,710,1082,443,592,956,248,549,320
429,517,275,828,518,1252,506,548,709,1059,445,607,985,301,514,320
429,517,274,810,537,1229,454,623,640,1036,445,870,987,302,466,320
479,532,228,842,551,1229,406,671,433,1021,445,925,952,389,466,320
518,538,218,852,551,1229,382,695,224,817,445,980,952,389,467,320
593,578,218,852,420,1233,499,705,222,650,445,1012,1144,411,462,320
726,578,216,854,414,1239,497,634,295,549,443,1212,1147,433,456,313
745,578,216,843,425,1167,567,614,208,482,443,1216,1147,443,437,308
746,578,216,811,456,1081,654,523,299,440,434,1181,1147,511,434,281
746,522,272,789,478,1053,682,523,291,387,434,1171,1157,582,439,208
666,515,356,715,552,1056,682,523,291,348,434,1171,1154,584,426,204
605,513,440,651,624,875,863,523,291,339,434,1211,1141,700,457,114
609,506,344,742,645,836,900,525,291,279,406,1275,1128,710,511,18
526,650,344,733,618,641,995,661,291,273,361,1382,1123,710,581,11
558,650,344,594,757,641,927,715,305,273,342,1380,1051,696,640,20
558,635,346,607,746,539,1010,724,326,293,314,1419,980,688,720,44
555,608,365,619,743,518,982,776,326,293,312,1435,924,686,733,44
555,562,402,629,724,537,982,775,327,273,312,1402,859,726,743,40
555,545,419,592,643,654,983,679,423,292,312,1469,817,754,696,38
568,545,419,592,638,620,1022,679,423,271,286,1491,744,754,611,38
568,545,395,616,598,562,1097,681,444,271,267,1457,707,754,565,38
567,530,411,499,715,539,1112,689,444,314,198,1448,729,844,494,59
567,528,411,481,713,549,1124,689,444,313,324,1448,769,807,546,60
565,530,411,440,753,453,1221,689,444,313,366,1448,769,794,604,61
548,525,433,438,753,427,1249,689,444,281,367,1445,820,934,683,80
553,500,441,457,695,456,1278,689,444,230,364,1444,897,937,744,281
543,516,428,452,713,456,1278,689,431,235,262,1444,874,921,761,322
544,513,433,399,766,456,1278,636,484,241,329,1469,823,921,761,364
550,513,433,326,839,456,1278,533,587,266,322,1479,753,920,745,496
554,461,485,317,848,456,1271,525,568,266,321,1433,727,938,744,625
560,461,485,317,795,509,1252,506,606,263,321,1428,670,916,707,625
560,460,486,275,834,512,1252,506,548,228,316,1382,668,890,694,620
573,429,517,275,828,518,1252,506,548,168,317,1367,708,797,692,625
594,429,517,274,810,537,1229,454,623,255,317,1105,758,793,691,626
529,479,532,228,842,551,1229,406,671,251,317,1050,780,706,691,628
484,518,538,218,852,551,1229,382,695,251,317,1091,851,728,690,629
369,593,578,218,852,420,1233,499,705,251,317,1059,717,706,690,631
236,726,578,216,854,414,1239,497,634,251,317,859,723,684,690,631
217,745,578,216,843,425,1167,567,614,251,317,855,794,675,690,631
216,746,578,216,811,456,1081,654,523,251,317,1089,819,610,710,631
216,746,522,272,789,478,1053,682,523,290,317,1246,815,539,710,631
216,666,515,356,715,552,1056,682,523,362,317,1349,923,537,708,632
187,605,513,440,651,624,875,863,523,396,317,1368,1135,420,705,635
190,609,506,344,742,645,836,900,525,443,317,1260,1167,409,692,635
129,526,650,344,733,618,641,995,661,447,317,1130,1219,410,648,655
106,558,650,344,594,757,641,927,715,447,317,1130,1280,485,589,646
106,558,635,346,607,746,539,1010,724,427,402,1080,1305,563,525,622
162,555,608,365,619,743,518,982,776,427,438,986,1272,572,539,627
184,555,562,402,629,724,537,982,775,425,438,960,1285,555,543,629
189,555,545,419,592,643,654,983,679,394,440,857,1404,527,636,629
227,568,545,419,592,638,620,1022,679,393,440,718,1400,655,636,629
252,568,545,395,616,598,562,1097,681,385,471,694,1400,719,636,629
252,567,530,411,499,715,539,1112,689,329,469,693,1378,645,636,608
252,567,528,411,481,713,549,1124,689,329,422,693,1338,598,584,607
252,565,530,411,440,753,453,1221,689,415,409,693,1355,597,533,650
252,548,525,433,438,753,427,1249,689,417,409,693,1322,493,473,895
263,553,500,441,457,695,456,1278,689,453,409,693,1341,503,413,809
265,543,516,428,452,713,456,1278,689,517,410,693,1375,525,396,800
318,544,513,433,399,766,456,1278,636,526,282,668,1426,525,402,892
340,550,513,433,326,839,456,1278,533,512,282,654,1424,525,462,856
342,554,461,485,317,848,456,1271,525,529,282,654,1374,507,433,729
336,560,461,485,317,795,509,1252,506,527,282,654,1441,506,419,782
336,560,460,486,275,834,512,1252,506,523,285,654,1452,504,381,813
323,573,429,517,275,828,518,1252,506,523,282,654,1384,565,395,813
302,594,429,517,274,810,537,1229,454,436,282,653,1331,595,511,815
302,529,479,532,228,842,551,1229,406,435,282,653,1309,651,555,813
302,484,518,538,218,852,551,1229,382,435,282,585,1336,673,774,815
342,369,593,578,218,852,420,1233,499,435,282,646,1330,710,787,926
383,236,726,578,216,854,414,1239,497,435,282,706,1334,780,787,927
383,217,745,578,216,843,425,1167,567,443,282,708,1263,781,787,975
406,216,746,578,216,811,456,1081,654,472,282,530,1263,778,767,1042
470,216,746,522,272,789,478,1053,682,515,282,433,1267,781,762,1042
476,216,666,515,356,715,552,1056,682,446,282,330,1161,781,784,1119
476,187,605,513,440,651,624,875,863,412,283,271,952,782,789,1123
460,190,609,506,344,742,645,836,900,514,284,267,920,782,773,1123
463,129,526,650,344,733,618,641,995,510,284,267,868,860,773,1103
455,106,558,650,344,594,757,641,927,510,284,267,1064,785,773,1105
564,106,558,635,346,607,746,539,1010,510,202,267,1087,707,757,1114
568,162,555,608,365,619,743,518,982,510,287,295,1117,698,731,1245
545,184,555,562,402,629,724,537,982,542,299,328,1123,675,712,1385
551,189,555,545,419,592,643,654,983,563,326,393,1057,675,619,1423
500,227,568,545,419,592,638,620,1022,569,370,405,1209,561,619,1423
475,252,568,545,395,616,598,562,1097,569,518,430,1209,497,619,1423
475,252,567,530,411,499,715,539,1112,571,525,465,1209,472,685,1450
475,252,567,528,411,481,713,549,1124,571,432,466,1288,468,685,1519
545,252,565,530,411,440,753,453,1221,523,403,498,1271,518,678,1475
568,252,548,525,433,438,753,427,1249,538,402,750,1253,482,661,1211
559,263,553,500,441,457,695,456,1278,503,402,809,1157,506,663,1097
565,265,543,516,428,452,713,456,1278,502,401,818,1123,542,668,1069
607,318,544,513,433,399,766,456,1278,694,401,818,1058,546,693,937
590,340,550,513,433,326,839,456,1278,892,405,818,1021,551,626,841
584,342,554,461,485,317,848,456,1271,877,413,818,1013,551,626,839
584,336,560,461,485,317,795,509,1252,877,413,818,929,551,675,786
