Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
721,499,441,521,1048,582,946,1633,512,1049
595,607,428,522,1354,569,939,1622,543,1091
502,619,433,522,1398,558,948,1600,590,1168
386,666,433,522,1532,514,1147,1671,633,1240
336,671,485,538,1532,472,1391,1671,611,1339
314,668,485,576,1532,472,1343,1691,611,1360
314,668,486,577,1532,472,1240,1641,628,1391
278,699,517,660,1532,472,1221,1668,665,1391
278,699,517,683,1532,472,1222,1615,680,1382
278,689,532,703,1532,472,1104,1602,675,1315
319,689,538,901,1532,472,1070,1451,635,1184
319,687,578,1050,1527,472,1056,1158,589,1135
319,677,578,1017,1528,472,1020,1037,582,1141
319,677,578,985,1521,472,898,1006,588,1142
307,689,578,1026,1493,507,881,1001,592,1169
247,680,522,1079,1489,517,868,1001,590,1242
374,667,515,1118,1489,517,871,982,607,1123
374,660,513,1127,1489,517,851,865,582,1160
354,680,506,1179,1517,563,863,705,490,1229
380,680,650,1086,1506,586,868,705,487,1139
387,680,650,1073,1500,573,954,719,487,1021
387,672,635,1073,1372,572,1036,727,486,1021
387,672,608,1050,1371,650,1124,719,486,1019
387,672,562,1072,1332,701,1188,691,486,962
391,634,545,1080,1318,650,1172,510,530,867
384,642,545,1102,1241,767,1200,341,526,823
357,645,545,1026,1213,777,1205,260,473,815
346,629,530,1016,1279,642,1197,199,536,814
345,606,528,1017,1151,487,1182,284,536,785
311,640,530,1017,1058,487,1182,293,536,785
247,704,525,1049,1020,490,1181,286,536,772
230,721,500,1091,782,491,1051,279,536,763
230,595,516,1091,550,491,1036,295,505,622
230,502,513,1091,564,491,1092,295,458,540
230,386,513,1091,437,495,999,219,438,468
224,336,461,1075,438,541,839,219,468,369
224,314,461,1042,438,546,907,220,519,348
225,314,460,1082,443,592,956,248,549,320
246,278,429,1059,445,607,985,301,514,320
258,278,429,1036,445,870,987,302,466,320
270,278,479,1021,445,925,952,389,466,320
229,319,518,817,445,980,952,389,467,320
239,319,593,650,445,1012,1144,411,462,320
239,319,726,549,443,1212,1147,433,456,313
240,319,745,482,443,1216,1147,443,437,308
431,307,746,440,434,1181,1147,511,434,281
444,247,746,387,434,1171,1157,582,439,208
339,374,666,348,434,1171,1154,584,426,204
427,374,605,339,434,1211,1141,700,457,114
433,354,609,279,406,1275,1128,710,511,18
417,380,526,273,361,1382,1123,710,581,11
446,387,558,273,342,1380,1051,696,640,20
