Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
444,553,734,1155,639,854,977,291,716,1358,776,989,803,721,441,521,1048,582,946
436,508,689,1253,639,854,906,354,724,1299,835,657,832,595,428,522,1354,569,939
383,561,637,1302,627,869,906,341,730,1306,835,610,757,502,433,522,1398,558,948
290,654,611,1264,685,704,1077,318,747,1233,914,580,714,386,433,522,1532,514,1147
169,778,609,1190,687,690,1153,330,747,1068,1079,667,707,336,485,538,1532,472,1391
99,848,542,1257,473,904,1138,345,747,1040,1071,588,777,314,485,576,1532,472,1343
98,842,505,1091,683,904,1138,345,747,989,1087,546,709,314,486,577,1532,472,1240
98,841,506,1033,741,904,916,567,747,945,920,497,704,278,517,660,1532,472,1221
85,854,457,1065,758,864,870,653,715,977,917,389,706,278,517,683,1532,472,1222
84,743,569,1065,713,879,895,658,598,1094,917,367,735,278,532,703,1532,472,1104
84,694,618,1065,713,879,895,658,579,1112,846,411,731,319,538,901,1532,472,1070
84,644,668,1065,713,874,900,658,579,1112,704,430,698,319,578,1050,1527,472,1056
84,636,674,1052,707,828,967,658,532,1158,463,430,704,319,578,1017,1528,472,1020
88,641,674,649,1057,877,971,658,532,1108,513,434,712,319,578,985,1521,472,898
88,641,674,420,1283,880,883,746,521,917,715,448,712,307,578,1026,1493,507,881
88,637,670,428,1283,880,883,746,515,852,786,534,668,247,522,1079,1489,517,868
81,637,634,491,1275,888,805,824,453,888,812,654,746,374,515,1118,1489,517,871
263,643,634,491,1274,869,808,841,360,930,863,683,904,374,513,1127,1489,517,851
365,642,640,491,1268,865,765,836,392,927,892,690,959,354,506,1179,1517,563,863
356,661,642,491,1268,864,766,810,418,811,1008,694,1014,380,650,1086,1506,586,868
354,657,648,491,1227,839,832,805,423,801,1018,748,1015,387,650,1073,1500,573,954
381,630,657,510,1209,812,820,846,437,803,1018,803,1015,387,635,1073,1372,572,1036
750,567,720,510,1209,809,821,848,379,857,1022,803,1015,387,608,1050,1371,650,1124
750,557,729,511,1096,922,821,848,378,825,1055,815,1015,387,562,1072,1332,701,1188
750,541,737,515,1100,922,793,876,331,696,1231,815,1015,391,545,1080,1318,650,1172
750,541,737,515,1081,941,793,876,331,673,1254,793,1015,384,545,1102,1241,767,1200
750,541,737,515,1079,943,793,869,326,685,1232,792,1036,357,545,1026,1213,777,1205
750,541,573,679,1079,871,622,1109,321,674,1251,790,1036,346,530,1016,1279,642,1197
750,541,570,682,1079,692,801,1100,330,674,1251,722,1039,345,528,1017,1151,487,1182
750,541,550,702,1079,639,854,1063,367,669,1256,746,914,311,530,1017,1058,487,1182
736,520,527,760,1079,639,854,1044,386,598,1327,780,836,247,525,1049,1020,490,1181
736,444,553,734,1155,639,854,977,291,716,1358,991,738,230,500,1091,782,491,1051
764,436,508,689,1253,639,854,906,354,724,1299,994,709,230,516,1091,550,491,1036
771,383,561,637,1302,627,869,906,341,730,1306,978,697,230,513,1091,564,491,1092
778,290,654,611,1264,685,704,1077,318,747,1233,1049,628,230,513,1091,437,495,999
775,169,778,609,1190,687,690,1153,330,747,1068,1086,622,224,461,1075,438,541,839
775,99,848,542,1257,473,904,1138,345,747,1040,1304,591,224,461,1042,438,546,907
786,98,842,505,1091,683,904,1138,345,747,989,1243,601,225,460,1082,443,592,956
786,98,841,506,1033,741,904,916,567,747,945,1240,707,246,429,1059,445,607,985
888,85,854,457,1065,758,864,870,653,715,977,1200,706,258,429,1036,445,870,987
1042,84,743,569,1065,713,879,895,658,598,1094,1199,704,270,479,1021,445,925,952
1063,84,694,618,1065,713,879,895,658,579,1112,1145,801,229,518,817,445,980,952
1083,84,644,668,1065,713,874,900,658,579,1112,1126,914,239,593,650,445,1012,1144
1086,84,636,674,1052,707,828,967,658,532,1158,1126,930,239,726,549,443,1212,1147
1077,88,641,674,649,1057,877,971,658,532,1108,1122,1066,240,745,482,443,1216,1147
1080,88,641,674,420,1283,880,883,746,521,917,1108,1066,431,746,440,434,1181,1147
1148,88,637,670,428,1283,880,883,746,515,852,1022,1066,444,746,387,434,1171,1157
1139,81,637,634,491,1275,888,805,824,453,888,902,988,339,666,348,434,1171,1154
951,263,643,634,491,1274,869,808,841,360,930,873,830,427,605,339,434,1211,1141
848,365,642,640,491,1268,865,765,836,392,927,866,775,433,609,279,406,1275,1128
837,356,661,642,491,1268,864,766,810,418,811,884,720,417,526,273,361,1382,1123
837,354,657,648,491,1227,839,832,805,423,801,830,732,446,558,273,342,1380,1051
835,381,630,657,510,1209,812,820,846,437,803,775,732,446,558,293,314,1419,980
485,750,567,720,510,1209,809,821,848,379,857,775,777,446,555,293,312,1435,924
485,750,557,729,511,1096,922,821,848,378,825,763,880,446,555,273,312,1402,859
485,750,541,737,515,1100,922,793,876,331,696,776,999,442,555,292,312,1469,817
485,750,541,737,515,1081,941,793,876,331,673,835,1016,441,568,271,286,1491,744
489,750,541,737,515,1079,943,793,869,326,685,835,1042,464,568,271,267,1457,707
489,750,541,573,679,1079,871,622,1109,321,674,914,1206,486,567,314,198,1448,729
508,750,541,570,682,1079,692,801,1100,330,674,1079,1294,515,567,313,324,1448,769
510,750,541,550,702,1079,639,854,1063,367,669,1071,1328,522,565,313,366,1448,769
510,736,520,527,760,1079,639,854,1044,386,598,1087,1412,674,548,281,367,1445,820
632,736,444,553,734,1155,639,854,977,291,716,920,1412,674,553,230,364,1444,897
672,764,436,508,689,1253,639,854,906,354,724,917,1429,675,543,235,262,1444,874
720,771,383,561,637,1302,627,869,906,341,730,917,1499,687,544,241,329,1469,823
713,778,290,654,611,1264,685,704,1077,318,747,846,1523,691,550,266,322,1479,753
765,775,169,778,609,1190,687,690,1153,330,747,704,1519,762,554,266,321,1433,727
780,775,99,848,542,1257,473,904,1138,345,747,463,1509,822,560,263,321,1428,670
837,786,98,842,505,1091,683,904,1138,345,747,513,1499,832,560,228,316,1382,668
838,786,98,841,506,1033,741,904,916,567,747,715,1315,817,573,168,317,1367,708
743,888,85,854,457,1065,758,864,870,653,715,786,1308,805,594,255,317,1105,758
592,1042,84,743,569,1065,713,879,895,658,598,812,1281,793,529,251,317,1050,780
571,1063,84,694,618,1065,713,879,895,658,579,863,1146,793,484,251,317,1091,851
551,1083,84,644,668,1065,713,874,900,658,579,892,1031,783,369,251,317,1059,717
548,1086,84,636,674,1052,707,828,967,658,532,1008,1008,783,236,251,317,859,723
548,1077,88,641,674,649,1057,877,971,658,532,1018,870,782,217,251,317,855,794
545,1080,88,641,674,420,1283,880,883,746,521,1018,920,591,216,251,317,1089,819
477,1148,88,637,670,428,1283,880,883,746,515,1022,955,573,216,290,317,1246,815
466,1139,81,637,634,491,1275,888,805,824,453,1055,992,591,216,362,317,1349,923
466,951,263,643,634,491,1274,869,808,841,360,1231,992,516,187,396,317,1368,1135
462,848,365,642,640,491,1268,865,765,836,392,1254,1207,510,190,443,317,1260,1167
534,837,356,661,642,491,1268,864,766,810,418,1232,1211,500,129,447,317,1130,1219
547,837,354,657,648,491,1227,839,832,805,423,1251,1219,634,106,447,317,1130,1280
571,835,381,630,657,510,1209,812,820,846,437,1251,1224,717,106,427,402,1080,1305
600,485,750,567,720,510,1209,809,821,848,379,1256,1179,721,162,427,438,986,1272
622,485,750,557,729,511,1096,922,821,848,378,1327,1076,768,184,425,438,960,1285
648,485,750,541,737,515,1100,922,793,876,331,1358,976,805,189,394,440,857,1404
654,485,750,541,737,515,1081,941,793,876,331,1299,972,875,227,393,440,718,1400
650,489,750,541,737,515,1079,943,793,869,326,1306,954,958,252,385,471,694,1400
650,489,750,541,573,679,1079,871,622,1109,321,1233,831,950,252,329,469,693,1378
631,508,750,541,570,682,1079,692,801,1100,330,1068,740,1056,252,329,422,693,1338
629,510,750,541,550,702,1079,639,854,1063,367,1040,706,1104,252,415,409,693,1355
629,510,736,520,527,760,1079,639,854,1044,386,989,621,977,252,417,409,693,1322
507,632,736,444,553,734,1155,639,854,977,291,945,621,977,263,453,409,693,1341
439,672,764,436,508,689,1253,639,854,906,354,977,604,976,265,517,410,693,1375
384,720,771,383,561,637,1302,627,869,906,341,1094,534,964,318,526,282,668,1426
388,713,778,290,654,611,1264,685,704,1077,318,1112,510,960,340,512,282,654,1424
340,765,775,169,778,609,1190,687,690,1153,330,1112,510,889,342,529,282,654,1374
326,780,775,99,848,542,1257,473,904,1138,345,1158,475,829,336,527,282,654,1441
258,837,786,98,842,505,1091,683,904,1138,345,1108,475,818,336,523,285,654,1452
257,838,786,98,841,506,1033,741,904,916,567,917,475,815,323,523,282,654,1384
250,743,888,85,854,457,1065,758,864,870,653,852,475,823,302,436,282,653,1331
247,592,1042,84,743,569,1065,713,879,895,658,888,475,846,302,435,282,653,1309
247,571,1063,84,694,618,1065,713,879,895,658,930,475,856,302,435,282,585,1336
247,551,1083,84,644,668,1065,713,874,900,658,927,475,915,342,435,282,646,1330
290,548,1086,84,636,674,1052,707,828,967,658,811,475,922,383,435,282,706,1334
492,548,1077,88,641,674,649,1057,877,971,658,801,469,922,383,443,282,708,1263
578,545,1080,88,641,674,420,1283,880,883,746,803,419,922,406,472,282,530,1263
578,477,1148,88,637,670,428,1283,880,883,746,857,384,922,470,515,282,433,1267
578,466,1139,81,637,634,491,1275,888,805,824,825,347,877,476,446,282,330,1161
578,466,951,263,643,634,491,1274,869,808,841,696,347,906,476,412,283,271,952
578,462,848,365,642,640,491,1268,865,765,836,673,132,906,460,514,284,267,920
505,534,837,356,661,642,491,1268,864,766,810,685,128,906,463,510,284,267,868
492,547,837,354,657,648,491,1227,839,832,805,674,107,736,455,510,284,267,1064
448,571,835,381,630,657,510,1209,812,820,846,674,102,653,564,510,202,267,1087
471,600,485,750,567,720,510,1209,809,821,848,669,102,682,568,510,287,295,1117
451,622,485,750,557,729,511,1096,922,821,848,598,102,635,545,542,299,328,1123
479,648,485,750,541,737,515,1100,922,793,876,716,83,598,551,563,326,393,1057
473,654,485,750,541,737,515,1081,941,793,876,724,136,528,500,569,370,405,1209
473,650,489,750,541,737,515,1079,943,793,869,730,107,520,475,569,518,430,1209
473,650,489,750,541,573,679,1079,871,622,1109,747,66,517,475,571,525,465,1209
473,631,508,750,541,570,682,1079,692,801,1100,747,66,382,475,571,432,466,1288
473,629,510,750,541,550,702,1079,639,854,1063,747,66,327,545,523,403,498,1271
473,629,510,736,520,527,760,1079,639,854,1044,747,90,302,568,538,402,750,1253
475,507,632,736,444,553,734,1155,639,854,977,747,92,317,559,503,402,809,1157
475,439,672,764,436,508,689,1253,639,854,906,715,92,317,565,502,401,818,1123
475,384,720,771,383,561,637,1302,627,869,906,598,198,317,607,694,401,818,1058
476,388,713,778,290,654,611,1264,685,704,1077,579,279,427,590,892,405,818,1021
540,340,765,775,169,778,609,1190,687,690,1153,579,370,432,584,877,413,818,1013
683,326,780,775,99,848,542,1257,473,904,1138,532,370,432,584,877,413,818,929
721,258,837,786,98,842,505,1091,683,904,1138,532,398,432,584,984,410,820,871
776,257,838,786,98,841,506,1033,741,904,916,521,413,557,584,984,452,820,870
776,250,743,888,85,854,457,1065,758,864,870,515,433,571,677,992,464,833,870
935,247,592,1042,84,743,569,1065,713,879,895,453,444,548,766,992,500,869,881
983,247,571,1063,84,694,618,1065,713,879,895,360,479,538,766,992,500,841,787
983,247,551,1083,84,644,668,1065,713,874,900,392,638,876,726,992,506,780,779
945,290,548,1086,84,636,674,1052,707,828,967,418,724,869,685,992,574,720,769
743,492,548,1077,88,641,674,649,1057,877,971,423,724,908,685,984,821,827,785
662,578,545,1080,88,641,674,420,1283,880,883,437,762,959,662,955,1091,771,760
662,578,477,1148,88,637,670,428,1283,880,883,379,902,1144,723,873,1091,711,750
703,578,466,1139,81,637,634,491,1275,888,805,378,903,1191,721,870,1121,711,748
703,578,466,951,263,643,634,491,1274,869,808,331,903,1160,722,870,1158,727,745
703,578,462,848,365,642,640,491,1268,865,765,331,903,1173,737,721,1157,739,745
703,505,534,837,356,661,642,491,1268,864,766,326,903,1197,734,721,1247,745,745
703,492,547,837,354,657,648,491,1227,839,832,321,951,1247,733,721,1247,756,474
709,448,571,835,381,630,657,510,1209,812,820,330,1112,1385,624,721,1244,767,415
639,471,600,485,750,567,720,510,1209,809,821,367,1159,1384,563,721,1123,739,385
648,451,622,485,750,557,729,511,1096,922,821,386,1177,1384,563,689,1111,711,366
594,479,648,485,750,541,737,515,1100,922,793,291,1183,1487,796,668,1179,646,312
594,473,654,485,750,541,737,515,1081,941,793,354,1123,1512,796,675,1135,634,157
594,473,650,489,750,541,737,515,1079,943,793,341,1195,1428,796,675,956,609,157
594,473,650,489,750,541,573,679,1079,871,622,318,1443,1468,796,673,949,574,159
594,473,631,508,750,541,570,682,1079,692,801,330,1443,1468,796,707,984,573,90
594,473,629,510,750,541,550,702,1079,639,854,345,1443,1468,772,669,1005,559,117
594,473,629,510,736,520,527,760,1079,639,854,345,1419,1470,749,710,1022,382,117
592,475,507,632,736,444,553,734,1155,639,854,567,1417,1456,740,709,1046,334,117
650,475,439,672,764,436,508,689,1253,639,854,653,1417,1456,758,640,1046,461,117
685,475,384,720,771,383,561,637,1302,627,869,658,1311,1456,660,433,1046,461,208
