Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
512,415,2031,1140,1049,509,547,809,2307,647,575,1184
543,316,2130,1140,1091,488,525,820,2337,437,575,1431
590,296,2088,1200,1168,457,524,800,2432,363,575,1586
633,274,2086,1041,1240,410,524,739,2431,232,595,1732
611,293,2089,930,1339,403,524,705,2560,233,620,1900
611,293,2089,924,1360,403,525,665,2721,276,620,1910
628,291,2008,968,1391,403,522,640,2685,283,620,1955
665,291,2008,968,1391,403,522,657,2553,292,629,2013
680,281,2038,918,1382,403,531,614,2494,319,656,2096
675,255,2069,913,1315,403,549,682,2301,465,720,2086
635,279,2017,958,1184,403,549,711,2250,756,720,2177
589,330,1971,976,1135,403,550,747,2230,941,720,2124
582,343,1965,981,1141,350,550,720,2134,1001,720,2111
588,355,1966,621,1142,350,550,711,2158,1011,720,2111
592,311,1940,665,1169,350,550,712,2120,1011,720,2101
590,295,1956,573,1242,350,550,709,2038,1006,699,2101
607,265,1986,562,1123,295,550,709,1975,1010,611,2101
582,290,1955,578,1160,315,546,808,1969,1052,501,2101
490,382,1939,594,1229,389,546,807,1773,1038,378,2116
487,384,1940,594,1139,321,428,823,1348,1022,339,2103
487,384,1940,594,1021,319,357,853,1256,985,224,2068
486,385,1939,595,1021,346,275,1387,1152,996,194,2068
486,385,1883,651,1019,244,78,1509,1126,1000,172,2068
486,390,1661,873,962,248,52,1525,1057,1061,172,2068
530,393,1347,1187,867,248,52,1816,1107,1068,172,2008
526,482,1181,1353,823,250,73,1921,1153,1076,171,1840
473,516,1182,1417,815,253,73,1762,1253,1085,162,1747
536,523,1139,1445,814,253,73,1930,1253,1096,162,1737
536,523,765,1765,785,247,73,2053,1185,1126,162,1462
536,513,683,1795,785,211,68,2024,1129,1126,162,1349
536,512,624,1853,772,209,63,1976,951,1126,162,1331
536,512,415,2031,763,209,63,1983,958,1126,162,1248
505,543,316,2130,622,209,123,2023,994,1126,162,993
458,590,296,2088,540,179,124,2022,994,1126,163,838
438,633,274,2086,468,185,124,2035,968,1126,178,692
468,611,293,2089,369,228,124,2035,839,1125,172,524
519,611,293,2089,348,228,123,2036,695,1087,172,527
549,628,291,2008,320,228,117,2036,674,1031,172,482
514,665,291,2008,320,228,122,2008,677,1022,163,429
466,680,281,2038,320,228,113,1997,681,995,187,359
466,675,255,2069,320,246,121,1967,681,849,137,201
