Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
377,1452,690,896,763,903,928,351,736,780,836,247,525
397,1449,693,896,699,708,878,357,736,991,738,230,500
389,1434,562,1043,706,653,770,441,764,994,709,230,516
395,1355,504,1121,767,597,708,604,771,978,697,230,513
441,1329,511,947,962,380,705,607,778,1049,628,230,513
476,1329,478,977,951,341,705,644,775,1086,622,224,461
476,1316,491,942,986,323,476,644,775,1304,591,224,461
482,1316,478,927,1014,308,428,641,786,1243,601,225,460
472,1307,497,907,1034,303,428,641,786,1240,707,246,429
471,1292,513,901,1040,303,309,628,888,1200,706,258,429
476,1300,424,990,1040,303,311,621,1042,1199,704,270,479
462,1315,424,964,1066,292,309,622,1063,1145,801,229,518
462,1314,425,846,1184,290,347,622,1083,1126,914,239,593
477,1166,573,799,1170,309,316,601,1086,1126,930,239,726
423,1101,693,555,1373,341,321,620,1077,1122,1066,240,745
423,1016,778,526,1402,343,351,627,1080,1108,1066,431,746
423,858,936,518,1397,344,359,562,1148,1022,1066,444,746
423,857,937,515,1380,357,359,517,1139,902,988,339,666
421,858,925,528,1336,357,339,556,951,873,830,427,605
387,828,989,528,1336,283,339,556,848,866,775,433,609
373,799,1032,528,1336,187,337,556,837,884,720,417,526
364,678,1146,544,1336,178,337,570,837,830,732,446,558
367,661,1162,545,1336,181,337,574,835,775,732,446,558
378,661,1162,545,1316,186,337,708,485,775,777,446,555
432,534,1289,545,1275,192,367,708,485,763,880,446,555
432,471,1352,545,1275,183,342,749,485,776,999,442,555
421,248,1460,668,1248,183,391,778,485,835,1016,441,568
417,218,1491,670,1180,183,399,804,489,835,1042,464,568
408,313,1493,670,931,183,388,982,489,914,1206,486,567
343,338,1533,658,882,154,358,935,508,1079,1294,515,567
335,346,1533,608,896,155,358,931,510,1071,1328,522,565
303,377,1452,690,896,174,358,910,510,1087,1412,674,548
283,397,1449,693,896,202,358,901,632,920,1412,674,553
283,389,1434,562,1043,202,355,816,672,917,1429,675,543
275,395,1355,504,1121,221,378,692,720,917,1499,687,544
243,441,1329,511,947,221,378,689,713,846,1523,691,550
208,476,1329,478,977,221,378,652,765,704,1519,762,554
208,476,1316,491,942,224,378,652,780,463,1509,822,560
219,482,1316,478,927,226,378,652,837,513,1499,832,560
299,472,1307,497,907,226,370,652,838,715,1315,817,573
304,471,1292,513,901,226,370,652,743,786,1308,805,594
298,476,1300,424,990,227,388,652,592,812,1281,793,529
297,462,1315,424,964,227,375,651,571,863,1146,793,484
299,462,1314,425,846,224,312,651,551,892,1031,783,369
366,477,1166,573,799,221,297,651,548,1008,1008,783,236
404,423,1101,693,555,272,296,632,548,1018,870,782,217
430,423,1016,778,526,271,215,625,545,1018,920,591,216
559,423,858,936,518,270,219,628,477,1022,955,573,216
559,423,857,937,515,253,219,782,466,1055,992,591,216
559,421,858,925,528,208,219,820,466,1231,992,516,187
580,387,828,989,528,208,219,824,462,1254,1207,510,190
629,373,799,1032,528,208,211,824,534,1232,1211,500,129
629,364,678,1146,544,208,211,804,547,1251,1219,634,106
626,367,661,1162,545,205,211,797,571,1251,1224,717,106
615,378,661,1162,545,200,211,790,600,1256,1179,721,162
561,432,534,1289,545,194,181,807,622,1327,1076,768,184
561,432,471,1352,545,194,181,784,648,1358,976,805,189
561,421,248,1460,668,194,102,816,654,1299,972,875,227
561,417,218,1491,670,194,94,821,650,1306,954,958,252
473,408,313,1493,670,194,124,645,650,1233,831,950,252
473,343,338,1533,658,192,154,628,631,1068,740,1056,252
473,335,346,1533,608,198,197,688,629,1040,706,1104,252
473,303,377,1452,690,161,259,697,629,989,621,977,252
473,283,397,1449,693,133,330,736,507,945,621,977,263
473,283,389,1434,562,133,330,739,439,977,604,976,265
473,275,395,1355,504,119,297,700,384,1094,534,964,318
459,243,441,1329,511,119,297,700,388,1112,510,960,340
539,208,476,1329,478,174,297,725,340,1112,510,889,342
585,208,476,1316,491,218,297,725,326,1158,475,829,336
639,219,482,1316,478,238,297,725,258,1108,475,818,336
657,299,472,1307,497,317,297,725,257,917,475,815,323
654,304,471,1292,513,317,317,731,250,852,475,823,302
647,298,476,1300,424,316,297,735,247,888,475,846,302
647,297,462,1315,424,316,292,735,247,930,475,856,302
646,299,462,1314,425,316,292,735,247,927,475,915,342
564,366,477,1166,573,312,287,735,290,811,475,922,383
525,404,423,1101,693,252,295,735,492,801,469,922,383
499,430,423,1016,778,318,295,735,578,803,419,922,406
370,559,423,858,936,358,283,732,578,857,384,922,470
370,559,423,857,937,402,283,552,578,825,347,877,476
370,559,421,858,925,423,283,475,578,696,347,906,476
349,580,387,828,989,517,283,471,578,673,132,906,460
300,629,373,799,1032,612,288,471,505,685,128,906,463
300,629,364,678,1146,690,314,471,492,674,107,736,455
500,626,367,661,1162,846,314,500,448,674,102,653,564
523,615,378,661,1162,915,314,373,471,669,102,682,568
527,561,432,534,1289,917,314,311,451,598,102,635,545
527,561,432,471,1352,917,352,289,479,716,83,598,551
594,561,421,248,1460,961,360,228,473,724,136,528,500
594,561,417,218,1491,961,390,198,473,730,107,520,475
