Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
2307,191,900,1457,245,647,575,1184,1363,947,389,1450,720
2337,197,848,1509,218,437,575,1431,1363,947,564,1470,783
2432,201,848,1509,218,363,575,1586,1363,947,600,1470,827
2431,243,845,1512,218,232,595,1732,1363,339,695,1473,827
2560,243,820,1513,242,233,620,1900,1363,284,770,1520,803
2721,243,400,1933,242,276,620,1910,1363,318,820,1432,751
2685,299,364,1967,245,283,620,1955,1363,318,890,1420,638
2553,406,384,1972,245,292,629,2013,1363,318,890,1420,623
2494,456,383,1958,269,319,656,2096,1363,265,900,1420,590
2301,649,311,1923,376,465,720,2086,1363,266,925,1420,664
2250,689,319,1917,330,756,720,2177,1363,266,956,1420,718
2230,750,328,1823,418,941,720,2124,1293,246,956,1420,721
2134,886,294,1741,535,1001,720,2111,1150,246,958,1378,772
2158,916,231,1793,546,1011,720,2111,993,254,1051,1325,835
2120,887,186,1664,787,1011,720,2101,863,251,1043,1212,905
2038,926,219,1588,801,1006,699,2101,786,251,1023,1139,920
1975,989,219,1315,996,1010,611,2101,639,256,1049,1104,907
1969,995,219,1310,1001,1052,501,2101,612,259,829,744,947
1773,1215,219,1310,1001,1038,378,2116,594,172,829,687,1042
1348,1646,219,1310,1001,1022,339,2103,307,164,877,687,1034
1256,1738,219,1310,1001,985,224,2068,297,239,936,687,1057
1152,1845,181,1349,1001,996,194,2068,174,239,1036,657,1173
1126,1900,183,1310,1040,1000,172,2068,264,219,1099,654,1353
1057,1975,176,1153,1204,1061,172,2068,419,209,1244,653,1395
1107,1975,175,1069,1288,1068,172,2008,647,209,1445,575,1365
1153,1988,175,979,1378,1076,171,1840,657,209,1594,575,1250
1253,1993,175,915,1442,1085,162,1747,670,206,1602,575,1235
1253,2009,176,915,1442,1096,162,1737,715,206,1799,567,1228
1185,2080,176,915,1442,1126,162,1462,715,206,1892,494,1246
1129,2144,176,915,1442,1126,162,1349,715,206,1930,469,1246
951,2322,176,915,1442,1126,162,1331,715,206,1945,406,1246
958,2307,191,900,1457,1126,162,1248,715,206,2207,113,1305
994,2337,197,848,1509,1126,162,993,800,206,2105,78,1242
994,2432,201,848,1509,1126,163,838,855,206,2147,79,1197
968,2431,243,845,1512,1126,178,692,855,201,2092,76,1197
839,2560,243,820,1513,1125,172,524,855,166,2160,29,1179
695,2721,243,400,1933,1087,172,527,855,129,2123,41,1176
674,2685,299,364,1967,1031,172,482,858,129,2053,49,1176
677,2553,406,384,1972,1022,163,429,858,129,2233,52,1141
681,2494,456,383,1958,995,187,359,858,129,2343,52,1133
681,2301,649,311,1923,849,137,201,971,126,2348,145,1061
681,2250,689,319,1917,538,223,142,1018,126,2452,188,1007
626,2230,750,328,1823,325,242,142,1101,109,2515,243,1004
586,2134,886,294,1741,257,314,142,1148,132,2513,243,944
531,2158,916,231,1793,247,314,150,1248,136,2420,339,869
531,2120,887,186,1664,247,373,175,1453,144,2415,379,799
531,2038,926,219,1588,244,397,175,1453,186,2380,394,779
531,1975,989,219,1315,256,406,175,1460,181,2312,411,779
531,1969,995,219,1310,214,406,175,1460,255,2312,414,691
507,1773,1215,219,1310,223,396,160,1460,288,2315,414,586
501,1348,1646,219,1310,236,389,160,1457,298,2267,414,586
501,1256,1738,219,1310,274,389,147,1457,223,2205,417,563
528,1152,1845,181,1349,240,389,124,1457,223,2102,417,447
513,1126,1900,183,1310,240,389,124,1252,241,2044,417,264
532,1057,1975,176,1153,179,389,124,1087,251,1924,417,154
482,1107,1975,175,1069,172,389,124,867,391,1721,417,109
423,1153,1988,175,979,174,389,124,1080,439,1569,445,106
320,1253,1993,175,915,189,389,124,1354,472,1561,603,106
351,1253,2009,176,915,178,389,164,1427,492,1367,608,93
350,1185,2080,176,915,148,389,164,1452,577,1289,696,65
390,1129,2144,176,915,148,407,284,1485,769,1231,734,65
441,951,2322,176,915,148,407,284,1485,831,1213,744,65
434,958,2307,191,900,148,407,284,1485,831,994,744,61
362,994,2337,197,848,148,413,284,1400,831,921,744,121
266,994,2432,201,848,149,417,287,1345,831,896,743,209
253,968,2431,243,845,149,382,287,1345,841,881,743,209
283,839,2560,243,820,149,363,282,1345,978,738,743,206
266,695,2721,243,400,143,363,269,1345,978,725,711,206
266,674,2685,299,364,142,378,279,1342,978,740,695,206
263,677,2553,406,384,142,383,274,1342,978,570,692,206
269,681,2494,456,383,142,430,261,1342,981,488,692,206
298,681,2301,649,311,142,527,246,1239,989,491,599,204
298,681,2250,689,319,142,445,211,1192,989,399,556,204
360,626,2230,750,328,142,522,211,1109,1046,456,506,204
366,586,2134,886,294,142,450,211,1057,1266,543,506,204
383,531,2158,916,231,152,450,206,949,1269,546,425,204
426,531,2120,887,186,152,391,181,719,1261,546,470,204
526,531,2038,926,219,152,367,456,719,1219,549,505,207
526,531,1975,989,219,136,360,475,734,1219,554,488,215
582,531,1969,995,219,147,361,720,734,1160,669,498,219
594,507,1773,1215,219,161,455,753,772,1160,686,518,229
599,501,1348,1646,219,155,584,753,772,1150,764,606,294
620,501,1256,1738,219,113,617,753,772,1170,814,651,642
638,528,1152,1845,181,104,617,748,772,1200,1102,733,645
626,513,1126,1900,183,107,638,748,772,1182,1130,733,688
601,532,1057,1975,176,107,640,748,772,1172,1133,801,763
614,482,1107,1975,175,107,650,748,769,1032,1136,948,823
615,423,1153,1988,175,97,662,748,546,984,1154,925,928
613,320,1253,1993,175,73,671,748,259,951,1209,775,1093
644,351,1253,2009,176,73,671,708,141,931,1206,770,1341
743,350,1185,2080,176,104,671,708,116,946,1201,682,1343
734,390,1129,2144,176,104,687,588,83,947,1201,644,1343
683,441,951,2322,176,104,687,588,113,923,1201,637,1381
763,434,958,2307,191,167,687,623,118,945,1133,640,1343
785,362,994,2337,197,212,681,628,118,1063,1133,643,1283
787,266,994,2432,201,225,676,625,118,1128,1080,656,1280
788,253,968,2431,243,225,676,638,118,1118,1055,749,1283
786,283,839,2560,243,225,676,638,118,966,1055,749,1283
921,266,695,2721,243,227,676,638,118,966,1058,757,1293
931,266,674,2685,299,227,661,628,118,999,1043,779,1328
996,263,677,2553,406,283,656,628,143,1037,1033,852,1328
992,269,681,2494,456,350,559,628,151,1347,1013,943,1328
983,298,681,2301,649,355,456,628,141,1509,1000,948,1338
983,298,681,2250,689,366,463,628,151,1564,957,948,1466
921,360,626,2230,750,366,437,628,231,1504,837,943,1541
914,366,586,2134,886,366,437,628,261,1261,758,943,1569
897,383,531,2158,916,356,465,630,264,1269,802,928,1602
854,426,531,2120,887,358,491,658,317,1269,802,843,1602
754,526,531,2038,926,358,504,392,317,1302,799,806,1644
754,526,531,1975,989,358,502,373,295,1302,909,846,1721
698,582,531,1969,995,347,501,128,345,1394,794,833,1987
686,594,507,1773,1215,317,407,148,327,1559,774,813,1977
681,599,501,1348,1646,310,296,158,330,1559,696,725,1912
723,620,501,1256,1738,310,263,158,330,1542,646,677,1564
682,638,528,1152,1845,310,271,158,330,1572,358,603,1641
679,626,513,1126,1900,301,250,158,330,1755,325,636,1616
693,601,532,1057,1975,301,268,158,340,1755,297,568,1541
680,614,482,1107,1975,301,282,158,335,1755,294,421,1481
679,615,423,1153,1988,301,284,158,335,1755,276,416,1399
679,613,320,1253,1993,315,275,428,335,1755,226,408,1234
600,644,351,1253,2009,319,330,471,335,1755,244,408,986
499,743,350,1185,2080,288,330,471,335,1655,329,408,984
460,734,390,1129,2144,288,296,471,335,1462,386,503,1209
523,683,441,951,2322,288,296,476,305,1424,386,676,1174
453,763,434,958,2307,225,296,441,300,1402,386,673,1157
482,785,362,994,2337,197,296,436,300,1284,386,670,1167
477,787,266,994,2432,276,296,436,300,1219,386,657,1109
534,788,253,968,2431,298,296,423,305,1219,404,564,1134
506,786,283,839,2560,323,315,423,365,1334,514,564,1134
371,921,266,695,2721,321,317,423,435,1399,674,556,1172
361,931,266,674,2685,335,561,423,435,1471,749,534,1257
297,996,263,677,2553,601,561,423,415,1488,749,601,1257
297,992,269,681,2494,910,560,423,407,1175,731,523,1322
329,983,298,681,2301,921,552,433,407,1008,711,651,1327
329,983,298,681,2250,917,541,463,397,953,711,663,1202
329,921,360,626,2230,917,471,471,317,953,744,663,1127
329,914,366,586,2134,917,471,474,287,953,826,663,1099
362,897,383,531,2158,957,443,469,284,930,810,710,1101
369,854,426,531,2120,955,417,441,231,930,905,710,1106
464,754,526,531,2038,1044,404,432,231,897,905,697,1061
577,754,526,531,1975,1046,404,432,231,897,790,722,996
583,698,582,531,1969,1046,404,432,181,787,790,722,726
698,686,594,507,1773,1041,404,379,161,589,820,722,726
718,681,599,501,1348,1041,386,369,158,589,820,722,844
655,723,620,501,1256,1041,404,369,158,586,820,722,844
672,682,638,528,1152,1130,557,369,158,526,1180,714,764
674,679,626,513,1126,1193,557,369,158,343,1338,774,747
660,693,601,532,1057,1256,537,369,148,343,1591,774,780
660,680,614,482,1107,1256,590,369,148,343,1629,822,818
660,679,615,423,1153,1294,576,369,148,348,1697,822,880
660,679,613,320,1253,1280,591,99,148,348,1897,907,880
660,600,644,351,1253,1276,540,56,148,348,2016,907,958
794,499,743,350,1185,1365,542,56,313,348,1934,910,970
825,460,734,390,1129,1391,561,56,458,491,1880,920,860
926,523,683,441,951,1391,592,51,506,496,1888,887,900
938,453,763,434,958,1391,677,51,521,542,1888,887,932
898,482,785,362,994,1374,684,142,551,590,1891,967,960
900,477,787,266,994,1281,684,208,721,642,1891,997,1004
840,534,788,253,968,1259,697,228,789,667,1873,1000,976
840,506,786,283,839,1234,712,245,766,567,1763,1013,976
859,371,921,266,695,1293,724,321,696,535,1600,1013,941
864,361,931,266,674,1282,480,321,696,430,1568,1056,859
863,297,996,263,677,986,521,321,691,375,1593,1031,861
857,297,992,269,681,620,521,336,691,375,1593,1323,796
805,329,983,298,681,638,521,341,691,372,1593,1190,781
805,329,983,298,681,646,521,315,691,372,1593,1458,778
805,329,921,360,626,662,521,307,691,372,1560,1533,783
805,329,914,366,586,669,521,359,691,372,1470,1591,788
772,362,897,383,531,629,521,366,721,372,1439,1569,753
765,369,854,426,531,629,521,376,749,372,1344,1657,748
670,464,754,526,531,540,556,485,764,372,1344,1694,761
557,577,754,526,531,677,580,486,769,372,1344,1629,741
551,583,698,582,531,677,580,538,799,757,1344,1657,741
436,698,686,594,507,677,832,538,817,812,1314,1757,766
416,718,681,599,501,677,1213,565,817,812,1314,1825,648
416,655,723,620,501,677,1290,569,817,812,1314,1843,648
391,672,682,638,528,588,1129,587,817,817,954,1995,648
388,674,679,626,513,532,1129,634,867,892,881,1902,647
388,660,693,601,532,469,1129,634,867,892,633,1902,614
388,660,680,614,482,469,1052,634,1070,937,643,1854,576
388,660,679,615,423,431,1052,634,1308,945,640,1854,491
388,660,679,613,320,431,1048,634,1371,1000,572,1769,491
388,660,600,644,351,431,1072,634,1371,1028,520,1769,413
254,794,499,743,350,342,1070,634,1324,1028,532,1766,421
223,825,460,734,390,316,1091,634,1179,1058,534,1661,306
59,926,523,683,441,320,1182,634,1386,1096,661,1518,316
37,938,453,763,434,320,1191,638,1386,1050,661,1518,348
65,898,482,785,362,320,1184,547,1447,1002,670,1781,370
96,900,477,787,266,320,1184,481,1277,1138,670,1756,307
97,840,534,788,253,320,1171,461,1249,1150,673,1753,307
97,840,506,786,283,381,1258,444,1217,1135,673,1740,307
78,859,371,921,266,322,1268,368,1217,1102,673,1740,354
73,864,361,931,266,374,1378,368,1217,1102,630,1697,316
73,863,297,996,263,351,1337,479,1217,1102,700,1582,334
75,857,297,992,269,541,1339,483,1217,1102,833,1277,334
75,805,329,983,298,512,1339,468,1217,1102,873,1277,334
75,805,329,983,298,510,1344,464,1217,1102,908,1037,334
75,805,329,921,360,494,1348,464,1217,1102,1026,1195,329
75,805,329,914,366,488,1349,428,1217,1102,1026,1172,324
77,772,362,897,383,640,1349,421,1187,1102,1026,1300,324
77,765,369,854,426,682,1349,411,1159,1102,1026,1434,324
77,670,464,754,526,707,1344,302,1144,1102,1026,1487,311
77,557,577,754,526,568,1320,301,1131,1245,1026,1498,311
77,551,583,698,582,568,1320,249,1101,967,1076,1470,572
132,436,698,686,594,568,1129,251,1083,912,1206,1370,567
132,416,718,681,599,608,748,372,1083,912,1206,1355,585
132,416,655,723,620,626,653,449,1083,912,1231,1347,598
132,391,672,682,638,763,653,432,1083,907,1234,1313,598
142,388,674,679,626,900,653,385,1033,832,1149,1313,598
142,388,660,693,601,900,653,385,1206,832,1144,1348,598
185,388,660,680,614,1112,653,612,1003,817,1096,1518,598
276,388,660,679,615,1139,663,612,765,804,1031,1518,598
352,388,660,679,613,1139,807,612,702,794,909,1596,598
352,388,660,600,644,1139,779,612,702,769,867,1804,598
352,254,794,499,743,1139,779,612,584,769,842,1886,578
352,223,825,460,734,1139,739,612,584,596,837,1931,593
352,59,926,523,683,1135,617,612,329,553,702,1931,540
352,37,938,453,763,1135,523,608,314,633,702,1931,475
