Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
547,337,457,850,474,358,438,809,2307,647,575,1184,1363,947,389
525,295,469,902,474,358,408,820,2337,437,575,1431,1363,947,564
524,296,468,903,474,358,389,800,2432,363,575,1586,1363,947,600
524,238,296,1132,475,324,400,739,2431,232,595,1732,1363,339,695
524,238,280,1042,581,300,384,705,2560,233,620,1900,1363,284,770
525,238,243,1079,581,285,359,665,2721,276,620,1910,1363,318,820
522,247,241,1006,656,285,312,640,2685,283,620,1955,1363,318,890
522,247,239,1008,656,285,301,657,2553,292,629,2013,1363,318,890
531,235,251,947,620,382,301,614,2494,319,656,2096,1363,265,900
549,235,251,766,740,443,266,682,2301,465,720,2086,1363,266,925
549,235,251,764,742,443,266,711,2250,756,720,2177,1363,266,956
550,235,251,726,780,443,266,747,2230,941,720,2124,1293,246,956
550,235,251,692,814,436,272,720,2134,1001,720,2111,1150,246,958
550,235,251,685,820,436,273,711,2158,1011,720,2111,993,254,1051
550,220,266,642,863,436,261,712,2120,1011,720,2101,863,251,1043
550,150,336,642,863,436,230,709,2038,1006,699,2101,786,251,1023
550,117,369,640,865,398,268,709,1975,1010,611,2101,639,256,1049
546,86,404,552,953,398,252,808,1969,1052,501,2101,612,259,829
546,86,385,569,955,386,252,807,1773,1038,378,2116,594,172,829
428,191,398,568,956,386,217,823,1348,1022,339,2103,307,164,877
357,249,411,568,956,386,158,853,1256,985,224,2068,297,239,936
275,331,411,568,956,386,158,1387,1152,996,194,2068,174,239,1036
78,530,411,568,956,386,158,1509,1126,1000,172,2068,264,219,1099
52,561,411,568,873,391,209,1525,1057,1061,172,2068,419,209,1244
52,561,411,568,792,472,209,1816,1107,1068,172,2008,647,209,1445
73,561,409,494,801,539,209,1921,1153,1076,171,1840,657,209,1594
73,559,411,493,802,539,209,1762,1253,1085,162,1747,670,206,1602
73,537,425,500,803,455,293,1930,1253,1096,162,1737,715,206,1799
73,537,380,414,892,440,350,2053,1185,1126,162,1462,715,206,1892
68,542,337,457,885,439,358,2024,1129,1126,162,1349,715,206,1930
63,547,337,457,850,474,358,1976,951,1126,162,1331,715,206,1945
63,547,337,457,850,474,358,1983,958,1126,162,1248,715,206,2207
123,525,295,469,902,474,358,2023,994,1126,162,993,800,206,2105
124,524,296,468,903,474,358,2022,994,1126,163,838,855,206,2147
124,524,238,296,1132,475,324,2035,968,1126,178,692,855,201,2092
124,524,238,280,1042,581,300,2035,839,1125,172,524,855,166,2160
123,525,238,243,1079,581,285,2036,695,1087,172,527,855,129,2123
117,522,247,241,1006,656,285,2036,674,1031,172,482,858,129,2053
122,522,247,239,1008,656,285,2008,677,1022,163,429,858,129,2233
113,531,235,251,947,620,382,1997,681,995,187,359,858,129,2343
121,549,235,251,766,740,443,1967,681,849,137,201,971,126,2348
124,549,235,251,764,742,443,1992,681,538,223,142,1018,126,2452
297,550,235,251,726,780,443,1991,626,325,242,142,1101,109,2515
304,550,235,251,692,814,436,2022,586,257,314,142,1148,132,2513
308,550,235,251,685,820,436,2019,531,247,314,150,1248,136,2420
308,550,220,266,642,863,436,2226,531,247,373,175,1453,144,2415
353,550,150,336,642,863,436,2271,531,244,397,175,1453,186,2380
378,550,117,369,640,865,398,2320,531,256,406,175,1460,181,2312
534,546,86,404,552,953,398,2221,531,214,406,175,1460,255,2312
569,546,86,385,569,955,386,2298,507,223,396,160,1460,288,2315
723,428,191,398,568,956,386,2325,501,236,389,160,1457,298,2267
723,357,249,411,568,956,386,2312,501,274,389,147,1457,223,2205
723,275,331,411,568,956,386,1778,528,240,389,124,1457,223,2102
724,78,530,411,568,956,386,1715,513,240,389,124,1252,241,2044
719,52,561,411,568,873,391,1732,532,179,389,124,1087,251,1924
719,52,561,411,568,792,472,1464,482,172,389,124,867,391,1721
733,73,561,409,494,801,539,1356,423,174,389,124,1080,439,1569
733,73,559,411,493,802,539,1320,320,189,389,124,1354,472,1561
735,73,537,425,500,803,455,1080,351,178,389,164,1427,492,1367
751,73,537,380,414,892,440,874,350,148,389,164,1452,577,1289
751,68,542,337,457,885,439,935,390,148,407,284,1485,769,1231
751,63,547,337,457,850,474,978,441,148,407,284,1485,831,1213
751,63,547,337,457,850,474,963,434,148,407,284,1485,831,994
691,123,525,295,469,902,474,970,362,148,413,284,1400,831,921
690,124,524,296,468,903,474,994,266,149,417,287,1345,831,896
697,124,524,238,296,1132,475,981,253,149,382,287,1345,841,881
697,124,524,238,280,1042,581,1003,283,149,363,282,1345,978,738
697,123,525,238,243,1079,581,998,266,143,363,269,1345,978,725
697,117,522,247,241,1006,656,998,266,142,378,279,1342,978,740
692,122,522,247,239,1008,656,979,263,142,383,274,1342,978,570
692,113,531,235,251,947,620,974,269,142,430,261,1342,981,488
666,121,549,235,251,766,740,934,298,142,527,246,1239,989,491
663,124,549,235,251,764,742,878,298,142,445,211,1192,989,399
489,297,550,235,251,726,780,888,360,142,522,211,1109,1046,456
482,304,550,235,251,692,814,884,366,142,450,211,1057,1266,543
478,308,550,235,251,685,820,1047,383,152,450,206,949,1269,546
478,308,550,220,266,642,863,952,426,152,391,181,719,1261,546
433,353,550,150,336,642,863,1012,526,152,367,456,719,1219,549
423,378,550,117,369,640,865,969,526,136,360,475,734,1219,554
339,534,546,86,404,552,953,967,582,147,361,720,734,1160,669
345,569,546,86,385,569,955,890,594,161,455,753,772,1160,686
205,723,428,191,398,568,956,840,599,155,584,753,772,1150,764
205,723,357,249,411,568,956,823,620,113,617,753,772,1170,814
205,723,275,331,411,568,956,854,638,104,617,748,772,1200,1102
239,724,78,530,411,568,956,806,626,107,638,748,772,1182,1130
240,719,52,561,411,568,873,834,601,107,640,748,772,1172,1133
240,719,52,561,411,568,792,834,614,107,650,748,769,1032,1136
224,733,73,561,409,494,801,859,615,97,662,748,546,984,1154
236,733,73,559,411,493,802,859,613,73,671,748,259,951,1209
234,735,73,537,425,500,803,918,644,73,671,708,141,931,1206
218,751,73,537,380,414,892,910,743,104,671,708,116,946,1201
218,751,68,542,337,457,885,835,734,104,687,588,83,947,1201
218,751,63,547,337,457,850,792,683,104,687,588,113,923,1201
229,751,63,547,337,457,850,792,763,167,687,623,118,945,1133
229,691,123,525,295,469,902,734,785,212,681,628,118,1063,1133
229,690,124,524,296,468,903,711,787,225,676,625,118,1128,1080
222,697,124,524,238,296,1132,711,788,225,676,638,118,1118,1055
222,697,124,524,238,280,1042,689,786,225,676,638,118,966,1055
222,697,123,525,238,243,1079,689,921,227,676,638,118,966,1058
222,697,117,522,247,241,1006,731,931,227,661,628,118,999,1043
228,692,122,522,247,239,1008,731,996,283,656,628,143,1037,1033
240,692,113,531,235,251,947,731,992,350,559,628,151,1347,1013
240,666,121,549,235,251,766,731,983,355,456,628,141,1509,1000
240,663,124,549,235,251,764,731,983,366,463,628,151,1564,957
240,489,297,550,235,251,726,724,921,366,437,628,231,1504,837
240,482,304,550,235,251,692,700,914,366,437,628,261,1261,758
240,478,308,550,235,251,685,609,897,356,465,630,264,1269,802
240,478,308,550,220,266,642,683,854,358,491,658,317,1269,802
240,433,353,550,150,336,642,679,754,358,504,392,317,1302,799
225,423,378,550,117,369,640,719,754,358,502,373,295,1302,909
153,339,534,546,86,404,552,716,698,347,501,128,345,1394,794
112,345,569,546,86,385,569,716,686,317,407,148,327,1559,774
106,205,723,428,191,398,568,716,681,310,296,158,330,1559,696
110,205,723,357,249,411,568,716,723,310,263,158,330,1542,646
110,205,723,275,331,411,568,745,682,310,271,158,330,1572,358
73,239,724,78,530,411,568,772,679,301,250,158,330,1755,325
72,240,719,52,561,411,568,711,693,301,268,158,340,1755,297
80,240,719,52,561,411,568,687,680,301,282,158,335,1755,294
61,224,733,73,561,409,494,708,679,301,284,158,335,1755,276
49,236,733,73,559,411,493,726,679,315,275,428,335,1755,226
53,234,735,73,537,425,500,667,600,319,330,471,335,1755,244
160,218,751,73,537,380,414,666,499,288,330,471,335,1655,329
183,218,751,68,542,337,457,666,460,288,296,471,335,1462,386
183,218,751,63,547,337,457,666,523,288,296,476,305,1424,386
172,229,751,63,547,337,457,666,453,225,296,441,300,1402,386
177,229,691,123,525,295,469,666,482,197,296,436,300,1284,386
207,229,690,124,524,296,468,665,477,276,296,436,300,1219,386
207,222,697,124,524,238,296,665,534,298,296,423,305,1219,404
207,222,697,124,524,238,280,665,506,323,315,423,365,1334,514
207,222,697,123,525,238,243,665,371,321,317,423,435,1399,674
207,222,697,117,522,247,241,623,361,335,561,423,435,1471,749
201,228,692,122,522,247,239,623,297,601,561,423,415,1488,749
189,240,692,113,531,235,251,623,297,910,560,423,407,1175,731
189,240,666,121,549,235,251,623,329,921,552,433,407,1008,711
190,240,663,124,549,235,251,623,329,917,541,463,397,953,711
212,240,489,297,550,235,251,653,329,917,471,471,317,953,744
329,240,482,304,550,235,251,757,329,917,471,474,287,953,826
430,240,478,308,550,235,251,806,362,957,443,469,284,930,810
495,240,478,308,550,220,266,621,369,955,417,441,231,930,905
495,240,433,353,550,150,336,520,464,1044,404,432,231,897,905
498,225,423,378,550,117,369,474,577,1046,404,432,231,897,790
528,153,339,534,546,86,404,473,583,1046,404,432,181,787,790
531,112,345,569,546,86,385,473,698,1041,404,379,161,589,820
523,106,205,723,428,191,398,473,718,1041,386,369,158,589,820
568,110,205,723,357,249,411,509,655,1041,404,369,158,586,820
641,110,205,723,275,331,411,449,672,1130,557,369,158,526,1180
713,73,239,724,78,530,411,421,674,1193,557,369,158,343,1338
713,72,240,719,52,561,411,438,660,1256,537,369,148,343,1591
705,80,240,719,52,561,411,470,660,1256,590,369,148,343,1629
705,61,224,733,73,561,409,448,660,1294,576,369,148,348,1697
705,49,236,733,73,559,411,449,660,1280,591,99,148,348,1897
840,53,234,735,73,537,425,472,660,1276,540,56,148,348,2016
749,160,218,751,73,537,380,512,794,1365,542,56,313,348,1934
726,183,218,751,68,542,337,552,825,1391,561,56,458,491,1880
726,183,218,751,63,547,337,599,926,1391,592,51,506,496,1888
726,172,229,751,63,547,337,610,938,1391,677,51,521,542,1888
721,177,229,691,123,525,295,610,898,1374,684,142,551,590,1891
691,207,229,690,124,524,296,645,900,1281,684,208,721,642,1891
691,207,222,697,124,524,238,645,840,1259,697,228,789,667,1873
691,207,222,697,124,524,238,645,840,1234,712,245,766,567,1763
691,207,222,697,123,525,238,646,859,1293,724,321,696,535,1600
691,207,222,697,117,522,247,646,864,1282,480,321,696,430,1568
691,201,228,692,122,522,247,658,863,986,521,321,691,375,1593
691,189,240,692,113,531,235,689,857,620,521,336,691,375,1593
691,189,240,666,121,549,235,689,805,638,521,341,691,372,1593
690,190,240,663,124,549,235,705,805,646,521,315,691,372,1593
668,212,240,489,297,550,235,649,805,662,521,307,691,372,1560
551,329,240,482,304,550,235,577,805,669,521,359,691,372,1470
450,430,240,478,308,550,235,508,772,629,521,366,721,372,1439
385,495,240,478,308,550,220,506,765,629,521,376,749,372,1344
480,495,240,433,353,550,150,506,670,540,556,485,764,372,1344
484,498,225,423,378,550,117,533,557,677,580,486,769,372,1344
464,528,153,339,534,546,86,533,551,677,580,538,799,757,1344
461,531,112,345,569,546,86,533,436,677,832,538,817,812,1314
466,523,106,205,723,428,191,533,416,677,1213,565,817,812,1314
417,568,110,205,723,357,249,497,416,677,1290,569,817,812,1314
344,641,110,205,723,275,331,497,391,588,1129,587,817,817,954
272,713,73,239,724,78,530,487,388,532,1129,634,867,892,881
273,713,72,240,719,52,561,470,388,469,1129,634,867,892,633
286,705,80,240,719,52,561,438,388,469,1052,634,1070,937,643
295,705,61,224,733,73,561,408,388,431,1052,634,1308,945,640
316,705,49,236,733,73,559,389,388,431,1048,634,1371,1000,572
251,840,53,234,735,73,537,400,388,431,1072,634,1371,1028,520
250,749,160,218,751,73,537,384,254,342,1070,634,1324,1028,532
295,726,183,218,751,68,542,359,223,316,1091,634,1179,1058,534
366,726,183,218,751,63,547,312,59,320,1182,634,1386,1096,661
383,726,172,229,751,63,547,301,37,320,1191,638,1386,1050,661
395,721,177,229,691,123,525,301,65,320,1184,547,1447,1002,670
395,691,207,229,690,124,524,266,96,320,1184,481,1277,1138,670
419,691,207,222,697,124,524,266,97,320,1171,461,1249,1150,673
426,691,207,222,697,124,524,266,97,381,1258,444,1217,1135,673
426,691,207,222,697,123,525,272,78,322,1268,368,1217,1102,673
426,691,207,222,697,117,522,273,73,374,1378,368,1217,1102,630
426,691,201,228,692,122,522,261,73,351,1337,479,1217,1102,700
426,691,189,240,692,113,531,230,75,541,1339,483,1217,1102,833
426,691,189,240,666,121,549,268,75,512,1339,468,1217,1102,873
426,690,190,240,663,124,549,252,75,510,1344,464,1217,1102,908
426,668,212,240,489,297,550,252,75,494,1348,464,1217,1102,1026
426,551,329,240,482,304,550,217,75,488,1349,428,1217,1102,1026
426,450,430,240,478,308,550,158,77,640,1349,421,1187,1102,1026
426,385,495,240,478,308,550,158,77,682,1349,411,1159,1102,1026
331,480,495,240,433,353,550,158,77,707,1344,302,1144,1102,1026
324,484,498,225,423,378,550,209,77,568,1320,301,1131,1245,1026
363,464,528,153,339,534,546,209,77,568,1320,249,1101,967,1076
364,461,531,112,345,569,546,209,132,568,1129,251,1083,912,1206
359,466,523,106,205,723,428,209,132,608,748,372,1083,912,1206
359,417,568,110,205,723,357,293,132,626,653,449,1083,912,1231
359,344,641,110,205,723,275,350,132,763,653,432,1083,907,1234
359,272,713,73,239,724,78,358,142,900,653,385,1033,832,1149
364,273,713,72,240,719,52,358,142,900,653,385,1206,832,1144
351,286,705,80,240,719,52,358,185,1112,653,612,1003,817,1096
342,295,705,61,224,733,73,358,276,1139,663,612,765,804,1031
321,316,705,49,236,733,73,358,352,1139,807,612,702,794,909
247,251,840,53,234,735,73,324,352,1139,779,612,702,769,867
232,250,749,160,218,751,73,300,352,1139,779,612,584,769,842
187,295,726,183,218,751,68,285,352,1139,739,612,584,596,837
116,366,726,183,218,751,63,285,352,1135,617,612,329,553,702
131,383,726,172,229,751,63,285,352,1135,523,608,314,633,702
129,395,721,177,229,691,123,382,406,1135,523,616,223,696,690
129,395,691,207,229,690,124,443,395,1135,523,728,223,670,710
105,419,691,207,222,697,124,443,394,1190,525,728,178,633,707
220,426,691,207,222,697,124,443,508,1140,464,728,173,658,707
258,426,691,207,222,697,123,436,569,1140,667,728,173,666,707
363,426,691,207,222,697,117,436,632,1086,573,728,173,676,707
438,426,691,201,228,692,122,436,632,1083,638,617,176,676,612
438,426,691,189,240,692,113,436,630,955,792,598,336,676,479
438,426,691,189,240,666,121,398,630,1028,792,598,336,676,439
438,426,690,190,240,663,124,398,630,1015,787,598,548,866,404
438,426,668,212,240,489,297,386,647,1015,783,598,573,868,286
438,426,551,329,240,482,304,386,647,1014,789,579,623,868,286
438,426,450,430,240,478,308,386,852,862,849,579,623,868,336
559,426,385,495,240,478,308,386,853,820,879,579,651,868,339
606,331,480,495,240,433,353,386,853,795,849,579,673,868,359
607,324,484,498,225,423,378,391,853,795,863,596,673,725,359
568,363,464,528,153,339,534,472,864,796,903,596,673,618,309
622,364,461,531,112,345,569,539,809,796,846,594,673,618,322
622,359,466,523,106,205,723,539,830,756,846,446,681,688,359
660,359,417,568,110,205,723,455,832,738,846,365,681,698,367
763,359,344,641,110,205,723,440,833,601,846,364,704,716,409
804,359,272,713,73,239,724,439,829,457,846,364,704,716,411
846,364,273,713,72,240,719,474,829,457,916,364,531,716,426
900,351,286,705,80,240,719,474,786,245,921,137,574,686,426
902,342,295,705,61,224,733,474,695,218,1049,137,1216,686,426
902,321,316,705,49,236,733,474,619,218,952,141,1219,649,469
902,247,251,840,53,234,735,475,619,218,1108,141,1219,646,463
