Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
512,415,2031,1140,263,587,477,430,1049,509,547,809,2307,647,575,1184
543,316,2130,1140,263,549,514,431,1091,488,525,820,2337,437,575,1431
590,296,2088,1200,236,560,410,553,1168,457,524,800,2432,363,575,1586
633,274,2086,1041,376,603,410,526,1240,410,524,739,2431,232,595,1732
611,293,2089,930,486,604,354,513,1339,403,524,705,2560,233,620,1900
611,293,2089,924,491,605,354,513,1360,403,525,665,2721,276,620,1910
628,291,2008,968,534,605,354,513,1391,403,522,640,2685,283,620,1955
665,291,2008,968,534,605,354,512,1391,403,522,657,2553,292,629,2013
680,281,2038,918,598,545,410,512,1382,403,531,614,2494,319,656,2096
675,255,2069,913,603,544,301,620,1315,403,549,682,2301,465,720,2086
635,279,2017,958,626,531,314,620,1184,403,549,711,2250,756,720,2177
589,330,1971,976,654,498,339,628,1135,403,550,747,2230,941,720,2124
582,343,1965,981,655,481,356,628,1141,350,550,720,2134,1001,720,2111
588,355,1966,621,1015,461,360,644,1142,350,550,711,2158,1011,720,2111
592,311,1940,665,1042,365,424,676,1169,350,550,712,2120,1011,720,2101
590,295,1956,573,1138,364,421,680,1242,350,550,709,2038,1006,699,2101
607,265,1986,562,1149,342,391,732,1123,295,550,709,1975,1010,611,2101
582,290,1955,578,1164,255,454,756,1160,315,546,808,1969,1052,501,2101
490,382,1939,594,1164,151,543,771,1229,389,546,807,1773,1038,378,2116
487,384,1940,594,1164,150,540,775,1139,321,428,823,1348,1022,339,2103
487,384,1940,594,1164,150,539,776,1021,319,357,853,1256,985,224,2068
486,385,1939,595,1164,150,539,776,1021,346,275,1387,1152,996,194,2068
486,385,1883,651,1086,228,539,776,1019,244,78,1509,1126,1000,172,2068
486,390,1661,873,1056,258,539,776,962,248,52,1525,1057,1061,172,2068
530,393,1347,1187,1055,246,552,776,867,248,52,1816,1107,1068,172,2008
526,482,1181,1353,975,326,552,776,823,250,73,1921,1153,1076,171,1840
473,516,1182,1417,975,326,552,776,815,253,73,1762,1253,1085,162,1747
536,523,1139,1445,991,326,544,764,814,253,73,1930,1253,1096,162,1737
536,523,765,1765,1045,326,544,749,785,247,73,2053,1185,1126,162,1462
536,513,683,1795,1107,326,526,716,785,211,68,2024,1129,1126,162,1349
536,512,624,1853,1109,263,587,485,772,209,63,1976,951,1126,162,1331
536,512,415,2031,1140,263,587,477,763,209,63,1983,958,1126,162,1248
505,543,316,2130,1140,263,549,514,622,209,123,2023,994,1126,162,993
458,590,296,2088,1200,236,560,410,540,179,124,2022,994,1126,163,838
438,633,274,2086,1041,376,603,410,468,185,124,2035,968,1126,178,692
468,611,293,2089,930,486,604,354,369,228,124,2035,839,1125,172,524
519,611,293,2089,924,491,605,354,348,228,123,2036,695,1087,172,527
549,628,291,2008,968,534,605,354,320,228,117,2036,674,1031,172,482
514,665,291,2008,968,534,605,354,320,228,122,2008,677,1022,163,429
466,680,281,2038,918,598,545,410,320,228,113,1997,681,995,187,359
466,675,255,2069,913,603,544,301,320,246,121,1967,681,849,137,201
467,635,279,2017,958,626,531,314,320,259,124,1992,681,538,223,142
462,589,330,1971,976,654,498,339,320,380,297,1991,626,325,242,142
456,582,343,1965,981,655,481,356,313,538,304,2022,586,257,314,142
437,588,355,1966,621,1015,461,360,308,627,308,2019,531,247,314,150
434,592,311,1940,665,1042,365,424,281,636,308,2226,531,247,373,175
439,590,295,1956,573,1138,364,421,208,636,353,2271,531,244,397,175
426,607,265,1986,562,1149,342,391,204,643,378,2320,531,256,406,175
457,582,290,1955,578,1164,255,454,114,790,534,2221,531,214,406,175
511,490,382,1939,594,1164,151,543,18,709,569,2298,507,223,396,160
581,487,384,1940,594,1164,150,540,11,717,723,2325,501,236,389,160
640,487,384,1940,594,1164,150,539,20,731,723,2312,501,274,389,147
720,486,385,1939,595,1164,150,539,44,692,723,1778,528,240,389,124
733,486,385,1883,651,1086,228,539,44,703,724,1715,513,240,389,124
743,486,390,1661,873,1056,258,539,40,847,719,1732,532,179,389,124
696,530,393,1347,1187,1055,246,552,38,1129,719,1464,482,172,389,124
611,526,482,1181,1353,975,326,552,38,1244,733,1356,423,174,389,124
565,473,516,1182,1417,975,326,552,38,1244,733,1320,320,189,389,124
494,536,523,1139,1445,991,326,544,59,1244,735,1080,351,178,389,164
546,536,523,765,1765,1045,326,544,60,1245,751,874,350,148,389,164
604,536,513,683,1795,1107,326,526,61,1245,751,935,390,148,407,284
683,536,512,624,1853,1109,263,587,80,1299,751,978,441,148,407,284
744,536,512,415,2031,1140,263,587,281,1321,751,963,434,148,407,284
761,505,543,316,2130,1140,263,549,322,1334,691,970,362,148,413,284
761,458,590,296,2088,1200,236,560,364,1334,690,994,266,149,417,287
745,438,633,274,2086,1041,376,603,496,1328,697,981,253,149,382,287
744,468,611,293,2089,930,486,604,625,1268,697,1003,283,149,363,282
707,519,611,293,2089,924,491,605,625,1268,697,998,266,143,363,269
694,549,628,291,2008,968,534,605,620,1268,697,998,266,142,378,279
692,514,665,291,2008,968,534,605,625,1268,692,979,263,142,383,274
691,466,680,281,2038,918,598,545,626,1268,692,974,269,142,430,261
691,466,675,255,2069,913,603,544,628,1250,666,934,298,142,527,246
