Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
809,471,637,1058,786,185,388,660,680,614,2307,647,575,1184,1363,947,389,1450
820,471,637,1058,695,276,388,660,679,615,2337,437,575,1431,1363,947,564,1470
800,492,637,1058,619,352,388,660,679,613,2432,363,575,1586,1363,947,600,1470
739,553,624,1071,619,352,388,660,600,644,2431,232,595,1732,1363,339,695,1473
705,587,617,1078,619,352,254,794,499,743,2560,233,620,1900,1363,284,770,1520
665,631,617,1078,619,352,223,825,460,734,2721,276,620,1910,1363,318,820,1432
640,651,622,1067,630,352,59,926,523,683,2685,283,620,1955,1363,318,890,1420
657,622,681,988,709,352,37,938,453,763,2553,292,629,2013,1363,318,890,1420
614,681,681,915,689,406,65,898,482,785,2494,319,656,2096,1363,265,900,1420
682,648,716,789,793,395,96,900,477,787,2301,465,720,2086,1363,266,925,1420
711,576,790,757,825,394,97,840,534,788,2250,756,720,2177,1363,266,956,1420
747,576,790,591,877,508,97,840,506,786,2230,941,720,2124,1293,246,956,1420
720,603,790,591,816,569,78,859,371,921,2134,1001,720,2111,1150,246,958,1378
711,609,803,512,832,632,73,864,361,931,2158,1011,720,2111,993,254,1051,1325
712,597,815,512,832,632,73,863,297,996,2120,1011,720,2101,863,251,1043,1212
709,530,885,391,953,630,75,857,297,992,2038,1006,699,2101,786,251,1023,1139
709,526,889,380,964,630,75,805,329,983,1975,1010,611,2101,639,256,1049,1104
808,529,892,376,968,630,75,805,329,983,1969,1052,501,2101,612,259,829,744
807,491,931,362,965,647,75,805,329,921,1773,1038,378,2116,594,172,829,687
823,471,958,312,1015,647,75,805,329,914,1348,1022,339,2103,307,164,877,687
853,466,963,220,900,852,77,772,362,897,1256,985,224,2068,297,239,936,687
1387,466,963,169,950,853,77,765,369,854,1152,996,194,2068,174,239,1036,657
1509,356,1002,239,951,853,77,670,464,754,1126,1000,172,2068,264,219,1099,654
1525,356,908,333,951,853,77,557,577,754,1057,1061,172,2068,419,209,1244,653
1816,357,825,416,940,864,77,551,583,698,1107,1068,172,2008,647,209,1445,575
1921,366,785,310,1086,809,132,436,698,686,1153,1076,171,1840,657,209,1594,575
1762,546,788,320,1067,830,132,416,718,681,1253,1085,162,1747,670,206,1602,575
1930,618,731,377,1065,832,132,416,655,723,1253,1096,162,1737,715,206,1799,567
2053,710,721,387,1064,833,132,391,672,682,1185,1126,162,1462,715,206,1892,494
2024,753,656,452,1058,829,142,388,674,679,1129,1126,162,1349,715,206,1930,469
1976,801,528,580,1058,829,142,388,660,693,951,1126,162,1331,715,206,1945,406
1983,809,471,637,1058,786,185,388,660,680,958,1126,162,1248,715,206,2207,113
2023,820,471,637,1058,695,276,388,660,679,994,1126,162,993,800,206,2105,78
2022,800,492,637,1058,619,352,388,660,679,994,1126,163,838,855,206,2147,79
2035,739,553,624,1071,619,352,388,660,600,968,1126,178,692,855,201,2092,76
2035,705,587,617,1078,619,352,254,794,499,839,1125,172,524,855,166,2160,29
2036,665,631,617,1078,619,352,223,825,460,695,1087,172,527,855,129,2123,41
2036,640,651,622,1067,630,352,59,926,523,674,1031,172,482,858,129,2053,49
2008,657,622,681,988,709,352,37,938,453,677,1022,163,429,858,129,2233,52
1997,614,681,681,915,689,406,65,898,482,681,995,187,359,858,129,2343,52
1967,682,648,716,789,793,395,96,900,477,681,849,137,201,971,126,2348,145
1992,711,576,790,757,825,394,97,840,534,681,538,223,142,1018,126,2452,188
1991,747,576,790,591,877,508,97,840,506,626,325,242,142,1101,109,2515,243
2022,720,603,790,591,816,569,78,859,371,586,257,314,142,1148,132,2513,243
2019,711,609,803,512,832,632,73,864,361,531,247,314,150,1248,136,2420,339
2226,712,597,815,512,832,632,73,863,297,531,247,373,175,1453,144,2415,379
2271,709,530,885,391,953,630,75,857,297,531,244,397,175,1453,186,2380,394
2320,709,526,889,380,964,630,75,805,329,531,256,406,175,1460,181,2312,411
2221,808,529,892,376,968,630,75,805,329,531,214,406,175,1460,255,2312,414
2298,807,491,931,362,965,647,75,805,329,507,223,396,160,1460,288,2315,414
2325,823,471,958,312,1015,647,75,805,329,501,236,389,160,1457,298,2267,414
2312,853,466,963,220,900,852,77,772,362,501,274,389,147,1457,223,2205,417
1778,1387,466,963,169,950,853,77,765,369,528,240,389,124,1457,223,2102,417
1715,1509,356,1002,239,951,853,77,670,464,513,240,389,124,1252,241,2044,417
1732,1525,356,908,333,951,853,77,557,577,532,179,389,124,1087,251,1924,417
1464,1816,357,825,416,940,864,77,551,583,482,172,389,124,867,391,1721,417
1356,1921,366,785,310,1086,809,132,436,698,423,174,389,124,1080,439,1569,445
1320,1762,546,788,320,1067,830,132,416,718,320,189,389,124,1354,472,1561,603
